Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,44.8501,21523.6917,151.9484,3.3738
2014-01-03,45.1579,21671.384,152.991,3.397
2014-01-06,45.1374,21661.5378,152.9215,3.3954
2014-01-07,45.1374,21661.5378,152.9215,3.3954
2014-01-08,45.1989,21691.0763,153.1301,3.4001
2014-01-09,44.8706,21533.5378,152.0179,3.3754
2014-01-10,44.5013,21356.3071,150.7667,3.3476
2014-01-13,44.5629,21385.8455,150.9753,3.3522
2014-01-14,45.3425,21759.9994,153.6166,3.4109
2014-01-15,44.9527,21572.9225,152.2959,3.3815
2014-01-16,45.0553,21622.1532,152.6435,3.3893
2014-01-17,45.6503,21907.6917,154.6593,3.434
2014-01-21,44.9732,21582.7686,152.3655,3.3831
2014-01-22,46.0811,22114.4609,156.119,3.4664
2014-01-23,46.4915,22311.384,157.5092,3.4973
2014-01-24,46.0606,22104.6148,156.0495,3.4649
2014-01-27,45.1169,21651.6917,152.852,3.3939
2014-01-28,44.9322,21563.0763,152.2264,3.38
2014-01-29,44.4398,21326.7686,150.5582,3.343
2014-01-30,44.4398,21326.7686,150.5582,3.343
2014-01-31,44.4193,21316.9225,150.4887,3.3414
2014-02-03,42.9831,20627.6917,145.623,3.2334
2014-02-04,43.1472,20706.4609,146.1791,3.2457
2014-02-05,42.6753,20479.9994,144.5804,3.2102
2014-02-06,43.496,20873.8456,147.3607,3.272
2014-02-07,44.4193,21316.9225,150.4887,3.3414
2014-02-10,43.9269,21080.6148,148.8205,3.3044
2014-02-11,44.5013,21356.3071,150.7667,3.3476
2014-02-12,44.9117,21553.2302,152.1569,3.3785
2014-02-13,45.0348,21612.3071,152.574,3.3877
2014-02-14,45.1374,21661.5378,152.9215,3.3954
2014-02-18,44.645,21425.2302,151.2533,3.3584
2014-02-19,44.1731,21198.7686,149.6546,3.3229
2014-02-20,44.091,21159.384,149.3765,3.3167
2014-02-21,45.4451,21809.2301,153.9642,3.4186
2014-02-24,45.6708,21917.5378,154.7288,3.4356
2014-02-25,45.8965,22025.8455,155.4934,3.4525
2014-02-26,46.2453,22193.2301,156.6751,3.4788
2014-02-27,46.1427,22143.9994,156.3275,3.4711
2014-02-28,45.876,22015.9994,155.4239,3.451
2014-03-03,46.1427,22143.9994,156.3275,3.4711
2014-03-04,46.2863,22212.9224,156.8141,3.4819
2014-03-05,46.7172,22419.6917,158.2738,3.5143
2014-03-06,46.1222,22134.1532,156.258,3.4695
2014-03-07,46.5941,22360.6147,157.8567,3.505
2014-03-10,45.917,22035.6917,155.5629,3.4541
2014-03-11,45.3631,21769.8455,153.6861,3.4124
2014-03-12,45.8555,22006.1532,155.3544,3.4495
2014-03-13,45.24,21710.7686,153.2691,3.4032
2014-03-14,45.1989,21691.0763,153.1301,3.4001
2014-03-17,45.3836,21779.6917,153.7556,3.414
2014-03-18,46.3068,22222.7686,156.8836,3.4834
2014-03-19,45.6708,21917.5378,154.7288,3.4356
2014-03-20,45.4862,21828.9225,154.1032,3.4217
2014-03-21,47.1686,22636.307,159.803,3.5482
2014-03-24,46.6967,22409.8455,158.2043,3.5127
2014-03-25,46.1222,22134.1532,156.258,3.4695
2014-03-26,45.8349,21996.3071,155.2849,3.4479
2014-03-27,45.6093,21887.9994,154.5203,3.4309
2014-03-28,45.6503,21907.6917,154.6593,3.434
2014-03-31,45.6298,21897.8455,80.3887,3.3016
2014-04-01,46.2658,22203.0763,81.5092,3.3476
2014-04-02,46.1017,22124.3071,81.2201,3.3357
2014-04-03,45.1784,21681.2301,79.5935,3.2689
2014-04-04,44.2962,21257.8455,78.0392,3.2051
2014-04-07,43.8448,21041.2302,77.244,3.1724
2014-04-08,43.8243,21031.384,77.2079,3.1709
2014-04-09,44.132,21179.0763,77.7501,3.1932
2014-04-10,43.455,20854.1532,76.5572,3.1442
2014-04-11,43.5986,20923.0763,76.8103,3.1546
2014-04-14,43.8038,21021.5379,77.1717,3.1694
2014-04-15,43.8653,21051.0763,77.2802,3.1739
2014-04-16,44.3167,21267.6917,78.0754,3.2066
2014-04-17,44.6655,21435.0763,78.6898,3.2318
2014-04-21,44.0295,21129.8455,77.5693,3.1858
2014-04-22,44.132,21179.0763,77.7501,3.1932
2014-04-23,44.091,21159.384,77.6778,3.1902
2014-04-24,44.1115,21169.2302,77.7139,3.1917
2014-04-25,43.7627,21001.8456,77.0994,3.1665
2014-04-28,43.8448,21041.2302,77.244,3.1724
2014-04-29,43.2703,20765.5379,76.2319,3.1308
2014-04-30,44.7886,21494.1532,78.9067,3.2407
2014-05-01,45.3015,21740.3071,79.8104,3.2778
2014-05-02,45.24,21710.7686,79.7019,3.2734
2014-05-05,45.4656,21819.0763,80.0995,3.2897
2014-05-06,45.4656,21819.0763,80.0995,3.2897
2014-05-07,46.4915,22311.384,81.9068,3.3639
2014-05-08,46.4505,22291.6917,81.8346,3.3609
2014-05-09,47.3327,22715.0763,83.3888,3.4248
2014-05-12,47.148,22626.4609,83.0635,3.4114
2014-05-13,47.1891,22646.1532,83.1358,3.4144
2014-05-14,46.2658,22203.0763,81.5092,3.3476
2014-05-15,44.9322,21563.0763,79.1597,3.2511
2014-05-16,44.8706,21533.5378,79.0513,3.2466
2014-05-19,44.9527,21572.9225,79.1959,3.2526
2014-05-20,43.9269,21080.6148,77.3886,3.1784
2014-05-21,44.8296,21513.8455,78.979,3.2437
2014-05-22,45.1169,21651.6917,79.4851,3.2645
2014-05-23,45.24,21710.7686,79.7019,3.2734
2014-05-27,45.6298,21897.8455,80.3887,3.3016
2014-05-28,45.1579,21671.384,79.5574,3.2674
2014-05-29,45.5067,21838.7686,80.1718,3.2927
2014-05-30,46.4094,22271.9994,81.7623,3.358
2014-06-02,46.7377,22429.5378,82.3406,3.3817
2014-06-03,46.5941,22360.6147,82.0876,3.3713
2014-06-04,46.7172,22419.6917,82.3044,3.3802
2014-06-05,47.2301,22665.8455,83.2081,3.4174
2014-06-06,47.7635,22921.8455,84.1479,3.456
2014-06-09,47.7841,22931.6917,84.184,3.4574
2014-06-10,48.0713,23069.5378,84.6901,3.4782
2014-06-11,46.7992,22459.0763,82.449,3.3862
2014-06-12,46.1222,22134.1532,81.2562,3.3372
2014-06-13,45.7324,21947.0763,80.5694,3.309
2014-06-16,45.5682,21868.3071,80.2803,3.2971
2014-06-17,45.8349,21996.3071,80.7502,3.3164
2014-06-18,45.8555,22006.1532,80.7863,3.3179
2014-06-19,45.8144,21986.4609,80.714,3.3149
2014-06-20,45.6708,21917.5378,80.461,3.3045
2014-06-23,45.8349,21996.3071,80.7502,3.3164
2014-06-24,46.1632,22153.8455,81.3285,3.3402
2014-06-25,47.107,22606.7686,82.9912,3.4085
2014-06-26,46.9018,22508.307,82.6298,3.3936
2014-06-27,46.7992,22459.0763,82.449,3.3862
2014-06-30,47.8046,22941.5378,69.7317,3.2457
2014-07-01,48.4816,23266.4609,70.7193,3.2917
2014-07-02,48.9535,23492.9224,71.4077,3.3237
2014-07-03,50.8821,24418.4608,74.2209,3.4547
