Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,85.9848,70871.6409,16.22,3.8584
2014-01-03,86.1752,71028.5755,16.2559,3.867
2014-01-06,86.0895,70957.9549,16.2398,3.8631
2014-01-07,86.4417,71248.2838,16.3062,3.8789
2014-01-08,86.099,70965.8017,16.2416,3.8635
2014-01-09,86.1276,70989.3418,16.247,3.8648
2014-01-10,85.8325,70746.0933,16.1913,3.8516
2014-01-13,84.6044,69733.8655,15.9596,3.7965
2014-01-14,85.0994,70141.8953,16.053,3.8187
2014-01-15,85.5945,70549.9251,16.1464,3.8409
2014-01-16,85.7277,70659.7793,16.1715,3.8469
2014-01-17,85.6325,70581.312,16.1536,3.8426
2014-01-21,86.2418,71083.5026,16.2685,3.8699
2014-01-22,86.7178,71475.8389,16.3583,3.8913
2014-01-23,85.4897,70463.6111,16.1266,3.8362
2014-01-24,84.2236,69419.9964,15.8878,3.7794
2014-01-27,85.9562,70848.1007,16.2146,3.8571
2014-01-28,86.1085,70973.6484,16.2434,3.864
2014-01-29,85.4326,70416.5307,16.1159,3.8336
2014-01-30,87.2985,71954.4893,16.4679,3.9174
2014-01-31,86.8511,71585.6931,16.3834,3.8973
2014-02-03,84.4901,69639.7047,15.9381,3.7913
2014-02-04,85.4517,70432.2242,16.1195,3.8345
2014-02-05,85.2898,70298.8298,16.0889,3.8272
2014-02-06,86.7654,71515.0726,16.3673,3.8934
2014-02-07,88.6885,73100.1115,16.73,3.9797
2014-02-10,88.3933,72856.8629,16.6744,3.9665
2014-02-11,89.6405,73884.7842,16.9096,4.0225
2014-02-12,89.7642,73986.7917,16.933,4.028
2014-02-13,89.9927,74175.1131,16.9761,4.0383
2014-02-14,90.0689,74186.6899,16.9904,4.0417
2014-02-18,89.8213,73982.8157,16.9437,4.0306
2014-02-19,88.4885,72885.0315,16.6923,3.9708
2014-02-20,89.0693,73363.3517,16.8019,3.9968
2014-02-21,89.4215,73653.4804,16.8683,4.0126
2014-02-24,89.2597,73520.178,16.8378,4.0054
2014-02-25,89.3644,73606.4325,16.8575,4.0101
2014-02-26,89.3549,73598.5912,16.8558,4.0096
2014-02-27,89.8404,73998.4983,16.9473,4.0314
2014-02-28,89.907,74053.3875,16.9599,4.0344
2014-03-03,89.0978,73386.8757,16.8073,3.9981
2014-03-04,90.0593,74178.8486,16.9886,4.0413
2014-03-05,90.1165,74225.8965,16.9994,4.0438
2014-03-06,90.2021,74296.4683,17.0156,4.0477
2014-03-07,90.859,74837.5191,17.1395,4.0771
2014-03-10,90.6781,74688.5341,17.1054,4.069
2014-03-11,89.5929,73794.6241,16.9006,4.0203
2014-03-12,89.3453,73590.7499,16.854,4.0092
2014-03-13,88.3933,72608.0766,16.6744,3.9665
2014-03-14,87.5937,71951.2023,16.5235,3.9306
2014-03-17,88.9169,73038.1729,16.7731,3.99
2014-03-18,89.2501,73311.8706,16.836,4.0049
2014-03-19,88.4314,72639.3563,16.6816,3.9682
2014-03-20,88.4885,72686.2759,16.6923,3.9708
2014-03-21,88.5266,72717.5557,16.6995,3.9725
2014-03-24,87.5556,71919.9225,16.5163,3.9289
2014-03-25,88.003,72287.4594,16.6007,3.949
2014-03-26,86.4798,71036.2701,16.3134,3.8806
2014-03-27,85.9657,70613.9937,16.2164,3.8576
2014-03-28,86.5274,71075.3698,16.3224,3.8828
2014-03-31,88.3077,72537.6972,16.5223,3.8576
2014-04-01,88.7837,72928.6939,16.6114,3.8784
2014-04-02,89.3739,73413.5297,16.7218,3.9042
2014-04-03,89.7547,73726.327,16.7931,3.9208
2014-04-04,88.8503,72983.4334,16.6239,3.8813
2014-04-07,87.4889,71865.183,16.3691,3.8219
2014-04-08,87.5556,71919.9225,16.3816,3.8248
2014-04-09,88.7361,72889.5942,16.6025,3.8763
2014-04-10,86.9558,71427.2668,16.2694,3.7986
2014-04-11,86.0609,70692.1931,16.102,3.7595
2014-04-14,86.556,71098.8296,16.1946,3.7811
2014-04-15,87.3081,71716.6043,16.3353,3.814
2014-04-16,88.8217,72959.9736,16.6185,3.8801
2014-04-17,88.6313,72908.4943,16.5829,3.8718
2014-04-21,88.7075,72971.1439,16.5971,3.8751
2014-04-22,88.8598,73096.4431,16.6256,3.8817
2014-04-23,89.5167,73636.7961,16.7485,3.9104
2014-04-24,89.1359,73323.548,16.6773,3.8938
2014-04-25,88.2029,72556.0902,16.5027,3.853
2014-04-28,88.0221,72407.2973,16.4689,3.8451
2014-04-29,88.0316,72415.1285,16.4707,3.8456
2014-04-30,88.4409,72751.8702,16.5473,3.8634
2014-05-01,87.8126,72235.0109,16.4297,3.836
2014-05-02,87.9364,72336.8165,16.4529,3.8414
2014-05-05,88.1649,72524.7654,16.4956,3.8514
2014-05-06,87.1843,71718.1515,16.3121,3.8085
2014-05-07,88.46,72767.5326,16.5508,3.8643
2014-05-08,88.4981,72798.8574,16.5579,3.8659
2014-05-09,88.3457,72673.5582,16.5295,3.8593
2014-05-12,89.8594,73918.7194,16.8127,3.9254
2014-05-13,89.6976,73785.5889,16.7824,3.9183
2014-05-14,88.2886,72626.571,16.5188,3.8568
2014-05-15,86.7845,71389.241,16.2373,3.7911
2014-05-16,86.8225,71420.5658,16.2445,3.7927
2014-05-19,87.4794,71960.9188,16.3674,3.8214
2014-05-20,86.0229,70762.7448,16.0948,3.7578
2014-05-21,86.8797,71467.553,16.2551,3.7952
2014-05-22,87.0605,71616.3459,16.289,3.8031
2014-05-23,87.5556,72023.5684,16.3816,3.8248
2014-05-27,87.9269,72328.9853,16.4511,3.841
2014-05-28,88.0697,72446.4533,16.4778,3.8472
2014-05-29,88.3743,72697.0518,16.5348,3.8605
2014-05-30,88.6789,72947.6503,16.5918,3.8738
2014-06-02,88.9265,73151.2615,16.6381,3.8846
2014-06-03,88.7837,73033.7935,16.6114,3.8784
2014-06-04,89.3453,73495.8345,16.7165,3.9029
2014-06-05,90.3925,74357.2667,16.9124,3.9487
2014-06-06,90.6305,74553.0468,16.9569,3.9591
2014-06-09,91.2113,75030.7501,17.0656,3.9845
2014-06-10,90.7638,74662.6836,16.9819,3.9649
2014-06-11,90.3545,74325.9419,16.9053,3.947
2014-06-12,89.1645,73347.0416,16.6826,3.895
2014-06-13,89.2692,73433.1848,16.7022,3.8996
2014-06-16,89.2977,73456.6784,16.7076,3.9009
2014-06-17,89.7737,73848.2386,16.7966,3.9217
2014-06-18,89.669,73762.0953,16.777,3.9171
2014-06-19,89.907,73957.8754,16.8216,3.9275
2014-06-20,90.2688,74255.4611,16.8893,3.9433
2014-06-23,89.7452,73824.745,16.7913,3.9204
2014-06-24,88.5552,72845.8447,16.5686,3.8684
2014-06-25,88.7361,72994.6375,16.6025,3.8763
2014-06-26,88.5933,72877.1695,16.5758,3.8701
2014-06-27,88.7837,73033.7935,16.6114,3.8784
2014-06-30,88.4885,72791.0262,16.3835,3.7038
2014-07-01,90.0498,74075.3434,16.6725,3.7691
2014-07-02,89.7547,73832.5762,16.6179,3.7568
2014-07-03,90.3259,74302.4483,16.7236,3.7807
2014-07-07,89.8499,73910.8882,16.6355,3.7608
2014-07-08,89.6881,73777.7577,16.6055,3.754
2014-07-09,90.0022,74036.1874,16.6637,3.7672
2014-07-10,89.7547,73832.5762,16.6179,3.7568
2014-07-11,90.3449,74318.1107,16.7272,3.7815
2014-07-14,91.1446,74975.9317,16.8752,3.815
2014-07-15,91.3541,75148.2182,16.914,3.8237
2014-07-16,91.7634,75484.9599,16.9898,3.8409
2014-07-17,90.602,74529.5532,16.7748,3.7923
2014-07-18,92.1728,75765.8811,17.0656,3.858
2014-07-21,92.6678,76172.8039,17.1572,3.8787
2014-07-22,92.525,76055.4223,17.1308,3.8727
2014-07-23,91.9634,75593.7215,17.0268,3.8492
2014-07-24,91.4017,75132.0207,16.9228,3.8257
2014-07-25,91.1637,74936.3848,16.8787,3.8158
2014-07-28,90.602,74474.684,16.7748,3.7923
2014-07-29,89.2787,73386.9483,16.5298,3.7369
2014-07-30,89.5548,73613.886,16.5809,3.7484
2014-07-31,87.4223,71860.9881,16.186,3.6592
2014-08-01,87.1748,71657.5267,16.1402,3.6488
2014-08-04,86.9749,71493.1925,16.1032,3.6404
2014-08-05,86.8606,71399.2873,16.082,3.6357
2014-08-06,86.2133,70867.1576,15.9622,3.6086
2014-08-07,86.5941,71180.1751,16.0327,3.6245
2014-08-08,88.2601,72549.6265,16.3412,3.6942
2014-08-11,88.6885,72901.7712,16.4205,3.7122
2014-08-12,88.4505,72706.1353,16.3764,3.7022
2014-08-13,89.7452,73770.3947,16.6161,3.7564
2014-08-14,89.8594,73864.3,16.6373,3.7612
2014-08-15,89.7071,73739.093,16.6091,3.7548
