Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,44.483,9743.5787,18.0826,2.735
2014-01-03,44.648,9779.6374,18.1495,2.7451
2014-01-06,44.546,9757.3153,18.1081,2.7389
2014-01-07,45.2,9900.6916,18.3742,2.7791
2014-01-08,45.961,10067.2485,18.6833,2.8259
2014-01-09,46.067,10090.4291,18.7263,2.8324
2014-01-10,45.545,9976.2432,18.5144,2.8003
2014-01-13,44.805,9813.979,18.2132,2.7548
2014-01-14,45.228,9906.7014,18.3853,2.7808
2014-01-15,45.389,9941.9016,18.4506,2.7907
2014-01-16,45.381,9940.1845,18.4474,2.7902
2014-01-17,45.53,9972.8091,18.508,2.7993
2014-01-21,45.886,10050.9363,18.653,2.8213
2014-01-22,46.196,10118.761,18.7789,2.8403
2014-01-23,45.8,10032.0484,18.6179,2.816
2014-01-24,45.059,9869.7842,18.3168,2.7704
2014-01-27,44.268,9696.359,17.9949,2.7217
2014-01-28,44.746,9801.1009,18.1893,2.7511
2014-01-29,44.675,9785.6472,18.1607,2.7468
2014-01-30,45.099,9878.3696,18.3327,2.7728
2014-01-31,45.032,9863.7744,18.3056,2.7687
2014-02-03,43.198,9461.9773,17.56,2.656
2014-02-04,43.256,9474.8554,17.5839,2.6596
2014-02-05,43.531,9534.9533,17.6954,2.6764
2014-02-06,43.711,9574.4462,17.7687,2.6875
2014-02-07,44.436,9733.2762,18.0635,2.7321
2014-02-10,45.012,9859.4817,18.2977,2.7675
2014-02-11,44.852,9776.9021,18.2324,2.7577
2014-02-12,45.079,9826.4573,18.3248,2.7716
2014-02-13,45.918,10009.299,18.6657,2.8232
2014-02-14,45.871,9999.0462,18.6466,2.8203
2014-02-18,46.169,10063.9806,18.7677,2.8386
2014-02-19,45.804,9984.5214,18.6195,2.8162
2014-02-20,46.251,10081.923,18.8012,2.8437
2014-02-21,46.529,10142.5854,18.9143,2.8608
2014-02-24,46.87,10216.9182,19.0529,2.8818
2014-02-25,46.702,10180.179,18.9844,2.8714
2014-02-26,46.494,10134.8958,18.9,2.8586
2014-02-27,46.541,10145.1486,18.9191,2.8615
2014-02-28,46.659,10170.7806,18.9669,2.8687
2014-03-03,45.941,10014.4254,18.6753,2.8246
2014-03-04,46.772,10195.5582,19.0131,2.8757
2014-03-05,46.78,10197.267,19.0163,2.8762
2014-03-06,46.941,10232.2974,19.0816,2.8861
2014-03-07,46.945,10233.1518,19.0832,2.8863
2014-03-10,47.101,10267.3278,19.1469,2.896
2014-03-11,46.874,10217.7726,19.0545,2.882
2014-03-12,46.666,10172.4894,18.9701,2.8692
2014-03-13,46.439,10122.9342,18.8776,2.8553
2014-03-14,46.408,10116.099,18.8649,2.8533
2014-03-17,46.635,10165.6542,18.9573,2.8673
2014-03-18,46.717,10183.5966,18.9908,2.8724
2014-03-19,46.431,10121.2254,18.8745,2.8548
2014-03-20,46.502,10136.6046,18.9031,2.8591
2014-03-21,45.929,10011.8622,18.6705,2.8239
2014-03-24,45.522,9923.0045,18.5048,2.7989
2014-03-25,45.443,9905.9165,18.4729,2.794
2014-03-26,45.702,9962.307,18.5781,2.8099
2014-03-27,45.51,9920.4413,18.5,2.7981
2014-03-28,46.157,10061.4174,18.2078,2.8046
2014-03-31,46.788,10198.9758,18.4567,2.843
2014-04-01,47.003,10245.9678,18.5418,2.8561
2014-04-02,46.933,10230.5886,18.514,2.8518
2014-04-03,46.913,10226.3166,18.5062,2.8506
2014-04-04,45.655,9952.0542,18.0099,2.7741
2014-04-07,44.663,9735.8909,17.6187,2.7139
2014-04-08,45.177,9847.8173,17.8213,2.7451
2014-04-09,45.777,9978.5406,18.0578,2.7815
2014-04-10,44.695,9742.7261,17.6311,2.7158
2014-04-11,44.068,9606.022,17.3837,2.6777
2014-04-14,44.417,9691.9171,17.5213,2.6989
2014-04-15,44.444,9697.904,17.5321,2.7005
2014-04-16,44.487,9707.312,17.5491,2.7032
2014-04-17,44.632,9738.9569,17.6063,2.712
2014-04-21,44.754,9765.4703,17.6543,2.7193
2014-04-22,44.879,9792.8389,17.7038,2.727
2014-04-23,44.875,9791.9837,17.7022,2.7267
2014-04-24,44.554,9721.8515,17.5754,2.7072
2014-04-25,44.503,9710.733,17.5553,2.7041
2014-04-28,44.605,9732.97,17.5955,2.7103
2014-04-29,44.605,9732.97,17.5955,2.7103
2014-04-30,44.773,9769.7466,17.662,2.7205
2014-05-01,44.793,9774.023,17.6697,2.7217
2014-05-02,44.66,9744.9438,17.6172,2.7136
2014-05-05,45.146,9850.9973,17.8089,2.7432
2014-05-06,44.534,9699.1095,17.5677,2.706
2014-05-07,44.358,9660.6955,17.4981,2.6953
2014-05-08,44.448,9680.3293,17.5337,2.7008
2014-05-09,45.153,9833.9854,17.812,2.7436
2014-05-12,45.557,9921.9107,17.9712,2.7682
2014-05-13,45.263,9857.8874,17.8553,2.7503
2014-05-14,44.871,9772.5229,17.7007,2.7265
2014-05-15,44.761,9748.6209,17.6574,2.7198
2014-05-16,45.24,9852.7655,17.846,2.7489
2014-05-19,45.483,9905.6915,17.9419,2.7636
2014-05-20,45.197,9843.3754,17.829,2.7463
2014-05-21,45.565,9923.618,17.9743,2.7686
2014-05-22,45.526,9915.0816,17.9589,2.7663
2014-05-23,45.781,9970.5685,18.0594,2.7817
2014-05-27,46.302,10084.1032,18.265,2.8134
2014-05-28,46.314,10086.6641,18.2697,2.8141
2014-05-29,46.619,10153.2484,18.3903,2.8327
2014-05-30,46.898,10213.8572,18.5,2.8496
2014-06-02,46.917,10218.1254,18.5078,2.8508
2014-06-03,47.223,10284.7097,18.6284,2.8694
2014-06-04,46.811,10195.077,18.466,2.8444
2014-06-05,46.713,10173.7359,18.4274,2.8384
2014-06-06,46.89,10212.1499,18.4969,2.8491
2014-06-09,47.027,10242.0275,18.5511,2.8575
2014-06-10,46.858,10205.3207,18.4846,2.8472
2014-06-11,46.561,10140.4437,18.3671,2.8291
2014-06-12,46.306,10084.9569,18.2666,2.8137
2014-06-13,46.282,10079.835,18.2573,2.8122
2014-06-16,46.157,10052.5184,18.2078,2.8046
2014-06-17,46.384,10102.0297,18.2975,2.8184
2014-06-18,46.682,10166.9067,18.415,2.8365
2014-06-19,46.674,10165.1994,18.4119,2.836
2014-06-20,46.858,10205.3207,18.4846,2.8472
2014-06-23,47.054,10248.003,18.5619,2.8592
2014-06-24,47.035,10243.7347,18.5542,2.858
2014-06-25,47.137,10265.9295,18.5944,2.8642
2014-06-26,47.0,10236.0519,18.5402,2.8558
2014-06-27,46.588,10146.4193,17.953,2.7789
2014-06-30,46.508,10128.9195,17.922,2.7741
2014-07-01,46.996,10235.1983,18.1101,2.8032
2014-07-02,46.76,10183.9796,18.0194,2.7892
2014-07-03,46.905,10215.5645,18.0753,2.7979
2014-07-07,46.776,10187.3942,18.0255,2.7902
2014-07-08,46.623,10154.1021,17.9666,2.781
2014-07-09,46.631,10155.8094,17.9696,2.7815
2014-07-10,46.474,10121.6636,17.9092,2.7721
2014-07-11,46.506,10128.4927,17.9212,2.774
2014-07-14,46.482,10123.3709,17.9122,2.7726
2014-07-15,46.47,10120.8099,17.9077,2.7719
2014-07-16,46.851,10203.6134,18.0542,2.7946
2014-07-17,46.447,10115.6881,17.8986,2.7705
2014-07-18,46.913,10217.2718,18.0783,2.7983
2014-07-21,46.286,10080.6886,17.8367,2.7609
