Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,177.2116,201458.5613,10.7964,8.1981
2014-01-03,178.2718,202663.8596,10.8609,8.2471
2014-01-06,177.6605,201968.9128,10.8237,8.2188
2014-01-07,181.2042,205997.4326,11.0396,8.3828
2014-01-08,179.5422,204108.046,10.9383,8.3059
2014-01-09,178.9786,203467.3919,10.904,8.2798
2014-01-10,178.864,203337.0893,10.897,8.2745
2014-01-13,175.903,199970.9408,10.7166,8.1375
2014-01-14,177.5841,201882.0445,10.819,8.2153
2014-01-15,179.3225,203858.2994,10.925,8.2957
2014-01-16,180.2968,204965.8709,10.9843,8.3408
2014-01-17,181.5671,206410.0572,11.0617,8.3996
2014-01-21,179.9816,204607.539,10.9651,8.3262
2014-01-22,174.0786,197896.959,10.6055,8.0531
2014-01-23,174.5371,198418.1691,10.6334,8.0743
2014-01-24,171.5857,195062.879,10.4536,7.9378
2014-01-27,169.9237,193173.4924,10.3524,7.8609
2014-01-28,168.9208,192033.3454,10.2912,7.8145
2014-01-29,168.4909,191544.7109,10.2651,7.7946
2014-01-30,169.4079,192587.1311,10.3209,7.8371
2014-01-31,168.7584,191848.7501,10.2814,7.807
2014-02-03,165.1479,187744.2206,10.0614,7.64
2014-02-04,165.0905,187679.0693,10.0579,7.6373
2014-02-05,166.4278,189199.2654,10.1394,7.6992
2014-02-06,166.8385,189666.1828,10.1644,7.7182
2014-02-07,169.3028,192467.6871,10.3145,7.8322
2014-02-10,169.1978,192348.2431,10.3081,7.8273
2014-02-11,171.643,195128.0303,10.4571,7.9405
2014-02-12,172.1588,195714.3917,10.4885,7.9643
2014-02-13,173.687,197451.7587,10.5816,8.035
2014-02-14,175.4541,199460.5892,10.6893,8.1168
2014-02-18,174.9765,198917.6621,10.6602,8.0947
2014-02-19,174.7473,198657.057,10.6462,8.0841
2014-02-20,175.9985,200079.5262,10.7225,8.1419
2014-02-21,174.5944,198483.3203,10.6369,8.077
2014-02-24,175.2248,199199.9842,10.6753,8.1062
2014-02-25,175.0147,190804.8561,10.6625,8.0964
2014-02-26,175.8075,191669.1689,10.7108,8.1331
2014-02-27,176.9632,192929.1912,10.7812,8.1866
2014-02-28,176.8677,192825.0571,10.7754,8.1822
2014-03-03,175.9985,191877.4371,10.7225,8.1419
