Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,72.63,5891.7081,23.3465,3.7491
2014-01-03,73.12,5931.4567,23.504,3.7744
2014-01-06,72.67,5894.9529,23.3594,3.7511
2014-01-07,73.03,5924.1559,23.4751,3.7697
2014-01-08,73.13,5932.2679,23.5072,3.7749
2014-01-09,73.34,5949.303,23.5747,3.7857
2014-01-10,73.84,5989.8627,23.7355,3.8115
2014-01-13,72.62,5890.8969,23.3433,3.7486
2014-01-14,73.77,5984.1843,23.713,3.8079
2014-01-15,74.35,6031.2336,23.8994,3.8379
2014-01-16,73.73,5980.9396,23.7001,3.8058
2014-01-17,73.44,5957.4149,23.6069,3.7909
2014-01-21,73.64,5973.6388,23.6712,3.8012
2014-01-22,73.75,5982.5619,23.7065,3.8069
2014-01-23,72.89,5912.7992,23.4301,3.7625
2014-01-24,69.6,5645.9161,22.3725,3.5927
2014-01-27,69.23,5615.9019,22.2536,3.5736
2014-01-28,69.52,5639.4265,22.3468,3.5885
2014-01-29,69.08,5603.734,22.2054,3.5658
2014-01-30,72.52,5882.785,23.3112,3.7434
2014-01-31,72.01,5841.414,23.1472,3.7171
2014-02-03,69.49,5636.9929,22.3372,3.587
2014-02-04,69.95,5674.3079,22.485,3.6107
2014-02-05,69.15,5609.4123,22.2279,3.5694
2014-02-06,70.12,5688.0982,22.5397,3.6195
2014-02-07,70.65,5731.0915,22.7101,3.6469
2014-02-10,70.52,5720.546,22.6683,3.6402
2014-02-11,71.45,5795.9871,22.9672,3.6882
2014-02-12,72.39,5872.2394,23.2694,3.7367
2014-02-13,72.73,5883.0675,23.3787,3.7542
2014-02-14,72.9,5896.8187,23.4333,3.763
2014-02-18,73.63,5955.8677,23.668,3.8007
2014-02-19,72.95,5900.8631,23.4494,3.7656
2014-02-20,73.27,5926.7476,23.5522,3.7821
2014-02-21,73.48,5943.7344,23.6197,3.7929
2014-02-24,73.56,5950.2055,23.6455,3.7971
2014-02-25,73.81,5970.4278,23.7258,3.81
2014-02-26,74.56,6031.0946,23.9669,3.8487
2014-02-27,74.84,6053.7436,24.0569,3.8631
2014-02-28,75.07,6072.3481,24.1308,3.875
2014-03-03,74.14,5994.3326,23.8319,3.827
2014-03-04,75.31,6088.9289,24.208,3.8874
2014-03-05,75.35,6092.1629,24.2209,3.8895
2014-03-06,75.31,6088.9289,24.208,3.8874
2014-03-07,75.53,6106.7162,24.2787,3.8988
2014-03-10,74.81,6048.5031,24.0473,3.8616
2014-03-11,74.23,6001.6092,23.8608,3.8317
2014-03-12,73.91,5975.7367,23.758,3.8151
2014-03-13,72.8,5885.9915,23.4012,3.7578
2014-03-14,73.04,5905.3959,23.4783,3.7702
2014-03-17,73.93,5977.3538,23.7644,3.8162
2014-03-18,73.81,5967.6516,23.7258,3.81
2014-03-19,73.23,5920.7577,23.5394,3.78
2014-03-20,73.45,5938.545,23.6101,3.7914
2014-03-21,73.53,5945.0131,23.6358,3.7955
2014-03-24,72.21,5838.2891,23.2115,3.7274
2014-03-25,72.55,5865.7786,23.3208,3.7449
2014-03-26,71.24,5759.8631,22.8997,3.6773
2014-03-27,71.23,5759.0546,22.8965,3.6768
2014-03-28,71.47,5778.459,22.9736,3.6892
2014-03-31,72.89,5893.2682,22.2474,3.6366
2014-04-01,73.64,5953.9068,22.4763,3.674
2014-04-02,73.97,5980.5878,22.577,3.6905
2014-04-03,73.75,5962.8005,22.5099,3.6795
2014-04-04,72.93,5896.5022,22.2596,3.6386
2014-04-07,70.87,5729.9481,21.6308,3.5358
2014-04-08,71.07,5746.1184,21.6919,3.5458
2014-04-09,71.72,5798.6719,21.8903,3.5783
2014-04-10,70.53,5702.4586,21.5271,3.5189
2014-04-11,69.66,5632.1177,21.2615,3.4755
2014-04-14,69.49,5618.373,21.2096,3.467
2014-04-15,70.24,5679.0116,21.4385,3.5044
2014-04-16,72.22,5839.0976,22.0429,3.6032
2014-04-17,73.16,5915.0981,22.3298,3.6501
2014-04-21,73.21,5919.1407,22.345,3.6526
2014-04-22,73.2,5918.3321,22.342,3.6521
2014-04-23,74.42,6016.971,22.7144,3.713
2014-04-24,73.89,5974.1197,22.5526,3.6865
2014-04-25,72.88,5892.4597,22.2443,3.6361
2014-04-28,73.15,5914.2896,22.3267,3.6496
2014-04-29,73.99,5964.9882,22.5831,3.6915
2014-04-30,74.57,6011.7471,22.7601,3.7204
2014-05-01,74.61,6014.9719,22.7724,3.7224
2014-05-02,74.63,6016.5843,22.7785,3.7234
2014-05-05,74.52,6007.7162,22.7449,3.718
2014-05-06,74.56,6010.9409,22.7571,3.72
2014-05-07,74.96,6043.1885,22.8792,3.7399
2014-05-08,74.78,6028.6771,22.8242,3.7309
2014-05-09,75.11,6055.2813,22.925,3.7474
2014-05-12,76.18,6141.5435,23.2515,3.8008
2014-05-13,75.64,6098.0093,23.0867,3.7738
2014-05-14,74.8,6030.2895,22.8303,3.7319
2014-05-15,73.98,5964.182,22.5801,3.691
2014-05-16,74.57,6011.7471,22.7601,3.7204
2014-05-19,75.07,6052.0565,22.9128,3.7454
2014-05-20,73.48,5923.8726,22.4275,3.6661
2014-05-21,74.33,5992.3986,22.6869,3.7085
2014-05-22,74.3,5989.98,22.6777,3.707
2014-05-23,75.42,6080.2731,23.0196,3.7629
2014-05-27,76.28,6149.6054,23.2821,3.8058
2014-05-28,76.31,6152.0239,23.2912,3.8073
