Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,51.23,8254.1547,,
2014-01-03,51.99,8376.6055,,
2014-01-06,52.31,8428.1638,,
2014-01-07,51.96,8371.772,,
2014-01-08,54.74,8819.6843,,
2014-01-09,56.17,9050.0853,,
2014-01-10,59.97,9662.3396,,
2014-01-13,59.11,9523.7768,,
2014-01-14,63.46,10224.6468,,
2014-01-15,62.42,10057.0825,,
2014-01-16,63.48,10227.8692,,
2014-01-17,61.87,9968.4667,,
2014-01-21,64.55,10400.2671,,
2014-01-22,64.86,10450.2142,,
2014-01-23,65.6,10569.4427,,
2014-01-24,63.94,10301.9842,,
2014-01-27,62.5,10069.972,,
2014-01-28,65.32,10524.3292,,
2014-01-29,65.24,10511.4396,,
2014-01-30,66.45,10706.3943,,
2014-01-31,65.52,10556.5531,,
2014-02-03,63.0,10150.5318,,
2014-02-04,62.93,10139.2534,,
2014-02-05,62.26,10031.3033,,
2014-02-06,62.58,10082.8616,,
2014-02-07,65.89,10616.1673,,
2014-02-10,66.13,10654.836,,
2014-02-11,66.0,10633.8905,,
2014-02-12,68.83,11089.8588,,
2014-02-13,66.14,10656.4472,,
2014-02-14,64.17,10339.0417,,
2014-02-18,65.5,10553.3307,,
2014-02-19,61.65,9933.0204,,
2014-02-20,63.92,10298.7618,,
2014-02-21,64.98,10756.5706,,
2014-02-24,67.03,11095.9207,,
2014-02-25,68.37,11317.7398,,
2014-02-26,67.26,11133.9942,,
2014-02-27,65.91,10910.5197,,
2014-02-28,64.26,10637.3843,,
2014-03-03,63.75,10552.9606,,
2014-03-04,66.46,11001.5649,,
2014-03-05,66.54,11014.8078,,
2014-03-06,65.61,10860.8587,,
2014-03-07,64.36,10653.9379,,
2014-03-10,63.3,10478.4691,,
2014-03-11,65.49,10840.9943,,
2014-03-12,65.35,10817.8192,,
2014-03-13,62.43,10334.4522,,
2014-03-14,61.42,10167.2602,,
2014-03-17,62.22,10299.6895,,
2014-03-18,64.94,10749.9492,,
2014-03-19,64.84,10733.3955,,
2014-03-20,63.8,10561.2374,,
2014-03-21,59.41,9834.5316,,
2014-03-24,55.7,9220.3906,,
2014-03-25,53.57,8867.7976,,
2014-03-26,51.75,8566.5209,,
2014-03-27,51.94,8597.9729,,
2014-03-28,49.94,8266.8996,,
2014-03-31,53.52,8859.5208,,
2014-04-01,54.76,9064.7862,,
2014-04-02,54.46,9015.1252,,
2014-04-03,51.42,8511.8938,,
2014-04-04,50.5,8359.6001,,
2014-04-07,50.15,8301.6623,,
2014-04-08,49.05,8119.572,,
2014-04-09,52.01,8609.5605,,
2014-04-10,47.13,7801.7417,,
2014-04-11,46.25,7656.0694,,
2014-04-14,44.32,7336.5837,,
2014-04-15,43.1,7134.629,,
2014-04-16,43.98,7280.3013,,
2014-04-17,44.54,7373.0018,,
2014-04-21,47.45,7854.7134,,
2014-04-22,49.32,8164.2669,,
2014-04-23,46.96,7867.9869,,
2014-04-24,47.3,7924.9528,,
2014-04-25,45.41,7608.2897,,
2014-04-28,45.08,7552.9994,,
2014-04-29,48.61,8144.4388,,
2014-04-30,48.56,8136.0614,,
2014-05-01,50.05,8389.7794,,
2014-05-02,51.61,8651.279,,
2014-05-05,53.48,8964.7433,,
2014-05-06,53.38,8947.9805,,
2014-05-07,51.99,8714.9777,,
2014-05-08,50.38,8445.0966,,
2014-05-09,52.08,8730.0642,,
2014-05-12,54.39,9117.2848,,
2014-05-13,54.16,9078.7303,,
2014-05-14,55.9,9370.403,,
2014-05-15,50.95,8540.6446,,
2014-05-16,49.5901,8312.6915,,
2014-05-19,49.9,8364.6352,,
2014-05-20,48.68,8160.1291,,
2014-05-21,47.01,7880.1904,,
2014-05-22,48.03,8051.1709,,
2014-05-23,47.09,7893.6006,,
2014-05-27,49.19,8245.6194,,
2014-05-28,49.01,8215.4463,,
2014-05-29,49.5,8297.584,,
2014-05-30,49.55,8305.9654,,
2014-06-02,48.89,8195.331,,
2014-06-03,50.98,8545.6734,,
2014-06-04,52.49,8798.7916,,
2014-06-05,52.98,8880.9293,,
2014-06-06,52.16,8743.4744,,
2014-06-09,53.68,8998.2689,,
2014-06-10,54.62,9155.8392,,
2014-06-11,53.82,9021.7368,,
2014-06-12,53.2,8917.8075,,
2014-06-13,53.81,9020.0605,,
2014-06-16,54.67,9164.2206,,
2014-06-17,55.28,9266.4736,,
2014-06-18,56.21,9422.3676,,
2014-06-19,55.91,9372.0793,,
2014-06-20,56.39,9452.5407,,
2014-06-23,56.13,9408.9574,,
2014-06-24,55.77,9348.6113,,
2014-06-25,56.22,9424.0439,,
2014-06-26,55.99,9385.4895,,
2014-06-27,55.52,9306.7044,,
2014-06-30,56.44,9460.9221,,
2014-07-01,56.59,9486.0663,,
2014-07-02,55.78,9350.2876,,
2014-07-03,55.62,9323.4671,,
2014-07-07,53.71,9003.2977,,
2014-07-08,51.72,8669.7181,,
2014-07-09,52.08,8730.0642,,
2014-07-10,50.92,8535.6157,,
2014-07-11,50.825,8519.6911,,
2014-07-14,50.88,8528.9106,,
2014-07-15,48.37,8108.1644,,
2014-07-16,47.05,7886.8955,,
2014-07-17,45.35,7601.928,,
2014-07-18,47.35,7937.1839,,
2014-07-21,47.95,8037.7607,,
2014-07-22,47.92,8032.7319,,
2014-07-23,48.98,8210.4175,,
2014-07-24,47.95,8037.7607,,
2014-07-25,47.3,7928.8025,,
2014-07-28,47.14,7901.982,,
2014-07-29,48.84,8186.9496,,
2014-07-30,49.37,8275.7924,,
2014-07-31,47.57,8011.3561,,
2014-08-01,46.93,7903.5724,,
2014-08-04,48.25,8125.8762,,
2014-08-05,47.5,7999.5672,,
2014-08-06,47.6,8016.4084,,
2014-08-07,47.27,7960.8325,,
2014-08-08,47.68,8029.8814,,
2014-08-11,48.44,8157.8744,,
2014-08-12,48.01,8085.4573,,
2014-08-13,49.79,8385.2306,,
2014-08-14,51.08,8602.482,,
2014-08-15,51.36,8649.6373,,
2014-08-18,51.68,8703.5291,,
2014-08-19,52.12,8777.6304,,
2014-08-20,51.66,8700.1609,,
2014-08-21,50.19,8452.5953,,
2014-08-22,50.65,8530.0648,,
2014-08-25,53.4,8993.1977,,
2014-08-26,55.18,9292.9709,,
2014-08-27,54.71,9213.8173,,
2014-08-28,53.94,9084.1401,,
2014-08-29,54.2,9127.9272,,
2014-09-02,53.12,8946.0423,,
2014-09-03,52.56,8851.7316,,
2014-09-04,51.93,8745.6321,,
2014-09-05,51.83,8728.7909,,
2014-09-08,52.59,8856.784,,
2014-09-09,50.71,8540.1696,,
2014-09-10,51.05,8597.4296,,
2014-09-11,50.15,8445.8589,,
2014-09-12,48.72,8205.0298,,
2014-09-15,47.63,8021.4608,,
2014-09-16,48.7,8201.6616,,
2014-09-17,48.26,8127.5603,,
2014-09-18,48.88,8231.9757,,
2014-09-19,49.32,8306.077,,
2014-09-22,47.41,7984.4101,,
2014-09-23,47.47,7994.5149,,
2014-09-24,49.33,8307.7611,,
2014-09-25,48.66,8194.9251,,
2014-09-26,49.7,8370.0735,,
2014-09-29,50.52,8508.1713,,
2014-09-30,49.05,8260.6057,,
2014-10-01,47.91,8068.6161,,
2014-10-02,46.63,7853.0488,,
2014-10-03,47.38,7979.3578,,
2014-10-06,47.7,8033.2496,,
2014-10-07,46.76,7874.9424,,
2014-10-08,48.01,8085.4573,,
2014-10-09,47.59,8014.7243,,
2014-10-10,46.1,7763.7905,,
2014-10-13,45.6,7679.5845,,
2014-10-14,46.54,7837.8918,,
2014-10-15,48.15,8109.035,,
2014-10-16,51.5,8673.215,,
2014-10-17,50.08,8434.07,,
2014-10-20,50.79,8553.6425,,
2014-10-21,52.44,8831.5222,,
2014-10-22,52.47,8836.5746,,
2014-10-23,54.95,9254.2362,,
2014-10-24,55.07,9274.4456,,
2014-10-27,57.46,9676.9502,,
2014-10-28,58.19,9799.8909,,
2014-10-29,57.87,9745.9991,,
2014-10-30,64.18,10842.6888,,
2014-10-31,67.06,11329.2414,,
2014-11-03,67.97,11482.9785,,
2014-11-04,67.76,11447.5007,,
2014-11-05,67.72,11440.743,,
2014-11-06,68.4,11555.6235,,
2014-11-07,69.32,11711.05,,
2014-11-10,70.96,11988.1147,,
2014-11-11,71.06,12005.0089,,
2014-11-12,71.87,12141.8518,,
2014-11-13,71.21,12030.3501,,
2014-11-14,69.54,11748.2172,,
2014-11-17,69.7,11775.2479,,
2014-11-18,69.64,11765.1114,,
2014-11-19,71.3,12045.5549,,
2014-11-20,71.61,12097.9269,,
2014-11-21,72.27,12209.4285,,
2014-11-24,75.54,12761.8684,,
2014-11-25,73.14,12356.4079,,
2014-11-26,75.01,12672.3292,,
2014-11-28,75.55,12763.5578,,
2014-12-01,74.2,12535.4863,,
2014-12-02,74.66,12613.1996,,
2014-12-03,74.66,12613.1996,,
2014-12-04,74.12,12521.971,,
2014-12-05,75.2,12704.4282,,
2014-12-08,77.225,13046.5354,,
2014-12-09,78.89,13327.8237,,
2014-12-10,77.0,13008.5235,,
2014-12-11,75.92,12826.0663,,
