Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,25.79,128202.09,13.9567,2.1989
2014-01-03,25.78,128152.38,13.9512,2.198
2014-01-06,25.46,126561.66,13.7781,2.1708
2014-01-07,25.585,127183.035,13.8457,2.1814
2014-01-08,25.43,126412.53,13.7618,2.1682
2014-01-09,25.31,125816.01,13.6969,2.158
2014-01-10,25.53,126909.63,13.816,2.1767
2014-01-13,25.5,126760.5,13.7997,2.1742
2014-01-14,26.51,131781.21,14.3463,2.2603
2014-01-15,26.67,132576.57,14.4329,2.2739
2014-01-16,26.54,131930.34,14.3625,2.2628
2014-01-17,25.85,128500.35,13.9891,2.204
2014-01-21,25.59,127207.89,13.8484,2.1818
2014-01-22,25.31,125816.01,13.6969,2.158
2014-01-23,25.13,124921.23,13.5995,2.1426
2014-01-24,24.81,123330.51,13.4263,2.1153
2014-01-27,24.72,122883.12,13.3776,2.1077
2014-01-28,24.9,123777.9,13.475,2.123
2014-01-29,24.68,122684.28,13.356,2.1043
2014-01-30,24.74,122982.54,13.3884,2.1094
2014-01-31,24.54,121988.34,13.2802,2.0923
2014-02-03,23.95,119055.45,12.9609,2.042
2014-02-04,23.82,118409.22,12.8906,2.0309
2014-02-05,23.52,116917.92,12.7282,2.0054
2014-02-06,23.99,119254.29,12.9826,2.0454
2014-02-07,24.205,120323.055,13.0989,2.0638
2014-02-10,24.29,120745.59,13.1449,2.071
2014-02-11,24.47,121640.37,13.2423,2.0864
2014-02-12,24.55,122038.05,13.2856,2.0932
2014-02-13,24.7,122783.7,13.3668,2.106
2014-02-14,24.755,123081.86,13.3965,2.1107
2014-02-18,24.76,123106.72,13.3993,2.1111
2014-02-19,24.5,121814.0,13.2586,2.0889
2014-02-20,24.74,123007.28,13.3884,2.1094
2014-02-21,24.42,121416.24,13.2153,2.0821
2014-02-24,24.63,122460.36,13.3289,2.1
2014-02-25,24.62,122410.64,13.3235,2.0991
2014-02-26,24.8,123305.6,13.4209,2.1145
2014-02-27,24.76,123106.72,13.3993,2.1111
2014-02-28,24.76,123106.72,13.3993,2.1111
2014-03-03,24.5,121814.0,13.2586,2.0889
2014-03-04,24.61,122360.92,13.3181,2.0983
2014-03-05,24.5,121814.0,13.2586,2.0889
2014-03-06,24.63,122460.36,13.3289,2.1
2014-03-07,24.64,122510.08,13.3343,2.1008
2014-03-10,24.84,123504.48,13.4425,2.1179
2014-03-11,24.73,122957.56,13.383,2.1085
2014-03-12,24.76,123106.72,13.3993,2.1111
2014-03-13,24.57,122162.04,13.2964,2.0949
2014-03-14,24.5,121814.0,13.2586,2.0889
2014-03-17,24.7,122808.4,13.3668,2.106
2014-03-18,24.82,123405.04,13.4317,2.1162
2014-03-19,25.02,124399.44,13.54,2.1332
