Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,75.94,21631.7343,27.2605,9.7212
2014-01-03,75.8,21591.8548,27.2102,9.7033
2014-01-06,75.74,21574.7637,27.1887,9.6956
2014-01-07,77.06,21950.7696,27.6625,9.8645
2014-01-08,76.44,21774.1607,27.44,9.7852
2014-01-09,76.63,21828.2828,27.5082,9.8095
2014-01-10,76.24,21717.1902,27.3682,9.7596
2014-01-13,75.01,21366.821,26.9266,9.6021
2014-01-14,76.06,21665.9166,27.3036,9.7365
2014-01-15,76.78,21871.0108,27.562,9.8287
2014-01-16,76.79,21873.8593,27.5656,9.83
2014-01-17,76.99,21930.8299,27.6374,9.8556
2014-01-21,76.18,21700.099,27.3466,9.7519
2014-01-22,75.57,21526.3387,27.1277,9.6738
2014-01-23,75.32,21455.1254,27.0379,9.6418
2014-01-24,73.24,20862.6313,26.2913,9.3755
2014-01-27,73.06,20811.3577,26.2266,9.3525
2014-01-28,73.48,20930.996,26.3774,9.4063
2014-01-29,73.18,20845.5401,26.2697,9.3679
2014-01-30,74.19,21133.2416,26.6323,9.4972
2014-01-31,73.25,20865.4798,29.9552,9.2919
2014-02-03,70.81,20170.4385,28.9574,8.9824
2014-02-04,70.91,20198.9238,28.9983,8.995
2014-02-05,70.75,20153.3474,28.9329,8.9747
2014-02-06,71.03,20233.1062,29.0474,9.0103
2014-02-07,71.45,20352.7444,29.2191,9.0635
2014-02-10,71.45,20352.7444,29.2191,9.0635
2014-02-11,72.72,20714.5077,29.7385,9.2246
2014-02-12,69.72,19859.9488,28.5116,8.8441
2014-02-13,70.72,20144.8018,28.9206,8.9709
2014-02-14,71.69,20421.1092,29.3173,9.094
2014-02-18,73.05,20808.5092,29.8734,9.2665
2014-02-19,73.42,20913.9048,30.0247,9.3134
2014-02-20,73.85,21036.3916,30.2006,9.368
2014-02-21,77.24,21883.1589,31.5869,9.798
2014-02-24,77.41,21931.3222,31.6564,9.8196
2014-02-25,77.33,21908.6571,31.6237,9.8094
2014-02-26,77.7,22013.4832,31.775,9.8564
2014-02-27,78.1,22126.8087,31.9386,9.9071
2014-02-28,78.15,22140.9744,31.959,9.9134
2014-03-03,77.87,22061.6466,31.8445,9.8779
2014-03-04,80.91,22922.9205,33.0877,10.2636
2014-03-05,80.63,22843.5927,32.9732,10.228
2014-03-06,80.73,22871.9241,33.0141,10.2407
2014-03-07,82.2,23288.3954,33.6153,10.4272
2014-03-10,81.82,23180.7361,33.4599,10.379
2014-03-11,81.27,23024.9135,33.235,10.3092
2014-03-12,80.93,22928.5868,33.0959,10.2661
2014-03-13,80.15,22707.6021,32.7769,10.1671
2014-03-14,79.91,22639.6067,32.6788,10.1367
2014-03-17,80.55,22820.9276,32.9405,10.2179
2014-03-18,80.66,22852.0921,32.9855,10.2318
2014-03-19,80.21,22724.6009,32.8015,10.1748
2014-03-20,80.69,22860.5915,32.9978,10.2356
2014-03-21,79.44,22506.4492,32.4866,10.0771
2014-03-24,78.81,22327.9615,32.229,9.9972
2014-03-25,78.67,22288.2976,32.1717,9.9794
2014-03-26,77.72,22019.1495,31.7832,9.8589
2014-03-27,77.58,21979.4856,31.7259,9.8411
2014-03-28,77.77,22033.3152,31.8036,9.8652
2014-03-31,77.73,22021.9826,31.7873,9.8602
2014-04-01,78.89,22350.6266,32.2617,10.0073
2014-04-02,78.97,22373.2918,32.2944,10.0175
2014-04-03,78.58,22262.7994,32.1349,9.968
2014-04-04,77.19,21868.9932,31.5665,9.7917
2014-04-07,74.792,21189.6066,30.5858,9.4875
2014-04-08,74.54,21118.2116,30.4828,9.4555
2014-04-09,75.11,21279.7004,30.7159,9.5278
2014-04-10,73.59,20849.0634,30.0943,9.335
2014-04-11,72.52,20545.9177,29.6567,9.1993
2014-04-14,73.38,20789.5675,30.0084,9.3084
2014-04-15,73.74,20891.5605,30.1556,9.354
2014-04-16,74.27,21041.7168,30.3723,9.4213
2014-04-17,74.03,20973.7215,30.2742,9.3908
2014-04-21,74.0,20965.2221,30.2619,9.387
2014-04-22,74.84,21203.2057,30.6054,9.4936
2014-04-23,74.39,21075.7145,30.4214,9.4365
2014-04-24,74.16,21010.5523,30.3274,9.4073
2014-04-25,75.34,21344.8626,30.8099,9.557
2014-04-28,74.69,21160.7086,30.5441,9.4745
2014-04-29,75.4,21361.8614,30.8344,9.5646
2014-04-30,75.75,21461.0213,26.0385,6.6501
2014-05-01,75.93,21512.0178,26.1004,6.6659
2014-05-02,75.29,21330.6969,25.8804,6.6097
2014-05-05,75.57,21410.0248,25.9767,6.6343
2014-05-06,74.67,21155.0424,25.6673,6.5553
2014-05-07,74.32,21055.8825,25.547,6.5245
2014-05-08,74.62,21140.8767,25.6501,6.5509
2014-05-09,74.92,21225.8708,25.7532,6.5772
2014-05-12,76.11,21563.0143,26.1623,6.6817
2014-05-13,75.69,21444.0224,26.0179,6.6448
2014-05-14,74.99,21245.7028,25.7773,6.5833
2014-05-15,74.08,20987.8872,25.4645,6.5035
2014-05-16,75.51,21393.026,25.956,6.629
2014-05-19,77.07,21834.9955,26.4923,6.766
2014-05-20,76.84,21769.8333,26.4132,6.7458
2014-05-21,77.47,21992.7207,26.6298,6.8011
2014-05-22,78.32,22234.0245,26.9219,6.8757
2014-05-23,79.59,22594.5609,27.3585,6.9872
2014-05-27,80.14,22750.6988,27.5476,7.0355
2014-05-28,79.08,22449.7786,27.1832,6.9424
2014-05-29,79.11,22458.2952,27.1935,6.945
2014-05-30,79.29,22509.3949,27.2554,6.9608
2014-06-02,79.43,22549.139,27.3035,6.9731
2014-06-03,79.39,22537.7836,27.2897,6.9696
2014-06-04,79.3,22512.2337,27.2588,6.9617
2014-06-05,79.36,22529.267,27.2794,6.967
2014-06-06,80.03,22719.4712,27.5097,7.0258
2014-06-09,79.84,22665.5327,27.4444,7.0091
2014-06-10,79.16,22472.4896,27.2107,6.9494
2014-06-11,79.17,22475.3284,27.2141,6.9503
2014-06-12,78.91,22401.5178,27.1248,6.9275
2014-06-13,78.99,22424.2288,27.1523,6.9345
2014-06-16,78.91,22401.5178,27.1248,6.9275
2014-06-17,78.84,22381.6457,27.1007,6.9213
2014-06-18,79.33,22520.7503,27.2691,6.9644
2014-06-19,79.29,22509.3949,27.2554,6.9608
2014-06-20,79.5,22569.0111,27.3276,6.9793
2014-06-23,79.67,22617.2719,27.386,6.9942
2014-06-24,80.55,22867.0924,27.6885,7.0715
2014-06-25,81.12,23028.908,27.8844,7.1215
2014-06-26,80.96,22983.486,27.8294,7.1075
2014-06-27,81.32,23085.6853,27.9532,7.1391
2014-06-30,80.53,22861.4147,27.6816,7.0697
2014-07-01,81.275,23072.9104,27.9377,7.1351
2014-07-02,81.3,23080.0076,27.9463,7.1373
2014-07-03,82.23,23344.0224,28.266,7.2189
2014-07-07,81.22,23057.2966,27.9188,7.1303
2014-07-08,81.15,23037.4246,27.8947,7.1241
2014-07-09,81.06,23011.8747,27.8638,7.1162
2014-07-10,80.42,22830.1871,27.6438,7.06
2014-07-11,80.45,22838.7037,27.6541,7.0627
2014-07-14,81.33,23088.5242,27.9566,7.1399
2014-07-15,81.17,23043.1023,27.9016,7.1259
2014-07-16,81.53,23145.3016,28.0254,7.1575
2014-07-17,80.78,22932.3864,27.7676,7.0917
2014-07-18,81.92,23256.0175,28.1594,7.1917
2014-07-21,81.43,23116.9129,27.991,7.1487
2014-07-22,82.13,23315.6338,28.2316,7.2102
2014-07-23,82.03,23287.2451,28.1972,7.2014
2014-07-24,82.59,23446.2217,28.3897,7.2506
2014-07-25,82.64,23460.4161,28.4069,7.2549
2014-07-28,82.85,23520.0323,28.4791,7.2734
2014-07-29,82.68,23471.7716,28.4207,7.2585
2014-07-30,83.29,23644.9426,28.6303,7.312
2014-07-31,81.97,23270.2118,28.1141,7.5885
2014-08-01,80.56,22869.9313,27.6305,7.458
2014-08-04,81.02,23000.5193,27.7883,7.5005
2014-08-05,80.45,22838.7037,27.5928,7.4478
