Date,Price,Market Cap,PE Ratio,PB Ratio
2017-01-31,20.0,,,
2017-02-01,20.0,6042.3352,,
2017-02-02,20.23,6345.4783,,
2017-02-03,20.63,6470.945,,
2017-02-06,20.73,6502.3117,,
2017-02-07,20.8,6524.2684,,
2017-02-08,20.84,6536.815,,
2017-02-09,20.88,6549.3617,,
2017-02-10,21.02,6593.275,,
2017-02-13,21.0,6587.0017,,
2017-02-14,21.03,6596.4117,,
2017-02-15,20.91,6558.7717,,
2017-02-16,20.96,6574.455,,
2017-02-17,21.15,6634.0517,,
2017-02-21,21.47,6734.4251,,
2017-02-22,21.57,6765.7918,,
2017-02-23,21.58,6768.9284,,
2017-02-24,21.6,6775.2018,,
2017-02-27,21.81,6841.0718,,
2017-02-28,21.79,6834.7984,,
2017-03-01,21.53,6753.2451,,
2017-03-02,21.72,6812.8418,,
2017-03-03,21.81,6841.0718,,
2017-03-06,21.92,6875.5751,,
2017-03-07,21.81,6841.0718,,
2017-03-08,21.55,6759.5184,,
2017-03-09,21.24,6662.2817,,
2017-03-10,21.4,6712.4684,,
2017-03-13,21.38,6706.1951,,
2017-03-14,21.25,6665.4184,,
2017-03-15,21.52,6750.1084,,
2017-03-16,21.48,6737.5617,,
2017-03-17,21.6,6775.2018,,
2017-03-20,21.54,6756.3818,,
2017-03-21,21.39,6709.3317,,
2017-03-22,21.5,6743.8351,,
2017-03-23,21.49,6740.6984,,
2017-03-24,21.58,6768.9284,,
2017-03-27,21.53,6753.2451,,
2017-03-28,21.64,6787.7484,,
2017-03-29,21.69,6803.4318,,
2017-03-30,21.75,6750.6921,,
2017-03-31,21.83,6775.5222,,1.8522
2017-04-03,21.63,6713.4469,,1.8353
2017-04-04,21.54,6685.513,,1.8276
2017-04-05,21.58,6697.9281,,1.831
2017-04-06,21.7,6735.1733,,1.8412
2017-04-07,21.61,6707.2394,,1.8336
2017-04-10,21.64,6716.5507,,1.8361
2017-04-11,21.55,6688.6168,,1.8285
2017-04-12,21.55,6688.6168,,1.8285
2017-04-13,21.29,6607.9188,,1.8064
2017-04-17,21.67,6725.862,,1.8387
2017-04-18,21.77,6756.8996,,1.8471
2017-04-19,21.75,6750.6921,,1.8454
2017-04-20,21.49,6669.9942,,1.8234
2017-04-21,21.66,6722.7582,,1.8378
2017-04-24,21.64,6716.5507,,1.8361
2017-04-25,21.72,6741.3808,,1.8429
2017-04-26,21.68,6728.9657,,1.8395
2017-04-27,21.59,6701.0318,,1.8319
2017-04-28,21.55,6688.6168,,1.8285
2017-05-01,21.68,6728.9657,,1.8395
2017-05-02,21.52,6679.3055,,1.8259
2017-05-03,21.48,6666.8904,,1.8225
2017-05-04,21.2,6579.9849,,1.7988
2017-05-05,21.27,6601.7113,,1.8047
2017-05-08,21.28,6604.8151,,1.8056
2017-05-09,21.45,6657.5791,,1.82
2017-05-10,21.67,6725.862,,1.8387
2017-05-11,21.9,6797.2486,,1.8582
2017-05-12,21.79,6763.1072,,1.8488
2017-05-15,21.9,6797.2486,,1.8582
2017-05-16,21.37,6632.749,,1.8132
2017-05-17,21.54,6685.513,,1.8276
2017-05-18,21.65,6719.6544,,1.837
2017-05-19,21.78,6760.0034,,1.848
2017-05-22,21.67,6725.862,,1.8387
2017-05-23,21.56,6691.7205,,1.8293
2017-05-24,21.64,6716.5507,,1.8361
2017-05-25,21.2,6579.9849,,1.7988
2017-05-26,21.2,6579.9849,,1.7988
2017-05-30,21.36,6629.6452,,1.8123
2017-05-31,21.52,6679.3055,,1.8259
2017-06-01,21.68,6728.9657,,1.8395
2017-06-02,21.93,6806.5599,,1.8607
2017-06-05,21.58,6697.9281,,1.831
2017-06-06,21.52,6679.3055,,1.8259
2017-06-07,21.3,6611.0226,,1.8073
2017-06-08,21.18,6573.7774,,1.7971
2017-06-09,21.4,6642.0603,,1.8157
2017-06-12,21.45,6657.5791,,1.82
2017-06-13,21.41,6645.164,,1.8166
2017-06-14,21.5,6673.0976,,1.8242
