Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,45.8,5904.9308,21.937,
2014-01-03,46.29,5968.1058,22.1717,
2014-01-06,46.03,5934.5844,22.0472,
2014-01-07,46.79,6032.5701,22.4112,
2014-01-08,47.42,6113.7951,22.713,
2014-01-09,47.84,6167.9452,22.9141,
2014-01-10,48.61,6267.2202,23.283,
2014-01-13,49.16,6338.1309,23.5464,
2014-01-14,49.0,6317.5023,23.4698,
2014-01-15,49.5,6381.9667,23.7092,
2014-01-16,49.78,6418.0667,23.8434,
2014-01-17,48.98,6314.9238,23.4602,
2014-01-21,48.15,6207.913,23.0626,
2014-01-22,48.01,6189.863,22.9956,
2014-01-23,47.74,6155.0523,22.8663,
2014-01-24,46.21,5957.7915,22.1334,
2014-01-27,46.54,6000.3379,22.2915,
2014-01-28,47.3,6098.3237,22.6555,
2014-01-29,46.43,5986.1558,22.2388,
2014-01-30,47.7,6149.8951,22.8471,
2014-01-31,47.63,6140.8701,22.8136,
2014-02-03,46.43,5986.1558,22.2388,
2014-02-04,46.61,6009.3629,22.325,
2014-02-05,48.37,6236.2773,23.168,
2014-02-06,49.0,6317.5023,23.4698,
2014-02-07,48.23,6218.2273,23.1009,
2014-02-10,48.61,6267.2202,23.283,
2014-02-11,49.15,6336.8416,23.5416,
2014-02-12,49.44,6374.2309,23.6805,
2014-02-13,52.2,6777.7896,25.0025,
2014-02-14,53.15,6901.1402,25.4575,
2014-02-18,53.77,6981.6426,25.7545,
2014-02-19,54.94,7133.5586,26.3149,
2014-02-20,54.54,7081.6215,26.1233,
2014-02-21,53.93,7002.4175,25.8311,
2014-02-24,53.63,6963.4647,25.6874,
2014-02-25,53.26,6915.4229,25.5102,
2014-02-26,53.62,6962.1662,25.6826,
2014-02-27,53.5,6946.5851,25.6251,
2014-02-28,54.15,7030.9829,25.9365,
2014-03-03,52.87,6864.7842,25.3234,
2014-03-04,54.06,7019.297,25.8934,
2014-03-05,54.12,7027.0876,25.9221,
2014-03-06,54.48,7073.831,26.0945,
2014-03-07,54.11,7025.7892,25.9173,
2014-03-10,54.3,7050.4593,26.0083,
2014-03-11,52.81,6856.9936,25.2947,
2014-03-12,52.82,6858.2921,25.2994,
2014-03-13,51.24,6657.2242,24.5427,
2014-03-14,52.17,6778.0521,24.9881,
2014-03-17,52.45,6814.4304,25.1222,
2014-03-18,52.96,6880.6908,25.3665,
2014-03-19,52.72,6849.5094,25.2515,
2014-03-20,52.92,6875.4939,25.3473,
2014-03-21,51.02,6628.6413,24.4373,
2014-03-24,50.44,6553.2863,24.1595,
2014-03-25,49.8,6470.136,23.8529,
2014-03-26,50.01,6497.4197,23.9535,
2014-03-27,50.06,6503.9158,23.9775,
2014-03-28,49.97,6492.2228,23.9344,
2014-03-31,50.77,6596.1607,22.4777,
2014-04-01,51.11,6646.121,22.6282,
2014-04-02,51.07,6640.9196,22.6105,
2014-04-03,50.94,6624.015,22.553,
2014-04-04,50.11,6516.0854,22.1855,
2014-04-07,49.71,6464.0711,22.0084,
2014-04-08,51.05,6638.3189,22.6017,
2014-04-09,51.34,6676.0292,22.73,
2014-04-10,51.4,6683.8313,22.7566,
2014-04-11,50.28,6538.1914,22.2608,
2014-04-14,50.55,6573.3011,22.3803,
2014-04-15,50.67,6588.9053,22.4334,
2014-04-16,50.6,6579.8028,22.4024,
2014-04-17,50.22,6530.3893,22.2342,
2014-04-21,50.68,6590.2057,22.4378,
2014-04-22,49.95,6495.2797,22.1146,
2014-04-23,49.47,6432.8626,21.9021,
2014-04-24,49.94,6493.9793,22.1102,
2014-04-25,49.39,6422.4597,21.8667,
2014-04-28,47.52,6179.2931,21.0388,
2014-04-29,47.58,6187.0952,21.0654,
2014-04-30,47.13,6128.5792,20.8661,
2014-05-01,48.76,6345.7246,21.5878,
