Date,Price,Market Cap,PE Ratio,PB Ratio
2017-05-11,20.0,,149.8944,17.0901
2017-05-12,21.1,4003.3506,158.1386,18.0301
2017-05-15,22.02,4177.9042,165.0338,18.8162
2017-05-16,22.1,4193.0828,165.6334,18.8846
2017-05-17,22.1,4193.0828,165.6334,18.8846
2017-05-18,22.5,4268.9757,168.6313,19.2264
2017-05-19,22.72,4310.7168,170.2801,19.4144
2017-05-22,22.89,4342.9713,171.5542,19.5597
2017-05-23,23.45,4449.2214,175.7512,20.0382
2017-05-24,23.35,4430.2481,175.0018,19.9527
2017-05-25,22.51,4270.873,168.7062,19.2349
2017-05-26,23.03,4369.5338,172.6035,19.6793
2017-05-30,22.95,4354.3552,172.0039,19.6109
2017-05-31,22.93,4350.5606,171.854,19.5938
2017-06-01,22.93,4350.5606,171.854,19.5938
2017-06-02,22.65,4297.4356,169.7555,19.3546
2017-06-05,22.63,4293.6409,169.6056,19.3375
2017-06-06,22.29,4229.1319,167.0574,19.047
2017-06-07,21.76,4128.5738,163.0852,18.5941
2017-06-08,21.65,4107.7033,162.2607,18.5001
2017-06-09,22.49,4267.0784,168.5563,19.2179
2017-06-12,23.03,4369.5338,172.6035,19.6793
2017-06-13,23.49,4456.8106,176.051,20.0724
2017-06-14,23.25,4411.2748,174.2523,19.8673
2017-06-15,22.99,4361.9444,172.3037,19.6451
2017-06-16,23.92,4538.3954,179.2738,20.4398
2017-06-19,23.92,4538.3954,179.2738,20.4398
2017-06-20,22.62,4291.7434,169.5306,19.3289
2017-06-21,20.72,3931.2522,155.2906,17.7054
2017-06-22,21.06,3995.7611,157.8389,17.9959
2017-06-23,20.47,3883.8191,153.417,17.4917
2017-06-26,20.5,3889.5111,153.6418,17.5174
2017-06-27,21.29,4039.3996,159.5626,18.1924
2017-06-28,21.27,4035.6049,159.4127,18.1754
2017-06-29,21.43,4065.9621,160.6119,18.3121
2017-06-30,21.61,4100.1139,,3.5025
2017-07-03,22.34,4238.6184,,3.6209
2017-07-05,21.82,4139.9577,,3.5366
2017-07-06,20.97,3978.6852,,3.3988
2017-07-07,20.67,3921.7656,,3.3502
2017-07-10,21.34,4048.8862,,3.4588
2017-07-11,21.73,4122.8817,,3.522
2017-07-12,22.13,4198.7746,,3.5868
2017-07-13,22.06,4185.4934,,3.5755
2017-07-14,22.08,4189.288,,3.5787
2017-07-17,22.97,4358.1497,,3.723
