Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,27.5006,5639.0162,,5.4216
2014-01-03,27.4447,5627.5431,,5.4106
2014-01-06,27.3048,5598.8604,,5.383
2014-01-07,26.8292,5501.3393,,5.2892
2014-01-08,26.307,5394.2573,,5.1863
2014-01-09,26.1111,5354.1015,,5.1477
2014-01-10,25.9806,5327.331,,5.1219
2014-01-13,25.822,5294.8239,,5.0907
2014-01-14,25.6355,5256.5804,,5.0539
2014-01-15,25.6355,5256.5804,,5.0539
2014-01-16,25.5889,5247.0195,,5.0447
2014-01-17,25.6542,5260.4047,,5.0576
2014-01-21,25.6355,5256.5804,,5.0539
2014-01-22,25.9899,5329.2432,,5.1238
2014-01-23,25.9992,5331.1554,,5.1256
2014-01-24,25.5609,5241.2829,,5.0392
2014-01-27,25.3651,5201.1272,,5.0006
2014-01-28,25.4024,5208.7759,,5.008
2014-01-29,24.9361,5113.1669,,4.916
2014-01-30,24.9268,5111.2548,,4.9142
2014-01-31,24.6284,5050.065,,4.8554
2014-02-03,24.1528,4952.5439,,4.7616
2014-02-04,24.6097,5046.2407,,4.8517
2014-02-05,24.6657,5057.7137,,4.8627
2014-02-06,25.1879,5164.7958,,4.9657
2014-02-07,24.9361,5113.1669,,4.916
2014-02-10,25.1599,5159.0592,,4.9602
2014-02-11,25.2905,5185.8297,,4.9859
2014-02-12,25.3464,5197.3028,,4.9969
2014-02-13,25.7474,5279.5265,,5.076
2014-02-14,26.1204,5356.0137,,5.1495
2014-02-18,26.3536,5403.8182,,5.1955
2014-02-19,26.4002,5413.3791,,5.2047
2014-02-20,26.3909,5411.4669,,5.2028
2014-02-21,26.68,5470.7444,,5.2598
2014-02-24,26.6893,5472.6566,,5.2617
2014-02-25,26.8572,5507.0758,,5.2948
2014-02-26,26.6054,5455.447,,5.2451
2014-02-27,26.4935,5432.5008,,5.2231
2014-02-28,25.3651,5201.1272,,5.0006
2014-03-03,25.5982,5256.7935,,5.0466
2014-03-04,25.8034,5298.9245,,5.087
2014-03-05,25.7661,5291.2643,,5.0797
2014-03-06,25.6635,5270.1988,,5.0594
2014-03-07,25.9339,5325.7351,,5.1127
2014-03-10,26.223,5385.1014,,5.1697
2014-03-11,25.7474,5287.4342,,5.076
2014-03-12,25.9433,5327.6501,,5.1146
2014-03-13,25.7195,5281.6891,,5.0705
2014-03-14,25.5702,5251.0484,,5.041
2014-03-17,25.906,5319.99,,5.1072
2014-03-18,26.4562,5432.9775,,5.2157
2014-03-19,26.3443,5409.997,,5.1936
2014-03-20,25.9806,5335.3103,,5.1219
2014-03-21,25.7474,5287.4342,,5.076
2014-03-24,25.7847,5295.0944,,5.0833
2014-03-25,25.4024,5216.5776,,5.008
2014-03-26,25.3558,5207.0024,,4.9988
2014-03-27,25.104,5155.2962,,4.9491
2014-03-28,25.2625,5187.852,,4.9804
2014-03-31,25.7101,5279.7741,,5.074
2014-04-01,25.9619,5331.4802,,5.1237
2014-04-02,26.2137,5383.1864,,5.1734
2014-04-03,25.5609,5249.1334,,5.0446
2014-04-04,25.7288,5283.6041,,5.0777
2014-04-07,25.6355,5264.4537,,5.0593
2014-04-08,25.5982,5256.7935,,5.0519
2014-04-09,26.1204,5364.036,,5.155
2014-04-10,25.477,5231.898,,5.028
2014-04-11,24.5072,5032.7335,,4.8366
2014-04-14,24.5631,5044.2237,,4.8476
2014-04-15,24.4978,5041.6377,,4.8347
2014-04-16,25.4304,5233.5539,,5.0188
2014-04-17,25.2718,5200.9282,,4.9875
2014-04-21,25.4397,5235.4731,,5.0206
2014-04-22,25.6542,5279.6138,,5.063
2014-04-23,26.0458,5360.2186,,5.1403
2014-04-24,26.1951,5390.9252,,5.1697
2014-04-25,25.7474,5298.8054,,5.0814
2014-04-28,25.9619,5342.9461,,5.1237
2014-04-29,26.1671,5385.1677,,5.1642
2014-04-30,26.5214,5458.0958,,5.2341
2014-05-01,26.3816,5430.429,,5.2065
2014-05-02,26.2137,5395.877,,5.1734
2014-05-05,25.9246,5336.3707,,5.1163
2014-05-06,25.5796,5265.347,,5.0482
2014-05-07,25.2998,5207.7603,,4.993
2014-05-08,25.1226,5171.2887,,4.9581
2014-05-09,25.1599,5178.9669,,4.9654
2014-05-12,25.5982,5269.1862,,5.0519
2014-05-13,25.8593,5322.9338,,5.1034
2014-05-14,27.7151,5704.9258,,5.4697
2014-05-15,27.6032,5681.8911,,5.4476
2014-05-16,27.9855,5760.593,,5.5231
2014-05-19,28.1068,5785.5472,,5.547
2014-05-20,27.827,5727.9605,,5.4918
2014-05-21,27.7897,5720.2822,,5.4844
2014-05-22,27.8083,5724.1214,,5.4881
2014-05-23,28.0415,5772.1103,,5.5341
2014-05-27,28.4891,5864.2491,,5.6224
2014-05-28,28.7595,5919.9163,,5.6758
2014-05-29,28.9647,5962.1465,,5.7163
2014-05-30,29.0393,5977.503,,5.731
2014-06-02,29.0486,5979.4225,,5.7329
2014-06-03,28.8248,5933.3532,,5.6887
2014-06-04,28.7036,5908.3989,,5.6648
2014-06-05,29.1046,5990.9399,,5.7439
2014-06-06,29.4683,6065.8026,,5.8157
2014-06-09,29.6175,6096.5156,,5.8451
2014-06-10,29.4683,6065.8026,,5.8157
