Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,42.223,14464.7699,22.7143,4.1459
2014-01-03,41.496,14215.4495,22.3228,4.0744
2014-01-06,41.216,14119.5278,22.1721,4.0469
2014-01-07,41.529,14226.8688,22.3407,4.0777
2014-01-08,42.273,14481.8988,22.7412,4.1508
2014-01-09,42.976,14722.4644,23.1189,4.2197
2014-01-10,46.683,15992.6662,25.1136,4.5838
2014-01-13,43.675,14961.9643,23.495,4.2884
2014-01-14,46.653,15982.3889,25.0974,4.5809
2014-01-15,45.867,15712.8944,24.6742,4.5036
2014-01-16,46.043,15773.4165,24.7693,4.521
2014-01-17,47.793,16372.9274,25.7107,4.6928
2014-01-21,48.82,16724.6404,26.263,4.7936
2014-01-22,48.791,16714.7437,26.2475,4.7908
2014-01-23,48.778,16710.176,26.2403,4.7895
2014-01-24,45.64,15635.2435,24.5523,4.4814
2014-01-27,45.403,15554.1668,24.425,4.4581
2014-01-28,45.504,15588.8052,24.4794,4.468
2014-01-29,46.133,15804.2485,24.8177,4.5298
2014-01-30,46.261,15848.0223,24.8864,4.5423
2014-01-31,45.287,15514.1994,24.3622,4.4467
2014-02-03,44.574,15313.1999,23.9791,4.3767
2014-02-04,45.456,15615.8987,24.4531,4.4632
2014-02-05,46.122,15844.9268,24.8117,4.5287
2014-02-06,46.088,15833.0937,24.7932,4.5253
2014-02-07,46.409,15943.4089,24.9659,4.5569
2014-02-10,47.74,16400.7016,25.682,4.6876
2014-02-11,47.383,16278.1716,25.4901,4.6525
2014-02-12,48.708,16733.1741,26.2026,4.7826
2014-02-13,49.171,16892.3486,26.4519,4.8281
2014-02-14,48.759,16750.7329,26.2301,4.7876
2014-02-18,49.343,16951.5142,26.5445,4.845
2014-02-19,48.884,16793.8665,26.2977,4.7999
2014-02-20,48.671,16720.5775,26.1829,4.779
2014-02-21,48.354,16611.7892,26.0126,4.7479
2014-02-24,48.727,16739.6632,26.2128,4.7844
2014-02-25,48.319,16599.5744,25.9934,4.7444
2014-02-26,48.706,16732.4106,26.2014,4.7824
2014-02-27,49.35,16953.8045,26.5481,4.8456
2014-02-28,49.426,16979.761,26.5888,4.8531
2014-03-03,50.427,17323.6848,27.1273,4.9514
2014-03-04,49.946,17158.4029,26.8685,4.9041
2014-03-05,49.658,17059.5391,26.7137,4.8759
2014-03-06,49.372,16961.4387,26.5601,4.8478
2014-03-07,49.331,17020.0254,26.538,4.8438
2014-03-10,48.732,16813.3991,26.2158,4.785
2014-03-11,48.354,16683.0597,26.0126,4.7479
2014-03-12,48.127,16604.4727,25.89,4.7255
2014-03-13,47.741,16471.4499,25.6826,4.6877
2014-03-14,47.008,16218.4381,25.2881,4.6157
2014-03-17,47.401,16354.1444,25.4997,4.6543
2014-03-18,47.669,16446.532,25.6438,4.6806
2014-03-19,48.282,16658.1419,25.9737,4.7408
2014-03-20,48.557,16752.8296,26.1213,4.7677
2014-03-21,47.654,16441.5485,25.636,4.6792
2014-03-24,46.896,16180.0263,25.2282,4.6047
2014-03-25,46.99,16212.1511,25.2783,4.6139
2014-03-26,47.184,16279.3909,25.3831,4.633
2014-03-27,47.623,16430.8146,25.6192,4.6761
2014-03-28,48.332,16675.3927,26.0006,4.7457
2014-03-31,48.666,16790.398,30.1512,4.5996
2014-04-01,54.844,18922.2139,33.9794,5.1836
2014-04-02,57.611,19876.7583,35.6935,5.4451
2014-04-03,60.07,20725.1145,37.217,5.6775
2014-04-04,56.169,19379.1685,34.8,5.3087
2014-04-07,55.226,19053.7034,34.2155,5.2196
2014-04-08,54.427,18778.0739,33.7206,5.1441
2014-04-09,50.738,17505.348,31.4351,4.7954
2014-04-10,50.401,17389.1926,31.2265,4.7636
2014-04-11,48.848,16853.2676,30.2641,4.6168
2014-04-14,47.222,16292.4249,29.257,4.4632
2014-04-15,46.343,15989.1941,28.7125,4.3801
2014-04-16,46.126,15914.0573,28.5775,4.3595
2014-04-17,45.777,15793.685,28.3614,4.3265
2014-04-21,45.679,15759.9501,28.3008,4.3173
2014-04-22,46.926,16190.0701,29.0732,4.4351
2014-04-23,41.548,14334.6504,25.7413,3.9268
2014-04-24,41.258,14234.5958,25.5617,3.8994
2014-04-25,40.708,14069.9461,25.2209,3.8475
2014-04-28,40.867,14124.8633,25.3194,3.8625
2014-04-29,40.177,13886.3766,24.8919,3.7973
2014-04-30,40.189,13890.601,24.8994,3.7984
2014-05-01,39.903,13791.9036,24.7225,3.7714
2014-05-02,40.399,13963.1839,25.0295,3.8183
2014-05-05,40.441,13977.7773,25.0557,3.8223
2014-05-06,40.033,13836.8359,24.8031,3.7837
2014-05-07,39.217,13554.569,24.2971,3.7065
2014-05-08,39.15,13531.5268,24.2558,3.7002
2014-05-09,39.229,13558.7934,24.3046,3.7077
2014-05-12,40.63,14043.0635,25.1727,3.8401
2014-05-13,40.608,14035.3828,25.159,3.838
2014-05-14,41.297,14273.4854,25.5858,3.9031
