Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,69.8,6433.992,36.3105,17.7662
2014-01-03,69.74,6428.4614,36.2793,17.7509
2014-01-06,69.05,6364.8589,35.9204,17.5753
2014-01-07,69.05,6364.8589,35.9204,17.5753
2014-01-08,69.56,6411.8694,36.1857,17.7051
2014-01-09,70.03,6455.1928,36.4302,17.8247
2014-01-10,69.87,6440.4444,36.3469,17.784
2014-01-13,68.49,6313.2394,35.629,17.4327
2014-01-14,69.04,6363.9371,35.9152,17.5727
2014-01-15,69.28,6386.0597,36.04,17.6338
2014-01-16,69.59,6414.6347,36.2013,17.7127
2014-01-17,69.34,6391.5903,36.0712,17.6491
2014-01-21,69.4,6397.121,36.1024,17.6643
2014-01-22,69.72,6426.6178,36.2689,17.7458
2014-01-23,69.52,6408.1823,36.1649,17.6949
2014-01-24,68.19,6285.5862,35.473,17.3564
2014-01-27,68.03,6270.8378,35.3898,17.3156
2014-01-28,69.03,6363.0153,35.91,17.5702
2014-01-29,68.8,6341.8145,35.7903,17.5116
2014-01-30,70.32,6481.9243,36.581,17.8985
2014-01-31,70.33,6482.8461,36.5862,17.9011
2014-02-03,65.71,6056.9859,34.1829,16.7251
2014-02-04,66.53,6132.5715,34.6094,16.9338
2014-02-05,66.57,6136.2586,34.6302,16.944
2014-02-06,62.51,5762.0178,32.5182,15.9106
2014-02-07,65.33,6021.9584,33.9852,16.6284
2014-02-10,64.64,5958.3559,33.6262,16.4528
2014-02-11,65.4,6028.4109,34.0216,16.6462
2014-02-12,66.25,6106.7618,34.4638,16.8626
2014-02-13,67.06,6181.4256,34.8851,17.0687
2014-02-14,66.64,6142.711,34.6667,16.9618
2014-02-18,66.37,6117.8231,34.5262,16.8931
2014-02-19,65.74,6059.7512,34.1985,16.7328
2014-02-20,65.77,6062.5165,34.2141,16.7404
2014-02-21,66.54,6133.4932,34.6146,16.9364
2014-02-24,67.55,6226.5926,35.1401,17.1935
2014-02-25,68.14,6280.9773,35.447,17.3436
2014-02-26,68.96,6342.1734,35.8735,17.5523
2014-02-27,69.45,6387.2382,36.1284,17.6771
2014-02-28,69.56,6397.3547,36.1857,17.7051
2014-03-03,69.5,6391.8366,36.1545,17.6898
2014-03-04,71.39,6565.6578,37.1376,18.1709
2014-03-05,71.49,6574.8547,37.1897,18.1963
2014-03-06,72.22,6641.9919,37.5694,18.3821
2014-03-07,73.0,6713.7277,37.9752,18.5806
2014-03-10,72.83,6698.093,37.8867,18.5374
2014-03-11,72.65,6681.5386,37.7931,18.4916
2014-03-12,73.08,6721.0852,38.0168,18.601
2014-03-13,71.82,6605.2044,37.3613,18.2803
2014-03-14,72.12,6632.7951,37.5174,18.3567
2014-03-17,72.49,6666.8235,37.7099,18.4508
2014-03-18,73.35,6745.9168,38.1573,18.6697
2014-03-19,72.54,6671.422,37.7359,18.4636
2014-03-20,72.9,6704.5308,37.9232,18.5552
2014-03-21,72.7,6686.137,37.8191,18.5043
2014-03-24,71.26,6553.7018,37.07,18.1378
2014-03-25,70.74,6505.878,36.7995,18.0054
2014-03-26,68.81,6328.3781,35.7955,17.5142
2014-03-27,67.58,6215.2564,35.1557,17.2011
2014-03-28,67.06,6167.4326,34.8851,17.0687
2014-03-31,69.44,6386.3185,35.3484,26.4657
2014-04-01,70.31,6466.3314,35.7912,26.7973
2014-04-02,70.12,6448.8573,35.6945,26.7249
2014-04-03,69.21,6365.1656,35.2313,26.3781
2014-04-04,67.85,6240.088,34.539,25.8597
2014-04-07,66.89,6151.7979,34.0503,25.4939
2014-04-08,67.28,6187.6657,34.2488,25.6425
2014-04-09,68.63,6311.8237,34.936,26.157
2014-04-10,66.49,6115.0103,33.8467,25.3414
2014-04-11,65.73,6045.114,33.4598,25.0517
2014-04-14,66.56,6121.4481,33.8823,25.3681
2014-04-15,66.81,6027.8654,34.0096,25.4634
2014-04-16,67.75,6112.6759,34.4881,25.8216
2014-04-17,67.57,6096.4356,34.3964,25.753
2014-04-21,67.5,6090.1199,34.3608,25.7263
2014-04-22,68.4,6171.3215,34.8189,26.0694
2014-04-23,67.63,6101.8491,34.427,25.7759
2014-04-24,67.03,6047.7147,34.1215,25.5472
2014-04-25,66.15,5968.3175,33.6736,25.2118
2014-04-28,66.66,6014.3318,33.9332,25.4062
2014-04-29,67.56,6095.5334,34.3913,25.7492
2014-04-30,68.94,6220.0425,35.0938,26.2752
2014-05-01,73.54,6635.1806,37.4355,28.0284
2014-05-02,74.9,6757.8872,38.1278,28.5467
2014-05-05,73.3,6613.5265,37.3133,27.9369
