Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,76.6,9027.8002,26.5859,8.8702
2014-01-03,77.29,9109.1211,26.8254,8.9501
2014-01-06,76.62,9030.1573,26.5928,8.8726
2014-01-07,77.3,9110.2997,26.8289,8.9513
2014-01-08,77.15,9092.6212,26.7768,8.9339
2014-01-09,77.48,9131.5138,26.8913,8.9721
2014-01-10,79.23,9337.7625,27.4987,9.1748
2014-01-13,77.8,9169.2279,27.0024,9.0092
2014-01-14,78.4,9239.9417,27.2106,9.0787
2014-01-15,79.18,9331.8697,27.4814,9.169
2014-01-16,78.51,9252.9059,27.2488,9.0914
2014-01-17,77.59,9144.478,26.9295,8.9849
2014-01-21,79.06,9317.7269,27.4397,9.1551
2014-01-22,79.29,9344.8339,27.5195,9.1817
2014-01-23,78.49,9250.5488,27.2419,9.0891
2014-01-24,76.3,8945.4881,26.4818,8.8355
2014-01-27,74.75,8763.7645,25.9438,8.656
2014-01-28,74.73,8761.4197,25.9369,8.6537
2014-01-29,74.28,8708.6613,25.7807,8.6016
2014-01-30,75.51,8852.8677,26.2076,8.744
2014-01-31,75.05,8798.9368,26.0479,8.6908
2014-02-03,72.4,8488.2482,25.1282,8.3839
2014-02-04,73.09,8569.1445,25.3677,8.4638
2014-02-05,73.48,8614.8685,25.503,8.5089
2014-02-06,74.13,8691.0751,25.7286,8.5842
2014-02-07,73.92,8666.4545,25.6557,8.5599
2014-02-10,73.22,8584.3858,25.4128,8.4788
2014-02-11,73.24,8586.7306,25.4197,8.4812
2014-02-12,73.25,8587.9031,25.4232,8.4823
2014-02-13,73.43,8609.0064,25.4857,8.5032
2014-02-14,72.78,8532.7998,25.2601,8.4279
2014-02-18,72.31,8477.6965,25.097,8.3735
2014-02-19,71.42,8373.352,24.7881,8.2704
2014-02-20,71.65,8400.3175,24.8679,8.297
2014-02-21,72.0,8441.8231,24.9894,8.3376
2014-02-24,71.65,8400.7865,24.8679,8.297
2014-02-25,71.83,8421.891,24.9304,8.3179
2014-02-26,71.11,8337.4728,24.6805,8.2345
2014-02-27,71.13,8339.8178,24.6874,8.2368
2014-02-28,71.87,8426.5809,24.9442,8.3225
2014-03-03,71.16,8343.3352,24.6978,8.2403
2014-03-04,72.3,8476.9974,25.0935,8.3723
2014-03-05,72.71,8525.0689,25.2358,8.4198
2014-03-06,73.84,8657.5586,25.628,8.5506
2014-03-07,74.39,8722.0447,25.8189,8.6143
2014-03-10,74.18,8697.4228,25.746,8.59
2014-03-11,73.08,8568.4505,25.3642,8.4626
2014-03-12,72.75,8529.7588,25.2497,8.4244
2014-03-13,71.9,8430.0984,24.9547,8.326
2014-03-14,71.45,8377.337,24.7985,8.2739
2014-03-17,71.5,8383.1993,24.8158,8.2797
2014-03-18,70.98,8322.2306,24.6353,8.2194
2014-03-19,70.99,8323.4031,24.6388,8.2206
2014-03-20,70.2,8230.7775,24.3646,8.1291
2014-03-21,70.11,8220.2253,24.3334,8.1187
2014-03-24,69.971,8203.9279,24.2851,8.1026
2014-03-25,69.8,8183.8785,24.2258,8.0828
2014-03-26,69.75,8178.0161,24.2084,8.077
2014-03-27,69.97,8203.8106,24.2848,8.1025
2014-03-28,69.97,8203.8106,24.2848,8.1025
2014-03-31,71.92,8432.4433,25.2926,7.8955
2014-04-01,73.03,8562.5881,25.6829,8.0173
2014-04-02,74.18,8697.4228,26.0874,8.1436
2014-04-03,73.8,8652.8687,25.9537,8.1018
2014-04-04,73.35,8600.1073,25.7955,8.0524
2014-04-07,72.04,8446.513,25.3348,7.9086
2014-04-08,72.3,8476.9974,25.4262,7.9372
2014-04-09,72.82,8537.9661,25.6091,7.9943
2014-04-10,71.96,8437.1332,25.3066,7.8999
2014-04-11,71.51,8384.3718,25.1484,7.8505
2014-04-14,74.29,8710.32,26.126,8.1556
2014-04-15,74.41,8724.3897,26.1682,8.1688
2014-04-16,75.8,8887.3638,26.6571,8.3214
2014-04-17,75.81,8888.5363,26.6606,8.3225
2014-04-21,76.39,8956.5398,26.8646,8.3862
2014-04-22,76.79,9003.4389,27.0052,8.4301
2014-04-23,76.15,8928.4004,26.7802,8.3598
2014-04-24,76.04,8915.5032,26.7415,8.3478
2014-04-25,75.48,8850.7821,26.5445,8.2863
2014-04-28,75.46,8848.4369,26.5375,8.2841
2014-04-29,75.49,8851.9547,26.5481,8.2874
2014-04-30,76.1,8923.4833,26.7626,8.3543
2014-05-01,77.1,9040.7432,27.1143,8.4641
2014-05-02,76.94,9021.9816,27.058,8.4466
2014-05-05,76.57,8978.5954,26.9279,8.4059
2014-05-06,76.53,8973.905,26.9138,8.4016
2014-05-07,76.55,8976.2502,26.9208,8.4037
2014-05-08,75.8,8888.3053,26.6571,8.3214
2014-05-09,75.7625,8883.908,26.6439,8.3173
2014-05-12,76.91,9018.4638,27.0474,8.4433
2014-05-13,77.46,9082.9568,27.2409,8.5036
2014-05-14,77.07,9037.2254,27.1037,8.4608
2014-05-15,76.97,9025.4994,27.0685,8.4499
2014-05-16,76.89,9016.1186,27.0404,8.4411
2014-05-19,77.66,9106.4088,27.3112,8.5256
2014-05-20,76.98,9026.672,27.0721,8.451
2014-05-21,76.59,8980.9406,26.9349,8.4081
2014-05-22,77.48,9085.302,27.2479,8.5058
2014-05-23,77.22,9054.8144,27.1565,8.4773
2014-05-27,77.0,9029.0172,27.0791,8.4531
2014-05-28,77.59,9098.2006,27.2866,8.5179
2014-05-29,77.84,9127.5156,27.3745,8.5454
2014-05-30,77.66,9106.4088,27.3112,8.5256
2014-06-02,77.6,9099.3732,27.2901,8.519
2014-06-03,76.81,9006.7378,27.0123,8.4323
2014-06-04,76.88,9014.946,27.0369,8.44
2014-06-05,76.88,9014.946,27.0369,8.44
2014-06-06,76.9,9017.2912,27.0439,8.4422
2014-06-09,77.41,9077.0938,27.2233,8.4982
2014-06-10,77.0,9029.0172,27.0791,8.4531
2014-06-11,76.34,8951.6257,26.847,8.3807
2014-06-12,75.35,8835.5383,26.4988,8.272
2014-06-13,75.6,8864.8533,26.5867,8.2995
2014-06-16,75.58,8862.5081,26.5797,8.2973
2014-06-17,75.84,8892.9957,26.6711,8.3258
2014-06-18,76.34,8951.6257,26.847,8.3807
2014-06-19,76.46,8965.6968,26.8892,8.3939
2014-06-20,77.0,9029.0172,27.0791,8.4531
2014-06-23,76.11,8924.6559,26.7661,8.3554
2014-06-24,75.14,8810.9137,26.425,8.249
2014-06-25,75.45,8847.2643,26.534,8.283
2014-06-26,73.52,8620.9526,25.8553,8.0711
2014-06-27,73.48,8616.2622,25.8412,8.0667
2014-06-30,73.78,8651.4401,25.8325,7.9537
2014-07-01,73.37,8603.3636,25.689,7.9095
2014-07-02,73.76,8649.0949,25.8255,7.9515
2014-07-03,74.21,8701.8619,25.9831,8.0
2014-07-07,74.24,8705.3797,25.9936,8.0032
2014-07-08,73.88,8663.1661,25.8676,7.9644
2014-07-09,74.14,8693.6537,25.9586,7.9925
2014-07-10,73.47,8615.0896,25.724,7.9202
2014-07-11,73.89,8664.3387,25.8711,7.9655
2014-07-14,74.29,8711.2427,26.0111,8.0086
2014-07-15,76.94,8967.126,26.939,8.2943
2014-07-16,78.41,9138.45,27.4536,8.4528
2014-07-17,77.58,9041.716,27.163,8.3633
2014-07-18,78.14,9106.9824,27.3591,8.4237
2014-07-21,78.08,9099.9895,27.3381,8.4172
2014-07-22,78.98,9204.8818,27.6532,8.5142
2014-07-23,78.95,9201.3854,27.6427,8.511
2014-07-24,79.72,9291.1266,27.9123,8.594
2014-07-25,79.23,9234.0186,27.7408,8.5412
2014-07-28,79.08,9216.5365,27.6882,8.525
2014-07-29,78.26,9120.9566,27.4011,8.4366
2014-07-30,78.5,9148.9279,27.4852,8.4625
