Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,17.01,3455.8441,9.5849,1.4688
2014-01-03,17.19,3492.4138,9.6863,1.4844
2014-01-06,16.95,3443.6541,9.5511,1.4636
2014-01-07,16.62,3376.6095,9.3651,1.4352
2014-01-08,17.06,3466.0023,9.6131,1.4731
2014-01-09,17.1,3526.4411,9.6356,1.4766
2014-01-10,17.02,3509.9431,9.5905,1.4697
2014-01-13,16.59,3421.2665,9.3482,1.4326
2014-01-14,17.89,3689.3585,10.0808,1.5448
2014-01-15,17.77,3664.6116,10.0132,1.5345
2014-01-16,17.59,3627.4911,9.9117,1.5189
2014-01-17,18.01,3714.1055,10.1484,1.5552
2014-01-21,18.22,3757.4127,10.2667,1.5733
2014-01-22,18.51,3817.2178,10.4301,1.5984
2014-01-23,18.56,3827.529,10.4583,1.6027
2014-01-24,17.96,3703.7943,10.1202,1.5509
2014-01-27,18.07,3726.479,10.1822,1.5604
2014-01-28,18.05,3722.3545,10.1709,1.5586
2014-01-29,17.79,3668.7361,10.0244,1.5362
2014-01-30,18.26,3765.6616,10.2893,1.5768
2014-01-31,17.97,3705.8565,10.1258,1.5517
2014-02-03,17.5,3608.9309,9.861,1.5111
2014-02-04,17.53,3615.1177,9.8779,1.5137
2014-02-05,17.37,3582.1217,9.7878,1.4999
2014-02-06,17.78,3666.6738,10.0188,1.5353
2014-02-07,18.01,3714.1055,10.1484,1.5552
2014-02-10,18.26,3765.6616,10.2893,1.5768
2014-02-11,18.68,3852.276,10.5259,1.613
2014-02-12,18.65,3846.0892,10.509,1.6104
2014-02-13,18.49,3813.0933,10.4189,1.5966
2014-02-14,18.49,3813.0933,10.4189,1.5966
2014-02-18,18.47,3808.9688,10.4076,1.5949
2014-02-19,18.59,3833.7158,10.4752,1.6053
2014-02-20,18.69,3854.3382,10.5316,1.6139
2014-02-21,18.48,3811.0311,10.4132,1.5958
2014-02-24,18.69,3854.3382,10.5316,1.6139
2014-02-25,18.93,3903.8321,10.6668,1.6346
2014-02-26,19.33,3986.322,10.8922,1.6692
2014-02-27,19.15,3949.2016,10.7908,1.6536
2014-02-28,18.51,3817.2178,13.2979,1.6399
2014-03-03,18.31,3775.9729,13.1543,1.6221
2014-03-04,18.81,3879.0852,13.5135,1.6664
2014-03-05,18.54,3823.4045,13.3195,1.6425
2014-03-06,18.38,3790.4086,13.2046,1.6283
2014-03-07,18.39,3792.4708,13.2117,1.6292
2014-03-10,18.32,3778.0351,13.1614,1.623
2014-03-11,18.1,3732.6657,13.0034,1.6035
2014-03-12,18.09,3730.6035,12.9962,1.6026
2014-03-13,17.78,3666.6738,12.7735,1.5752
2014-03-14,17.73,3656.3626,12.7376,1.5708
2014-03-17,18.0,3712.0432,12.9316,1.5947
2014-03-18,18.4,3794.5331,13.2189,1.6301
2014-03-19,18.26,3765.6616,13.1183,1.6177
2014-03-20,17.74,3658.4248,12.7448,1.5716
2014-03-21,17.72,3654.3003,12.7304,1.5699
2014-03-24,17.78,3666.6738,12.7735,1.5752
2014-03-25,17.76,3662.5493,12.7591,1.5734
2014-03-26,17.44,3596.5575,12.5292,1.5451
2014-03-27,17.63,3635.7401,12.6657,1.5619
2014-03-28,17.76,3662.5493,12.7591,1.5734
2014-03-31,18.0,3712.0432,12.9316,1.5947
2014-04-01,18.11,3734.728,13.0106,1.6044
2014-04-02,18.57,3829.5913,13.3411,1.6452
2014-04-03,18.53,3821.3423,13.3123,1.6416
2014-04-04,18.44,3802.7821,13.2477,1.6337
2014-04-07,17.88,3634.4819,12.8453,1.584
2014-04-08,17.91,3640.58,12.8669,1.5867
2014-04-09,18.27,3713.7575,13.1255,1.6186
2014-04-10,17.5,3557.239,12.5723,1.5504
2014-04-11,17.23,3502.3558,12.3784,1.5265
2014-04-14,17.41,3538.9446,12.5077,1.5424
2014-04-15,17.35,3526.7483,12.4646,1.5371
2014-04-16,17.58,3573.5006,12.6298,1.5575
2014-04-17,17.6,3577.566,12.6442,1.5592
2014-04-21,17.53,3563.3371,12.5939,1.553
2014-04-22,17.79,3616.1875,12.7807,1.5761
2014-04-23,17.79,3616.1875,12.7807,1.5761
2014-04-24,18.0,3658.8744,12.9316,1.5947
2014-04-25,17.64,3585.6969,12.6729,1.5628
2014-04-28,17.47,3551.1408,12.5508,1.5477
2014-04-29,17.24,3504.3886,12.3856,1.5273
2014-04-30,17.26,3508.454,12.3999,1.5291
2014-05-01,17.47,3551.1408,12.5508,1.5477
2014-05-02,17.6,3577.566,12.6442,1.5592
2014-05-05,17.57,3571.4679,12.6226,1.5566
2014-05-06,17.53,3563.3371,12.5939,1.553
2014-05-07,17.54,3565.3698,12.6011,1.5539
2014-05-08,17.61,3579.5987,12.6514,1.5601
2014-05-09,17.52,3561.3044,12.5867,1.5521
2014-05-12,18.18,3695.4631,13.0609,1.6106
2014-05-13,18.07,3673.1033,12.9818,1.6009
2014-05-14,17.85,3628.3837,12.8238,1.5814
