Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,38.1023,18919.2104,21.9149,3.2639
2014-01-03,37.8962,18816.8438,21.7964,3.2462
2014-01-06,38.2616,18998.3119,22.0066,3.2775
2014-01-07,38.3928,19063.4543,22.082,3.2888
2014-01-08,38.5709,19151.8618,22.1844,3.304
2014-01-09,38.4116,19072.7603,22.0928,3.2904
2014-01-10,38.5334,19133.2497,22.1629,3.3008
2014-01-13,37.8025,18770.3135,21.7425,3.2382
2014-01-14,38.2898,19012.271,22.0227,3.2799
2014-01-15,38.674,19203.0451,22.2437,3.3128
2014-01-16,38.6084,19170.4739,22.206,3.3072
2014-01-17,38.777,19254.2284,22.303,3.3217
2014-01-21,38.7677,19249.5754,22.2976,3.3209
2014-01-22,38.7302,19230.9633,22.2761,3.3177
2014-01-23,37.9805,18858.7211,21.8449,3.2534
2014-01-24,36.9216,18332.9289,21.2358,3.1627
2014-01-27,36.9497,18346.888,21.252,3.1651
2014-01-28,37.437,18588.8455,21.5323,3.2069
2014-01-29,37.1934,18467.8667,21.3921,3.186
2014-01-30,37.1746,18458.5607,21.3814,3.1844
2014-01-31,37.943,18637.89,21.8233,3.2502
2014-02-03,37.0622,18205.2001,21.3167,3.1748
2014-02-04,37.4183,18380.1173,21.5215,3.2053
2014-02-05,37.7275,18532.0191,21.6994,3.2318
2014-02-06,38.2523,18789.7918,22.0012,3.2767
2014-02-07,38.9364,19125.817,22.3946,3.3353
2014-02-10,38.7958,19056.7707,22.3138,3.3233
2014-02-11,38.9926,19153.4355,22.427,3.3401
2014-02-12,38.8426,19079.7862,22.3407,3.3273
2014-02-13,39.1144,19213.2756,22.497,3.3506
2014-02-14,39.2924,19300.7342,22.5995,3.3658
2014-02-18,39.5267,19415.8113,22.7342,3.3859
2014-02-19,39.1331,19222.4818,22.5078,3.3522
2014-02-20,39.5923,19448.0329,22.7719,3.3915
2014-02-21,39.6298,19466.4453,22.7935,3.3947
2014-02-24,39.8734,19586.1255,22.9336,3.4156
2014-02-25,39.7797,19540.0946,22.8797,3.4076
2014-02-26,39.939,19618.3471,22.9713,3.4212
2014-02-27,39.7891,19544.6977,22.8851,3.4084
2014-02-28,39.5267,19415.8113,22.7342,3.3859
2014-03-03,40.3139,19802.4705,23.1869,3.4533
2014-03-04,40.6794,19981.9908,23.3971,3.4846
2014-03-05,40.9324,20106.274,23.5427,3.5063
2014-03-06,41.0542,20166.1141,23.6127,3.5167
2014-03-07,41.0636,20170.7172,23.6181,3.5175
2014-03-10,40.923,20101.671,23.5373,3.5055
2014-03-11,40.2108,19751.8365,23.1277,3.4445
2014-03-12,40.2389,19765.6458,23.1438,3.4469
2014-03-13,39.9578,19627.5532,22.9821,3.4228
2014-03-14,40.1921,19742.6304,23.1169,3.4429
2014-03-17,40.6794,19981.9908,23.3971,3.4846
2014-03-18,40.2014,19747.2334,23.1223,3.4437
2014-03-19,39.686,19494.0638,22.8258,3.3995
2014-03-20,39.7048,19503.2699,22.8366,3.4011
2014-03-21,40.0234,19659.7748,23.0199,3.4284
2014-03-24,39.3018,19305.3373,22.6048,3.3666
2014-03-25,39.5174,19411.2083,22.7288,3.3851
2014-03-26,39.6954,19498.6669,22.8312,3.4003
2014-03-27,39.0582,19185.6571,22.4647,3.3457
2014-03-28,39.18,19245.4972,20.7545,3.4299
2014-03-31,39.7329,19517.0792,21.0474,3.4783
2014-04-01,40.2389,19765.6458,21.3154,3.5226
2014-04-02,39.7704,19535.4915,21.0672,3.4816
2014-04-03,39.9109,19604.5378,21.1417,3.4939
2014-04-04,39.6204,19461.8422,20.9878,3.4684
2014-04-07,38.4772,18900.2658,20.3822,3.3684
2014-04-08,38.7396,19029.1522,20.5212,3.3913
2014-04-09,38.8895,19102.8016,20.6006,3.4045
2014-04-10,38.4022,18863.4412,20.3425,3.3618
2014-04-11,38.0649,18697.7301,20.1638,3.3323
2014-04-14,38.1679,18748.3641,20.2184,3.3413
2014-04-15,38.346,18835.8227,20.3127,3.3569
2014-04-16,38.9457,19130.4201,20.6304,3.4094
2014-04-17,39.5642,19434.2237,20.958,3.4635
2014-04-21,39.8266,19563.11,21.097,3.4865
2014-04-22,39.9297,19613.744,21.1516,3.4955
2014-04-23,39.7329,19517.0792,21.0474,3.4783
2014-04-24,39.5548,19429.6206,20.9531,3.4627
2014-04-25,38.6927,19046.1062,20.4964,3.3872
2014-04-28,38.271,18838.5318,20.273,3.3503
2014-04-29,38.4116,18907.7233,20.3475,3.3626
2014-04-30,38.3272,18866.2084,20.3028,3.3552
2014-05-01,38.2054,18806.2425,20.2383,3.3446
2014-05-02,38.2429,18824.6935,20.2581,3.3479
2014-05-05,38.1586,18783.1786,20.2134,3.3405
2014-05-06,38.0555,18732.4382,20.1588,3.3314
2014-05-07,38.4584,18930.7871,20.3723,3.3667
2014-05-08,38.6646,19032.2679,20.4815,3.3848
2014-05-09,38.9738,19184.4892,20.6453,3.4118
2014-05-12,40.342,19857.9529,21.37,3.5316
2014-05-13,40.2389,19807.2124,21.3154,3.5226
2014-05-14,40.0515,19714.9572,21.2162,3.5062
2014-05-15,39.7891,19585.7997,21.0772,3.4832
2014-05-16,39.9765,19678.055,21.1765,3.4996
2014-05-19,40.4544,19913.306,21.4296,3.5415
2014-05-20,40.0702,19724.1827,21.2261,3.5078
2014-05-21,39.9484,19664.2167,21.1616,3.4972
2014-05-22,40.0796,19728.7954,21.2311,3.5086
2014-05-23,40.5669,19968.6592,21.4892,3.5513
2014-05-27,40.9043,20134.7188,21.6679,3.5808
2014-05-28,40.9699,20167.0081,21.7026,3.5866
2014-05-29,40.9511,20157.7826,21.6927,3.5849
2014-05-30,40.8949,20130.106,21.6629,3.58
2014-06-02,40.9886,20176.2336,21.7126,3.5882
2014-06-03,40.5575,19964.0465,21.4842,3.5505
2014-06-04,40.9792,20171.6209,21.7076,3.5874
2014-06-05,41.1198,20240.8123,21.7821,3.5997
2014-06-06,41.6352,20494.5144,22.0551,3.6448
2014-06-09,42.0194,20683.6378,22.2586,3.6785
2014-06-10,41.7758,20563.7059,22.1295,3.6571
