Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,91.03,256835.5445,16.4959,3.4673
2014-01-03,91.85,259149.1241,16.6445,3.4985
2014-01-06,92.33,260503.4145,16.7315,3.5168
2014-01-07,94.29,266033.434,17.0867,3.5914
2014-01-08,94.16,265666.647,17.0631,3.5865
2014-01-09,94.73,267274.8669,17.1664,3.6082
2014-01-10,94.74,267303.0813,17.1682,3.6086
2014-01-13,94.5,266625.936,17.1247,3.5994
2014-01-14,94.72,267246.6525,17.1646,3.6078
2014-01-15,94.8,267472.3676,17.1791,3.6109
2014-01-16,94.64,267020.9374,17.1501,3.6048
2014-01-17,95.06,268205.9416,17.2262,3.6208
2014-01-21,94.03,265299.86,17.0396,3.5815
2014-01-22,94.32,266118.0771,17.0921,3.5926
2014-01-23,92.74,261660.2043,16.8058,3.5324
2014-01-24,90.61,255650.5404,16.4198,3.4513
2014-01-27,89.94,253760.1766,16.2984,3.4258
2014-01-28,90.1,254211.6067,16.3274,3.4318
2014-01-29,88.9,250825.8806,16.1099,3.3861
2014-01-30,89.5,252518.7437,16.2187,3.409
2014-01-31,88.47,249612.662,16.032,3.3698
2014-02-03,86.78,244844.431,15.7258,3.3054
2014-02-04,86.62,244393.0008,15.6968,3.2993
2014-02-05,87.28,246255.1502,15.8164,3.3244
2014-02-06,88.75,250402.6648,16.0828,3.3804
2014-02-07,90.04,254042.3204,16.3165,3.4296
2014-02-10,91.07,256948.4021,16.5032,3.4688
2014-02-11,92.97,262309.1352,16.8475,3.5412
2014-02-12,92.42,260757.344,16.7478,3.5202
2014-02-13,92.56,261152.3454,16.7732,3.5255
2014-02-14,92.76,261716.6331,16.8094,3.5332
2014-02-18,92.17,260051.9844,16.7025,3.5107
2014-02-19,91.64,258556.622,16.6065,3.4905
2014-02-20,92.38,260644.4865,16.7406,3.5187
2014-02-21,91.52,258901.0755,16.5847,3.4859
2014-02-24,91.11,257741.2258,16.5104,3.4703
2014-02-25,91.11,257741.2258,16.5104,3.4703
2014-02-26,91.11,257741.2258,16.5104,3.4703
2014-02-27,91.36,258448.4512,16.5557,3.4798
2014-02-28,92.12,260598.4164,16.6935,3.5088
2014-03-03,91.56,259014.2315,16.592,3.4875
2014-03-04,93.34,264049.6764,16.9145,3.5553
2014-03-05,92.59,261928.0002,16.7786,3.5267
2014-03-06,92.89,262776.6707,16.833,3.5381
2014-03-07,93.32,263993.0984,16.9109,3.5545
2014-03-10,93.45,264360.8556,16.9345,3.5594
2014-03-11,93.49,264474.0116,16.9417,3.561
2014-03-12,93.6,264731.124,16.9617,3.5652
2014-03-13,93.0,263034.1296,16.8529,3.5423
2014-03-14,92.81,262496.7481,16.8185,3.5351
2014-03-17,93.93,265664.4709,17.0215,3.5777
2014-03-18,93.94,265692.7542,17.0233,3.5781
2014-03-19,93.59,264702.8408,16.9598,3.5648
2014-03-20,94.12,266201.8525,17.0559,3.585
2014-03-21,95.93,271321.1189,17.3839,3.6539
2014-03-24,95.2,269256.4424,17.2516,3.6261
2014-03-25,97.38,275422.1886,17.6466,3.7091
2014-03-26,97.05,274488.8417,17.5868,3.6966
2014-03-27,97.28,275139.3563,17.6285,3.7053
2014-03-28,97.44,275591.8881,17.2988,3.5978
2014-03-31,98.23,277826.264,17.4391,3.627
2014-04-01,97.94,277006.0501,17.3876,3.6162
2014-04-02,98.23,277826.264,17.4391,3.627
2014-04-03,98.26,277911.1137,17.4444,3.6281
2014-04-04,98.42,278363.6456,17.4728,3.634
2014-04-07,97.89,276864.6339,17.3787,3.6144
2014-04-08,98.06,277345.449,17.4089,3.6207
2014-04-09,98.95,279862.6573,17.5669,3.6535
2014-04-10,96.54,273046.3965,17.139,3.5646
2014-04-11,96.87,273979.7434,17.1976,3.5767
2014-04-14,97.14,274743.3909,17.2456,3.5867
2014-04-15,99.2,280569.7383,17.6113,3.6628
2014-04-16,98.75,279296.9925,17.5314,3.6462
2014-04-17,98.96,279890.9405,17.5687,3.6539
2014-04-21,100.0,282832.3975,17.7533,3.6923
2014-04-22,100.18,283341.4958,17.7853,3.699
2014-04-23,100.22,283454.6287,17.7924,3.7004
2014-04-24,99.96,282719.2645,17.7462,3.6908
2014-04-25,99.79,282238.4494,17.716,3.6846
2014-04-28,101.34,286622.3516,17.9912,3.7418
2014-04-29,101.03,285745.5712,17.9362,3.7303
2014-04-30,101.29,286480.9354,17.9823,3.7399
2014-05-01,100.53,284331.4092,17.8474,3.7119
2014-05-02,99.31,280957.9065,17.6308,3.6668
2014-05-05,100.0,282909.9854,17.7533,3.6923
2014-05-06,99.51,281523.7264,17.6663,3.6742
2014-05-07,100.91,285484.4662,17.9149,3.7259
2014-05-08,100.5,284324.5353,17.8421,3.7108
2014-05-09,100.91,285484.4662,17.9149,3.7259
