Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,58.21,218822.4039,9.2932,1.0931
2014-01-03,58.66,220514.039,9.365,1.1016
2014-01-06,59.0,221792.1633,9.4193,1.1079
2014-01-07,58.32,219235.9147,9.3107,1.0952
2014-01-08,58.87,221303.4687,9.3985,1.1055
2014-01-09,58.76,220889.9579,9.381,1.1034
2014-01-10,58.49,219874.9768,9.3379,1.0984
2014-01-13,57.7,216905.2174,9.2117,1.0835
2014-01-14,57.74,217055.5849,9.2181,1.0843
2014-01-15,59.49,223450.3948,9.4975,1.1171
2014-01-16,58.99,221572.3448,9.4177,1.1078
2014-01-17,58.11,218266.9767,9.2772,1.0912
2014-01-21,58.17,218492.3427,9.2868,1.0924
2014-01-22,57.59,216313.8046,9.1942,1.0815
2014-01-23,56.47,212106.9725,9.0154,1.0604
2014-01-24,55.09,206923.5544,8.7951,1.0345
2014-01-27,55.09,206923.5544,8.7951,1.0345
2014-01-28,55.74,209365.0194,8.8988,1.0467
2014-01-29,55.53,208576.2384,8.8653,1.0428
2014-01-30,56.0,210341.6055,8.9403,1.0516
2014-01-31,55.36,207937.7014,8.8382,1.0396
2014-02-03,54.31,203993.7963,8.6705,1.0199
2014-02-04,54.95,206397.7004,8.7727,1.0319
2014-02-05,55.21,207374.2864,8.8142,1.0368
2014-02-06,56.48,212144.5335,9.017,1.0606
2014-02-07,56.62,212670.3875,9.0393,1.0632
2014-02-10,56.74,213121.1195,9.0585,1.0655
2014-02-11,57.43,215712.8286,9.1686,1.0785
2014-02-12,57.52,216050.8776,9.183,1.0801
2014-02-13,58.03,217966.4887,9.2644,1.0897
2014-02-14,58.15,218417.2207,9.2836,1.092
2014-02-18,58.49,219694.2947,9.3379,1.0984
2014-02-19,57.26,215074.2916,9.1415,1.0753
2014-02-20,57.58,218045.4088,9.1926,1.0813
2014-02-21,57.61,218159.0136,9.1974,1.0818
2014-02-24,58.03,219749.4803,9.2644,1.0897
2014-02-25,57.03,215962.6548,9.1048,1.0709
2014-02-26,56.75,214902.3437,9.0601,1.0657
2014-02-27,56.69,214675.1342,9.0505,1.0646
2014-02-28,56.82,215167.4215,9.0712,1.067
2014-03-03,56.21,212857.458,8.9739,1.0555
2014-03-04,57.26,216833.6247,9.1415,1.0753
2014-03-05,58.16,220241.7676,9.2852,1.0922
2014-03-06,58.9,223044.0184,9.4033,1.1061
2014-03-07,59.4,224937.4311,9.4831,1.1155
2014-03-10,59.2,224180.066,9.4512,1.1117
2014-03-11,58.19,220355.3723,9.29,1.0927
2014-03-12,57.92,219332.9295,9.2469,1.0877
2014-03-13,57.42,217439.5167,9.167,1.0783
2014-03-14,56.8,215091.685,9.0681,1.0666
2014-03-17,57.58,218045.4088,9.1926,1.0813
2014-03-18,58.06,219863.085,9.2692,1.0903
2014-03-19,58.3,220771.9231,9.3075,1.0948
2014-03-20,60.11,227626.0772,9.5965,1.1288
2014-03-21,60.17,227853.2867,9.6061,1.1299
2014-03-24,61.07,231261.4296,9.7498,1.1468
2014-03-25,60.93,230731.274,9.7274,1.1442
2014-03-26,59.9,226830.8438,9.563,1.1248
2014-03-27,59.92,226906.5803,9.5662,1.1252
2014-03-28,60.04,227360.9994,9.5853,1.1275
2014-03-31,60.71,229898.1724,10.2565,1.1232
2014-04-01,60.67,229746.6994,10.2498,1.1224
2014-04-02,60.48,229027.2026,10.2177,1.1189
2014-04-03,60.66,229708.8312,10.2481,1.1222
2014-04-04,59.81,226490.0295,10.1045,1.1065
2014-04-07,59.0,223422.7009,9.9676,1.0915
2014-04-08,58.85,222854.6771,9.9423,1.0888
2014-04-09,59.27,224342.3908,10.0132,1.0965
2014-04-10,57.4,217264.2691,9.6973,1.0619
2014-04-11,55.3,209315.5764,9.3425,1.0231
2014-04-14,54.96,208028.6452,9.2851,1.0168
2014-04-15,54.8,207423.0305,9.2581,1.0138
2014-04-16,55.26,209164.1727,9.3358,1.0223
2014-04-17,55.22,209012.769,9.329,1.0216
2014-04-21,55.03,208293.6016,9.2969,1.0181
2014-04-22,55.81,211245.9732,9.4287,1.0325
2014-04-23,56.05,212154.3952,9.4692,1.037
2014-04-24,56.19,212684.3081,9.4929,1.0396
2014-04-25,55.7,210829.6131,9.4101,1.0305
2014-04-28,55.49,210034.7438,9.3746,1.0266
2014-04-29,56.1,212343.6498,9.4777,1.0379
2014-04-30,55.98,211889.4388,9.4574,1.0357
2014-05-01,55.72,210905.3149,9.4135,1.0309
2014-05-02,55.58,210354.3425,9.3898,1.0283
2014-05-05,54.22,205207.1329,9.1601,1.0031
2014-05-06,53.34,201876.5856,9.0114,0.9868
2014-05-07,54.05,204563.7317,9.1314,1.0
2014-05-08,54.36,205736.9927,9.1837,1.0057
2014-05-09,54.01,204412.3432,9.1246,0.9992
2014-05-12,54.65,206834.5595,9.2327,1.0111
2014-05-13,54.62,206721.0181,9.2276,1.0105
2014-05-14,54.36,205736.9927,9.1837,1.0057
2014-05-15,53.51,202519.9868,9.0401,0.99
2014-05-16,53.31,201763.0442,9.0063,0.9863
2014-05-19,53.83,203731.0949,9.0942,0.9959
2014-05-20,53.72,203314.7765,9.0756,0.9939
2014-05-21,54.12,204828.6616,9.1432,1.0013
2014-05-22,54.55,206456.0882,9.2158,1.0092
2014-05-23,54.53,206380.3939,9.2124,1.0088
2014-05-27,55.14,208689.0688,9.3155,1.0201
2014-05-28,55.45,209862.3298,9.3679,1.0259
2014-05-29,55.72,210884.2023,9.4135,1.0309
2014-05-30,55.57,210316.4953,9.3881,1.0281
2014-06-02,55.35,209483.8585,9.351,1.024
2014-06-03,55.6,210430.0367,9.3932,1.0286
2014-06-04,55.68,210732.8138,9.4067,1.0301
2014-06-05,56.63,214328.291,9.5672,1.0477
2014-06-06,56.97,215615.0934,9.6247,1.054
2014-06-09,57.42,217318.2142,9.7007,1.0623
2014-06-10,57.9,219134.8764,9.7818,1.0712
2014-06-11,57.27,216750.5072,9.6753,1.0595
2014-06-12,57.04,215880.0233,9.6365,1.0553
2014-06-13,57.04,215880.0233,9.6365,1.0553
2014-06-16,56.87,215236.6221,9.6078,1.0521
2014-06-17,57.42,217318.2142,9.7007,1.0623
2014-06-18,57.78,218680.7108,9.7615,1.069
2014-06-19,57.3,216864.0486,9.6804,1.0601
2014-06-20,57.55,217810.2269,9.7227,1.0647
2014-06-23,58.19,220232.4431,9.8308,1.0766
2014-06-24,57.42,217318.2142,9.7007,1.0623
2014-06-25,57.53,217734.5326,9.7193,1.0643
2014-06-26,57.39,217204.6728,9.6956,1.0618
2014-06-27,57.53,217734.5326,9.7193,1.0643
2014-06-30,57.62,218075.1568,9.9094,1.0377
2014-07-01,57.57,217885.9211,9.9008,1.0368
2014-07-02,56.97,215615.0934,9.7976,1.026
2014-07-03,57.05,215917.8704,9.8113,1.0274
2014-07-07,56.67,214479.6795,9.746,1.0206
2014-07-08,55.76,211035.5908,9.5895,1.0042
2014-07-09,56.02,212019.6161,9.6342,1.0089
2014-07-10,55.56,210278.6482,9.5551,1.0006
2014-07-11,55.8,211186.9793,9.5964,1.0049
2014-07-14,56.29,213041.4886,9.6806,1.0137
2014-07-15,58.27,220535.2201,10.0212,1.0494
2014-07-16,58.71,222200.4938,10.0968,1.0573
2014-07-17,57.86,218983.4879,9.9506,1.042
2014-07-18,58.23,220383.8316,10.0143,1.0487
2014-07-21,58.24,220421.6788,10.016,1.0489
2014-07-22,58.67,222049.1053,10.0899,1.0566
