Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,47.67,9564.6513,14.8816,4.1448
2014-01-03,47.6,9550.6063,14.8597,4.1387
2014-01-06,47.72,9574.6835,14.8972,4.1491
2014-01-07,48.1,9650.9278,15.0158,4.1822
2014-01-08,47.72,9574.6835,14.8972,4.1491
2014-01-09,47.97,9624.8442,14.9752,4.1709
2014-01-10,48.43,9717.14,15.1188,4.2109
2014-01-13,47.43,9516.497,14.8067,4.1239
2014-01-14,48.04,9638.8892,14.9971,4.177
2014-01-15,48.07,9644.9085,15.0064,4.1796
2014-01-16,48.35,9701.0886,15.0939,4.2039
2014-01-17,48.49,9729.1786,15.1376,4.2161
2014-01-21,49.65,9961.9245,15.4997,4.317
2014-01-22,49.44,9919.7894,15.4341,4.2987
2014-01-23,49.09,9849.5644,15.3249,4.2683
2014-01-24,48.47,9725.1657,15.1313,4.2144
2014-01-27,49.05,9841.5387,15.3124,4.2648
2014-01-28,48.98,9827.4937,15.2905,4.2587
2014-01-29,47.9,9610.7992,14.9534,4.1648
2014-01-30,48.29,9689.05,15.0751,4.1987
2014-01-31,47.88,9606.7864,14.9471,4.1631
2014-02-03,47.22,9474.362,14.7411,4.1057
2014-02-04,47.31,9492.4199,14.7692,4.1135
2014-02-05,47.57,9544.587,14.8504,4.1361
2014-02-06,47.86,9602.7735,14.9409,4.1613
2014-02-07,48.89,9809.4358,15.2624,4.2509
2014-02-10,48.7,9771.3136,15.2031,4.2344
2014-02-11,48.9,9811.4422,15.2656,4.2517
2014-02-12,49.99,10030.1431,15.6058,4.3465
2014-02-13,50.07,10046.1945,15.6308,4.3535
2014-02-14,50.3,10092.3424,15.7026,4.3735
2014-02-18,50.62,10156.5482,15.8025,4.4013
2014-02-19,50.96,10224.7668,15.9086,4.4309
2014-02-20,51.47,10153.6992,16.0679,4.4752
2014-02-21,51.74,10206.9632,16.1521,4.4987
2014-02-24,51.75,10208.9359,16.1553,4.4995
2014-02-25,52.48,10352.946,16.3832,4.563
2014-02-26,51.59,10177.3721,16.1053,4.4856
2014-02-27,51.65,10189.2085,16.124,4.4909
2014-02-28,52.11,10279.9546,16.2676,4.5308
2014-03-03,51.68,10195.1267,16.1334,4.4935
2014-03-04,51.95,10248.3907,16.2177,4.5169
2014-03-05,52.08,10274.0364,16.2583,4.5282
2014-03-06,52.0,10258.2545,16.2333,4.5213
2014-03-07,52.29,10315.464,16.3238,4.5465
2014-03-10,52.48,10352.946,16.3832,4.563
2014-03-11,52.99,10453.5558,16.5424,4.6074
2014-03-12,52.99,10453.5558,16.5424,4.6074
2014-03-13,51.86,10230.6361,16.1896,4.5091
2014-03-14,52.38,10333.2186,16.3519,4.5543
2014-03-17,52.72,10400.2918,16.4581,4.5839
2014-03-18,52.77,10410.1555,16.4737,4.5882
2014-03-19,52.31,10319.4094,16.3301,4.5482
2014-03-20,52.54,10364.7825,16.4019,4.5682
2014-03-21,52.77,10410.1555,16.4737,4.5882
2014-03-24,52.4,10402.9184,16.3582,4.5561
2014-03-25,52.76,10474.3888,16.4706,4.5874
2014-03-26,53.39,10599.4621,16.6672,4.6421
2014-03-27,53.72,10664.9766,16.7703,4.6708
2014-03-28,53.95,10710.6383,16.8421,4.6908
2014-03-31,54.46,10811.8881,15.9529,4.8458
2014-04-01,53.76,10672.9178,15.7478,4.7836
2014-04-02,53.73,10666.9619,15.7391,4.7809
2014-04-03,53.77,10674.9031,15.7508,4.7844
2014-04-04,53.71,10662.9913,15.7332,4.7791
2014-04-07,53.68,10657.0355,15.7244,4.7764
2014-04-08,51.62,10248.0658,15.121,4.5931
2014-04-09,52.58,10438.6536,15.4022,4.6786
2014-04-10,52.07,10337.4038,15.2528,4.6332
2014-04-11,51.19,10162.6983,14.995,4.5549
2014-04-14,51.19,10162.6983,14.995,4.5549
2014-04-15,51.68,10259.9775,15.1386,4.5985
2014-04-16,52.4,10402.9184,15.3495,4.6625
2014-04-17,52.54,10430.7124,15.3905,4.675
2014-04-21,52.55,10432.6977,15.3934,4.6759
2014-04-22,52.39,10400.9331,15.3465,4.6617
2014-04-23,54.48,10698.6239,15.9588,4.8476
2014-04-24,53.82,10569.015,15.7654,4.7889
2014-04-25,53.58,10521.8845,15.6951,4.7675
2014-04-28,55.4,10879.2908,16.2282,4.9295
2014-04-29,55.09,10818.4139,16.1374,4.9019
2014-04-30,55.42,10883.2184,16.2341,4.9313
2014-05-01,55.59,10916.6025,16.2839,4.9464
2014-05-02,55.97,10991.2258,16.3952,4.9802
2014-05-05,55.86,10969.6243,16.363,4.9704
2014-05-06,56.15,11026.5736,16.4479,4.9962
2014-05-07,56.68,11130.6535,16.6032,5.0434
