Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,13.29,11916.7692,13.9286,1.1824
2014-01-03,13.32,11943.6694,13.9601,1.185
2014-01-06,13.44,12051.27,14.0858,1.1957
2014-01-07,13.54,12140.9372,14.1906,1.2046
2014-01-08,13.63,12221.6377,14.285,1.2126
2014-01-09,13.76,12338.205,14.4212,1.2242
2014-01-10,13.63,12221.6377,14.285,1.2126
2014-01-13,13.47,12078.1702,14.1173,1.1984
2014-01-14,13.57,12167.8373,14.2221,1.2073
2014-01-15,13.68,12266.4713,14.3374,1.217
2014-01-16,13.53,12131.9705,14.1801,1.2037
2014-01-17,13.54,12140.9372,14.1906,1.2046
2014-01-21,14.01,12562.373,14.6832,1.2464
2014-01-22,14.14,12678.9403,14.8195,1.258
2014-01-23,13.68,12266.4713,14.3374,1.217
2014-01-24,12.93,11593.9673,13.5513,1.1503
2014-01-27,12.86,11454.7106,13.478,1.1441
2014-01-28,12.96,11543.783,13.5828,1.153
2014-01-29,12.87,11463.6179,13.4884,1.145
2014-01-30,12.97,11552.6903,13.5932,1.1539
2014-01-31,12.76,11365.6382,13.3731,1.1352
2014-02-03,12.31,10964.8124,12.9015,1.0952
2014-02-04,12.48,11116.2355,13.0797,1.1103
2014-02-05,12.38,11027.1631,12.9749,1.1014
2014-02-06,12.65,11267.6586,13.2579,1.1254
2014-02-07,12.74,11347.8237,13.3522,1.1334
2014-02-10,12.67,11285.4731,13.2788,1.1272
2014-02-11,12.81,11410.1744,13.4255,1.1396
2014-02-12,12.91,11499.2468,13.5304,1.1485
2014-02-13,12.88,11472.5251,13.4989,1.1459
2014-02-14,12.92,11508.1541,13.5408,1.1494
2014-02-18,12.92,11508.1541,13.5408,1.1494
2014-02-19,12.64,11258.7513,13.2474,1.1245
2014-02-20,12.76,11365.6382,13.3731,1.1352
2014-02-21,12.85,11445.8034,13.4675,1.1432
2014-02-24,12.97,11552.6903,13.5932,1.1539
2014-02-25,12.9,11490.3396,13.5199,1.1477
2014-02-26,13.01,11571.0745,13.6352,1.1574
2014-02-27,13.01,11571.0745,13.6352,1.1574
2014-02-28,13.17,11713.3782,13.8028,1.1717
2014-03-03,13.04,11597.7564,13.6666,1.1601
2014-03-04,13.41,11926.8339,14.0544,1.193
2014-03-05,13.36,11882.3639,14.002,1.1886
2014-03-06,13.64,12131.3955,14.2954,1.2135
2014-03-07,13.9,12362.6391,14.5679,1.2366
2014-03-10,13.98,12433.791,14.6518,1.2437
2014-03-11,13.78,12255.9113,14.4422,1.2259
2014-03-12,13.77,12247.0173,14.4317,1.2251
2014-03-13,13.74,12220.3354,14.4002,1.2224
2014-03-14,13.79,12264.8053,14.4526,1.2268
2014-03-17,13.95,12407.1091,14.6203,1.2411
2014-03-18,13.97,12424.897,14.6413,1.2429
