Date,Price,Market Cap,PE Ratio,PB Ratio
2014-10-20,28.25,4717.75,,
2014-10-21,28.31,4727.77,,
2014-10-22,28.75,4801.25,,
2014-10-23,29.25,4884.75,,
2014-10-24,29.75,4968.25,,
2014-10-27,30.1,5026.7,,
2014-10-28,30.65,5118.55,,
2014-10-29,30.0,5010.0,,
2014-10-30,30.25,5051.75,,
2014-10-31,31.5,5260.5,,6.8407
2014-11-03,31.15,5202.05,,6.7647
2014-11-04,30.16,5036.72,,6.5497
2014-11-05,30.18,5040.06,,6.554
2014-11-06,30.05,5018.35,,6.5258
2014-11-07,29.76,4969.92,,6.4628
2014-11-10,29.78,4973.26,,6.4672
2014-11-11,30.04,5016.68,,6.5236
2014-11-12,30.83,5148.61,,6.6952
2014-11-13,30.41,5078.47,,6.604
2014-11-14,30.7,5126.9,,6.667
2014-11-17,31.05,5185.35,,6.743
2014-11-18,31.0,5177.0,,6.7321
2014-11-19,30.97,5171.99,,6.7256
2014-11-20,31.41,5245.47,,6.8212
2014-11-21,32.3,5394.1,,7.0144
2014-11-24,33.0,5511.0,,7.1664
2014-11-25,32.85,5485.95,,7.1339
2014-11-26,34.2,5711.4,,7.427
2014-11-28,35.2,5878.4,,7.6442
2014-12-01,34.9,5828.3,,7.5791
2014-12-02,34.78,5808.26,,7.553
2014-12-03,34.31,5729.77,,7.4509
2014-12-04,34.14,5701.38,,7.414
2014-12-05,34.1,5694.7,,7.4053
2014-12-08,34.19,5709.73,,7.4249
2014-12-09,33.75,5636.25,,7.3293
2014-12-10,33.47,5589.49,,7.2685
2014-12-11,33.49,5592.83,,7.2729
2014-12-12,32.86,5487.62,,7.136
2014-12-15,32.88,5490.96,,7.1404
2014-12-16,32.89,5492.63,,7.1426
2014-12-17,33.83,5649.61,,7.3467
2014-12-18,34.11,5696.37,,7.4075
2014-12-19,33.98,5674.66,,7.3793
2014-12-22,33.94,5696.3414,,7.3706
2014-12-23,33.63,5644.3123,,7.3033
2014-12-24,33.8,5672.8444,,7.3402
2014-12-26,33.73,5661.0959,,7.325
2014-12-29,33.91,5691.3063,,7.3641
2014-12-30,33.88,5686.2712,,7.3576
2014-12-31,33.77,5667.8093,,7.3337
2015-01-02,33.42,5609.0668,,7.2577
2015-01-05,33.54,5629.2071,,7.2837
2015-01-06,33.61,5640.9556,,7.2989
2015-01-07,33.88,5686.2712,,7.3576
2015-01-08,34.12,5726.5518,,7.4097
2015-01-09,33.96,5699.6981,,7.3749
2015-01-12,34.46,5783.6159,,7.4835
2015-01-13,34.69,5822.2181,,7.5335
2015-01-14,34.93,5862.4986,,7.5856
2015-01-15,34.47,5785.2942,,7.4857
2015-01-16,34.96,5867.5337,,7.5921
2015-01-20,34.92,5860.8203,,7.5834
2015-01-21,35.74,5998.4455,,7.7615
2015-01-22,35.78,6005.1589,,7.7702
2015-01-23,34.87,5852.4285,,7.5725
2015-01-26,34.33,5761.7973,,7.4553
2015-01-27,33.73,5661.0959,,7.325
2015-01-28,33.34,5595.64,,7.2403
2015-01-29,33.68,5652.7041,,7.3141
2015-01-30,33.39,5604.0318,,6.1106
2015-02-02,34.33,5761.7973,,6.2826
2015-02-03,34.05,5714.8033,,6.2314
2015-02-04,34.21,5741.657,,6.2607
2015-02-05,34.61,5808.7912,,6.3339
2015-02-06,35.08,5887.674,,6.4199
2015-02-09,34.97,5869.2121,,6.3997
2015-02-10,35.76,6001.8022,,6.5443
2015-02-11,35.57,5969.9134,,6.5095
2015-02-12,36.22,6079.0066,,6.6285
2015-02-13,36.49,6124.3222,,6.6779
2015-02-17,36.52,6129.3573,,6.6834
2015-02-18,36.5,6126.0006,,6.6797
2015-02-19,37.31,6261.9474,,6.828
2015-02-20,37.3,6260.2691,,6.8261
2015-02-23,36.69,6157.8893,,6.7145
2015-02-24,37.59,6308.9414,,6.8792
2015-02-25,37.3,6260.2691,,6.8261
2015-02-26,37.44,6283.7661,,6.8518
2015-02-27,37.54,6300.5496,,6.8701
2015-03-02,37.88,6357.6138,,6.9323
2015-03-03,37.53,6298.8713,,6.8682
2015-03-04,37.68,6324.0466,,6.8957
2015-03-05,37.34,6289.9434,,6.8335
2015-03-06,37.13,6254.5688,,6.795
2015-03-09,37.39,6298.3659,,6.8426
2015-03-10,36.77,6193.9266,,6.7292
2015-03-11,37.24,6273.0983,,6.8152
2015-03-12,37.33,6288.2589,,6.8316
2015-03-13,37.25,6274.7828,,6.817
2015-03-16,37.94,6391.0137,,6.9433
2015-03-17,38.19,6433.1264,,6.989
2015-03-18,38.72,6522.4052,,7.086
2015-03-19,38.72,6522.4052,,7.086
2015-03-20,38.74,6525.7742,,7.0897
2015-03-23,38.89,6551.0417,,7.1171
2015-03-24,38.68,6515.6671,,7.0787
2015-03-25,37.26,6276.4674,,6.8188
2015-03-26,36.72,6185.5041,,6.72
2015-03-27,36.27,6109.7013,,6.6376
2015-03-30,36.12,6084.4337,,6.6102
2015-03-31,37.15,6257.9378,,6.7987
2015-04-01,36.61,6166.9745,,6.6999
2015-04-02,36.79,6197.2956,,6.7328
2015-04-06,36.73,6187.1886,,6.7218
2015-04-07,36.38,6128.2309,,6.6578
2015-04-08,36.49,6146.7604,,6.6779
2015-04-09,37.18,6262.9913,,6.8042
2015-04-10,37.05,6241.0927,,6.7804
2015-04-13,36.59,6163.6055,,6.6962
2015-04-14,36.15,6089.4872,,6.6157
2015-04-15,36.19,6096.2253,,6.623
2015-04-16,36.07,6076.0112,,6.601
2015-04-17,35.36,5956.4113,,6.4711
2015-04-20,36.13,6086.1182,,6.612
2015-04-21,36.21,6099.5943,,6.6267
2015-04-22,36.01,6065.9042,,6.5901
2015-04-23,35.44,5969.8874,,6.4858
2015-04-24,34.99,5894.0846,,6.4034
2015-04-27,34.34,5784.5918,,6.2844
2015-04-28,33.94,5717.2115,,6.2112
2015-04-29,33.78,5690.2595,,6.182
2015-04-30,33.46,5636.3553,,5.4582
2015-05-01,33.61,5661.6229,,5.4827
2015-05-04,34.48,5808.1748,,5.6246
2015-05-05,34.0,5727.3186,,5.5463
2015-05-06,33.65,5668.3609,,5.4892
2015-05-07,33.91,5712.158,,5.5317
2015-05-08,34.58,5825.0199,,5.6409
2015-05-11,35.02,5899.1381,,5.7127
2015-05-12,34.76,5855.341,,5.6703
2015-05-13,35.25,5937.8818,,5.7502
2015-05-14,35.19,5927.7747,,5.7405
2015-05-15,35.33,5951.3578,,5.7633
2015-05-18,36.22,6101.2788,,5.9085
2015-05-19,34.99,5894.0846,,5.7078
2015-05-20,32.38,5454.4287,,5.2821
2015-05-21,33.03,5563.9215,,5.3881
2015-05-22,33.08,5572.3441,,5.3963
2015-05-26,32.61,5493.1723,,5.3196
2015-05-27,32.97,5553.8145,,5.3783
2015-05-28,32.9,5542.023,,5.3669
2015-05-29,32.86,5535.285,,5.3604
2015-06-01,32.84,5531.9159,,5.3571
2015-06-02,32.97,5553.8145,,5.3783
2015-06-03,33.22,5595.9271,,5.4191
2015-06-04,32.88,5567.8223,,5.3636
2015-06-05,32.89,5569.5157,,5.3653
2015-06-08,32.77,5549.1952,,5.3457
2015-06-09,32.86,5564.4356,,5.3604
2015-06-10,33.11,5606.77,,5.4011
2015-06-11,33.15,5613.5435,,5.4077
2015-06-12,33.03,5593.223,,5.3881
2015-06-15,32.62,5523.7945,,5.3212
2015-06-16,32.62,5523.7945,,5.3212
2015-06-17,33.01,5589.8362,,5.3848
2015-06-18,33.4,5655.8779,,5.4485
2015-06-19,33.29,5637.2508,,5.4305
2015-06-22,33.5,5672.8117,,5.4648
2015-06-23,32.89,5569.5157,,5.3653
2015-06-24,32.46,5496.7005,,5.2951
2015-06-25,32.16,5445.8992,,5.2462
2015-06-26,32.25,5461.1396,,5.2609
2015-06-29,31.4,5317.2026,,5.1222
2015-06-30,31.19,5281.6417,,5.0879
2015-07-01,31.25,5291.8019,,5.0977
2015-07-02,31.47,5329.0562,,5.1336
2015-07-06,31.25,5291.8019,,5.0977
2015-07-07,31.23,5288.4152,,5.0945
2015-07-08,30.38,5144.4782,,4.9558
2015-07-09,30.32,5134.3179,,4.946
2015-07-10,30.35,5139.398,,4.9509
2015-07-13,30.74,5205.4397,,5.0145
2015-07-14,30.93,5237.6139,,5.0455
2015-07-15,30.51,5166.4921,,4.977
2015-07-16,30.79,5213.9066,,5.0227
2015-07-17,30.56,5174.9589,,4.9852
2015-07-20,30.76,5208.8265,,5.0178
2015-07-21,30.42,5151.2517,,4.9623
2015-07-22,30.74,5205.4397,,5.0145
2015-07-23,30.3,5130.9312,,4.9428
2015-07-24,30.06,5090.2901,,4.9036
2015-07-27,29.68,5025.9418,,4.8416
2015-07-28,30.06,5090.2901,,4.9036
2015-07-29,30.49,5163.1053,,4.9738
2015-07-30,30.64,5188.506,,4.9982
2015-07-31,30.54,5171.5722,14.0596,4.6708
2015-08-03,30.49,5163.1053,14.0366,4.6632
2015-08-04,30.41,5149.5583,13.9998,4.6509
2015-08-05,30.35,5139.398,13.9721,4.6418
2015-08-06,29.72,5032.7153,13.6821,4.5454
2015-08-07,29.86,5056.4226,13.7466,4.5668
2015-08-10,30.64,5188.506,14.1056,4.6861
2015-08-11,30.08,5093.6769,13.8478,4.6005
2015-08-12,29.88,5059.8093,13.7558,4.5699
2015-08-13,29.91,5064.8895,13.7696,4.5745
2015-08-14,30.37,5142.7848,13.9813,4.6448
2015-08-17,30.38,5144.4782,13.9859,4.6464
2015-08-18,30.0,5080.1299,13.811,4.5882
2015-08-19,29.54,5002.2345,13.5992,4.5179
2015-08-20,32.77,5549.1952,15.0862,5.0119
2015-08-21,32.35,5478.0734,14.8929,4.9476
2015-08-24,30.59,5180.0391,14.0826,4.6785
2015-08-25,30.35,5139.398,13.9721,4.6418
2015-08-26,31.06,5259.6278,14.299,4.7504
2015-08-27,31.67,5362.9237,14.5798,4.8436
2015-08-28,31.92,5405.2582,14.6949,4.8819
2015-08-31,32.04,5425.5787,14.7502,4.9002
2015-09-01,31.25,5291.8019,14.3865,4.7794
2015-09-02,31.84,5391.7111,14.6581,4.8696
2015-09-03,32.61,5526.4381,15.0126,4.9874
2015-09-04,32.24,5463.734,14.8422,4.9308
2015-09-08,33.09,5607.7841,15.2335,5.0608
2015-09-09,32.72,5545.0799,15.0632,5.0042
2015-09-10,32.97,5587.4476,15.1783,5.0425
2015-09-11,32.84,5565.4164,15.1184,5.0226
2015-09-14,32.83,5563.7217,15.1138,5.0211
2015-09-15,32.95,5584.0582,15.1691,5.0394
2015-09-16,33.55,5685.7406,15.4453,5.1312
2015-09-17,33.71,5712.8559,15.519,5.1556
2015-09-18,32.83,5563.7217,15.1138,5.0211
2015-09-21,32.9,5575.5846,15.1461,5.0318
2015-09-22,32.05,5431.5346,14.7548,4.9018
2015-09-23,31.78,5385.7775,14.6305,4.8605
2015-09-24,31.21,5289.1792,14.368,4.7733
2015-09-25,31.01,5255.2851,14.276,4.7427
2015-09-28,30.23,5123.098,13.9169,4.6234
2015-09-29,30.17,5112.9297,13.8893,4.6142
2015-09-30,30.84,5226.4751,14.1977,4.7167
2015-10-01,30.43,5156.9921,14.009,4.654
2015-10-02,31.3,5304.4316,14.4095,4.7871
2015-10-05,32.1,5440.0081,14.7778,4.9094
2015-10-06,32.15,5448.4816,14.8008,4.9171
2015-10-07,32.7,5541.6905,15.054,5.0012
2015-10-08,33.12,5612.8682,15.2473,5.0654
2015-10-09,32.68,5538.3011,15.0448,4.9981
2015-10-12,32.3,5473.9022,14.8698,4.94
2015-10-13,32.0,5423.061,14.7317,4.8941
2015-10-14,32.44,5497.6281,14.9343,4.9614
2015-10-15,32.76,5551.8587,15.0816,5.0104
2015-10-16,32.59,5523.0487,15.0034,4.9844
2015-10-19,32.03,5428.1452,14.7455,4.8987
2015-10-20,32.0,5423.061,14.7317,4.8941
2015-10-21,31.53,5343.4098,14.5154,4.8222
2015-10-22,32.01,5424.7557,14.7363,4.8956
2015-10-23,32.3,5473.9022,14.8698,4.94
2015-10-26,32.01,5424.7557,14.7363,4.8956
2015-10-27,31.8,5389.1669,14.6397,4.8635
2015-10-28,32.99,5590.837,15.1875,5.0455
2015-10-29,33.06,5602.6999,15.2197,5.0562
2015-10-30,33.08,5606.0893,15.7059,4.3192
2015-11-02,33.37,5655.2358,15.8436,4.3571
2015-11-03,33.08,5606.0893,15.7059,4.3192
2015-11-04,32.7,5541.6905,15.5255,4.2696
2015-11-05,32.27,5468.8181,15.3214,4.2134
2015-11-06,31.99,5421.3663,15.1884,4.1769
2015-11-09,31.66,5365.441,15.0317,4.1338
2015-11-10,30.84,5226.4751,14.6424,4.0267
2015-11-11,31.05,5262.0639,14.7421,4.0541
2015-11-12,30.32,5138.3503,14.3955,3.9588
2015-11-13,30.38,5148.5186,14.424,3.9667
2015-11-16,30.99,5251.8957,14.7136,4.0463
2015-11-17,30.81,5221.391,14.6282,4.0228
2015-11-18,31.23,5292.5686,14.8276,4.0776
2015-11-19,31.13,5275.6216,14.7801,4.0646
2015-11-20,29.47,4994.3003,13.992,3.8478
2015-11-23,30.08,5097.6774,14.2816,3.9275
2015-11-24,30.57,5180.718,14.5142,3.9915
2015-11-25,30.6,5185.8021,14.5285,3.9954
2015-11-27,30.8,5219.6962,14.6234,4.0215
2015-11-30,30.81,5221.391,14.6282,4.0228
2015-12-01,29.99,5082.425,14.2388,3.9157
2015-12-02,29.8,5050.2256,14.1486,3.8909
2015-12-03,29.05,4923.1226,13.7925,3.793
2015-12-04,29.58,5012.942,14.0442,3.8622
2015-12-07,29.18,4945.1538,13.8543,3.81
2015-12-08,29.21,4950.2379,13.8685,3.8139
2015-12-09,28.94,4904.4808,13.7403,3.7786
2015-12-10,29.0,4914.6491,13.7688,3.7865
2015-12-11,28.64,4853.6396,13.5979,3.7395
2015-12-14,27.86,4721.4525,13.2276,3.6376
2015-12-15,28.36,4806.1878,13.4649,3.7029
2015-12-16,28.37,4807.8825,13.4697,3.7042
2015-12-17,28.46,4823.1349,13.5124,3.716
2015-12-18,28.01,4746.8731,13.2988,3.6572
2015-12-21,28.11,4763.8202,13.3462,3.6703
2015-12-22,28.56,4879.4914,13.5599,3.729
2015-12-23,29.0,4954.6657,13.7688,3.7865
2015-12-24,28.95,4946.1231,13.7451,3.78
2015-12-28,28.78,4917.0785,13.6644,3.7578
2015-12-29,28.62,4889.7425,13.5884,3.7369
2015-12-30,28.58,4882.9084,13.5694,3.7316
2015-12-31,28.33,4840.1958,13.4507,3.699
2016-01-04,27.81,4751.3535,13.2038,3.6311
2016-01-05,27.75,4741.1025,13.1753,3.6233
2016-01-06,27.3,4664.2197,12.9617,3.5645
2016-01-07,26.22,4479.7012,12.4489,3.4235
2016-01-08,25.45,4348.1462,12.0833,3.323
2016-01-11,24.93,4259.304,11.8364,3.2551
2016-01-12,25.25,4313.9761,11.9884,3.2969
2016-01-13,24.43,4173.8787,11.599,3.1898
2016-01-14,24.65,4211.4658,11.7035,3.2185
2016-01-15,23.53,4020.1132,11.1717,3.0723
2016-01-19,23.21,3965.441,11.0198,3.0305
2016-01-20,22.91,3914.1859,10.8774,2.9913
2016-01-21,23.33,3985.9431,11.0768,3.0462
2016-01-22,24.0,4100.413,11.3949,3.1336
2016-01-25,23.96,4093.5789,11.3759,3.1284
2016-01-26,23.99,4098.7045,11.3901,3.1323
2016-01-27,23.47,4009.8622,11.1432,3.0644
2016-01-28,23.14,3953.4815,10.9866,3.0214
2016-01-29,23.4,3997.9026,11.0576,2.8954
2016-02-01,23.0,3929.5624,10.8686,2.8459
2016-02-02,22.44,3833.8861,10.604,2.7766
2016-02-03,22.39,3825.3436,10.5803,2.7704
2016-02-04,22.94,3919.3114,10.8402,2.8385
2016-02-05,22.24,3809.6903,10.5094,2.7518
2016-02-08,21.38,3662.3732,10.1031,2.6454
2016-02-09,21.18,3628.1134,10.0085,2.6207
2016-02-10,21.76,3727.4668,10.2826,2.6924
2016-02-11,21.55,3691.494,10.1834,2.6665
2016-02-12,22.21,3804.5514,10.4953,2.7481
2016-02-16,22.6,3871.358,10.6796,2.7964
2016-02-17,23.05,3948.4426,10.8922,2.8521
2016-02-18,23.22,3977.5634,10.9725,2.8731
2016-02-19,23.9,4094.0467,11.2939,2.9572
2016-02-22,24.67,4225.947,11.6577,3.0525
2016-02-23,25.18,4313.3095,11.8987,3.1156
2016-02-24,25.73,4407.524,12.1586,3.1837
2016-02-25,25.74,4409.2369,12.1634,3.1849
2016-02-26,25.94,4443.4967,12.2579,3.2097
2016-02-29,26.09,4469.1916,12.3287,3.2282
2016-03-01,26.34,4512.0164,12.4469,3.2591
2016-03-02,26.88,4604.5178,12.7021,3.326
2016-03-03,27.09,4640.4906,12.8013,3.3519
2016-03-04,27.22,4663.0806,12.8627,3.368
2016-03-07,27.15,4651.0888,12.8296,3.3594
2016-03-08,26.74,4580.8514,12.6359,3.3086
2016-03-09,25.8,4419.8192,12.1917,3.1923
2016-03-10,26.05,4462.6469,12.3098,3.2233
2016-03-11,26.56,4550.0154,12.5508,3.2864
2016-03-14,26.57,4551.7285,12.5556,3.2876
2016-03-15,26.21,4490.0566,12.3855,3.2431
2016-03-16,26.52,4543.163,12.5319,3.2814
2016-03-17,27.25,4668.2199,12.8769,3.3717
2016-03-18,27.74,4752.1622,13.1085,3.4324
2016-03-21,27.94,4786.4244,13.203,3.4571
2016-03-22,28.22,4834.3914,13.3353,3.4918
2016-03-23,27.0,4625.3922,12.7588,3.3408
2016-03-24,27.0,4625.3922,12.7588,3.3408
2016-03-28,27.24,4666.5068,12.8722,3.3705
2016-03-29,27.74,4752.1622,13.1085,3.4324
2016-03-30,27.42,4697.3427,12.9572,3.3928
2016-03-31,27.74,4752.1622,13.1085,3.4324
2016-04-01,27.81,4764.1539,13.1415,3.441
2016-04-04,27.35,4685.351,12.9242,3.3841
2016-04-05,26.9,4608.2611,12.7115,3.3284
2016-04-06,26.77,4585.9907,12.6501,3.3124
2016-04-07,26.43,4527.745,12.4894,3.2703
2016-04-08,26.72,4577.4252,12.6265,3.3062
2016-04-11,26.94,4615.1135,12.7304,3.3334
2016-04-12,26.72,4577.4252,12.6265,3.3062
2016-04-13,27.8,4762.4408,13.1368,3.4398
2016-04-14,27.32,4680.2116,12.91,3.3804
2016-04-15,27.14,4649.3757,12.8249,3.3581
2016-04-18,27.1,4642.5233,12.806,3.3532
2016-04-19,27.26,4669.933,12.8816,3.373
2016-04-20,27.16,4652.8019,12.8344,3.3606
2016-04-21,27.07,4637.3839,12.7918,3.3495
2016-04-22,27.43,4699.0558,12.962,3.394
2016-04-25,26.92,4611.6873,12.721,3.3309
2016-04-26,27.29,4675.0723,12.8958,3.3767
2016-04-27,27.12,4645.9495,12.8155,3.3557
2016-04-28,26.45,4531.1712,12.4989,3.2728
2016-04-29,26.08,4467.7862,12.7522,2.9731
2016-05-02,26.0,4454.0814,12.7131,2.964
2016-05-03,26.0,4454.0814,12.7131,2.964
2016-05-04,25.91,4438.6634,12.6691,2.9537
2016-05-05,25.83,4424.9585,12.63,2.9446
2016-05-06,25.98,4450.6551,12.7033,2.9617
2016-05-09,25.72,4406.1143,12.5762,2.9321
2016-05-10,26.21,4490.0566,12.8158,2.9879
2016-05-11,25.84,4426.6716,12.6348,2.9458
2016-05-12,26.27,4500.3353,12.8451,2.9948
2016-05-13,25.98,4450.6551,12.7033,2.9617
2016-05-16,26.27,4500.3353,12.8451,2.9948
2016-05-17,26.21,4490.0566,12.8158,2.9879
2016-05-18,26.21,4490.0566,12.8158,2.9879
2016-05-19,25.99,4452.3683,12.7082,2.9629
2016-05-20,29.94,5129.046,14.6396,3.4132
2016-05-23,30.13,5161.5951,14.7325,3.4348
2016-05-24,30.42,5211.2752,14.8743,3.4679
2016-05-25,30.49,5223.2669,14.9085,3.4759
2016-05-26,30.48,5221.5538,14.9036,3.4747
2016-05-27,30.72,5262.6684,15.021,3.5021
2016-05-31,30.63,5247.2505,14.977,3.4918
2016-06-01,30.84,5283.2257,15.0797,3.5158
2016-06-02,31.39,5377.4467,15.3486,3.5785
2016-06-03,31.42,5348.5603,15.3633,3.5819
2016-06-06,31.57,5374.0945,15.4366,3.599
2016-06-07,31.33,5333.2398,15.3193,3.5716
2016-06-08,31.7,5396.2241,15.5002,3.6138
2016-06-09,31.26,5321.3238,15.285,3.5636
2016-06-10,30.64,5215.7826,14.9819,3.493
2016-06-13,29.91,5091.5162,14.6249,3.4097
2016-06-14,29.63,5043.8524,14.488,3.3778
2016-06-15,29.84,5079.6002,14.5907,3.4018
2016-06-16,29.49,5020.0205,14.4196,3.3619
2016-06-17,29.66,5048.9592,14.5027,3.3812
2016-06-20,30.45,5183.4393,14.889,3.4713
2016-06-21,30.06,5117.0504,14.6983,3.4268
2016-06-22,30.4,5174.9279,14.8645,3.4656
2016-06-23,31.03,5282.1714,15.1726,3.5374
2016-06-24,29.66,5048.9592,14.5027,3.3812
2016-06-27,28.49,4849.7926,13.9306,3.2479
2016-06-28,28.93,4924.6929,14.1457,3.298
2016-06-29,29.08,4950.227,14.2191,3.3151
2016-06-30,29.09,4951.9293,14.224,3.3163
2016-07-01,28.93,4924.6929,14.1457,3.298
2016-07-05,28.39,4832.7698,13.8817,3.2365
2016-07-06,28.25,4808.9379,13.8132,3.2205
2016-07-07,28.18,4797.0219,13.779,3.2125
2016-07-08,29.02,4940.0134,14.1898,3.3083
2016-07-11,28.53,4856.6017,13.9502,3.2524
2016-07-12,28.9,4919.586,14.1311,3.2946
2016-07-13,28.72,4888.945,14.0431,3.2741
2016-07-14,28.88,4916.1815,14.1213,3.2923
2016-07-15,29.1,4953.6316,14.2289,3.3174
2016-07-18,29.32,4991.0817,14.3364,3.3425
2016-07-19,29.26,4980.8681,14.3071,3.3356
2016-07-20,29.72,5059.1729,14.532,3.3881
2016-07-21,29.52,5025.1273,14.4342,3.3653
2016-07-22,29.86,5083.0048,14.6005,3.404
2016-07-25,29.48,5018.3182,14.4147,3.3607
2016-07-26,29.67,5050.6615,14.5076,3.3824
2016-07-27,29.76,5065.982,14.5516,3.3926
2016-07-28,29.57,5033.6387,14.4587,3.371
2016-07-29,29.24,4977.4635,14.5107,3.1492
2016-08-01,29.19,4968.9521,14.4859,3.1438
2016-08-02,28.2,4800.4265,13.9946,3.0372
2016-08-03,28.61,4870.2199,14.1981,3.0814
2016-08-04,28.49,4849.7926,14.1385,3.0684
2016-08-05,28.93,4924.6929,14.3569,3.1158
2016-08-08,28.93,4924.6929,14.3569,3.1158
2016-08-09,28.79,4900.861,14.2874,3.1007
2016-08-10,29.03,4941.7156,14.4065,3.1266
2016-08-11,29.21,4972.3567,14.4958,3.146
2016-08-12,29.32,4991.0817,14.5504,3.1578
2016-08-15,29.67,5050.6615,14.7241,3.1955
2016-08-16,29.6,5038.7455,14.6894,3.188
2016-08-17,29.68,5052.3638,14.7291,3.1966
2016-08-18,29.41,5006.4022,14.5951,3.1675
2016-08-19,30.19,5139.18,14.9822,3.2515
2016-08-22,30.3,5157.9051,15.0368,3.2634
2016-08-23,30.29,5156.2028,15.0318,3.2623
2016-08-24,29.77,5067.6843,14.7737,3.2063
2016-08-25,29.98,5103.4321,14.878,3.2289
2016-08-26,30.04,5113.6458,14.9077,3.2354
2016-08-29,30.26,5151.096,15.0169,3.2591
2016-08-30,30.46,5185.1415,15.1162,3.2806
2016-08-31,30.43,5180.0347,15.1013,3.2774
2016-09-01,30.59,5207.2712,15.1807,3.2946
