Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,19.77,8099.5762,30.5443,2.2148
2014-01-03,19.94,8169.2235,30.8069,2.2338
2014-01-06,19.95,8173.3204,30.8224,2.2349
2014-01-07,20.01,8197.9018,30.9151,2.2417
2014-01-08,20.15,8255.2585,31.1314,2.2574
2014-01-09,20.27,8304.4213,31.3168,2.2708
2014-01-10,20.56,8423.2315,31.7648,2.3033
2014-01-13,20.24,8292.1306,31.2704,2.2674
2014-01-14,20.59,8435.5222,31.8112,2.3066
2014-01-15,20.76,8505.1695,32.0738,2.3257
2014-01-16,20.89,8558.4293,32.2747,2.3403
2014-01-17,20.76,8505.1695,32.0738,2.3257
2014-01-21,20.96,8587.1076,32.3828,2.3481
2014-01-22,21.08,8636.2704,32.5682,2.3615
2014-01-23,20.88,8554.3323,32.2592,2.3391
2014-01-24,20.69,8476.4912,31.9657,2.3178
2014-01-27,20.46,8382.2624,31.6103,2.2921
2014-01-28,20.7,8480.5881,31.9811,2.319
2014-01-29,20.56,8423.2315,31.7648,2.3033
2014-01-30,20.84,8537.9447,32.1974,2.3347
2014-01-31,20.91,8566.6231,32.3056,2.3425
2014-02-03,20.46,8382.2624,31.6103,2.2921
2014-02-04,20.46,8382.2624,31.6103,2.2921
2014-02-05,20.52,8406.8439,31.703,2.2988
2014-02-06,20.76,8505.1695,32.0738,2.3257
2014-02-07,20.93,8574.8169,32.3365,2.3447
2014-02-10,21.13,8656.7549,32.6455,2.3671
2014-02-11,21.28,8718.2084,32.8772,2.3839
2014-02-12,21.3,8726.4023,32.9081,2.3862
2014-02-13,21.49,8804.2434,33.2016,2.4075
2014-02-14,21.68,8882.0845,33.4952,2.4288
2014-02-18,21.74,8906.666,33.5879,2.4355
2014-02-19,21.8,8931.2474,33.6806,2.4422
2014-02-20,21.7,8891.1638,33.5261,2.431
2014-02-21,21.79,8928.0395,33.6651,2.4411
2014-02-24,21.73,8903.4557,33.5724,2.4344
2014-02-25,21.92,8981.3046,33.866,2.4556
2014-02-26,21.99,9009.9858,33.9741,2.4635
2014-02-27,22.0,9015.0002,33.9896,2.4646
2014-02-28,22.26,9121.5411,34.3913,2.4937
2014-03-03,22.25,9117.4434,34.3758,2.4926
2014-03-04,22.62,9269.0593,34.9475,2.5341
2014-03-05,22.63,9273.157,34.9629,2.5352
2014-03-06,22.38,9170.7138,34.5767,2.5072
2014-03-07,22.05,9035.4888,34.0668,2.4702
2014-03-10,21.89,8969.9252,33.8196,2.4523
2014-03-11,21.91,8978.1206,33.8505,2.4545
2014-03-12,22.0,9015.0002,33.9896,2.4646
2014-03-13,21.96,8998.6093,33.9278,2.4601
2014-03-14,21.88,8965.8275,33.8042,2.4512
2014-03-17,21.87,8961.7297,33.7887,2.45
2014-03-18,21.96,8998.6093,33.9278,2.4601
2014-03-19,21.5,8810.1138,33.2171,2.4086
2014-03-20,21.6,8851.0911,33.3716,2.4198
2014-03-21,21.85,8953.5343,33.7578,2.4478
2014-03-24,21.73,8920.0377,33.5724,2.4344
2014-03-25,21.87,8977.5069,33.7887,2.45
2014-03-26,21.67,8895.408,33.4797,2.4276
2014-03-27,21.76,8932.3525,33.6188,2.4377
2014-03-28,21.84,8965.192,33.7424,2.4467
2014-03-31,21.88,8981.6118,33.2143,2.4661
2014-04-01,21.78,8940.5624,33.0625,2.4548
2014-04-02,21.82,8956.9821,33.1232,2.4593
2014-04-03,21.85,8969.297,33.1688,2.4627
2014-04-04,21.88,8981.6118,33.2143,2.4661
2014-04-07,21.96,9014.4513,33.3358,2.4751
2014-04-08,22.1,9071.9205,33.5483,2.4908
2014-04-09,22.17,9100.6551,33.6545,2.4987
2014-04-10,21.93,9002.1365,33.2902,2.4717
2014-04-11,21.75,8928.2476,33.017,2.4514
2014-04-14,21.85,8969.297,33.1688,2.4627
2014-04-15,22.15,9092.4452,33.6242,2.4965
2014-04-16,22.59,9273.0626,34.2921,2.5461
2014-04-17,22.45,9215.5935,34.0796,2.5303
2014-04-21,22.53,9248.433,34.201,2.5393
2014-04-22,22.65,9297.6923,34.3832,2.5528
2014-04-23,22.48,9227.9083,34.1251,2.5337
2014-04-24,22.69,9314.1121,34.4439,2.5573
2014-04-25,22.54,9252.5379,34.2162,2.5404
2014-04-28,22.81,9363.3713,34.6261,2.5709
2014-04-29,22.85,9379.7911,34.6868,2.5754
2014-04-30,22.92,9408.5257,34.7931,2.5833
2014-05-01,23.01,9445.4702,34.9297,2.5934
2014-05-02,22.97,9429.0504,34.869,2.5889
2014-05-05,22.93,9412.6306,34.8082,2.5844
2014-05-06,22.86,9383.8961,34.702,2.5765
2014-05-07,23.2,9523.4641,35.2181,2.6148
2014-05-08,22.91,9406.7035,34.7779,2.5821
2014-05-09,22.73,9332.7966,34.5046,2.5619
2014-05-12,22.74,9336.9026,34.5198,2.563
2014-05-13,22.73,9332.7966,34.5046,2.5619
2014-05-14,22.78,9353.3263,34.5805,2.5675
2014-05-15,22.74,9336.9026,34.5198,2.563
2014-05-16,22.93,9414.9154,34.8082,2.5844
2014-05-19,22.82,9369.7501,34.6413,2.572
