Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,63.38,10562.2399,18.83,2.9738
2014-01-03,63.47,10577.2383,18.8567,2.978
2014-01-06,62.36,10392.2575,18.527,2.926
2014-01-07,62.33,10387.258,18.5181,2.9246
2014-01-08,62.3,10382.2585,18.5091,2.9231
2014-01-09,62.49,10413.9219,18.5656,2.9321
2014-01-10,63.62,10602.2357,18.9013,2.9851
2014-01-13,62.31,10383.925,18.5121,2.9236
2014-01-14,63.86,10642.2316,18.9726,2.9963
2014-01-15,63.88,10645.5646,18.9786,2.9973
2014-01-16,63.06,10508.9121,18.7349,2.9588
2014-01-17,62.74,10455.5842,18.6399,2.9438
2014-01-21,62.44,10405.5894,18.5507,2.9297
2014-01-22,63.66,10608.9017,18.9132,2.987
2014-01-23,63.53,10587.2373,18.8746,2.9809
2014-01-24,62.07,10339.4483,18.4408,2.9124
2014-01-27,61.7,10277.8148,18.3309,2.895
2014-01-28,61.61,10262.8228,18.3041,2.8908
2014-01-29,61.52,10247.8309,18.2774,2.8865
2014-01-30,61.68,10274.4832,18.3249,2.8941
2014-01-31,61.47,10239.502,18.2625,2.8842
2014-02-03,59.73,9949.6576,17.7456,2.8026
2014-02-04,60.29,10042.9409,17.912,2.8288
2014-02-05,60.93,10149.5503,18.1021,2.8589
2014-02-06,61.83,10299.4698,18.3695,2.9011
2014-02-07,62.24,10367.7665,18.4913,2.9203
2014-02-10,62.33,10382.7584,18.5181,2.9246
2014-02-11,63.61,10595.9773,18.8983,2.9846
2014-02-12,63.79,10625.9612,18.9518,2.9931
2014-02-13,64.44,10734.2364,19.1449,3.0236
2014-02-14,65.28,10874.1612,19.3945,3.063
2014-02-18,64.49,10742.5652,19.1598,3.0259
2014-02-19,64.4,10727.5733,19.133,3.0217
2014-02-20,64.65,10769.2176,19.2073,3.0334
2014-02-21,64.97,10822.5223,19.3024,3.0484
2014-02-24,65.35,10885.8216,19.4153,3.0662
2014-02-25,65.27,10872.4955,19.3915,3.0625
2014-02-26,65.24,10867.4981,19.3826,3.0611
2014-02-27,64.97,10822.5223,19.3024,3.0484
2014-02-28,65.15,10852.5062,19.3559,3.0569
2014-03-03,64.32,10714.2471,19.1093,3.0179
2014-03-04,65.22,10864.1666,19.3767,3.0602
2014-03-05,65.46,10904.1451,19.448,3.0714
2014-03-06,66.13,11015.7519,19.647,3.1028
2014-03-07,66.85,11135.6875,19.8609,3.1366
2014-03-10,66.14,11017.4176,19.65,3.1033
2014-03-11,66.37,11055.7304,19.7183,3.1141
2014-03-12,67.63,11265.6177,20.0927,3.1732
2014-03-13,66.75,11119.0298,19.8312,3.1319
2014-03-14,66.88,11140.6848,19.8698,3.138
2014-03-17,67.78,11290.6043,20.1372,3.1803
2014-03-18,68.55,11418.8688,20.366,3.2164
2014-03-19,68.6,11427.1976,20.3808,3.2187
2014-03-20,69.94,11649.5782,20.7775,3.2814
2014-03-21,70.02,11663.7373,20.8027,3.2854
2014-03-24,69.58,11590.4433,20.672,3.2647
2014-03-25,69.81,11628.7561,20.7403,3.2755
2014-03-26,68.99,11492.1627,20.4967,3.237
