Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,99.5236,39774.9918,17.656,7.8045
2014-01-03,100.0124,39970.3428,17.7427,7.8428
2014-01-06,100.022,39974.1732,17.7444,7.8436
2014-01-07,99.6578,39828.6175,17.6798,7.815
2014-01-08,98.9869,39560.4887,17.5608,7.7624
2014-01-09,99.4182,39732.8572,17.6373,7.7962
2014-01-10,100.5012,40165.6937,17.8295,7.8811
2014-01-13,100.3766,40115.8984,17.8074,7.8714
2014-01-14,101.0475,40384.0272,17.9264,7.924
2014-01-15,100.9996,40364.8751,17.9179,7.9202
2014-01-16,101.6417,40621.5127,18.0318,7.9706
2014-01-17,101.0762,40395.5184,17.9315,7.9262
2014-01-21,102.0059,40767.0683,18.0964,7.9991
2014-01-22,101.6034,40606.191,18.025,7.9676
2014-01-23,101.0379,40380.1968,17.9247,7.9232
2014-01-24,102.9356,41138.6182,18.2613,8.0721
2014-01-27,102.9835,40916.9587,18.2698,8.0758
2014-01-28,104.1336,41373.9187,18.4739,8.166
2014-01-29,102.5618,40749.4067,18.195,8.0427
2014-01-30,103.894,41278.7187,18.4314,8.1472
2014-01-31,104.8237,41648.0947,18.5963,8.2201
2014-02-03,101.105,40170.5907,17.9366,7.9285
2014-02-04,101.1721,40197.2467,17.9485,7.9338
2014-02-05,101.2104,40212.4787,17.9553,7.9368
2014-02-06,101.9292,40498.0787,18.0828,7.9931
2014-02-07,102.4564,40707.5187,18.1763,8.0345
2014-02-10,103.1369,40977.8867,18.297,8.0878
2014-02-11,104.0761,41351.0707,18.4637,8.1615
2014-02-12,103.4723,41111.1667,18.3566,8.1141
2014-02-13,104.2295,41411.9987,18.4909,8.1735
2014-02-14,105.6575,41825.3749,18.7442,8.2855
2014-02-18,105.1687,41631.8794,18.6575,8.2472
2014-02-19,104.2582,41271.4467,18.496,8.1758
2014-02-20,105.3988,41722.9361,18.6983,8.2652
2014-02-21,105.2838,41677.4078,18.6779,8.2562
2014-02-24,105.5809,41795.0227,18.7306,8.2795
2014-02-25,105.4179,41730.5242,18.7017,8.2667
2014-02-26,104.0474,41187.9781,18.4586,8.1592
2014-02-27,104.3732,41316.975,18.5164,8.1848
2014-02-28,105.763,41867.1092,18.7629,8.2938
2014-03-03,104.5074,41370.0915,18.5402,8.1953
2014-03-04,106.2518,42060.6047,18.8496,8.3321
2014-03-05,104.1241,41218.3303,18.4722,8.1652
2014-03-06,104.8429,41502.8825,18.5997,8.2216
2014-03-07,104.4212,41335.9452,18.5249,8.1885
2014-03-10,104.632,41340.9479,18.5623,8.2051
2014-03-11,104.517,41295.5058,18.5419,8.1961
2014-03-12,105.1879,41560.5847,18.6609,8.2487
2014-03-13,104.5458,41306.8663,18.547,8.1983
2014-03-14,105.1017,41526.5031,18.6456,8.2419
2014-03-17,106.4339,42052.8741,18.882,8.3464
2014-03-18,106.1943,41958.203,18.8394,8.3276
2014-03-19,105.2933,41602.2399,18.6796,8.2569
2014-03-20,105.2071,41568.1584,18.6643,8.2502
2014-03-21,105.5809,41715.8452,18.7306,8.2795
2014-03-24,106.0601,41905.1873,18.8156,8.3171
2014-03-25,105.9642,41867.3189,18.7986,8.3096
2014-03-26,106.0409,41897.6136,18.8122,8.3156
2014-03-27,105.0825,41518.9294,18.6422,8.2404
2014-03-28,105.255,41587.0926,18.6728,8.2539
2014-03-31,105.6671,41749.9268,19.2482,8.5385
2014-04-01,105.0441,41503.7821,19.1347,8.4881
2014-04-02,104.9483,41465.9137,19.1172,8.4804
2014-04-03,105.1879,41560.5847,19.1609,8.4998
2014-04-04,105.2071,41568.1584,19.1644,8.5013
2014-04-07,105.5329,41696.911,19.2237,8.5276
2014-04-08,106.1368,41935.482,19.3337,8.5764
2014-04-09,106.6064,42121.0372,19.4193,8.6144
2014-04-10,106.453,42060.4478,19.3913,8.602
2014-04-11,105.1879,41560.5847,19.1609,8.4998
2014-04-14,105.7726,41791.582,19.2674,8.547
2014-04-15,105.9547,41863.532,19.3005,8.5617
2014-04-16,107.7373,42567.8845,19.6253,8.7058
2014-04-17,107.8619,42617.1135,19.648,8.7158
2014-04-21,106.3284,41801.246,19.3686,8.5919
2014-04-22,103.894,40844.1957,18.9252,8.3952
2014-04-23,104.1911,40961.001,18.9793,8.4192
2014-04-24,104.4978,41081.5743,19.0352,8.444
2014-04-25,104.6991,41160.7005,19.0718,8.4603
2014-04-28,106.6064,41910.5155,19.4193,8.6144
2014-04-29,106.4914,41865.3006,19.3983,8.6051
2014-04-30,107.584,42294.8428,19.5973,8.6934
2014-05-01,106.6064,41910.5155,19.4193,8.6144
2014-05-02,106.4147,41835.1572,19.3843,8.5989
2014-05-05,105.648,41533.7241,19.2447,8.5369
2014-05-06,105.2933,41394.3112,19.1801,8.5083
2014-05-07,106.338,41805.0139,19.3704,8.5927
2014-05-08,106.108,41714.584,19.3285,8.5741
2014-05-09,106.2038,41752.2631,19.3459,8.5819
2014-05-12,105.6192,41522.4203,19.2394,8.5346
2014-05-13,106.6543,41929.3551,19.428,8.6183
2014-05-14,106.4051,41831.3893,19.3826,8.5981
2014-05-15,106.1368,41725.8877,19.3337,8.5764
2014-05-16,106.4435,41846.461,19.3896,8.6012
2014-05-19,105.1592,41341.5604,19.1556,8.4974
2014-05-20,105.0058,41281.2738,19.1277,8.485
2014-05-21,105.4467,41454.5979,19.208,8.5207
2014-05-22,105.5521,41496.0449,19.2272,8.5292
2014-05-23,106.1272,41722.1198,19.332,8.5757
2014-05-27,105.9642,41658.0653,19.3023,8.5625
2014-05-28,105.9451,41650.5294,19.2988,8.5609
2014-05-29,106.6351,41921.8193,19.4245,8.6167
2014-05-30,107.6798,42332.522,19.6148,8.7011
2014-06-02,107.4211,42230.7883,19.5677,8.6802
2014-06-03,106.4818,41861.5327,19.3966,8.6043
2014-06-04,106.731,41959.4984,19.442,8.6244
2014-06-05,106.4818,41861.5327,19.3966,8.6043
2014-06-06,107.0185,42072.5359,19.4943,8.6477
2014-06-09,107.3252,42193.1091,19.5502,8.6725
2014-06-10,106.8939,42023.553,19.4716,8.6376
2014-06-11,106.4722,41857.7647,19.3948,8.6035
2014-06-12,105.5521,41496.0449,19.2272,8.5292
2014-06-13,106.0601,41695.7444,19.3197,8.5702
2014-06-16,106.3284,41801.246,19.3686,8.5919
2014-06-17,106.4818,41861.5327,19.3966,8.6043
2014-06-18,107.354,42204.4129,19.5554,8.6748
2014-06-19,108.4082,42618.8835,19.7475,8.76
2014-06-20,107.9769,42449.3273,19.6689,8.7251
2014-06-23,107.2581,42166.7337,19.538,8.667
2014-06-24,106.9514,42046.1605,19.4821,8.6423
2014-06-25,106.7693,41974.5701,19.4489,8.6275
2014-06-26,106.2422,41767.3348,19.3529,8.585
2014-06-27,106.7406,41963.2663,19.4437,8.6252
2014-06-30,106.5968,41906.7476,19.6802,8.6405
2014-07-01,106.8843,42019.7851,19.7333,8.6638
2014-07-02,106.8077,41989.6418,19.7191,8.6576
2014-07-03,107.2294,42155.43,19.797,8.6918
2014-07-07,107.4786,42253.3958,19.843,8.712
2014-07-08,107.814,42385.2728,19.9049,8.7392
2014-07-09,108.3603,42600.0439,20.0058,8.7834
2014-07-10,108.1207,42505.8461,19.9615,8.764
2014-07-11,107.929,42430.4878,19.9262,8.7485
2014-07-14,108.322,42584.9723,19.9987,8.7803
2014-07-15,109.06,42875.1017,20.135,8.8401
2014-07-16,109.4913,43044.6579,20.2146,8.8751
2014-07-17,107.9865,42453.0953,19.9368,8.7531
2014-07-18,108.5808,42686.706,20.0465,8.8013
2014-07-21,107.6415,42317.4503,19.8731,8.7252
2014-07-22,104.3157,40697.6768,19.2591,8.4556
2014-07-23,104.9483,40944.4654,19.3759,8.5069
2014-07-24,104.9387,40940.7261,19.3741,8.5061
2014-07-25,104.0186,40581.761,19.2042,8.4315
2014-07-28,103.8078,40499.4981,19.1653,8.4144
2014-07-29,102.6385,40043.3132,18.9494,8.3196
2014-07-30,101.6896,39673.1304,18.7742,8.2427
2014-07-31,99.5523,38839.2842,18.3796,8.0695
2014-08-01,100.5395,39224.4239,18.5619,8.1495
2014-08-04,100.8558,39347.8182,18.6203,8.1751
2014-08-05,100.2712,39119.7257,18.5123,8.1277
2014-08-06,102.2743,39901.2228,18.8822,8.2901
2014-08-07,101.7663,39703.0441,18.7884,8.2489
2014-08-08,102.8493,40125.576,18.9883,8.3367
2014-08-11,103.5682,40406.0176,19.121,8.395
2014-08-12,103.1465,40241.4919,19.0432,8.3608
