Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,35.91,37197.3639,97.7869,2.8268
2014-01-03,35.97,37259.5148,97.9503,2.8315
2014-01-06,35.95,37238.7978,97.8959,2.83
2014-01-07,36.19,37487.4018,98.5494,2.8489
2014-01-08,36.0,37290.5903,98.032,2.8339
2014-01-09,35.91,37197.3639,97.7869,2.8268
2014-01-10,35.9,37187.0054,97.7597,2.826
2014-01-13,35.46,36731.2315,96.5615,2.7914
2014-01-14,35.5,36772.6655,96.6705,2.7945
2014-01-15,35.49,36762.307,96.6432,2.7938
2014-01-16,35.55,36824.458,96.8066,2.7985
2014-01-17,35.57,36845.1749,96.8611,2.8001
2014-01-21,35.74,37021.2694,97.324,2.8134
2014-01-22,36.39,37694.5717,99.094,2.8646
2014-01-23,36.04,37332.0243,98.1409,2.8371
2014-01-24,35.47,36741.59,96.5888,2.7922
2014-01-27,35.66,36938.4014,97.1061,2.8071
2014-01-28,35.89,37176.6469,97.7325,2.8253
2014-01-29,34.1,35322.4758,92.8581,2.6843
2014-01-30,34.32,35550.3628,93.4572,2.7017
2014-01-31,34.01,35229.2494,92.613,2.6773
2014-02-03,33.32,34514.5131,90.7341,2.6229
2014-02-04,33.66,34866.702,91.6599,2.6497
2014-02-05,33.24,34431.6451,90.5162,2.6166
2014-02-06,33.63,34835.6265,91.5782,2.6473
2014-02-07,33.99,35208.5324,92.5586,2.6757
2014-02-10,33.79,35001.3624,92.0139,2.6599
2014-02-11,33.94,35156.7399,92.4224,2.6717
2014-02-12,33.83,35042.7964,92.1229,2.6631
2014-02-13,33.66,34866.702,91.6599,2.6497
2014-02-14,33.78,34991.0039,91.9867,2.6592
2014-02-18,33.71,34918.4944,91.7961,2.6536
2014-02-19,33.15,34338.4186,90.2711,2.6096
2014-02-20,33.23,34421.2866,90.489,2.6159
2014-02-21,33.03,34214.1166,89.9444,2.6001
2014-02-24,32.1,33250.7764,87.4119,2.5269
2014-02-25,32.89,34069.0977,89.5631,2.5891
2014-02-26,32.17,33323.2859,87.6025,2.5324
2014-02-27,31.87,33012.5309,86.7856,2.5088
2014-02-28,31.85,32991.8139,86.7311,2.5072
2014-03-03,31.64,32774.2855,86.1592,2.4907
2014-03-04,32.05,33198.9839,87.2757,2.523
2014-03-05,32.2,33354.3614,87.6842,2.5348
2014-03-06,32.29,33447.5878,87.9293,2.5419
2014-03-07,32.0,33147.1914,87.1396,2.519
2014-03-10,31.8,32940.0215,86.5949,2.5033
2014-03-11,31.59,32722.493,86.0231,2.4868
2014-03-12,31.29,32411.7381,85.2062,2.4631
2014-03-13,30.96,32069.9077,84.3075,2.4372
2014-03-14,31.7,32836.4365,86.3226,2.4954
2014-03-17,31.68,32815.7195,86.2682,2.4938
2014-03-18,31.56,32691.4175,85.9414,2.4844
2014-03-19,31.06,32173.4927,84.5798,2.445
2014-03-20,31.48,32608.5495,85.7235,2.4781
2014-03-21,31.15,32266.7191,84.8249,2.4521
2014-03-24,31.39,32515.3231,85.4785,2.471
2014-03-25,31.61,32743.21,86.0775,2.4883
2014-03-26,31.84,32981.4554,86.7039,2.5064
2014-03-27,32.3,33457.9463,87.9565,2.5426
2014-03-28,32.14,33292.2104,87.5208,2.5301
2014-03-31,32.49,33486.7037,49.4673,2.6091
2014-04-01,32.88,33888.6679,50.0611,2.6404
2014-04-02,32.81,33816.5204,49.9546,2.6348
2014-04-03,32.96,33971.122,50.1829,2.6469
2014-04-04,33.02,34032.9627,50.2743,2.6517
2014-04-07,32.24,33229.0344,49.0867,2.589
2014-04-08,33.05,34063.883,50.32,2.6541
2014-04-09,32.92,33838.1272,50.122,2.6436
2014-04-10,32.68,33591.4337,49.7566,2.6244
2014-04-11,32.29,33190.5567,49.1628,2.593
2014-04-14,32.44,33344.7402,49.3912,2.6051
2014-04-15,32.9,33817.5694,50.0916,2.642
2014-04-16,33.31,34239.0042,50.7158,2.675
2014-04-17,33.77,34711.8334,51.4162,2.7119
2014-04-21,33.4,34331.5143,50.8529,2.6822
2014-04-22,33.45,34382.9087,50.929,2.6862
2014-04-23,33.61,34547.3711,51.1726,2.6991
2014-04-24,33.68,34619.3234,51.2792,2.7047
2014-04-25,33.0,33920.3584,50.2438,2.6501
2014-04-28,32.38,33283.0668,49.2999,2.6003
2014-04-29,33.02,33940.9162,50.2743,2.6517
2014-04-30,32.66,33570.8759,49.7262,2.6228
2014-05-01,32.6,33509.2025,49.6348,2.6179
2014-05-02,32.72,33633.0845,49.8175,2.6276
2014-05-05,32.74,33653.6426,49.848,2.6292
2014-05-06,32.55,33458.3405,49.5587,2.6139
2014-05-07,32.78,33694.7589,49.9089,2.6324
2014-05-08,32.52,33427.5033,49.513,2.6115
2014-05-09,32.15,33047.1781,48.9497,2.5818
2014-05-12,32.38,33283.5965,49.2999,2.6003
2014-05-13,32.44,33345.2708,49.3912,2.6051
2014-05-14,33.17,34095.6422,50.5027,2.6637
2014-05-15,33.45,34383.4559,50.929,2.6862
2014-05-16,33.45,34383.4559,50.929,2.6862
2014-05-19,33.32,34249.8281,50.731,2.6758
2014-05-20,33.25,34177.8747,50.6245,2.6701
2014-05-21,33.44,34373.1768,50.9138,2.6854
2014-05-22,33.77,34712.3858,51.4162,2.7119
2014-05-23,33.68,34619.8743,51.2792,2.7047
2014-05-27,33.6,34537.6418,51.1574,2.6982
2014-05-28,33.59,34527.3627,51.1421,2.6974
2014-05-29,33.6,34537.6418,51.1574,2.6982
2014-05-30,33.39,34321.7815,50.8376,2.6814
2014-06-02,33.72,34660.9905,51.3401,2.7079
2014-06-03,33.82,34763.7811,51.4923,2.7159
2014-06-04,34.05,35000.1995,51.8425,2.7344
2014-06-05,34.62,35586.1059,52.7104,2.7802
2014-06-06,35.08,36058.9427,53.4107,2.8171
2014-06-09,35.06,36038.3846,53.3803,2.8155
2014-06-10,35.07,36048.6636,53.3955,2.8163
2014-06-11,34.9,35873.9196,53.1367,2.8026
2014-06-12,34.91,35884.1987,53.1519,2.8034
2014-06-13,35.19,36172.0123,53.5782,2.8259
2014-06-16,35.38,36367.3145,53.8675,2.8412
2014-06-17,34.97,35945.873,53.2432,2.8083
2014-06-18,35.07,36048.6636,53.3955,2.8163
2014-06-19,35.4,36387.8726,53.8979,2.8428
2014-06-20,36.03,37035.4534,54.8571,2.8934
2014-06-23,36.01,37014.8953,54.8267,2.8918
2014-06-24,36.11,37117.6859,54.9789,2.8998
2014-06-25,35.97,36973.779,54.7658,2.8886
2014-06-26,36.0,37004.6162,54.8115,2.891
2014-06-27,36.04,37045.7325,54.8724,2.8942
2014-06-30,36.26,37271.8718,29.7358,2.9534
2014-07-01,36.05,37056.0115,29.5636,2.9363
2014-07-02,35.75,36747.6397,29.3175,2.9119
2014-07-03,35.65,36644.8491,29.2355,2.9037
2014-07-07,35.61,36603.7329,29.2027,2.9005
2014-07-08,35.53,36521.5004,29.1371,2.8939
2014-07-09,35.79,36788.7559,29.3503,2.9151
2014-07-10,35.68,36675.6863,29.2601,2.9062
2014-07-11,35.63,36624.291,29.2191,2.9021
2014-07-14,35.97,36973.779,29.4979,2.9298
2014-07-15,36.17,37179.3602,29.662,2.9461
2014-07-16,36.91,37940.0107,30.2688,3.0064
2014-07-17,36.81,37837.2201,30.1868,2.9982
2014-07-18,37.55,38597.8705,30.7937,3.0585
2014-07-21,37.61,38659.5449,30.8429,3.0634
2014-07-22,37.65,38700.6611,30.8757,3.0666
2014-07-23,37.7,38752.0564,30.9167,3.0707
2014-07-24,37.88,38937.0795,31.0643,3.0854
2014-07-25,37.9,38957.6376,31.0807,3.087
2014-07-28,37.79,38844.568,30.9905,3.078
2014-07-29,37.17,38207.2662,30.482,3.0275
2014-07-30,37.3,38340.894,30.5886,3.0381
2014-07-31,35.98,36995.4643,29.5061,2.9306
2014-08-01,35.49,36491.6351,29.1043,2.8907
2014-08-04,36.25,37273.0846,29.7276,2.9526
2014-08-05,35.54,36543.0462,29.1453,2.8948
2014-08-06,35.56,36563.6107,29.1617,2.8964
2014-08-07,35.37,36368.2483,29.0059,2.8809
2014-08-08,36.12,37139.4156,29.621,2.942
2014-08-11,39.37,40481.1404,32.2862,3.2067
2014-08-12,38.73,39823.0777,31.7613,3.1546
2014-08-13,38.77,39864.2066,31.7941,3.1578
2014-08-14,39.88,41005.5341,32.7044,3.2483
2014-08-15,41.43,42599.2798,33.9755,3.3745
2014-08-18,41.14,42301.0951,33.7377,3.3509
2014-08-19,41.42,42588.9976,33.9673,3.3737
2014-08-20,41.6,42774.0777,34.1149,3.3884
