Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,46.9,10474.8884,21.4155,3.1838
2014-01-03,46.44,10372.1497,21.2055,3.1525
2014-01-06,45.81,10231.4422,20.9178,3.1098
2014-01-07,45.34,10121.174,20.7032,3.0779
2014-01-08,45.25,10100.8742,20.6621,3.0718
2014-01-09,45.1,10067.3907,20.5936,3.0616
2014-01-10,45.97,10261.5953,20.9909,3.1206
2014-01-13,45.22,10094.1775,20.6484,3.0697
2014-01-14,45.67,10194.6282,20.8539,3.1003
2014-01-15,44.86,10013.817,20.484,3.0453
2014-01-16,44.66,9969.1722,20.3927,3.0317
2014-01-17,45.19,10087.4808,20.6347,3.0677
2014-01-21,45.03,10051.765,20.5616,3.0568
2014-01-22,44.93,10029.4426,20.516,3.05
2014-01-23,44.77,9993.7268,20.4429,3.0392
2014-01-24,44.57,9949.0821,20.3516,3.0256
2014-01-27,44.81,10002.6558,20.4612,3.0419
2014-01-28,44.95,10033.9071,20.5251,3.0514
2014-01-29,44.73,9984.7979,20.4247,3.0365
2014-01-30,45.05,10056.2295,20.5708,3.0582
2014-01-31,45.11,10069.6229,20.5982,3.0623
2014-02-03,45.76,10214.7183,20.895,3.1064
2014-02-04,45.7,10201.3249,20.8676,3.1023
2014-02-05,46.2,10312.9368,21.0959,3.1363
2014-02-06,47.15,10524.9993,21.5297,3.2007
2014-02-07,47.54,10612.0566,21.7078,3.2272
2014-02-10,47.22,10540.625,21.5616,3.2055
2014-02-11,47.52,10607.5921,21.6986,3.2259
2014-02-12,47.02,10495.9802,21.4703,3.1919
2014-02-13,47.36,10571.8763,21.6256,3.215
2014-02-14,47.29,10556.2506,21.5936,3.2102
2014-02-18,47.23,10542.8572,21.5662,3.2062
2014-02-19,47.37,10574.1085,21.6301,3.2157
2014-02-20,47.33,10565.1796,21.6119,3.213
2014-02-21,47.05,10502.6769,21.484,3.194
2014-02-24,47.89,10690.1849,21.8676,3.251
2014-02-25,48.18,10754.9198,22.0,3.2707
2014-02-26,48.29,10779.4744,22.0502,3.2781
2014-02-27,48.68,10866.5316,22.2283,3.3046
2014-02-28,48.43,10810.7257,22.318,3.2367
2014-03-03,48.13,10743.7586,22.1797,3.2167
2014-03-04,49.43,11033.9494,22.7788,3.3036
2014-03-05,49.1,10960.2856,22.6267,3.2815
2014-03-06,48.95,10926.8021,22.5576,3.2715
2014-03-07,48.6,10848.6737,22.3963,3.2481
2014-03-10,48.84,10902.2474,22.5069,3.2641
2014-03-11,48.53,10833.0481,22.3641,3.2434
2014-03-12,47.64,10634.379,21.9539,3.1839
2014-03-13,47.14,10522.7671,21.7235,3.1505
2014-03-14,47.21,10538.3927,21.7558,3.1552
2014-03-17,47.56,10616.5211,21.9171,3.1786
2014-03-18,47.91,10694.6494,22.0783,3.202
2014-03-19,47.35,10569.6441,21.8203,3.1646
2014-03-20,47.39,10578.573,21.8387,3.1672
2014-03-21,48.42,10808.4935,22.3134,3.2361
2014-03-24,47.52,10607.5921,21.8986,3.1759
2014-03-25,46.54,10388.8328,21.447,3.1104
2014-03-26,45.32,10116.4999,20.8848,3.0289
2014-03-27,45.45,10145.519,20.9447,3.0376
2014-03-28,45.67,10194.6282,21.0461,3.0523
2014-03-31,46.8,10446.871,21.5668,3.1278
2014-04-01,47.5,10603.1276,21.8894,3.1746
2014-04-02,47.88,10687.9527,22.0645,3.2
2014-04-03,47.56,10616.5211,21.9171,3.1786
2014-04-04,45.56,10170.0736,20.9954,3.0449
2014-04-07,43.68,9750.4129,20.129,2.9193
2014-04-08,44.46,9924.5275,20.4885,2.9714
2014-04-09,45.04,10053.9972,20.7558,3.0102
2014-04-10,43.76,9768.2708,20.1659,2.9246
2014-04-11,42.88,9571.834,19.7604,2.8658
2014-04-14,43.32,9670.0524,19.9631,2.8952
2014-04-15,43.37,9681.2136,19.9862,2.8986
2014-04-16,43.81,9779.432,20.1889,2.928
2014-04-17,44.44,9920.063,20.4793,2.9701
2014-04-21,43.72,9759.3419,20.1475,2.922
2014-04-22,43.51,9712.4649,20.0507,2.9079
2014-04-23,43.25,9654.4267,19.9309,2.8905
2014-04-24,43.54,9719.1616,20.0645,2.9099
2014-04-25,42.98,9490.2288,19.8065,2.8725
2014-04-28,43.17,9532.1818,19.894,2.8852
2014-04-29,43.68,9644.7927,20.129,2.9193
2014-04-30,43.78,9666.8733,20.1751,2.926
2014-05-01,44.48,9821.4373,20.4977,2.9727
2014-05-02,44.86,9905.3435,20.6728,2.9981
2014-05-05,44.3,9781.6923,20.4147,2.9607
2014-05-06,43.63,9633.7525,20.106,2.9159
2014-05-07,44.11,9739.7392,20.3272,2.948
2014-05-08,44.6,9847.934,20.553,2.9808
2014-05-09,44.98,9931.8401,20.7281,3.0062
2014-05-12,45.61,10070.9477,21.0184,3.0483
2014-05-13,45.49,10044.451,20.9631,3.0402
2014-05-14,44.8,9892.0951,20.6452,2.9941
2014-05-15,44.19,9757.4036,20.3641,2.9534
2014-05-16,44.52,9830.2695,20.5161,2.9754
2014-05-19,44.56,9839.1018,20.5346,2.9781
2014-05-20,43.88,9688.9539,20.2212,2.9326
2014-05-21,44.34,9790.5245,20.4332,2.9634
2014-05-22,44.53,9832.4776,20.5207,2.9761
2014-05-23,44.7,9870.0145,20.5991,2.9875
2014-05-27,45.08,9953.9207,20.7742,3.0128
2014-05-28,44.88,9909.7596,20.682,2.9995
2014-05-29,44.98,9931.8401,20.7281,3.0062
2014-05-30,44.31,9783.9003,19.3493,2.9078
2014-06-02,44.3,9781.6923,19.345,2.9071
2014-06-03,45.51,10048.8672,19.8734,2.9865
2014-06-04,46.01,10159.27,20.0917,3.0193
2014-06-05,46.11,10181.3506,20.1354,3.0259
2014-06-06,46.43,10252.0084,20.2751,3.0469
2014-06-09,46.27,10216.6795,20.2052,3.0364
2014-06-10,46.11,10181.3506,20.1354,3.0259
2014-06-11,45.72,10095.2364,19.9651,3.0003
2014-06-12,43.87,9686.7458,19.1572,2.8789
2014-06-13,44.19,9757.4036,19.2969,2.8999
2014-06-16,44.3,9781.6923,19.345,2.9071
2014-06-17,44.29,9779.4842,19.3406,2.9064
2014-06-18,44.95,9925.216,19.6288,2.9498
2014-06-19,45.28,9998.0819,19.7729,2.9714
2014-06-20,52.75,11647.5004,23.0349,3.4616
2014-06-23,51.91,11462.0236,22.6681,3.4065
2014-06-24,50.07,11055.7411,21.8646,3.2857
2014-06-25,50.01,11042.4928,21.8384,3.2818
2014-06-26,51.57,11386.9497,22.5197,3.3842
2014-06-27,51.88,11455.3994,22.655,3.4045
2014-06-30,52.01,11484.1042,22.7118,3.413
2014-07-01,52.16,11517.225,22.7773,3.4229
2014-07-02,52.6,11614.3795,22.9694,3.4518
2014-07-03,52.95,11691.6615,23.1223,3.4747
2014-07-07,52.55,11603.3393,22.9476,3.4485
2014-07-08,52.17,11437.4319,22.7817,3.4235
2014-07-09,53.44,11715.8589,23.3362,3.5069
2014-07-10,52.43,11494.4327,22.8952,3.4406
2014-07-11,52.19,11441.8165,22.7904,3.4249
2014-07-14,52.46,11501.0097,22.9083,3.4426
2014-07-15,52.45,11498.8174,22.9039,3.4419
2014-07-16,52.59,11529.5101,22.9651,3.4511
2014-07-17,51.1,11202.8516,22.3144,3.3533
2014-07-18,52.15,11433.0472,22.7729,3.4222
2014-07-21,51.66,11325.6226,22.559,3.3901
2014-07-22,51.32,11251.0831,22.4105,3.3678
2014-07-23,50.84,11145.8508,22.2009,3.3363
2014-07-24,50.92,11163.3895,22.2358,3.3415
2014-07-25,50.42,11053.7726,22.0175,3.3087
2014-07-28,49.94,10948.5403,21.8079,3.2772
2014-07-29,49.43,10836.731,21.5852,3.2437
2014-07-30,50.06,10974.8484,21.8603,3.2851
2014-07-31,48.81,10700.806,21.3144,3.2031
2014-08-01,49.96,10952.925,21.8166,3.2785
2014-08-04,50.68,11110.7734,22.131,3.3258
2014-08-05,49.68,10891.5395,21.6943,3.2601
2014-08-06,50.03,10968.2714,21.8472,3.2831
2014-08-07,49.39,10827.9617,21.5677,3.2411
2014-08-08,50.57,11086.6577,22.083,3.3186
2014-08-11,50.6,11093.2347,22.0961,3.3205
2014-08-12,50.0,10961.6943,21.8341,3.2811
2014-08-13,49.81,10920.0399,21.7511,3.2687
2014-08-14,50.7,11115.1581,22.1397,3.3271
2014-08-15,50.4,11049.3879,22.0087,3.3074
2014-08-18,50.92,11163.3895,22.2358,3.3415
2014-08-19,50.96,11172.1589,22.2533,3.3441
2014-08-20,51.25,11235.7367,22.3799,3.3632
2014-08-21,51.08,11198.4669,22.3057,3.352
2014-08-22,51.26,11237.929,22.3843,3.3638
2014-08-25,51.57,11305.8915,22.5197,3.3842
2014-08-26,51.86,11369.4694,22.6463,3.4032
2014-08-27,52.0,11400.1621,22.7074,3.4124
2014-08-28,51.96,11391.3928,22.69,3.4098
2014-08-29,52.4,11487.8557,22.684,3.3816
2014-09-02,51.88,11373.854,22.4589,3.348
2014-09-03,52.8,11575.5492,22.8571,3.4074
2014-09-04,53.34,11693.9355,23.0909,3.4422
2014-09-05,53.71,11775.0521,23.2511,3.4661
2014-09-08,52.84,11584.3186,22.8745,3.41
2014-09-09,52.24,11452.7782,22.6147,3.3713
2014-09-10,52.1,11422.0855,22.5541,3.3622
2014-09-11,52.54,11518.5484,22.7446,3.3906
2014-09-12,52.53,11516.3561,22.7403,3.39
2014-09-15,52.05,11411.1238,22.5325,3.359
2014-09-16,52.13,11428.6625,22.5671,3.3642
2014-09-17,53.35,11696.1279,23.0952,3.4429
2014-09-18,53.52,11733.3976,23.1688,3.4539
2014-09-19,53.57,11744.3593,23.1905,3.4571
2014-09-22,52.81,11577.7416,22.8615,3.408
2014-09-23,47.8,10479.3798,20.6926,3.0847
2014-09-24,48.48,10628.4588,20.987,3.1286
2014-09-25,47.52,10417.9943,20.5714,3.0667
2014-09-26,47.5,10413.6096,20.5628,3.0654
2014-09-29,47.11,10328.1084,20.3939,3.0402
2014-09-30,46.45,10183.414,20.1082,2.9976
2014-10-01,45.31,9933.4874,19.6147,2.924
2014-10-02,46.05,10095.7205,19.9351,2.9718
2014-10-03,46.83,10266.7229,20.2727,3.0221
2014-10-06,46.9,10282.0693,20.303,3.0266
2014-10-07,46.44,10181.2217,20.1039,2.997
2014-10-08,47.42,10214.0289,20.5281,3.0602
2014-10-09,46.3,9972.7866,20.0433,2.9879
2014-10-10,45.6,9822.0101,19.7403,2.9427
2014-10-13,43.9,9455.8387,19.0043,2.833
2014-10-14,44.58,9602.3072,19.2987,2.8769
2014-10-15,45.06,9705.6968,19.5065,2.9079
2014-10-16,45.88,9882.3207,19.8615,2.9608
2014-10-17,46.71,10061.0985,20.2208,3.0144
2014-10-20,47.08,10140.7946,20.381,3.0383
2014-10-21,48.8,10511.274,21.1255,3.1493
2014-10-22,48.33,10410.0383,20.9221,3.1189
2014-10-23,52.73,11357.7762,22.8268,3.4029
2014-10-24,53.58,11540.8619,23.1948,3.4577
2014-10-27,54.77,11797.1819,23.71,3.5345
2014-10-28,55.74,12006.115,24.1299,3.5971
2014-10-29,54.96,11838.1069,23.7922,3.5468
2014-10-30,55.76,12010.4229,24.1385,3.5984
2014-10-31,55.91,12042.7321,24.2035,3.6081
2014-11-03,56.32,12131.0441,24.381,3.6346
2014-11-04,55.43,11939.3425,23.9957,3.5771
2014-11-05,56.57,12184.8928,24.4892,3.6507
2014-11-06,56.26,12118.1204,24.355,3.6307
2014-11-07,55.64,11984.5755,24.0866,3.5907
2014-11-10,56.08,12079.3493,24.2771,3.6191
2014-11-11,55.74,12006.115,24.1299,3.5971
2014-11-12,55.9,12040.5782,24.1991,3.6074
2014-11-13,55.85,12029.8084,24.1775,3.6042
2014-11-14,55.65,11986.7294,24.0909,3.5913
2014-11-17,54.66,11773.4884,23.6623,3.5274
2014-11-18,55.13,11874.7241,23.8658,3.5578
2014-11-19,55.03,11853.1846,23.8225,3.5513
2014-11-20,55.05,11857.4925,23.8312,3.5526
2014-11-21,56.09,12081.5032,24.2814,3.6197
2014-11-24,56.31,12128.8901,24.3766,3.6339
2014-11-25,56.71,12215.0481,24.5498,3.6597
2014-11-26,56.25,12115.9664,24.3506,3.63
2014-11-28,56.98,12273.2047,23.3525,3.7767
2014-12-01,56.14,12092.273,23.0082,3.7211
2014-12-02,57.1,12299.0521,23.4016,3.7847
2014-12-03,58.73,12650.1459,24.0697,3.8927
2014-12-04,59.32,12777.2289,24.3115,3.9318
2014-12-05,59.07,12723.3802,24.209,3.9153
2014-12-08,58.48,12596.2972,23.9672,3.8762
2014-12-09,59.45,12805.2303,24.3648,3.9404
2014-12-10,58.9,12686.7631,24.1393,3.904
2014-12-11,59.51,12818.154,24.3893,3.9444
2014-12-12,58.3,12557.5261,23.8934,3.8642
2014-12-15,58.84,12673.8394,24.1148,3.9
2014-12-16,58.23,12542.4484,23.8648,3.8596
2014-12-17,60.11,12947.391,24.6352,3.9842
2014-12-18,60.53,13037.8568,24.8074,4.012
2014-12-19,67.32,14500.3886,27.5902,4.4621
2014-12-22,67.85,14614.5479,27.8074,4.4972
2014-12-23,67.76,14595.1624,27.7705,4.4912
2014-12-24,67.61,14562.8531,27.709,4.4813
2014-12-26,67.61,14562.8531,27.709,4.4813
2014-12-29,67.87,14618.8558,27.8156,4.4985
2014-12-30,67.24,14483.157,27.5574,4.4568
