Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,40.66,179551.4231,19.7537,5.3955
2014-01-03,40.46,178668.2386,19.6565,5.369
2014-01-06,40.27,177829.2132,19.5642,5.3438
2014-01-07,40.39,178359.124,19.6225,5.3597
2014-01-08,39.94,176371.9587,19.4039,5.3
2014-01-09,39.73,175444.6149,19.3018,5.2721
2014-01-10,40.13,177210.984,19.4962,5.3252
2014-01-13,39.53,174561.4303,19.2047,5.2456
2014-01-14,39.69,175267.978,19.2824,5.2668
2014-01-15,39.76,175577.0926,19.3164,5.2761
2014-01-16,39.71,175356.2964,19.2921,5.2694
2014-01-17,39.28,173457.4496,19.0832,5.2124
2014-01-21,39.92,176283.6402,19.3942,5.2973
2014-01-22,39.9,176195.3218,19.3844,5.2947
2014-01-23,39.24,173280.8127,19.0638,5.2071
2014-01-24,38.84,171514.4436,18.8695,5.154
2014-01-27,38.73,171028.692,18.816,5.1394
2014-01-28,38.87,171646.9212,18.884,5.158
2014-01-29,37.9,167363.4761,18.4128,5.0293
2014-01-30,38.17,168555.7752,18.544,5.0651
2014-01-31,37.82,167010.2022,18.3739,5.0186
2014-02-03,37.2,164272.3301,18.0727,4.9364
2014-02-04,37.48,165508.7885,18.2087,4.9735
2014-02-05,37.61,166082.8584,18.2719,4.9908
2014-02-06,38.03,167937.546,18.4759,5.0465
2014-02-07,37.95,167584.2722,18.4371,5.0359
2014-02-10,38.57,170322.1444,18.7383,5.1182
2014-02-11,38.64,170631.259,18.7723,5.1275
2014-02-12,38.51,170057.189,18.7091,5.1102
2014-02-13,38.65,170675.4182,18.7772,5.1288
2014-02-14,38.93,171911.8766,18.9132,5.1659
2014-02-18,37.47,165464.6292,18.2039,4.9722
2014-02-19,37.1,163314.2,18.0241,4.9231
2014-02-20,37.3,164194.6,18.1213,4.9496
2014-02-21,37.18,163666.36,18.063,4.9337
2014-02-24,37.5,165075.0,18.2185,4.9762
2014-02-25,37.77,166263.54,18.3496,5.012
2014-02-26,37.87,166703.74,18.3982,5.0253
2014-02-27,38.07,167732.349,18.4954,5.0518
2014-02-28,38.2,168305.1151,18.5585,5.0691
2014-03-03,38.12,167952.6437,18.5197,5.0585
2014-03-04,38.31,168789.7634,18.612,5.0837
2014-03-05,38.35,168965.9991,18.6314,5.089
2014-03-06,38.47,169494.7063,18.6897,5.1049
2014-03-07,38.55,169847.1777,18.7286,5.1155
2014-03-10,38.65,170287.767,18.7772,5.1288
2014-03-11,38.8,170948.651,18.85,5.1487
2014-03-12,38.47,169494.7063,18.6897,5.1049
