Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,19.64,20289.1509,12.7914,4.0509
2014-01-03,19.55,20196.1762,12.7328,4.0324
2014-01-06,19.38,20020.5573,12.6221,3.9973
2014-01-07,19.5,20144.5236,12.7002,4.0221
2014-01-08,19.475,20118.6972,12.6839,4.0169
2014-01-09,19.68,20330.473,12.8175,4.0592
2014-01-10,19.73,20382.1256,12.85,4.0695
2014-01-13,19.305,19943.0783,12.5732,3.9818
2014-01-14,19.5,20144.5236,12.7002,4.0221
2014-01-15,19.63,20278.8204,12.7849,4.0489
2014-01-16,18.675,19292.2553,12.1629,3.8519
2014-01-17,18.395,19003.0006,11.9805,3.7942
2014-01-21,18.295,18899.6953,11.9154,3.7735
2014-01-22,18.215,18817.0511,11.8633,3.757
2014-01-23,18.2,18801.5553,11.8535,3.7539
2014-01-24,18.04,18636.2669,11.7493,3.7209
2014-01-27,17.89,18481.3091,11.6516,3.69
2014-01-28,18.325,18930.6869,11.935,3.7797
2014-01-29,18.265,18868.7037,11.8959,3.7673
2014-01-30,18.21,18811.8858,11.8601,3.756
2014-01-31,18.05,18646.5974,12.1093,3.4062
2014-02-03,17.69,18274.6986,11.8678,3.3382
2014-02-04,17.735,18321.1859,11.898,3.3467
2014-02-05,17.725,18310.8554,11.8913,3.3448
2014-02-06,18.38,18987.5048,12.3307,3.4684
2014-02-07,18.14,18739.5722,12.1697,3.4232
2014-02-10,18.095,18693.0848,12.1395,3.4147
2014-02-11,18.545,19157.9584,12.4414,3.4996
2014-02-12,18.465,19075.3142,12.3877,3.4845
2014-02-13,18.545,19157.9584,12.4414,3.4996
2014-02-14,18.69,19307.751,12.5387,3.5269
2014-02-18,18.8,19421.3868,12.6125,3.5477
2014-02-19,19.385,20025.7225,13.0049,3.6581
2014-02-20,19.64,20289.1509,13.176,3.7062
2014-02-21,19.8,20454.4393,13.2833,3.7364
2014-02-24,19.89,20547.414,13.3437,3.7534
2014-02-25,19.825,20480.2656,13.3001,3.7411
2014-02-26,20.015,20676.5456,13.4276,3.777
2014-02-27,20.07,20733.3635,13.4645,3.7874
2014-02-28,20.97,21663.1107,14.0683,3.9572
2014-03-03,20.995,21688.937,14.085,3.9619
2014-03-04,21.195,21895.5475,14.2192,3.9997
2014-03-05,21.84,22561.8664,14.6519,4.1214
2014-03-06,21.685,22401.7433,14.5479,4.0921
2014-03-07,21.89,22613.519,14.6855,4.1308
2014-03-10,21.875,22598.0232,14.6754,4.128
2014-03-11,21.67,22386.2475,14.5379,4.0893
2014-03-12,21.935,22660.0064,14.7156,4.1393
2014-03-13,21.745,22463.7264,14.5882,4.1034
2014-03-14,21.955,22680.6674,14.7291,4.1431
2014-03-17,22.01,22737.4853,14.766,4.1534
2014-03-18,22.0,22727.1548,14.7593,4.1516
2014-03-19,21.845,22567.0316,14.6553,4.1223
