Date,Price,Market Cap,PE Ratio,PB Ratio
2023-05-03,22.0,,16.8181,2.0771
2023-05-04,26.9,50813.3619,20.564,2.5397
2023-05-05,26.5,50057.7728,20.2582,2.502
2023-05-08,26.51,50763.8517,20.2658,2.5029
2023-05-09,26.28,50323.426,20.09,2.4812
2023-05-10,26.25,50265.9792,20.0671,2.4784
2023-05-11,26.0,49787.2555,19.8759,2.4548
2023-05-12,26.5,50744.7028,20.2582,2.502
2023-05-15,27.5,52659.5972,21.0226,2.5964
2023-05-16,27.03,51759.5968,20.6633,2.552
2023-05-17,27.22,52123.4268,20.8086,2.5699
2023-05-18,27.04,51778.7458,20.671,2.5529
2023-05-19,27.23,52142.5757,20.8162,2.5709
2023-05-22,26.07,49921.2982,19.9295,2.4614
2023-05-23,26.0,49787.2555,19.8759,2.4548
2023-05-24,26.45,50648.958,20.22,2.4972
2023-05-25,26.33,50419.1707,20.1282,2.4859
2023-05-26,26.3,50361.7239,20.1053,2.4831
2023-05-30,25.73,49270.234,19.6695,2.4293
2023-05-31,25.09,48044.7016,19.1803,2.3688
2023-06-01,25.28,48408.5315,19.3255,2.3868
2023-06-02,25.55,48925.553,19.5319,2.4123
2023-06-05,25.15,48159.5953,19.2262,2.3745
2023-06-06,25.17,48197.8932,19.2414,2.3764
2023-06-07,25.08,48025.5527,19.1726,2.3679
2023-06-08,25.11,48082.9995,19.1956,2.3707
2023-06-09,25.1,48063.8505,19.1879,2.3698
2023-06-12,25.02,47910.659,19.1268,2.3622
2023-06-13,25.13,48121.2974,19.2109,2.3726
2023-06-14,25.34,48523.4252,19.3714,2.3924
2023-06-15,25.75,49308.5319,19.6848,2.4311
2023-06-16,26.25,50265.9792,20.0671,2.4784
2023-06-20,26.06,49902.1492,19.9218,2.4604
2023-06-21,26.2,50170.2344,20.0288,2.4736
2023-06-22,26.55,50840.4475,20.2964,2.5067
2023-06-23,26.48,50706.4049,20.2429,2.5001
2023-06-26,26.15,50074.4897,19.9906,2.4689
2023-06-27,25.89,49576.6172,19.7919,2.4444
2023-06-28,25.8,49404.2767,19.7231,2.4359
2023-06-29,25.99,49768.1066,19.8683,2.4538
2023-06-30,26.42,50591.5112,21.7107,4.5828
2023-07-03,26.04,49863.8513,21.3985,4.5169
2023-07-05,25.7,49212.7872,21.1191,4.4579
2023-07-06,25.62,49059.5957,21.0533,4.444
2023-07-07,25.22,48293.6379,20.7246,4.3747
2023-07-10,25.25,48351.0847,20.7493,4.3799
2023-07-11,25.08,48025.5527,20.6096,4.3504
2023-07-12,25.25,48351.0847,20.7493,4.3799
2023-07-13,25.4,48638.3189,20.8725,4.4059
2023-07-14,24.94,47757.4674,20.4945,4.3261
2023-07-17,24.89,47661.7227,20.4534,4.3174
2023-07-18,24.81,47508.5312,20.3877,4.3035
2023-07-19,25.0,47872.3611,20.5438,4.3365
2023-07-20,24.51,46934.0628,20.1412,4.2515
2023-07-21,24.01,45976.6156,19.7303,4.1648
2023-07-24,24.16,46263.8498,19.8536,4.1908
2023-07-25,25.12,48102.1484,20.6424,4.3573
2023-07-26,24.69,47278.7438,20.2891,4.2827
2023-07-27,24.24,46417.0413,19.9193,4.2047
2023-07-28,24.4,46723.4244,20.0508,4.2324
2023-07-31,23.68,45344.7004,19.4591,4.1075
2023-08-01,23.65,45287.2536,19.4345,4.1023
2023-08-02,23.9,45765.9772,19.6399,4.1457
2023-08-03,23.99,45938.3177,19.7139,4.1613
2023-08-04,23.53,45057.4663,19.3359,4.0815
2023-08-07,23.54,45076.6152,19.3441,4.0833
2023-08-08,23.38,44770.2321,19.2126,4.0555
2023-08-09,23.35,44712.7853,19.1879,4.0503
2023-08-10,23.37,44751.0832,19.2044,4.0538
2023-08-11,23.72,45421.2962,19.492,4.1145
2023-08-14,22.94,43927.6785,18.851,3.9792
2023-08-15,23.26,44540.4448,19.114,4.0347
2023-08-16,22.93,43908.5296,18.8428,3.9774
2023-08-17,22.78,43621.2954,18.7195,3.9514
2023-08-18,22.87,43793.6359,18.7935,3.967
2023-08-21,22.9,43851.0828,18.8182,3.9722
2023-08-22,23.74,45459.5941,19.5084,4.1179
2023-08-23,23.62,45229.8068,19.4098,4.0971
2023-08-24,23.66,45306.4025,19.4427,4.1041
2023-08-25,22.97,43985.1254,18.8757,3.9844
2023-08-28,22.97,43985.1254,18.8757,3.9844
2023-08-29,22.86,43774.487,18.7853,3.9653
2023-08-30,23.07,44176.6148,18.9579,4.0017
2023-08-31,23.05,44138.3169,18.9414,3.9983
2023-09-01,22.96,43965.9764,18.8675,3.9826
2023-09-05,22.61,43295.7634,18.5798,3.9219
2023-09-06,22.38,42855.3377,18.3908,3.882
2023-09-07,20.99,40193.6344,17.2486,3.6409
2023-09-08,21.3,40787.2517,17.5033,3.6947
2023-09-11,22.07,42261.7204,18.1361,3.8283
2023-09-12,21.06,40327.677,17.3061,3.6531
2023-09-13,21.6,41361.72,17.7499,3.7467
2023-09-14,21.74,41629.8052,17.8649,3.771
2023-09-15,21.22,40634.0601,17.4376,3.6808
2023-09-18,21.08,40365.9749,17.3226,3.6565
2023-09-19,21.06,40327.677,17.3061,3.6531
2023-09-20,20.89,40002.1449,17.1664,3.6236
2023-09-21,20.84,39906.4002,17.1253,3.6149
2023-09-22,20.55,39351.0808,16.887,3.5646
2023-09-25,20.83,39887.2513,17.1171,3.6132
2023-09-26,20.64,39523.4213,16.961,3.5802
2023-09-27,20.22,38719.1657,16.6159,3.5074
2023-09-28,20.11,38508.5273,16.5255,3.4883
2023-09-29,20.08,38451.0804,17.8601,3.5301
2023-10-02,20.32,38910.6551,18.0735,3.5723
2023-10-03,19.99,38278.7399,17.78,3.5143
2023-10-04,19.73,37780.8674,17.5488,3.4686
2023-10-05,19.76,37838.3142,17.5754,3.4738
2023-10-06,20.07,38431.9315,17.8512,3.5283
2023-10-09,19.87,38048.9526,17.6733,3.4932
2023-10-10,19.69,37704.2716,17.5132,3.4615
2023-10-11,19.57,37474.4843,17.4064,3.4404
2023-10-12,19.32,36995.7607,17.1841,3.3965
2023-10-13,19.37,37091.5054,17.2286,3.4053
2023-10-16,19.54,37417.0374,17.3798,3.4352
2023-10-17,19.78,37876.6121,17.5932,3.4773
2023-10-18,20.06,38412.7825,17.8423,3.5266
2023-10-19,19.84,37991.5058,17.6466,3.4879
2023-10-20,19.74,37800.0163,17.5577,3.4703
2023-10-23,19.68,37685.1227,17.5043,3.4598
2023-10-24,19.98,38259.591,17.7711,3.5125
2023-10-25,19.73,37780.8674,17.5488,3.4686
2023-10-26,18.69,35789.3772,16.6237,3.2857
2023-10-27,18.21,34870.2278,16.1968,3.2013
2023-10-30,18.64,35693.6324,16.5793,3.2769
2023-10-31,18.6,35617.0367,16.5437,3.2699
2023-11-01,18.88,36153.2071,16.7927,3.3191
2023-11-02,19.23,36823.4202,17.104,3.3807
2023-11-03,19.37,37093.4548,17.2286,3.4053
2023-11-06,19.35,37055.1549,17.2108,3.4017
2023-11-07,19.6,37533.9037,17.4331,3.4457
2023-11-08,19.16,36691.3058,17.0418,3.3683
2023-11-09,19.22,36806.2055,17.0951,3.3789
2023-11-10,19.15,36672.1559,17.0329,3.3666
2023-11-13,19.1,36576.4061,16.9884,3.3578
2023-11-14,19.41,37170.0546,17.2641,3.4123
2023-11-15,19.6,37533.9037,17.4331,3.4457
2023-11-16,19.61,37553.0536,17.442,3.4475
2023-11-17,19.68,37687.1033,17.5043,3.4598
2023-11-20,19.75,37821.1529,17.5665,3.4721
2023-11-21,19.9,38108.4022,17.7,3.4984
2023-11-22,20.04,38376.5015,17.8245,3.5231
2023-11-24,20.25,38778.6505,18.0113,3.56
2023-11-27,20.16,38606.3009,17.9312,3.5441
2023-11-28,20.16,38606.3009,17.9312,3.5441
2023-11-29,20.08,38453.1013,17.8601,3.5301
2023-11-30,20.44,39142.4995,18.1803,3.5934
2023-12-01,20.69,39621.2483,18.4026,3.6373
2023-12-04,20.62,39487.1987,18.3404,3.625
2023-12-05,20.17,38625.4509,17.9401,3.5459
2023-12-06,19.39,37131.7547,17.2463,3.4088
2023-12-07,20.81,39851.0477,18.5094,3.6584
2023-12-08,20.61,39468.0487,18.3315,3.6233
2023-12-11,20.59,39429.7488,18.3137,3.6197
2023-12-12,20.75,39736.148,18.456,3.6479
2023-12-13,21.04,40291.4966,18.7139,3.6989
2023-12-14,21.06,40329.7965,18.7317,3.7024
2023-12-15,20.99,40195.7468,18.6695,3.6901
2023-12-18,21.01,40234.0467,18.6872,3.6936
2023-12-19,21.47,41114.9445,19.0964,3.7744
2023-12-20,20.95,40119.147,18.6339,3.683
2023-12-21,21.22,40636.1957,18.874,3.7305
2023-12-22,21.36,40904.295,18.9986,3.7551
2023-12-26,21.29,40770.2454,18.9363,3.7428
2023-12-27,21.55,41268.1441,19.1676,3.7885
2023-12-28,21.47,41114.9445,19.0964,3.7744
2023-12-29,21.53,41229.8442,19.5189,3.6777
2024-01-02,21.57,41306.444,19.5552,3.6846
2024-01-03,21.27,40731.9455,19.2832,3.6333
2024-01-04,20.9,40023.3973,18.9478,3.5701
2024-01-05,21.35,40885.1451,19.3558,3.647
2024-01-08,21.63,41421.3437,19.6096,3.6948
2024-01-09,21.85,41842.6426,19.8091,3.7324
2024-01-10,21.77,41689.443,19.7365,3.7187
2024-01-11,21.93,41995.8422,19.8816,3.7461
2024-01-12,21.51,41191.5443,19.5008,3.6743
2024-01-16,21.23,40655.3457,19.247,3.6265
2024-01-17,20.98,40176.5969,19.0203,3.5838
2024-01-18,20.94,40099.9971,18.9841,3.577
2024-01-19,20.71,39659.5482,18.7755,3.5377
2024-01-22,20.44,39142.4995,18.5308,3.4915
2024-01-23,20.91,40042.5472,18.9569,3.5718
2024-01-24,20.43,39123.3496,18.5217,3.4898
2024-01-25,20.75,39736.148,18.8118,3.5445
2024-01-26,20.84,39908.4976,18.8934,3.5599
2024-01-29,21.04,40291.4966,19.0747,3.594
2024-01-30,20.87,39965.9474,18.9206,3.565
2024-01-31,20.76,39755.298,18.8209,3.5462
2024-02-01,20.89,40004.2473,18.9387,3.5684
2024-02-02,20.83,39889.3476,18.8843,3.5582
2024-02-05,20.48,39219.0993,18.567,3.4984
2024-02-06,20.6,39448.8988,18.6758,3.5189
2024-02-07,20.52,39295.6991,18.6033,3.5052
2024-02-08,19.33,37016.855,17.5244,3.3019
2024-02-09,19.33,37016.855,17.5244,3.3019
2024-02-12,19.59,37514.7537,17.7602,3.3464
2024-02-13,19.25,36863.6554,17.4519,3.2883
2024-02-14,19.09,36557.2562,17.3069,3.2609
2024-02-15,19.05,36480.6564,17.2706,3.2541
2024-02-16,19.05,36480.6564,17.2706,3.2541
2024-02-20,19.06,36499.8063,17.2797,3.2558
2024-02-21,19.3,36959.4051,17.4972,3.2968
2024-02-22,19.19,36748.7557,17.3975,3.278
2024-02-23,19.18,36729.6057,17.3885,3.2763
2024-02-26,18.94,36270.0069,17.1709,3.2353
2024-02-27,18.92,36231.707,17.1527,3.2319
2024-02-28,19.14,36653.0059,17.3522,3.2695
2024-02-29,19.0,36384.9066,17.2253,3.2456
2024-03-01,18.82,36032.4304,17.0621,3.2148
2024-03-04,18.96,36300.4719,17.189,3.2387
2024-03-05,19.01,36396.201,17.2343,3.2473
2024-03-06,19.58,37487.5126,17.7511,3.3446
2024-03-07,19.8,37908.7206,17.9505,3.3822
2024-03-08,20.02,38329.9287,18.15,3.4198
2024-03-11,20.15,38578.8243,18.2678,3.442
2024-03-12,20.14,38559.6785,18.2588,3.4403
2024-03-13,20.41,39076.6156,18.5036,3.4864
2024-03-14,20.07,38425.6577,18.1953,3.4283
2024-03-15,20.34,38942.5948,18.4401,3.4745
2024-03-18,20.2,38674.5534,18.3132,3.4506
2024-03-19,20.2,38674.5534,18.3132,3.4506
2024-03-20,20.41,39076.6156,18.5036,3.4864
2024-03-21,20.71,39650.9901,18.7755,3.5377
2024-03-22,20.6,39440.3861,18.6758,3.5189
2024-03-25,20.65,39536.1152,18.7211,3.5274
