Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,47.38,18343.7104,10.6288,0.9429
2014-01-03,47.26,18297.251,10.6019,0.9405
2014-01-06,47.16,18258.5349,10.5795,0.9385
2014-01-07,47.0,18196.589,10.5436,0.9353
2014-01-08,46.76,18103.6703,10.4897,0.9305
2014-01-09,46.81,18123.0283,10.501,0.9315
2014-01-10,46.86,18142.3864,10.5122,0.9325
2014-01-13,46.33,17937.1908,10.3933,0.922
2014-01-14,46.66,18064.9541,10.4673,0.9285
2014-01-15,47.19,18270.1497,10.5862,0.9391
2014-01-16,47.03,18208.2039,10.5503,0.9359
2014-01-17,47.33,18324.3523,10.6176,0.9419
2014-01-21,46.98,18188.8458,10.5391,0.9349
2014-01-22,47.2,18274.0213,10.5884,0.9393
2014-01-23,46.0,17809.4276,10.3192,0.9154
2014-01-24,44.65,17286.7596,10.0164,0.8885
2014-01-27,44.64,17282.888,10.0142,0.8883
2014-01-28,44.94,17399.0364,10.0815,0.8943
2014-01-29,44.57,17255.7867,9.9985,0.8869
2014-01-30,45.34,17553.901,10.1712,0.9023
2014-01-31,44.59,17263.5299,10.0029,0.8873
2014-02-03,43.41,16806.6793,9.7382,0.8638
2014-02-04,44.52,17236.4286,9.9872,0.8859
2014-02-05,44.53,17240.3002,9.9895,0.8861
2014-02-06,44.74,17321.6041,10.0366,0.8903
2014-02-07,45.18,17491.9551,10.1353,0.8991
2014-02-10,43.26,16748.6051,9.7046,0.8609
2014-02-11,43.85,16977.0304,9.8369,0.8726
2014-02-12,43.85,16977.0304,9.8369,0.8726
2014-02-13,43.99,17031.233,9.8683,0.8754
2014-02-14,44.03,17046.7195,9.8773,0.8762
2014-02-18,43.93,17008.0033,9.8549,0.8742
2014-02-19,43.35,16783.4497,9.7248,0.8627
2014-02-20,43.67,16907.3413,9.7966,0.869
2014-02-21,43.5,16841.5239,9.7584,0.8656
2014-02-24,43.58,16883.0394,9.7764,0.8672
2014-02-25,43.44,16828.8029,9.745,0.8644
2014-02-26,43.49,16848.1731,9.7562,0.8654
2014-02-27,43.56,16875.2913,9.7719,0.8668
2014-02-28,43.48,16844.299,9.7539,0.8652
2014-03-03,43.15,16716.4559,9.6799,0.8587
2014-03-04,43.89,17003.1344,9.8459,0.8734
2014-03-05,44.04,17061.2449,9.8796,0.8764
2014-03-06,44.4,17200.7101,9.9603,0.8836
2014-03-07,45.05,17452.5223,10.1061,0.8965
2014-03-10,44.64,17293.6869,10.0142,0.8883
2014-03-11,44.39,17196.8361,9.9581,0.8834
2014-03-12,44.7,17316.9311,10.0276,0.8895
2014-03-13,44.38,17192.9621,9.9558,0.8832
2014-03-14,43.97,17034.1267,9.8639,0.875
2014-03-17,43.97,17034.1267,9.8639,0.875
2014-03-18,43.93,17018.6305,9.8549,0.8742
2014-03-19,43.68,16921.7797,9.7988,0.8692
2014-03-20,43.91,17010.8825,9.8504,0.8738
2014-03-21,44.23,17134.8516,9.9222,0.8802
2014-03-24,43.59,16886.9134,9.7786,0.8674
2014-03-25,43.59,16886.9134,9.7786,0.8674
2014-03-26,43.17,16724.204,9.6844,0.8591
2014-03-27,43.03,16669.9675,9.653,0.8563
2014-03-28,43.42,16821.0548,9.7405,0.864
2014-03-31,44.05,17065.1189,9.7105,0.8657
2014-04-01,44.35,17176.6963,9.7766,0.8716
2014-04-02,44.65,17292.8859,9.8427,0.8775
2014-04-03,44.88,17381.9646,9.8934,0.882
2014-04-04,44.7,17312.2508,9.8537,0.8785
2014-04-07,44.15,17099.2365,9.7325,0.8676
2014-04-08,44.52,17242.537,9.8141,0.8749
2014-04-09,44.54,17250.283,9.8185,0.8753
2014-04-10,43.92,17010.1578,9.6818,0.8631
2014-04-11,43.44,16824.2545,9.576,0.8537
2014-04-14,43.72,16932.6981,9.6377,0.8592
2014-04-15,43.78,16955.936,9.6509,0.8604
2014-04-16,44.07,17068.2526,9.7149,0.8661
2014-04-17,43.95,17021.7768,9.6884,0.8637
2014-04-21,43.84,16979.1739,9.6642,0.8616
2014-04-22,43.79,16959.809,9.6531,0.8606
2014-04-23,43.83,16975.3009,9.662,0.8614
2014-04-24,44.44,17211.5531,9.7964,0.8733
2014-04-25,44.14,17095.3635,9.7303,0.8674
2014-04-28,43.76,16948.19,9.6465,0.86
2014-04-29,44.1,17044.6325,9.7215,0.8667
2014-04-30,43.97,16994.3876,9.6928,0.8641
2014-05-01,44.09,17040.7675,9.7193,0.8665
2014-05-02,44.1,17044.6325,9.7215,0.8667
2014-05-05,43.75,16909.3576,9.6443,0.8598
2014-05-06,43.16,16681.3229,9.5143,0.8482
2014-05-07,43.85,16948.0076,9.6664,0.8617
2014-05-08,43.66,16874.5727,9.6245,0.858
2014-05-09,43.25,16716.1078,9.5341,0.85
2014-05-12,43.31,16739.2978,9.5473,0.8511
2014-05-13,43.28,16727.7028,9.5407,0.8505
2014-05-14,42.83,16553.778,9.4415,0.8417
2014-05-15,42.56,16449.4231,9.382,0.8364
2014-05-16,42.55,16445.5581,9.3798,0.8362
2014-05-19,42.58,16457.1531,9.3864,0.8368
2014-05-20,42.48,16418.5031,9.3644,0.8348
2014-05-21,42.7,16503.5331,9.4129,0.8391
2014-05-22,42.94,16596.293,9.4658,0.8439
2014-05-23,43.16,16681.3229,9.5143,0.8482
2014-05-27,43.28,16727.7028,9.5407,0.8505
2014-05-28,43.26,16719.9728,9.5363,0.8502
2014-05-29,43.27,16723.8378,9.5385,0.8503
2014-05-30,43.13,16669.7279,9.5076,0.8476
2014-06-02,43.3,16735.4328,9.5451,0.8509
2014-06-03,43.49,16808.8677,9.587,0.8547
2014-06-04,43.87,16955.7376,9.6708,0.8621
2014-06-05,43.99,17002.1175,9.6972,0.8645
2014-06-06,43.98,16998.2526,9.695,0.8643
2014-06-09,44.01,17009.8475,9.7016,0.8649
2014-06-10,43.86,16951.8726,9.6686,0.8619
2014-06-11,43.54,16828.1927,9.598,0.8557
2014-06-12,43.59,16847.5177,9.609,0.8566
2014-06-13,43.52,16820.4627,9.5936,0.8553
2014-06-16,43.23,16708.3778,9.5297,0.8496
2014-06-17,43.32,16743.1628,9.5495,0.8513
2014-06-18,43.62,16859.1127,9.6157,0.8572
2014-06-19,43.78,16920.9526,9.6509,0.8604
2014-06-20,43.8,16928.6826,9.6553,0.8608
2014-06-23,43.63,16862.9777,9.6179,0.8574
2014-06-24,43.73,16901.6277,9.6399,0.8594
2014-06-25,43.85,16948.0076,9.6664,0.8617
2014-06-26,43.65,16870.7077,9.6223,0.8578
2014-06-27,43.8,16928.6826,9.6553,0.8608
2014-06-30,44.01,17009.8475,10.1504,0.8489
2014-07-01,44.4,17160.5824,10.2403,0.8564
2014-07-02,43.73,16901.6277,10.0858,0.8435
2014-07-03,44.03,17017.5775,10.155,0.8493
2014-07-07,44.09,17040.7675,10.1688,0.8504
2014-07-08,44.05,17025.3075,10.1596,0.8496
2014-07-09,44.05,17025.3075,10.1596,0.8496
2014-07-10,43.72,16897.7627,10.0835,0.8433
2014-07-11,43.61,16855.2477,10.0581,0.8412
2014-07-14,43.89,16963.4676,10.1227,0.8466
2014-07-15,44.16,17067.8225,10.185,0.8518
2014-07-16,44.25,17102.6074,10.2057,0.8535
2014-07-17,43.76,16913.2226,10.0927,0.844
2014-07-18,44.41,17164.4474,10.2426,0.8566
2014-07-21,44.3,17121.9324,10.2172,0.8545
2014-07-22,43.9,16967.3326,10.125,0.8467
2014-07-23,44.0,17005.9825,10.148,0.8487
2014-07-24,43.85,16948.0076,10.1135,0.8458
2014-07-25,43.62,16859.1127,10.0604,0.8413
2014-07-28,43.47,16801.1378,10.0258,0.8385
2014-07-29,43.27,16723.8378,9.9797,0.8346
2014-07-30,43.01,16623.3479,9.9197,0.8296
2014-07-31,42.13,16283.2283,9.7168,0.8126
2014-08-01,42.25,16329.6082,9.7444,0.8149
2014-08-04,42.29,16117.0638,9.7537,0.8157
