Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,46.25,3960.2494,10.9615,2.1123
2014-01-03,46.94,4019.332,11.125,2.1438
2014-01-06,46.4,3973.0935,10.9971,2.1192
2014-01-07,47.51,4068.1394,11.2601,2.1699
2014-01-08,47.59,4074.9896,11.2791,2.1735
2014-01-09,47.8,4092.9713,11.3289,2.1831
2014-01-10,47.77,4090.4025,11.3218,2.1817
2014-01-13,46.51,3982.5124,11.0231,2.1242
2014-01-14,46.82,4009.0568,11.0966,2.1384
2014-01-15,47.44,4062.1456,11.2435,2.1667
2014-01-16,46.74,4002.2066,11.0776,2.1347
2014-01-17,46.49,3980.7999,11.0184,2.1233
2014-01-21,46.38,3971.3809,10.9923,2.1183
2014-01-22,46.0,3938.8427,10.9023,2.1009
2014-01-23,45.93,3932.8488,10.8857,2.0977
2014-01-24,45.48,3894.3166,10.779,2.0772
2014-01-27,45.18,3868.6285,10.7079,2.0635
2014-01-28,45.64,3908.0169,10.8169,2.0845
2014-01-29,44.99,3852.3594,10.6629,2.0548
2014-01-30,45.27,3876.3349,10.7292,2.0676
2014-01-31,45.34,3882.3288,20.919,2.2741
2014-02-03,44.0,3767.5886,20.3008,2.2069
2014-02-04,44.37,3799.2706,20.4715,2.2255
2014-02-05,44.44,3805.2645,20.5038,2.229
2014-02-06,44.75,3831.8089,20.6468,2.2445
2014-02-07,44.76,3832.6652,20.6514,2.245
2014-02-10,44.89,3843.7967,20.7114,2.2515
2014-02-11,45.03,3855.7844,20.776,2.2586
2014-02-12,44.69,3826.6713,20.6191,2.2415
2014-02-13,45.3,3878.9037,20.9006,2.2721
2014-02-14,45.36,3884.0414,20.9283,2.2751
2014-02-18,46.07,3944.8365,21.2559,2.3107
2014-02-19,45.53,3898.598,21.0067,2.2836
2014-02-20,45.73,3915.7234,21.099,2.2937
2014-02-21,45.51,3896.8854,20.9975,2.2826
2014-02-24,45.05,3857.497,20.7852,2.2596
2014-02-25,44.94,3848.078,20.7345,2.254
2014-02-26,45.04,3856.6407,20.7806,2.2591
2014-02-27,44.65,3823.2462,20.6007,2.2395
2014-02-28,44.66,3824.1025,20.6053,2.24
2014-03-03,44.67,3824.9587,20.6099,2.2405
2014-03-04,45.27,3876.3349,20.8867,2.2706
2014-03-05,44.8,3836.0902,20.6699,2.247
2014-03-06,44.43,3804.4082,20.4992,2.2285
2014-03-07,44.39,3800.9832,20.4807,2.2265
2014-03-10,44.12,3777.8639,20.3562,2.2129
2014-03-11,43.2,3699.087,19.9317,2.1668
2014-03-12,42.8,3664.8362,19.7471,2.1467
2014-03-13,42.4,3630.5854,19.5626,2.1266
2014-03-14,42.23,3616.0288,19.4841,2.1181
2014-03-17,42.49,3638.2918,19.6041,2.1312
2014-03-18,42.89,3672.5426,19.7887,2.1512
2014-03-19,42.63,3650.2796,19.6687,2.1382
2014-03-20,42.1,3604.8973,19.4242,2.1116
2014-03-21,42.31,3622.879,19.5211,2.1221
2014-03-24,42.35,3626.304,19.5395,2.1241
2014-03-25,42.98,3680.2491,19.8302,2.1557
2014-03-26,43.14,3693.9494,19.904,2.1638
2014-03-27,35.2,3014.0709,16.2406,1.7655
2014-03-28,34.64,2738.9991,15.9823,1.7374
2014-03-31,35.37,2796.7205,16.3191,1.774
2014-04-01,37.05,2929.5588,17.0942,1.8583
2014-04-02,36.71,2902.6748,16.9373,1.8413
2014-04-03,36.85,2913.7447,17.0019,1.8483
2014-04-04,36.97,2923.2331,17.0573,1.8543
2014-04-07,36.95,2921.6517,17.0481,1.8533
2014-04-08,37.21,2942.21,17.168,1.8663
2014-04-09,37.06,2930.3495,17.0988,1.8588
2014-04-10,37.09,2932.7216,17.1126,1.8603
2014-04-11,36.83,2912.1633,16.9927,1.8473
