Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,77.5142,7886.1021,12.1381,2.6665
2014-01-03,77.9781,7933.2981,12.2107,2.6824
2014-01-06,77.6172,7896.5901,12.1542,2.67
2014-01-07,79.1893,8056.5321,12.4004,2.7241
2014-01-08,78.7856,8015.4541,12.3372,2.7102
2014-01-09,79.5244,8090.6181,12.4528,2.7356
2014-01-10,79.0175,8039.0521,12.3735,2.7182
2014-01-13,77.9179,7927.1801,12.2013,2.6804
2014-01-14,78.1499,7950.7781,12.2376,2.6883
2014-01-15,78.2444,7960.3921,12.2524,2.6916
2014-01-16,78.6052,7997.1001,12.3089,2.704
2014-01-17,78.8629,8023.3201,12.3493,2.7129
2014-01-21,78.4076,7976.9981,12.278,2.6972
2014-01-22,78.9144,8028.5641,12.3573,2.7146
2014-01-23,78.4763,7983.9901,12.2887,2.6996
2014-01-24,77.4025,7874.7401,12.1206,2.6626
2014-01-27,77.2307,7857.2601,12.0937,2.6567
2014-01-28,77.5743,7892.2201,12.1475,2.6685
2014-01-29,76.6637,7799.5761,12.0049,2.6372
2014-01-30,76.509,7783.8441,11.9807,2.6319
2014-01-31,77.1705,7851.1421,12.0843,2.6546
2014-02-03,75.4782,7678.9641,11.8192,2.5964
2014-02-04,76.4231,7775.1041,11.9672,2.6289
2014-02-05,76.2255,7755.0021,11.9363,2.6221
2014-02-06,77.5915,7893.9681,12.1502,2.6691
2014-02-07,76.5864,7791.7101,11.9928,2.6345
2014-02-10,78.4763,7983.9901,12.2887,2.6996
2014-02-11,78.7083,8007.5881,12.3251,2.7075
2014-02-12,78.1585,7951.6521,12.239,2.6886
2014-02-13,78.8715,8024.1941,12.3506,2.7132
2014-02-14,78.9832,8035.5561,12.3681,2.717
2014-02-18,79.3354,8071.3901,12.4233,2.7291
2014-02-19,79.112,8048.6661,12.3883,2.7214
2014-02-20,79.6275,8101.1061,12.469,2.7392
2014-02-21,80.3749,8177.1441,12.586,2.7649
2014-02-24,80.5467,8194.6241,12.6129,2.7708
2014-02-25,80.0055,7943.9893,12.5282,2.7522
2014-02-26,79.9367,7937.1653,12.5174,2.7498
2014-02-27,79.9711,7940.5773,12.5228,2.751
2014-02-28,80.3577,7978.9623,12.5833,2.7643
2014-03-03,79.6189,7905.6043,12.4676,2.7389
2014-03-04,79.9453,7938.0183,12.5188,2.7501
2014-03-05,80.3749,7980.6683,12.586,2.7649
2014-03-06,80.7958,8022.4653,12.6519,2.7794
2014-03-07,81.8868,8130.7963,12.8228,2.8169
2014-03-10,80.4178,7984.9333,12.5928,2.7663
2014-03-11,81.8439,8126.5313,12.8161,2.8154
2014-03-12,82.4452,8186.2413,12.9102,2.8361
2014-03-13,82.3593,8177.7113,12.8968,2.8331
2014-03-14,82.1532,8157.2393,12.8645,2.826
2014-03-17,82.4195,8183.6823,12.9062,2.8352
2014-03-18,84.1892,8359.4003,13.1833,2.8961
2014-03-19,84.4039,8380.7253,13.2169,2.9035
2014-03-20,83.2528,8266.4233,13.0367,2.8639
2014-03-21,83.3559,8276.6593,13.0528,2.8674
2014-03-24,81.4831,8090.7053,12.7596,2.803
2014-03-25,81.3628,8078.7633,12.7407,2.7989
2014-03-26,84.739,8413.9923,13.2694,2.915
2014-03-27,84.0775,8348.3113,13.1658,2.8922
2014-03-28,84.2235,8362.8123,13.1887,2.8973
2014-03-31,84.3696,8377.3133,13.7397,2.8603
2014-04-01,87.8574,8723.6313,14.3077,2.9786
2014-04-02,87.7457,8712.5423,14.2895,2.9748
2014-04-03,88.0464,8742.3973,14.3385,2.985
2014-04-04,87.1787,8627.6241,14.1972,2.9556
2014-04-07,85.3403,8445.6856,13.8978,2.8932
2014-04-08,86.3454,8545.1567,14.0614,2.9273
2014-04-09,86.6719,8577.4635,14.1146,2.9384
2014-04-10,85.6066,8472.0412,13.9411,2.9023
