Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,84.28,4172.4342,22.7646,8.5346
2014-01-03,85.17,4216.4953,23.005,8.6247
2014-01-06,84.62,4189.2665,22.8565,8.569
2014-01-07,85.41,4228.3769,23.0698,8.649
2014-01-08,86.91,4302.6371,23.475,8.8009
2014-01-09,87.25,4319.4694,23.5668,8.8354
2014-01-10,88.01,4357.0946,23.7721,8.9123
2014-01-13,86.58,4286.2999,23.3859,8.7675
2014-01-14,87.63,4338.282,23.6695,8.8739
2014-01-15,88.0,4356.5995,23.7694,8.9113
2014-01-16,87.99,4356.1045,23.7667,8.9103
2014-01-17,87.8,4346.6982,23.7154,8.8911
2014-01-21,88.19,4366.0058,23.8207,8.9306
2014-01-22,88.55,4383.8283,23.918,8.967
2014-01-23,87.83,4348.1834,23.7235,8.8941
2014-01-24,85.44,4229.8621,23.0779,8.6521
2014-01-27,85.51,4233.3276,23.0969,8.6592
2014-01-28,86.46,4280.3591,23.3535,8.7554
2014-01-29,85.92,4253.6254,23.2076,8.7007
2014-01-30,86.79,4296.6963,23.4426,8.7888
2014-01-31,86.56,4285.3097,23.3805,8.7655
2014-02-03,83.0,4109.0655,22.4189,8.405
2014-02-04,84.42,4179.3652,22.8024,8.5488
2014-02-05,84.48,4182.3356,22.8186,8.5549
2014-02-06,85.61,4238.2783,23.1239,8.6693
2014-02-07,86.66,4290.2604,23.4075,8.7756
2014-02-10,87.05,4309.5681,23.5128,8.8151
2014-02-11,87.33,4323.43,23.5884,8.8435
2014-02-12,88.64,4388.2839,23.9423,8.9761
2014-02-13,88.35,4323.8303,23.864,8.9468
2014-02-14,88.39,4325.7879,23.8748,8.9508
2014-02-18,88.71,4341.4487,23.9612,8.9832
2014-02-19,89.34,4372.2807,24.1314,9.047
2014-02-20,89.9,4399.687,24.2826,9.1037
2014-02-21,89.44,4377.1747,24.1584,9.0571
2014-02-24,89.64,4386.9627,24.2124,9.0774
2014-02-25,89.65,4387.4521,24.2151,9.0784
2014-02-26,91.43,4474.5649,24.6959,9.2587
2014-02-27,91.37,4471.6285,24.6797,9.2526
2014-02-28,91.88,4496.5878,24.8174,9.3042
2014-03-03,91.33,4469.6709,24.6689,9.2485
2014-03-04,93.4,4570.9763,25.228,9.4582
2014-03-05,93.51,4576.3597,25.2577,9.4693
2014-03-06,94.02,4601.3189,25.3955,9.5209
2014-03-07,93.86,4593.4886,25.3522,9.5047
2014-03-10,93.61,4581.2536,25.2847,9.4794
2014-03-11,92.66,4534.7608,25.0281,9.3832
2014-03-12,92.7,4536.7184,25.0389,9.3873
2014-03-13,90.81,4444.2222,24.5284,9.1959
2014-03-14,91.59,4482.3953,24.7391,9.2749
2014-03-17,92.36,4520.0789,24.9471,9.3528
2014-03-18,92.95,4548.9534,25.1064,9.4126
2014-03-19,92.13,4508.8227,24.885,9.3295
2014-03-20,91.52,4478.9695,24.7202,9.2678
2014-03-21,90.82,4444.7116,24.5311,9.1969
2014-03-24,90.43,4425.6251,24.4258,9.1574
2014-03-25,91.09,4457.9254,24.6041,9.2242
2014-03-26,89.34,4372.2807,24.1314,9.047
2014-03-27,89.33,4371.7913,24.1287,9.046
2014-03-28,90.22,4415.3477,24.3691,9.1361
2014-03-31,90.91,4449.1162,24.0032,9.1021
2014-04-01,90.58,4432.9661,23.9161,9.0691
2014-04-02,92.33,4537.0961,24.3781,9.2443
2014-04-03,92.34,4537.5875,24.3808,9.2453
2014-04-04,90.36,4440.2903,23.858,9.047
2014-04-07,88.67,4357.2437,23.4118,8.8778
2014-04-08,87.86,4317.4403,23.1979,8.7967
2014-04-09,90.01,4423.0913,23.7656,9.012
2014-04-10,89.49,4397.5385,23.6283,8.9599
2014-04-11,89.0,4373.4599,23.4989,8.9109
2014-04-14,87.53,4301.2241,23.1108,8.7637
2014-04-15,87.05,4277.6369,22.984,8.7156
2014-04-16,88.47,4347.4157,23.3589,8.8578
2014-04-17,89.29,4387.7105,23.5755,8.9399
2014-04-21,86.67,4259.4934,22.8837,8.6776
2014-04-22,85.5,4201.9925,22.5748,8.5605
2014-04-23,84.6,4157.761,22.3371,8.4703
2014-04-24,85.08,4181.3511,22.4639,8.5184
2014-04-25,83.99,4127.7818,22.1761,8.4093
2014-04-28,83.64,4110.5807,22.0837,8.3742
2014-04-29,83.4,4098.7856,22.0203,8.3502
2014-04-30,83.83,4119.9184,22.1338,8.3932
2014-05-01,84.3,4143.0171,22.2579,8.4403
2014-05-02,84.8,4167.5902,22.3899,8.4904
2014-05-05,86.14,4233.446,22.7438,8.6245
2014-05-06,84.12,4134.1708,22.2104,8.4223
2014-05-07,83.84,4120.4099,22.1365,8.3942
2014-05-08,83.71,4114.0209,22.1022,8.3812
2014-05-09,84.31,4143.5086,22.2606,8.4413
2014-05-12,85.52,4202.9754,22.5801,8.5625
2014-05-13,84.32,4144.0,22.2632,8.4423
2014-05-14,83.79,4117.9526,22.1233,8.3892
2014-05-15,83.53,4105.1746,22.0546,8.3632
2014-05-16,83.85,4120.9014,22.1391,8.3953
2014-05-19,84.09,4132.6964,22.2025,8.4193
2014-05-20,82.66,4062.4175,21.8249,8.2761
2014-05-21,83.07,4082.5674,21.9332,8.3172
2014-05-22,83.03,4080.6016,21.9226,8.3132
2014-05-23,84.53,4154.3207,22.3187,8.4633
2014-05-27,84.8,4167.5902,22.3899,8.4904
2014-05-28,84.58,4156.778,22.3319,8.4683
2014-05-29,85.16,4185.2828,22.485,8.5264
2014-05-30,84.92,4173.4877,22.4216,8.5024
2014-06-02,85.29,4191.6718,22.5193,8.5394
2014-06-03,86.17,4234.9203,22.7517,8.6275
2014-06-04,86.5,4251.1386,22.8388,8.6606
