Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,129.5,38120.0607,,
2014-01-03,129.68,38173.0461,,
2014-01-06,129.49,38117.1171,,
2014-01-07,130.24,38337.8896,,
2014-01-08,130.93,38541.0004,,
2014-01-09,131.0,38561.6058,,
2014-01-10,132.49,39000.2073,,
2014-01-13,130.8,38502.7332,,
2014-01-14,131.86,38814.7584,,
2014-01-15,132.92,39126.7836,,
2014-01-16,132.57,39023.7564,,
2014-01-17,132.44,38985.4891,,
2014-01-21,133.21,39212.149,,
2014-01-22,133.21,39212.149,,
2014-01-23,131.28,38644.0276,,
2014-01-24,126.97,37375.3213,,
2014-01-27,125.74,37013.2543,,
2014-01-28,125.7,37001.4798,,
2014-01-29,127.33,37481.2921,,
2014-01-30,125.49,36939.6635,,
2014-01-31,124.72,36713.0037,,
2014-02-03,121.51,35768.0971,,
2014-02-04,122.38,36024.1933,,
2014-02-05,122.71,36121.3332,,
2014-02-06,124.28,36583.4838,,
2014-02-07,127.06,37401.814,,
2014-02-10,127.68,37584.3193,,
2014-02-11,128.43,37805.0919,,
2014-02-12,128.08,37702.0647,,
2014-02-13,129.41,38093.568,,
2014-02-14,129.81,38211.3134,,
2014-02-18,129.72,38184.8207,,
2014-02-19,128.15,37722.6701,,
2014-02-20,128.07,37699.1211,,
2014-02-21,128.07,37699.1211,,
2014-02-24,127.15,37428.3067,,
2014-02-25,128.8,37863.9729,,
2014-02-26,128.83,37872.7922,,
2014-02-27,129.85,38172.6466,,
2014-02-28,130.37,38325.5136,,
2014-03-03,130.29,38301.9956,,
2014-03-04,131.0,38510.7178,,
2014-03-05,129.55,38084.4541,,
2014-03-06,130.83,38460.7421,,
2014-03-07,131.07,38531.2961,,
2014-03-10,131.58,38681.2233,,
2014-03-11,131.59,38684.163,,
2014-03-12,132.08,38758.2408,,
2014-03-13,132.05,38749.4374,,
2014-03-14,131.75,38661.4038,,
2014-03-17,132.42,38858.0121,,
2014-03-18,132.84,38981.2591,,
2014-03-19,132.66,38928.439,,
2014-03-20,132.51,38884.4222,,
2014-03-21,132.92,39004.7347,,
2014-03-24,131.75,38661.4038,,
2014-03-25,131.35,38544.0258,,
2014-03-26,129.66,38048.1034,,
2014-03-27,128.8,37795.7405,,
2014-03-28,129.34,37954.2009,,
2014-03-31,130.97,38432.5166,,
2014-04-01,131.06,38458.9267,,
2014-04-02,131.61,38620.3215,,
2014-04-03,131.23,38508.8123,,
2014-04-04,129.46,37989.4144,,
2014-04-07,127.57,37434.8029,,
2014-04-08,128.21,37622.6079,,
2014-04-09,130.31,38238.8428,,
2014-04-10,128.14,37602.0667,,
2014-04-11,127.0,37267.5392,,
2014-04-14,127.26,37343.8349,,
2014-04-15,129.19,37910.1842,,
2014-04-16,131.55,38602.7148,,
2014-04-17,131.86,38693.6828,,
2014-04-21,132.89,38995.9314,,
2014-04-22,131.97,38725.9618,,
2014-04-23,131.7,38579.507,,
2014-04-24,130.65,38271.9255,,
2014-04-25,129.36,37894.0397,,
2014-04-28,129.4,37905.7571,,
2014-04-29,128.46,37630.3984,,
2014-04-30,130.55,38242.6321,,
2014-05-01,130.29,38166.469,,
2014-05-02,131.0,38374.4527,,
2014-05-05,130.65,38271.9255,,
2014-05-06,130.43,38207.4799,,
2014-05-07,130.0,38081.5179,,
2014-05-08,130.17,38131.3169,,
2014-05-09,130.1,38110.8114,,
2014-05-12,131.07,38394.9581,,
2014-05-13,131.0,38374.4527,,
2014-05-14,131.43,38500.4146,,
2014-05-15,130.36,38186.9745,,
2014-05-16,131.0,38374.4527,,
2014-05-19,131.54,38532.6375,,
2014-05-20,130.19,38137.1755,,
2014-05-21,130.51,38230.9147,,
2014-05-22,130.29,38166.469,,
2014-05-23,130.93,38353.9473,,
2014-05-27,130.83,38324.6538,,
2014-05-28,130.17,38131.3169,,
2014-05-29,132.5,38813.8548,,
2014-05-30,132.24,38737.6918,,
2014-06-02,134.03,39262.045,,
2014-06-03,133.68,39159.5178,,
2014-06-04,132.73,38881.2298,,
2014-06-05,133.69,39162.4472,,
2014-06-06,134.67,39449.5232,,
2014-06-09,133.78,39188.8113,,
