Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,146.07,46787.2802,14.6395,9.4747
2014-01-03,147.06,47104.3843,14.7387,9.5389
2014-01-06,146.28,46854.5447,14.6606,9.4883
2014-01-07,148.61,47600.8606,14.8941,9.6394
2014-01-08,148.5,47565.6268,14.8831,9.6323
2014-01-09,148.73,47639.2974,14.9061,9.6472
2014-01-10,149.45,47869.9187,14.9783,9.6939
2014-01-13,150.92,48340.7703,15.1256,9.7892
2014-01-14,151.42,48500.9239,15.1757,9.8217
2014-01-15,153.5,49167.163,15.3842,9.9566
2014-01-16,153.49,49163.96,15.3832,9.9559
2014-01-17,153.82,49269.6613,15.4162,9.9773
2014-01-21,154.1,49359.3474,15.4443,9.9955
2014-01-22,156.65,50176.1309,15.6999,10.1609
2014-01-23,150.49,48203.0382,15.0825,9.7613
2014-01-24,147.76,47328.5994,14.8089,9.5843
2014-01-27,147.02,47091.572,14.7347,9.5363
2014-01-28,148.28,47495.1592,14.861,9.618
2014-01-29,147.35,47197.2734,14.7678,9.5577
2014-01-30,148.66,47616.8759,14.8991,9.6426
2014-01-31,150.91,48337.5672,15.1246,9.7886
2014-02-03,147.74,47322.1933,14.8069,9.583
2014-02-04,148.18,47463.1284,14.851,9.6115
2014-02-05,150.39,48171.0075,15.0725,9.7549
2014-02-06,151.74,48603.4223,15.2078,9.8424
2014-02-07,155.13,49689.2638,15.5475,10.0623
2014-02-10,153.98,49320.9105,15.4323,9.9877
2014-02-11,157.56,50467.6105,15.7911,10.2199
2014-02-12,158.92,50903.2283,15.9274,10.3081
2014-02-13,159.8,51185.0987,16.0156,10.3652
2014-02-14,162.89,52357.7762,16.3253,10.5657
2014-02-18,162.7,52296.7045,16.3062,10.5533
2014-02-19,162.65,52280.633,16.3012,10.5501
2014-02-20,164.27,52801.35,16.4636,10.6552
2014-02-21,164.33,52820.6358,16.4696,10.6591
2014-02-24,166.14,53402.4246,16.651,10.7765
2014-02-25,163.61,52589.206,16.3974,10.6124
2014-02-26,160.83,51695.6299,16.1188,10.432
2014-02-27,161.44,51891.7024,16.1799,10.4716
2014-02-28,162.3,52168.1324,16.2661,10.5274
2014-03-03,163.55,52569.9202,16.3914,10.6085
2014-03-04,165.64,53241.7095,16.6009,10.744
2014-03-05,166.82,53620.9972,16.7191,10.8206
2014-03-06,166.84,53627.4258,16.7211,10.8219
2014-03-07,166.57,53540.6396,16.6941,10.8044
2014-03-10,165.48,53190.2806,16.5848,10.7337
2014-03-11,163.8,52650.2778,16.4165,10.6247
2014-03-12,163.86,52669.5636,16.4225,10.6286
2014-03-13,162.83,52338.4904,16.3192,10.5618
2014-03-14,162.42,52206.704,16.2782,10.5352
2014-03-17,164.07,52382.4468,16.4435,10.6422
2014-03-18,163.98,52353.7126,16.4345,10.6364
2014-03-19,160.9,51370.3645,16.1258,10.4366
2014-03-20,159.93,51060.6736,16.0286,10.3737
2014-03-21,157.4,50593.1241,15.775,10.2096
2014-03-24,158.19,50847.054,15.8542,10.2608
2014-03-25,160.57,51612.058,16.0927,10.4152
2014-03-26,159.64,51313.1279,15.9995,10.3549
2014-03-27,158.88,51068.8409,15.9234,10.3056
2014-03-28,160.54,51602.4151,16.0897,10.4132
2014-03-31,163.24,52470.2768,15.6068,10.7126
2014-04-01,163.71,52621.3491,15.6517,10.7435
2014-04-02,164.7,52939.565,15.7464,10.8084
2014-04-03,163.75,52634.2063,15.6555,10.7461
2014-04-04,159.61,51303.485,15.2597,10.4744
2014-04-07,157.74,50702.4104,15.0809,10.3517
2014-04-08,156.65,50352.0514,14.9767,10.2802
2014-04-09,158.83,51052.7694,15.1852,10.4232
2014-04-10,155.43,49959.9065,14.8601,10.2001
2014-04-11,153.82,49442.4037,14.7062,10.0944
2014-04-14,155.82,50085.2643,14.8974,10.2257
2014-04-15,157.39,50589.9098,15.0475,10.3287
2014-04-16,159.44,51248.8418,15.2435,10.4633
2014-04-17,160.25,51509.2003,15.3209,10.5164
2014-04-21,161.49,51907.7739,15.4395,10.5978
2014-04-22,156.69,50364.9086,14.9806,10.2828
2014-04-23,161.98,52065.2747,15.4863,10.6299
2014-04-24,160.62,50977.1009,15.3563,10.5407
2014-04-25,161.09,51126.2681,15.4012,10.5715
2014-04-28,161.37,51215.1337,15.428,10.5899
2014-04-29,161.99,51411.9075,15.4873,10.6306
2014-04-30,164.14,52094.2681,15.6928,10.7717
2014-05-01,162.85,51684.8517,15.5695,10.687
2014-05-02,163.9,52018.0976,15.6699,10.7559
2014-05-05,165.12,52405.2976,15.7865,10.836
2014-05-06,163.49,51887.973,15.6307,10.729
2014-05-07,164.2,52113.3107,15.6986,10.7756
2014-05-08,164.39,52173.6124,15.7167,10.7881
2014-05-09,165.18,52424.3402,15.7923,10.8399
2014-05-12,166.92,52976.5763,15.9586,10.9541
2014-05-13,167.64,53205.0878,16.0274,11.0014
2014-05-14,165.26,52449.7304,15.7999,10.8452
2014-05-15,163.54,51903.8419,15.6355,10.7323
2014-05-16,162.1,51446.8189,15.4978,10.6378
2014-05-19,162.3,51510.2944,15.5169,10.6509
2014-05-20,160.57,50961.2321,15.3515,10.5374
2014-05-21,161.89,51380.1698,15.4777,10.624
2014-05-22,161.82,51357.9534,15.471,10.6194
2014-05-23,162.64,51618.2025,15.5494,10.6733
2014-05-27,162.95,51716.5894,15.5791,10.6936
2014-05-28,162.1,51446.8189,15.4978,10.6378
2014-05-29,163.15,51780.0648,15.5982,10.7067
2014-05-30,163.65,51938.7534,15.646,10.7395
2014-06-02,164.11,52084.7468,15.69,10.7697
2014-06-03,163.89,52014.9239,15.6689,10.7553
2014-06-04,164.52,52214.8714,15.7292,10.7966
2014-06-05,166.33,52789.3238,15.9022,10.9154
2014-06-06,167.17,53055.9206,15.9825,10.9705
2014-06-09,168.08,53344.7337,16.0695,11.0303
2014-06-10,167.34,53109.8747,15.9988,10.9817
2014-06-11,164.53,52218.0452,15.7301,10.7973
2014-06-12,162.64,51618.2025,15.5494,10.6733
2014-06-13,164.04,52062.5304,15.6833,10.7651
2014-06-16,165.14,52411.6452,15.7884,10.8373
2014-06-17,164.24,52126.0058,15.7024,10.7783
2014-06-18,163.79,51983.1861,15.6594,10.7487
2014-06-19,164.2,52113.3107,15.6986,10.7756
2014-06-20,165.4,52494.1632,15.8133,10.8544
2014-06-23,163.95,52033.9665,15.6747,10.7592
2014-06-24,162.51,51576.9435,15.537,10.6647
2014-06-25,162.45,51557.9009,15.5312,10.6608
2014-06-26,162.05,51430.9501,15.493,10.6345
2014-06-27,162.7,51637.2452,15.3787,11.9562
2014-06-30,160.73,51012.0124,15.1925,11.8115
2014-07-01,160.64,50983.4485,15.184,11.8049
2014-07-02,158.98,50456.6026,15.0271,11.6829
2014-07-03,159.9,50748.5894,15.1141,11.7505
2014-07-07,158.3,50240.7862,14.9628,11.6329
2014-07-08,157.21,49894.8452,14.8598,11.5528
2014-07-09,157.93,50123.3567,14.9278,11.6057
2014-07-10,158.18,50202.7009,14.9515,11.6241
2014-07-11,160.31,50878.714,15.1528,11.7806
2014-07-14,161.81,51354.7796,15.2946,11.8908
2014-07-15,162.62,51611.855,15.3712,11.9504
2014-07-16,161.55,51272.2616,15.27,11.8717
2014-07-17,161.33,51202.4386,15.2492,11.8556
2014-07-18,162.49,51570.596,15.3589,11.9408
2014-07-21,162.98,51726.1107,15.4052,11.9768
2014-07-22,167.87,53278.0845,15.8674,12.3362
2014-07-23,168.1,53352.928,15.8891,12.3531
2014-07-24,169.97,53946.4436,16.0659,12.4905
2014-07-25,170.04,53968.6608,16.0725,12.4956
2014-07-28,170.0,53955.9653,16.0687,12.4927
2014-07-29,169.33,53743.3153,16.0054,12.4435
2014-07-30,170.18,54013.0951,16.0857,12.5059
2014-07-31,166.97,52994.2795,15.7823,12.27
2014-08-01,167.12,53041.8877,15.7965,12.2811
2014-08-04,168.29,53413.2317,15.9071,12.367
2014-08-05,166.93,52981.584,15.7785,12.2671
2014-08-06,163.05,51750.1185,15.4118,11.982
2014-08-07,162.95,51718.3797,15.4023,11.9746
2014-08-08,165.8,52622.9355,15.6717,12.1841
2014-08-11,166.15,52734.0214,15.7048,12.2098
2014-08-12,165.78,52616.5878,15.6698,12.1826
2014-08-13,169.09,53667.1422,15.9827,12.4258
2014-08-14,169.5,53797.2713,16.0215,12.456
2014-08-15,169.16,53689.3593,15.9893,12.431
2014-08-18,171.52,54438.3951,16.2124,12.6044
