Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,25.39,5633.7197,15.5181,1.7169
2014-01-03,25.345,5623.7347,15.4906,1.7138
2014-01-06,25.245,5601.546,15.4295,1.7071
2014-01-07,25.485,5654.799,15.5762,1.7233
2014-01-08,25.395,5634.8291,15.5212,1.7172
2014-01-09,25.65,5691.4104,15.677,1.7344
2014-01-10,25.935,5754.6483,15.8512,1.7537
2014-01-13,25.675,5696.9576,15.6923,1.7361
2014-01-14,25.75,5713.5991,15.7381,1.7412
2014-01-15,25.635,5688.0821,15.6679,1.7334
2014-01-16,25.72,5706.9425,15.7198,1.7392
2014-01-17,25.645,5690.3009,15.674,1.7341
2014-01-21,25.96,5760.1955,15.8665,1.7554
2014-01-22,25.895,5745.7728,15.8268,1.751
2014-01-23,25.845,5734.6784,15.7962,1.7476
2014-01-24,25.375,5630.3914,15.5089,1.7159
2014-01-27,25.49,5655.9084,15.5792,1.7236
2014-01-28,25.575,5674.7688,15.6312,1.7294
2014-01-29,25.385,5632.6102,15.5151,1.7165
2014-01-30,25.875,5741.335,15.8145,1.7497
2014-01-31,25.98,5764.6332,15.8787,1.7568
2014-02-03,25.475,5652.5801,15.5701,1.7226
2014-02-04,25.515,5661.4556,15.5945,1.7253
2014-02-05,25.3,5613.7498,15.4631,1.7108
2014-02-06,25.445,5645.9235,15.5517,1.7206
2014-02-07,25.645,5690.3009,15.674,1.7341
2014-02-10,25.82,5729.1312,15.7809,1.7459
2014-02-11,26.28,5831.1994,16.0621,1.777
2014-02-12,26.32,5840.0749,16.0865,1.7798
2014-02-13,26.57,5895.5467,16.2393,1.7967
2014-02-14,26.835,5954.3469,16.4013,1.8146
2014-02-18,26.93,5975.4262,16.4593,1.821
2014-02-19,26.605,5903.3128,16.2607,1.799
2014-02-20,26.85,5957.6752,16.4104,1.8156
2014-02-21,26.875,5963.2224,16.4257,1.8173
2014-02-24,26.755,5936.5959,16.3524,1.8092
2014-02-25,26.895,5967.6601,16.4379,1.8186
2014-02-26,26.885,5965.4413,16.4318,1.818
2014-02-27,26.83,5953.2374,16.3982,1.8142
2014-02-28,27.12,6017.5848,16.5755,1.8338
2014-03-03,26.755,5936.5959,16.3524,1.8092
2014-03-04,27.145,6023.132,16.5907,1.8355
2014-03-05,26.88,5964.3318,16.4288,1.8176
2014-03-06,26.695,5923.2827,16.3157,1.8051
2014-03-07,26.865,5961.0035,16.4196,1.8166
2014-03-10,26.84,5955.4563,16.4043,1.8149
2014-03-11,26.655,5914.4072,16.2913,1.8024
2014-03-12,27.085,6009.8187,16.5541,1.8315
2014-03-13,27.35,6068.6189,16.716,1.8494
2014-03-14,27.35,6068.6189,16.716,1.8494
2014-03-17,27.59,6121.8718,16.8627,1.8656
2014-03-18,27.625,6129.6379,16.8841,1.868
2014-03-19,27.125,6018.6942,16.5785,1.8342
2014-03-20,26.96,5982.0828,16.4777,1.823
2014-03-21,27.18,6030.898,16.6121,1.8379
2014-03-24,27.25,6046.4301,16.6549,1.8426
2014-03-25,27.435,6087.4793,16.768,1.8551
2014-03-26,27.835,6176.2342,17.0125,1.8822
2014-03-27,27.855,6180.672,17.0247,1.8835
2014-03-28,27.955,6202.8607,17.0858,1.8903
2014-03-31,28.405,6302.71,16.0935,1.8917
2014-04-01,28.28,6274.9741,16.0227,1.8834
2014-04-02,28.355,6291.6156,16.0652,1.8884
2014-04-03,28.285,6275.7162,16.0255,1.8838
2014-04-04,28.22,6261.2944,15.9887,1.8794
2014-04-07,28.02,6216.9195,15.8754,1.8661
2014-04-08,28.16,6247.982,15.9547,1.8754
2014-04-09,28.185,6253.5288,15.9688,1.8771
2014-04-10,28.26,6270.1694,16.0113,1.8821
2014-04-11,28.375,6295.6849,16.0765,1.8897
2014-04-14,28.55,6334.513,16.1756,1.9014
2014-04-15,28.95,6423.2627,16.4023,1.928
2014-04-16,29.17,6472.0751,16.5269,1.9427
2014-04-17,28.865,6404.4034,16.3541,1.9224
2014-04-21,28.73,6374.4503,16.2776,1.9134
2014-04-22,28.785,6386.6534,16.3088,1.9171
