Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,49.44,51705.7858,23.4879,4.1034
2014-01-03,48.95,51193.3296,23.2551,4.0627
2014-01-06,48.26,50471.7075,22.9273,4.0055
2014-01-07,48.38,50597.207,22.9843,4.0154
2014-01-08,48.55,50774.998,23.0651,4.0295
2014-01-09,48.75,50984.1638,23.1601,4.0461
2014-01-10,49.68,51956.7847,23.6019,4.1233
2014-01-13,48.66,50890.0391,23.1174,4.0387
2014-01-14,48.9,51141.0381,23.2314,4.0586
2014-01-15,48.29,50503.0824,22.9416,4.0079
2014-01-16,48.18,50388.0412,22.8893,3.9988
2014-01-17,47.61,49791.9187,22.6185,3.9515
2014-01-21,47.82,50011.5428,22.7183,3.9689
2014-01-22,47.75,49938.3347,22.685,3.9631
2014-01-23,48.15,50356.6664,22.8751,3.9963
2014-01-24,47.83,50022.0011,22.723,3.9698
2014-01-27,48.0,50199.792,22.8038,3.9839
2014-01-28,46.96,49112.1298,22.3097,3.8976
2014-01-29,45.97,48076.7591,21.8394,3.8154
2014-01-30,46.5,48631.0485,22.0912,3.8594
2014-01-31,46.29,48411.4244,21.4812,4.0225
2014-02-03,45.6,47689.8024,21.161,3.9625
2014-02-04,44.9,46957.7221,20.8361,3.9017
2014-02-05,45.53,47616.5944,21.1285,3.9565
2014-02-06,46.58,48714.7148,21.6157,4.0477
2014-02-07,46.07,48181.342,21.3791,4.0034
2014-02-10,46.12,48233.6335,21.4023,4.0077
2014-02-11,46.76,48902.964,21.6993,4.0633
2014-02-12,46.68,48819.2977,21.6621,4.0564
2014-02-13,46.64,48777.4646,21.6436,4.0529
2014-02-14,47.28,49446.7951,21.9406,4.1085
2014-02-18,46.93,49080.755,21.7782,4.0781
2014-02-19,46.54,48672.8817,21.5972,4.0442
2014-02-20,46.66,48798.3811,21.6529,4.0547
2014-02-21,47.06,49216.7127,21.8385,4.0894
2014-02-24,47.22,49384.0454,21.9127,4.1033
2014-02-25,48.11,50314.8332,22.3257,4.1807
2014-02-26,50.72,53044.4469,23.5369,4.4075
2014-02-27,50.82,53149.0298,23.5833,4.4161
2014-02-28,50.03,52322.8249,23.2167,4.3475
2014-03-03,50.19,52490.1575,23.291,4.3614
2014-03-04,50.63,52950.3223,23.4952,4.3996
2014-03-05,50.35,52657.4902,23.3652,4.3753
2014-03-06,50.09,52385.5746,23.2446,4.3527
2014-03-07,50.42,52730.6982,23.3977,4.3814
2014-03-10,49.99,52280.9917,23.1982,4.344
2014-03-11,49.46,51726.7023,22.9522,4.298
2014-03-12,49.38,51643.036,22.9151,4.291
2014-03-13,48.71,50942.3306,22.6042,4.2328
2014-03-14,49.09,51339.7456,22.7805,4.2658
2014-03-17,49.48,51747.6189,22.9615,4.2997
2014-03-18,49.83,52113.6591,23.1239,4.3301
2014-03-19,49.58,51852.2018,23.0079,4.3084
2014-03-20,49.55,51820.8269,22.994,4.3058
2014-03-21,49.25,51507.0783,22.8548,4.2797
2014-03-24,49.18,51433.8702,22.8223,4.2736
2014-03-25,48.36,50576.2904,22.4418,4.2024
2014-03-26,48.53,50754.0814,22.5206,4.2172
2014-03-27,48.54,50764.5397,22.5253,4.218
2014-03-28,48.92,51161.9547,22.7016,4.251
2014-03-31,48.9,51141.0381,22.6923,4.2493
2014-04-01,49.43,50358.0977,22.9383,4.2954
2014-04-02,49.52,50449.7875,22.9801,4.3032
2014-04-03,49.05,49970.9628,22.762,4.2623
2014-04-04,48.44,49349.5094,22.4789,4.2093
2014-04-07,46.77,47648.1535,21.7039,4.0642
2014-04-08,46.73,47607.4025,21.6853,4.0607
2014-04-09,47.54,48432.611,22.0612,4.1311
2014-04-10,46.79,47668.529,21.7132,4.0659
2014-04-11,46.31,47179.5166,21.4904,4.0242
2014-04-14,46.64,47515.7126,21.6436,4.0529
2014-04-15,46.71,47587.027,21.6761,4.059
2014-04-16,46.73,47607.4025,21.6853,4.0607
2014-04-17,46.8,47678.7168,21.7178,4.0668
2014-04-21,46.68,47556.4637,21.6621,4.0564
2014-04-22,47.54,48432.611,22.0612,4.1311
2014-04-23,46.22,47087.8267,21.4487,4.0164
2014-04-24,47.16,48045.4762,21.8849,4.0981
2014-04-25,46.38,47250.8309,21.5229,4.0303
2014-04-28,46.38,47250.8309,21.5229,4.0303
2014-04-29,46.43,47301.7697,21.5461,4.0347
2014-04-30,45.91,46772.0062,21.3048,3.9895
2014-05-01,46.37,47240.6431,21.5183,4.0295
2014-05-02,46.98,47862.0965,20.5188,4.1407
2014-05-05,46.29,47159.141,20.2174,4.0799
2014-05-06,45.39,46242.2426,19.8243,4.0006
2014-05-07,45.11,45956.9854,19.702,3.9759
2014-05-08,45.02,45865.2955,19.6627,3.968
2014-05-09,45.71,46568.251,19.9641,4.0288
2014-05-12,46.28,47148.9533,20.213,4.079
2014-05-13,45.76,46619.1898,19.9859,4.0332
2014-05-14,45.17,46018.1119,19.7282,3.9812
2014-05-15,44.63,45467.9729,19.4924,3.9336
2014-05-16,45.36,46211.6794,19.8112,3.9979
2014-05-19,45.55,46405.2468,19.8942,4.0147
2014-05-20,45.52,46374.6835,19.8811,4.012
2014-05-21,45.41,46262.6182,19.8331,4.0023
2014-05-22,46.89,47770.4066,20.4795,4.1328
2014-05-23,47.06,47943.5986,20.5537,4.1478
2014-05-27,47.78,48677.1173,20.8682,4.2112
2014-05-28,46.71,47587.027,20.4008,4.1169
2014-05-29,47.01,47892.6598,20.5319,4.1434
2014-05-30,47.08,47963.9741,20.5624,4.1495
2014-06-02,47.01,47892.6598,20.5319,4.1434
2014-06-03,47.22,47093.2615,20.6236,4.1619
2014-06-04,47.17,47043.3957,20.6017,4.1575
2014-06-05,47.4,47272.7784,20.7022,4.1777
2014-06-06,47.77,47641.7853,20.8638,4.2104
2014-06-09,47.61,47482.2148,20.7939,4.1962
2014-06-10,47.59,47462.2684,20.7852,4.1945
