Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,5.395,8761.0434,24.3241,1.875
2014-01-03,5.394,8759.4194,24.3195,1.8747
2014-01-06,5.325,8647.369,24.0085,1.8507
2014-01-07,5.391,8754.5477,24.306,1.8736
2014-01-08,5.418,8798.3935,24.4278,1.883
2014-01-09,5.42,8801.6413,24.4368,1.8837
2014-01-10,5.488,8912.0678,24.7434,1.9073
2014-01-13,5.458,8863.3503,24.6081,1.8969
2014-01-14,5.589,9076.0837,25.1987,1.9424
2014-01-15,5.595,9085.8272,25.2258,1.9445
2014-01-16,5.49,8915.3157,24.7524,1.908
2014-01-17,5.423,8806.5131,24.4503,1.8848
2014-01-21,5.445,8842.2393,24.5495,1.8924
2014-01-22,5.538,8993.2638,24.9688,1.9247
2014-01-23,5.404,8775.6586,24.3646,1.8781
2014-01-24,5.127,8325.8331,23.1157,1.7819
2014-01-27,5.096,8275.4916,22.976,1.7711
2014-01-28,5.122,8317.7135,23.0932,1.7801
2014-01-29,5.125,8322.5852,23.1067,1.7812
2014-01-30,5.126,8324.2091,23.1112,1.7815
2014-01-31,5.061,8218.6544,22.8182,1.7589
2014-02-03,4.858,7878.1703,21.9029,1.6884
2014-02-04,4.946,8020.8791,22.2997,1.719
2014-02-05,4.995,8100.3419,22.5206,1.736
2014-02-06,5.105,8286.0555,23.0166,1.7742
2014-02-07,5.185,8415.9055,23.3772,1.802
2014-02-10,5.16,8375.3274,23.2645,1.7933
2014-02-11,5.264,8544.1324,23.7334,1.8295
2014-02-12,5.267,8549.0018,23.747,1.8305
2014-02-13,5.191,8425.6443,23.4043,1.8041
2014-02-14,5.248,8518.1624,23.6613,1.8239
2014-02-18,5.176,8401.2974,23.3367,1.7989
2014-02-19,5.199,8438.6293,23.4404,1.8069
2014-02-20,5.235,8497.0618,23.6027,1.8194
2014-02-21,5.227,8484.0768,23.5666,1.8166
2014-02-24,5.262,8540.8862,23.7244,1.8288
2014-02-25,5.256,8531.1474,23.6974,1.8267
2014-02-26,5.263,8542.5093,23.7289,1.8291
2014-02-27,5.183,8412.6592,23.3682,1.8013
2014-02-28,5.173,8396.428,23.3231,1.7979
2014-03-03,5.112,8297.4173,23.0481,1.7767
2014-03-04,5.096,8271.4473,22.976,1.7711
2014-03-05,5.203,8445.1218,23.4584,1.8083
2014-03-06,5.335,8659.3743,24.0535,1.8542
2014-03-07,5.335,8659.3743,24.0535,1.8542
2014-03-10,5.308,8615.5499,23.9318,1.8448
2014-03-11,5.294,8592.8262,23.8687,1.8399
2014-03-12,5.365,8708.0681,24.1888,1.8646
2014-03-13,5.293,8591.203,23.8642,1.8396
2014-03-14,5.26,8537.6399,23.7154,1.8281
2014-03-17,5.327,8646.3893,24.0175,1.8514
2014-03-18,5.483,8899.5969,24.7208,1.9056
2014-03-19,5.449,8844.4106,24.5675,1.8938
2014-03-20,5.643,9159.297,25.4422,1.9612
2014-03-21,5.637,9149.5582,25.4151,1.9591
2014-03-24,5.64,9154.4276,25.4287,1.9602
2014-03-25,5.659,9185.267,25.5143,1.9668
2014-03-26,5.515,8951.5369,24.8651,1.9167
2014-03-27,5.446,8839.5412,24.554,1.8927
2014-03-28,5.449,8844.4106,18.1182,1.8361
2014-03-31,5.5,8927.19,18.2877,1.8533
2014-04-01,5.562,9027.8238,18.4939,1.8742
2014-04-02,5.697,9246.9457,18.9428,1.9197
2014-04-03,5.768,9362.1876,19.1788,1.9436
2014-04-04,5.6,9089.5026,18.6202,1.887
2014-04-07,5.483,8899.5969,18.2312,1.8476
2014-04-08,5.451,8847.6569,18.1248,1.8368
2014-04-09,5.6,9089.5026,18.6202,1.887
2014-04-10,5.307,8613.9268,17.646,1.7883
2014-04-11,5.263,8542.5093,17.4997,1.7734
2014-04-14,5.264,8544.1324,17.503,1.7738
2014-04-15,5.237,8500.308,17.4132,1.7647
2014-04-16,5.211,8458.1068,17.3268,1.7559
2014-04-17,5.274,8560.3637,17.5363,1.7771
2014-04-21,5.277,8565.233,17.5462,1.7782
2014-04-22,5.305,8610.6806,17.6393,1.7876
2014-04-23,5.225,8480.8305,17.3733,1.7606
2014-04-24,5.826,9456.3289,19.3717,1.9631
2014-04-25,5.637,9149.5582,18.7433,1.8995
2014-04-28,5.652,9155.5621,18.7931,1.9045
2014-04-29,5.627,9115.0651,18.71,1.8961
2014-04-30,5.761,9332.1291,19.1556,1.9412
2014-05-01,5.72,9265.714,19.0192,1.9274
2014-05-02,5.752,9317.5501,19.1256,1.9382
2014-05-05,5.721,9267.3339,19.0226,1.9278
2014-05-06,5.67,9184.72,18.853,1.9106
2014-05-07,5.686,9210.6381,18.9062,1.916
2014-05-08,5.692,9228.4616,18.9261,1.918
2014-05-09,5.718,9270.6155,19.0126,1.9268
2014-05-12,5.825,9444.095,19.3684,1.9628
2014-05-13,5.724,9280.3433,19.0325,1.9288
2014-05-14,5.633,9132.8047,18.73,1.8981
2014-05-15,5.586,9056.6034,18.5737,1.8823
2014-05-16,5.852,9487.8702,19.4581,1.9719
2014-05-19,5.895,9557.5863,19.6011,1.9864
2014-05-20,5.884,9539.7519,19.5645,1.9827
2014-05-21,5.945,9638.6515,19.7674,2.0032
2014-05-22,5.92,9598.1189,19.6842,1.9948
2014-05-23,6.061,9826.7227,20.1531,2.0423
2014-05-27,6.181,10021.2792,20.5521,2.0828
2014-05-28,6.175,10011.5514,20.5321,2.0807
2014-05-29,6.178,10016.4153,20.5421,2.0818
2014-05-30,6.204,10058.5692,20.6286,2.0905
2014-06-02,6.231,10102.3444,20.7183,2.0996
2014-06-03,6.465,10481.7295,21.4964,2.1785
2014-06-04,6.456,10467.1377,21.4665,2.1754
2014-06-05,6.502,10541.7177,21.6194,2.1909
2014-06-06,6.5,10538.4751,21.6128,2.1903
2014-06-09,6.504,10544.9603,21.6261,2.1916
2014-06-10,6.521,10572.5225,21.6826,2.1973
2014-06-11,6.543,10608.1912,21.7557,2.2047
2014-06-12,6.552,10622.7829,21.7857,2.2078
2014-06-13,6.57,10651.9664,21.8455,2.2138
2014-06-16,6.649,10780.0494,22.1082,2.2405
2014-06-17,6.664,10804.3689,22.1581,2.2455
2014-06-18,6.654,10788.1559,22.1248,2.2422
2014-06-19,6.609,10715.1972,21.9752,2.227
2014-06-20,6.631,10750.8659,22.0484,2.2344
2014-06-23,6.757,10955.1502,22.4673,2.2769
2014-06-24,6.647,10776.8068,22.1016,2.2398
2014-06-25,6.658,10794.6411,22.1381,2.2435
2014-06-26,6.65,10781.6707,22.1115,2.2408
2014-06-27,6.695,10854.6294,19.1395,2.161
2014-06-30,6.758,10956.7715,19.3196,2.1814
2014-07-01,6.862,11125.3871,19.6169,2.2149
2014-07-02,6.87,11138.3575,19.6398,2.2175
2014-07-03,6.901,11188.618,19.7284,2.2275
2014-07-07,6.861,11123.7658,19.6141,2.2146
2014-07-08,6.967,11295.624,19.9171,2.2488
2014-07-09,7.152,11595.5652,20.446,2.3085
2014-07-10,7.109,11525.8492,20.3231,2.2946
2014-07-11,7.153,11597.1865,20.4489,2.3088
