Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,79.58,65219.6812,27.6025,8.4994
2014-01-03,78.35,64211.6363,27.1759,8.3681
2014-01-06,77.27,63326.5238,26.8013,8.2527
2014-01-07,78.98,64727.952,27.3944,8.4354
2014-01-08,81.18,66530.959,28.1575,8.6703
2014-01-09,80.61,66063.8163,27.9598,8.6094
2014-01-10,80.59,66047.4253,27.9528,8.6073
2014-01-13,79.17,64883.6662,27.4603,8.4556
2014-01-14,80.3,65809.7562,27.8522,8.5763
2014-01-15,81.01,66391.6357,28.0985,8.6522
2014-01-16,80.87,66276.8989,28.05,8.6372
2014-01-17,81.93,67145.6205,28.4176,8.7504
2014-01-21,82.03,67227.5754,28.4523,8.7611
2014-01-22,80.47,65949.0795,27.9112,8.5945
2014-01-23,78.72,64514.8693,27.3042,8.4076
2014-01-24,73.91,60572.8404,25.6359,7.8939
2014-01-27,73.4,60154.8705,25.459,7.8394
2014-01-28,75.26,61679.231,26.1041,8.038
2014-01-29,73.93,60589.2313,25.6428,7.896
2014-01-30,77.91,63851.0349,27.0233,8.3211
2014-01-31,76.52,62711.8623,26.5411,8.1726
2014-02-03,74.51,61064.5695,25.844,7.9579
2014-02-04,75.03,61490.7348,26.0243,8.0135
2014-02-05,73.98,60630.2088,25.6601,7.9013
2014-02-06,76.28,62515.1706,26.4579,8.147
2014-02-07,76.97,63080.6592,26.6972,8.2207
2014-02-10,76.04,62318.479,26.3747,8.1214
2014-02-11,78.32,64187.0499,27.1655,8.3649
2014-02-12,78.78,64564.0423,27.325,8.414
2014-02-13,78.79,64572.2377,27.3285,8.4151
2014-02-14,80.15,65686.8239,27.8002,8.5603
2014-02-18,80.74,66170.3576,28.0049,8.6233
2014-02-19,79.69,65309.8315,27.6407,8.5112
2014-02-20,80.59,66047.4253,27.9528,8.6073
2014-02-21,80.89,66293.2899,28.0569,8.6393
2014-02-24,84.41,69178.1011,29.2778,9.0153
2014-02-25,83.29,68260.2066,28.8893,8.8957
2014-02-26,83.16,68153.6653,28.8442,8.8818
2014-02-27,85.13,69768.1762,29.5275,9.0922
2014-02-28,85.25,69271.2757,29.5692,9.105
2014-03-03,85.97,69856.3235,29.8189,9.1819
2014-03-04,87.11,70782.649,30.2143,9.3037
2014-03-05,87.22,70872.0313,30.2525,9.3154
2014-03-06,87.81,71351.4454,30.4571,9.3784
2014-03-07,87.03,70717.6437,30.1866,9.2951
2014-03-10,85.51,69482.543,29.6593,9.1328
2014-03-11,84.39,68572.4687,29.2709,9.0132
2014-03-12,85.12,69165.6421,29.5241,9.0911
2014-03-13,82.19,66784.8229,28.5078,8.7782
2014-03-14,82.25,66833.5769,28.5286,8.7846
2014-03-17,83.86,68141.8086,29.087,8.9566
2014-03-18,83.56,67898.0387,28.983,8.9245
2014-03-19,81.83,66492.299,28.3829,8.7397
2014-03-20,81.42,66159.1469,28.2407,8.696
2014-03-21,81.42,66159.1469,28.2407,8.696
2014-03-24,80.39,65322.2036,27.8835,8.5859
2014-03-25,78.8,64030.2232,27.332,8.4161
2014-03-26,77.27,62786.9968,26.8013,8.2527
2014-03-27,77.29,62803.2481,26.8082,8.2549
2014-03-28,78.25,63583.3117,27.1412,8.3574
2014-03-31,80.78,65639.1044,25.6064,8.981
2014-04-01,82.75,67239.86,26.2309,9.2
2014-04-02,82.87,67337.368,26.269,9.2133
2014-04-03,81.48,66207.9008,25.8283,9.0588
2014-04-04,78.31,63632.0657,24.8235,8.7064
2014-04-07,75.26,61153.7385,23.8567,8.3673
2014-04-08,76.6,62242.5774,24.2814,8.5163
2014-04-09,77.62,63071.395,24.6048,8.6297
2014-04-10,75.66,61478.7651,23.9835,8.4117
2014-04-11,74.62,60633.6961,23.6538,8.2961
2014-04-14,74.66,60666.1988,23.6665,8.3006
2014-04-15,73.18,59463.6007,23.1973,8.136
2014-04-16,76.39,62071.9384,24.2149,8.4929
2014-04-17,76.46,62128.8181,24.2371,8.5007
2014-04-21,75.73,61535.6447,24.0057,8.4195
2014-04-22,80.06,65054.0567,25.3782,8.9009
2014-04-23,77.95,63339.5419,24.7094,8.6663
2014-04-24,79.48,64582.7683,25.1944,8.8364
2014-04-25,77.0,62380.3723,24.4082,8.5607
2014-04-28,74.39,60265.9207,23.5809,8.2706
2014-04-29,78.62,63692.7905,24.9218,8.7408
2014-04-30,79.13,64105.9592,25.0834,8.7975
2014-05-01,79.35,64284.1888,25.1532,8.822
2014-05-02,80.6,65296.8572,25.5494,8.961
2014-05-05,79.74,64600.1413,25.2768,8.8654
2014-05-06,78.92,63935.8309,25.0168,8.7742
2014-05-07,77.75,62812.0772,24.646,8.6441
2014-05-08,74.76,60396.5388,23.6982,8.3117
2014-05-09,74.68,60331.909,23.6728,8.3028
2014-05-12,75.93,61341.7495,24.069,8.4418
2014-05-13,75.9,61317.5133,24.0595,8.4384
2014-05-14,73.69,59532.1153,23.359,8.1927
2014-05-15,73.41,59305.9111,23.2702,8.1616
2014-05-16,73.16,59103.943,23.191,8.1338
2014-05-19,74.3,60024.9175,23.5524,8.2605
2014-05-20,72.48,58554.5898,22.9754,8.0582
2014-05-21,73.88,59685.6111,23.4192,8.2139
2014-05-22,74.78,60412.6962,23.7045,8.3139
2014-05-23,74.9,60509.6409,23.7425,8.3273
2014-05-27,75.94,61349.8282,24.0722,8.4429
2014-05-28,75.97,61374.0644,24.0817,8.4462
2014-05-29,77.01,62214.2516,24.4114,8.5618
2014-05-30,76.52,61818.3942,24.2561,8.5074
2014-06-02,77.43,62553.558,24.5445,8.6085
2014-06-03,75.44,60945.892,23.9137,8.3873
2014-06-04,76.18,61543.7176,24.1483,8.4696
2014-06-05,75.15,60711.609,23.8218,8.355
2014-06-06,74.45,60146.0984,23.5999,8.2772
2014-06-09,72.84,58845.4238,23.0895,8.0982
2014-06-10,73.03,58998.9196,23.1498,8.1193
2014-06-11,73.8,59620.9813,23.3939,8.205
