Date,Price,Market Cap,PE Ratio,PB Ratio
2016-11-01,34.0,,12.7553,
2016-11-03,34.0,,12.7553,
2016-11-04,33.5,,12.5677,
2016-11-07,33.02,,12.3876,
2016-11-08,34.0,,12.7553,
2016-11-09,31.84,,11.9449,
2016-11-10,30.33,4428.18,11.3785,
2016-11-11,29.89,4363.94,11.2134,
2016-11-14,30.19,4407.74,11.3259,
2016-11-15,30.43,4442.78,11.416,
2016-11-16,31.7,4628.2,11.8924,
2016-11-17,32.51,4746.46,12.1963,
2016-11-18,32.68,4771.28,12.2601,
2016-11-21,31.74,4634.04,11.9074,
2016-11-22,32.7,4774.2,12.2676,
2016-11-23,33.02,4820.92,12.3876,
2016-11-25,32.59,4758.14,11.6621,
2016-11-28,32.74,4780.04,11.7158,
2016-11-29,33.19,4845.74,11.8768,
2016-11-30,33.48,4888.08,11.9806,
2016-12-01,32.51,4746.46,11.6335,
2016-12-02,32.99,4816.54,11.8052,
2016-12-05,33.65,4912.9,12.0414,
2016-12-06,33.82,4937.72,12.1022,
2016-12-07,34.75,5073.5,12.435,
2016-12-08,35.93,5245.78,12.8573,
2016-12-09,36.38,5311.48,13.0183,
2016-12-12,36.73,5362.58,13.1436,
2016-12-13,36.58,5340.68,13.0899,
2016-12-14,35.15,5131.9,12.5782,
2016-12-15,34.38,5019.48,12.3026,
2016-12-16,35.26,5147.96,12.6175,
2016-12-19,34.48,5034.08,12.3384,
2016-12-20,34.95,5102.7,12.5066,
2016-12-21,35.02,5112.92,12.5317,
2016-12-22,36.33,5304.18,13.0004,
2016-12-23,36.85,5380.1,13.1865,
2016-12-27,37.34,5451.64,13.3618,
2016-12-28,37.23,5435.58,13.3225,
2016-12-29,37.77,5514.42,13.5157,
2016-12-30,37.85,5526.1,13.5443,
2017-01-03,37.49,5473.54,13.4155,
2017-01-04,36.98,5399.08,13.233,
2017-01-05,36.62,5346.52,13.1042,
2017-01-06,36.83,5377.18,13.1793,
2017-01-09,36.89,5385.94,13.2008,
2017-01-10,36.84,5380.811,13.1829,
2017-01-11,36.89,5388.1139,13.2008,
2017-01-12,36.96,5398.338,13.2259,
2017-01-13,37.22,5436.3134,13.3189,
2017-01-17,36.89,5388.1139,13.2008,
2017-01-18,36.64,5351.5992,13.1114,
2017-01-19,36.96,5398.338,13.2259,
2017-01-20,37.11,5420.2469,13.2795,
2017-01-23,36.77,5370.5868,13.1579,
2017-01-24,37.49,5475.7493,13.4155,
2017-01-25,36.67,5355.9809,13.1221,
2017-01-26,36.33,5306.3209,13.0004,
2017-01-27,36.44,5322.3874,13.0398,
2017-01-30,36.78,5372.0474,13.1615,
2017-01-31,37.36,5456.7616,13.369,
2017-02-01,37.77,5516.6458,13.5157,
2017-02-02,38.42,5611.5841,13.7483,
2017-02-03,38.9,5681.6924,13.9201,
2017-02-06,39.24,5731.3524,14.0417,
2017-02-07,39.41,5756.1824,14.1026,
2017-02-08,39.16,5719.6677,14.0131,
2017-02-09,39.08,5707.983,13.9845,
2017-02-10,39.27,5735.7342,14.0525,
2017-02-13,39.43,5759.1036,14.1097,
2017-02-14,39.65,5791.2366,14.1885,
2017-02-15,39.63,5788.3154,14.1813,
2017-02-16,39.9,5827.7513,14.2779,
2017-02-17,39.62,5786.8548,14.1777,
2017-02-21,39.62,5786.8548,14.1777,
2017-02-22,39.85,5820.4483,14.26,
2017-02-23,39.5,5769.3277,14.1348,
2017-02-24,39.58,5781.0124,14.8039,
2017-02-27,39.48,5766.4065,14.7665,
2017-02-28,39.19,5724.0494,14.658,
2017-03-01,39.95,5835.0542,14.9422,
2017-03-02,40.22,5874.4901,15.0432,
2017-03-03,40.4,5900.7807,15.1106,
2017-03-06,40.42,5903.7019,15.118,
2017-03-07,40.74,5950.4408,15.2377,
2017-03-08,40.72,5947.5196,15.2302,
2017-03-09,40.98,5985.4949,15.3275,
2017-03-10,41.4,6046.8397,15.4846,
2017-03-13,41.53,6065.8273,15.5332,
2017-03-14,42.21,6165.1474,15.7875,
2017-03-15,42.36,6187.0563,15.8436,
2017-03-16,41.99,6133.0144,15.7053,
2017-03-17,42.25,6170.9898,15.8025,
2017-03-20,42.48,6204.5833,15.8885,
2017-03-21,42.87,6261.5463,16.0344,
2017-03-22,42.44,6198.741,15.8736,
2017-03-23,43.01,6281.9946,16.0868,
2017-03-24,42.67,6232.3345,15.9596,
2017-03-27,42.96,6274.6916,16.0681,
2017-03-28,42.92,6268.8493,16.0531,
2017-03-29,42.64,6227.9528,15.9484,
2017-03-30,42.09,6147.6203,15.7427,
2017-03-31,42.06,6143.2386,15.7314,
2017-04-03,42.0,6134.475,15.709,
2017-04-04,42.19,6162.2262,15.7801,
2017-04-05,41.74,6096.4997,15.6118,
2017-04-06,43.14,6301.3976,16.1354,
2017-04-07,42.99,6279.4873,16.0793,
2017-04-10,42.76,6245.8915,15.9933,
2017-04-11,42.88,6263.4198,16.0381,
2017-04-12,42.16,6158.2504,15.7688,
2017-04-13,41.87,6115.8905,15.6604,
2017-04-17,42.23,6168.4752,15.795,
2017-04-18,42.38,6190.3855,15.8511,
2017-04-19,42.2,6164.0931,15.7838,
2017-04-20,42.6,6222.5206,15.9334,
2017-04-21,42.26,6172.8573,15.8062,
2017-04-24,42.67,6232.7454,15.9596,
2017-04-25,42.46,6202.071,15.881,
2017-04-26,42.24,6169.9359,15.7988,
2017-04-27,42.64,6228.3633,15.9484,
2017-04-28,41.75,6098.3623,15.6155,
2017-05-01,41.8,6105.6657,15.6342,
2017-05-02,41.39,6045.7776,15.4808,
2017-05-03,40.9,5974.204,15.2976,
2017-05-04,41.26,6026.7887,15.4322,
2017-05-05,41.57,6072.0699,15.5482,
2017-05-08,41.58,6073.5306,15.5519,
2017-05-09,41.75,6098.3623,15.6155,
2017-05-10,42.47,6203.5316,15.8848,
2017-05-11,42.2,6164.0931,15.7838,
2017-05-12,42.2,6164.0931,15.7838,
2017-05-15,42.93,6270.7232,16.0568,
2017-05-16,44.47,6495.6688,16.6328,
2017-05-17,44.17,6451.8482,16.5206,
2017-05-18,43.94,6418.2524,16.4346,
2017-05-19,44.38,6482.5226,16.5992,
2017-05-22,44.58,6511.7363,16.674,
2017-05-23,44.22,6459.1516,16.5393,
2017-05-24,45.49,6644.6587,17.0143,
2017-05-25,45.63,6665.1083,17.0667,
2017-05-26,45.66,6669.4903,19.6616,
2017-05-30,46.17,6743.9853,19.8812,
2017-05-31,46.41,6779.0418,19.9845,
2017-06-01,47.32,6911.9642,20.3764,
2017-06-02,47.38,6920.7283,20.4022,
2017-06-05,46.71,6822.8623,20.1137,
2017-06-06,46.67,6817.0196,20.0965,
2017-06-07,46.91,6852.076,20.1998,
2017-06-08,46.5,6792.1879,20.0233,
2017-06-09,46.03,6723.5357,19.8209,
2017-06-12,45.43,6635.8946,19.5625,
2017-06-13,45.98,6716.2323,19.7994,
2017-06-14,45.59,6659.2656,19.6314,
2017-06-15,45.32,6619.827,19.5152,
2017-06-16,45.07,6583.3099,19.4075,
2017-06-19,45.55,6653.4228,19.6142,
2017-06-20,45.73,6679.7152,19.6917,
2017-06-21,45.82,6692.8613,19.7305,
2017-06-22,45.59,6659.2656,19.6314,
2017-06-23,45.56,6654.8835,19.6185,
2017-06-26,45.34,6622.7484,19.5238,
2017-06-27,44.69,6527.8039,19.2439,
2017-06-28,45.37,6627.1305,19.5367,
2017-06-29,44.13,6446.0055,19.0027,
2017-06-30,44.04,6432.8593,18.964,
2017-07-03,43.86,6406.567,18.8865,
2017-07-05,43.27,6320.3865,18.6324,
2017-07-06,42.9,6266.3411,18.4731,
2017-07-07,43.1,6295.5548,18.5592,
2017-07-10,42.74,6242.9702,18.4042,
2017-07-11,43.79,6396.3422,18.8563,
2017-07-12,44.0,6427.0166,18.9468,
2017-07-13,43.77,6393.4208,18.8477,
2017-07-14,43.65,6375.8926,18.796,
2017-07-17,43.99,6425.5559,18.9424,
2017-07-18,44.13,6446.0055,19.0027,
2017-07-19,44.38,6482.5226,19.1104,
2017-07-20,44.28,6467.9157,19.0673,
2017-07-21,45.0,6573.0851,19.3774,
2017-07-24,44.75,6536.568,19.2697,
2017-07-25,45.68,6674.0333,19.6702,
2017-07-26,44.28,6469.4876,19.0673,
2017-07-27,43.86,6408.1239,18.8865,
2017-07-28,43.82,6402.2798,18.8692,
2017-07-31,43.98,6425.6564,18.9381,
2017-08-01,44.04,6434.4227,18.964,
2017-08-02,43.76,6393.5135,18.8434,
2017-08-03,43.22,6314.6173,18.6109,
2017-08-04,43.62,6373.059,18.7831,
2017-08-07,43.86,6408.1239,18.8865,
2017-08-08,43.56,6364.2927,18.7573,
2017-08-09,43.51,6356.9875,18.7358,
2017-08-10,44.34,6481.2127,19.0932,
2017-08-11,44.81,6549.913,19.2955,
2017-08-14,44.81,6549.913,19.2955,
2017-08-15,45.02,6580.6089,19.386,
2017-08-16,45.36,6630.3069,19.5324,
2017-08-17,45.37,6631.7687,19.5367,
2017-08-18,45.27,6617.1516,19.4936,
2017-08-21,45.45,6643.4623,19.5711,
2017-08-22,45.66,6674.1582,19.6616,
2017-08-23,45.59,6663.9262,19.6314,
2017-08-24,45.0,6577.6855,19.3774,
2017-08-25,45.04,6583.5323,19.5913,
2017-08-28,44.88,6560.145,19.5217,
2017-08-29,45.07,6587.9174,19.6044,
2017-08-30,45.17,6602.5345,19.6479,
2017-08-31,45.48,6647.8474,19.7827,
2017-09-01,45.99,6722.3945,20.0045,
2017-09-05,45.74,6685.8518,19.8958,
2017-09-06,45.32,6624.4601,19.7131,
2017-09-07,45.28,6618.6133,19.6957,
2017-09-08,45.44,6642.0006,19.7653,
2017-09-11,45.63,6669.7731,19.8479,
2017-09-12,46.0,6723.8562,20.0089,
2017-09-13,46.55,6804.2502,20.2481,
2017-09-14,46.07,6734.0882,20.0393,
2017-09-15,46.39,6780.8629,20.1785,
2017-09-18,46.28,6764.7841,20.1307,
2017-09-19,46.39,6780.8629,20.1785,
2017-09-20,46.65,6818.8673,20.2916,
2017-09-21,45.86,6703.3923,19.948,
2017-09-22,45.38,6633.2304,19.7392,
2017-09-25,45.17,6602.5345,19.6479,
2017-09-26,45.53,6655.156,19.8045,
2017-09-27,46.04,6729.7031,20.0263,
2017-09-28,46.58,6808.6353,20.2612,
2017-09-29,46.89,6853.9482,20.396,
2017-10-02,47.54,6948.9593,20.6788,
2017-10-03,47.17,6894.8761,20.5178,
2017-10-04,48.41,7077.3947,21.0572,
2017-10-05,48.59,7103.7102,21.1355,
2017-10-06,49.13,7182.6565,21.3704,
2017-10-09,48.83,7138.7975,21.2399,
2017-10-10,49.04,7169.4988,21.3312,
2017-10-11,49.37,7217.7438,21.4748,
2017-10-12,49.7,7265.9888,21.6183,
2017-10-13,50.0,7309.8479,21.7488,
2017-10-16,50.69,7410.7238,22.0489,
2017-10-17,50.22,7342.0112,21.8445,
2017-10-18,50.56,7391.7182,21.9924,
2017-10-19,50.3,7353.707,21.8793,
2017-10-20,50.63,7401.952,22.0228,
2017-10-23,50.9,7441.4252,22.1403,
2017-10-24,50.72,7415.1097,22.062,
2017-10-25,50.62,7400.49,22.0185,
2017-10-26,50.6,7397.5661,22.0098,
2017-10-27,50.82,7429.7294,22.1055,
2017-10-30,50.38,7365.4027,21.9141,
