Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,78.78,43563.1378,11.6446,3.465
2014-01-03,78.71,43524.4297,11.6342,3.4619
2014-01-06,77.97,43115.2304,11.5248,3.4294
2014-01-07,78.94,43651.6133,11.6682,3.472
2014-01-08,79.73,44088.4612,11.785,3.5068
2014-01-09,80.48,44503.1903,11.8958,3.5398
2014-01-10,80.35,44431.3039,11.8766,3.5341
2014-01-13,79.82,44138.2287,11.7983,3.5108
2014-01-14,81.81,45238.6431,12.0924,3.5983
2014-01-15,82.75,45758.4368,12.2314,3.6396
2014-01-16,82.22,45465.3616,12.153,3.6163
2014-01-17,81.4,45011.9245,12.0318,3.5802
2014-01-21,80.95,44763.0871,11.9653,3.5605
2014-01-22,80.22,44359.4175,11.8574,3.5283
2014-01-23,77.76,42999.1063,11.4938,3.4201
2014-01-24,75.92,41981.6377,11.2218,3.3392
2014-01-27,75.74,41882.1028,11.1952,3.3313
2014-01-28,76.69,42407.4262,11.3356,3.3731
2014-01-29,76.66,42390.837,11.3312,3.3718
2014-01-30,78.06,43164.9979,11.5381,3.4333
2014-01-31,78.76,43552.0783,11.6416,3.4641
2014-02-03,77.21,42694.9717,11.4125,3.396
2014-02-04,78.04,43153.9385,11.5352,3.4325
2014-02-05,77.61,42916.1605,11.4716,3.4135
2014-02-06,79.12,43751.1483,11.6948,3.48
2014-02-07,80.83,44696.7305,11.9476,3.5552
2014-02-10,80.96,44768.6168,11.9668,3.5609
2014-02-11,81.68,45166.7567,12.0732,3.5926
2014-02-12,82.62,45686.5504,12.2121,3.6339
2014-02-13,83.37,46101.2795,12.323,3.6669
2014-02-14,84.47,46709.5487,12.4856,3.7153
2014-02-18,85.33,47185.1047,12.6127,3.7531
2014-02-19,84.28,46604.484,12.4575,3.7069
2014-02-20,85.8,46894.1146,12.6822,3.7738
2014-02-21,85.65,46812.1319,12.66,3.7672
2014-02-24,85.97,46987.0284,12.7073,3.7812
2014-02-25,86.3,47167.3904,12.7561,3.7958
2014-02-26,87.42,47779.528,12.9216,3.845
2014-02-27,87.87,48025.4761,12.9882,3.8648
2014-02-28,88.08,48140.2519,13.0192,3.8741
2014-03-03,88.47,48353.407,13.0768,3.8912
2014-03-04,89.68,49014.7343,13.2557,3.9444
2014-03-05,90.1,49244.2859,13.3178,3.9629
2014-03-06,91.06,49768.9753,13.4597,4.0051
2014-03-07,90.9,49681.527,13.436,3.9981
2014-03-10,91.03,49752.5787,13.4552,4.0038
2014-03-11,90.44,49430.1134,13.368,3.9779
2014-03-12,90.16,49277.079,13.3266,3.9655
2014-03-13,89.03,48659.4758,13.1596,3.9158
2014-03-14,88.92,48599.3552,13.1434,3.911
2014-03-17,90.6,49517.5616,13.3917,3.9849
2014-03-18,90.7,49572.2168,13.4065,3.9893
2014-03-19,89.7,49025.6653,13.2586,3.9453
2014-03-20,90.26,49331.7341,13.3414,3.9699
2014-03-21,90.04,49211.4928,13.3089,3.9603
2014-03-24,89.57,48634.2412,13.2394,3.9396
2014-03-25,90.57,49177.2159,13.3872,3.9836
2014-03-26,89.88,48802.5634,13.2853,3.9532
2014-03-27,87.36,47434.2672,12.9128,3.8424
2014-03-28,88.38,47988.1014,13.0635,3.8872
2014-03-31,88.94,48292.1672,12.9093,4.0271
2014-04-01,88.77,48199.8615,12.8847,4.0194
2014-04-02,90.27,49014.3235,13.1024,4.0873
2014-04-03,90.46,49117.4887,13.13,4.0959
2014-04-04,89.03,48341.0349,12.9224,4.0311
2014-04-07,87.12,47303.9533,12.6452,3.9447
2014-04-08,87.04,47260.5153,12.6336,3.941
2014-04-09,88.54,48074.9773,12.8513,4.0089
2014-04-10,87.38,47445.1267,12.6829,3.9564
