Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,20.06,3997.7903,,2.8408
2014-01-03,20.34,4053.592,,2.8804
2014-01-06,20.5,4085.4786,,2.9031
2014-01-07,20.83,4151.2449,,2.9498
2014-01-08,20.81,4147.2591,,2.947
2014-01-09,20.65,4115.3724,,2.9243
2014-01-10,20.66,4117.3653,,2.9257
2014-01-13,20.09,4003.7691,,2.845
2014-01-14,20.5,4085.4786,,2.9031
2014-01-15,20.9,4165.1953,,2.9597
2014-01-16,20.7,4125.337,,2.9314
2014-01-17,20.85,4155.2307,,2.9526
2014-01-21,20.93,4171.1741,,2.964
2014-01-22,21.01,4187.1174,,2.9753
2014-01-23,21.26,4236.9403,,3.0107
2014-01-24,20.9,4165.1953,,2.9597
2014-01-27,20.64,4113.3795,,2.9229
2014-01-28,21.18,4220.997,,2.9994
2014-01-29,20.8,4145.2661,,2.9456
2014-01-30,21.16,4217.0111,,2.9965
2014-01-31,21.27,4238.9332,,3.0121
2014-02-03,20.77,4139.2874,,2.9413
2014-02-04,20.88,4161.2095,,2.9569
2014-02-05,21.0,4185.1245,,2.9739
2014-02-06,21.12,4209.0395,,2.9909
2014-02-07,21.36,4256.8695,,3.0249
2014-02-10,21.37,4258.8624,,3.0263
2014-02-11,21.54,4292.742,,3.0504
2014-02-12,21.56,4296.7278,,3.0532
2014-02-13,21.74,4332.6003,,3.0787
2014-02-14,21.65,4314.664,,3.0659
2014-02-18,21.8,4344.5578,,3.0872
2014-02-19,21.72,4328.6144,,3.0759
2014-02-20,21.99,4382.4232,,3.1141
2014-02-21,21.82,4348.5436,,3.09
2014-02-24,21.85,4372.2028,,3.0943
2014-02-25,23.69,4740.3883,,3.3548
2014-02-26,23.34,4670.353,,3.3053
2014-02-27,23.02,4606.3208,,3.2599
2014-02-28,22.69,4540.2875,,3.2132
2014-03-03,22.44,4490.2623,,3.1778
2014-03-04,22.5,4502.2683,,3.1863
2014-03-05,22.94,4590.3127,,3.2486
2014-03-06,23.06,4614.3248,,3.2656
2014-03-07,23.07,4616.3258,,3.267
2014-03-10,22.99,4600.3177,,3.2557
2014-03-11,22.85,4572.3036,,3.2359
2014-03-12,23.22,4646.3409,,3.2883
2014-03-13,22.98,4598.3167,,3.2543
2014-03-14,23.26,4654.345,,3.2939
2014-03-17,22.99,4600.3177,,3.2557
2014-03-18,23.14,4630.3329,,3.2769
2014-03-19,22.96,4594.3147,,3.2515
2014-03-20,22.86,4574.3046,,3.2373
2014-03-21,22.46,4494.2643,,3.1806
2014-03-24,21.89,4380.2068,,3.0999
2014-03-25,21.89,4380.2068,,3.0999
2014-03-26,21.66,4334.1836,,3.0674
2014-03-27,21.55,4312.1726,,3.0518
2014-03-28,21.67,4336.1847,,3.0688
2014-03-31,21.75,4352.1927,676.9796,3.1258
2014-04-01,22.31,4464.2492,694.4099,3.2063
2014-04-02,22.0,4402.2179,684.761,3.1617
