Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,83.414,100411.7607,31.8425,13.31
2014-01-03,83.081,100010.9033,31.7153,13.2569
2014-01-06,82.669,99514.9477,31.5581,13.1911
2014-01-07,83.709,100766.8746,31.9551,13.3571
2014-01-08,83.684,100736.7802,31.9455,13.3531
2014-01-09,84.36,101550.5327,32.2036,13.4609
2014-01-10,83.476,100486.3948,31.8661,13.3199
2014-01-13,81.0,97505.8457,30.9209,12.9248
2014-01-14,82.171,98915.4673,31.368,13.1117
2014-01-15,82.337,99115.2941,31.4313,13.1381
2014-01-16,82.55,99371.6983,31.5126,13.1721
2014-01-17,81.842,98519.425,31.2424,13.0592
2014-01-21,81.848,98526.9564,31.2447,13.0601
2014-01-22,83.3,100274.5304,31.7989,13.2918
2014-01-23,82.36,99142.9811,31.4401,13.1418
2014-01-24,78.51,94508.444,29.9704,12.5275
2014-01-27,76.05,91547.1553,29.0313,12.135
2014-01-28,78.83,94893.6522,30.0926,12.5786
2014-01-29,77.7,93533.3855,29.6612,12.3982
2014-01-30,79.76,96013.1638,30.4476,12.7269
2014-01-31,75.68,91101.7582,28.8901,12.0759
2014-02-03,73.91,88971.0749,28.2144,11.7935
2014-02-04,73.12,88020.092,27.9128,11.6674
2014-02-05,72.84,87683.0347,27.8059,11.6228
2014-02-06,74.9,90162.813,28.5923,11.9515
2014-02-07,76.31,91860.137,29.1306,12.1764
2014-02-10,76.35,91908.2881,29.1459,12.1828
2014-02-11,76.19,91715.6839,29.0848,12.1573
2014-02-12,75.97,91450.8532,29.0008,12.1222
2014-02-13,76.53,92124.9677,29.2146,12.2116
2014-02-14,77.39,93160.215,29.5429,12.3488
2014-02-18,77.49,91984.631,29.581,12.3647
2014-02-19,76.65,90948.3516,29.2604,12.2307
2014-02-20,75.86,91279.6855,28.9588,12.1046
2014-02-21,75.7,89821.1378,28.8977,12.0791
2014-02-24,75.96,90129.6385,28.997,12.1206
2014-02-25,76.74,91055.1403,29.2947,12.2451
2014-02-26,77.36,91790.7956,29.5314,12.344
2014-02-27,77.76,92265.4119,29.6841,12.4078
2014-02-28,77.72,92217.9502,29.6688,12.4014
2014-03-03,76.73,91043.2749,29.2909,12.2435
2014-03-04,78.5,93143.4521,29.9666,12.5259
2014-03-05,78.2,92787.4898,29.8521,12.478
2014-03-06,77.63,92111.1616,29.6345,12.3871
2014-03-07,77.94,92478.9892,29.7528,12.4365
2014-03-10,77.39,91826.3918,29.5429,12.3488
2014-03-11,77.9,92431.5276,29.7376,12.4302
2014-03-12,78.34,92953.6055,29.9055,12.5004
2014-03-13,76.62,90912.7554,29.2489,12.2259
2014-03-14,76.34,90580.524,29.142,12.1812
2014-03-17,77.83,92348.4697,29.7108,12.419
2014-03-18,78.92,93641.7992,30.1269,12.5929
2014-03-19,78.31,92918.0093,29.8941,12.4956
2014-03-20,78.41,93036.6634,29.9322,12.5115
2014-03-21,75.99,90165.2347,29.0084,12.1254
2014-03-24,77.39,91826.3918,29.5429,12.3488
2014-03-25,75.28,89322.7907,28.7374,12.0121
2014-03-26,73.71,87459.9217,28.1381,11.7616
2014-03-27,73.34,87020.9016,27.9968,11.7025
2014-03-28,73.22,86878.5167,27.951,11.6834
2014-03-31,74.7,88634.5971,27.3946,13.3611
2014-04-01,74.81,88765.1165,27.4349,13.3807
2014-04-02,74.7,88634.5971,27.3946,13.3611
2014-04-03,74.53,88432.8851,27.3322,13.3307
2014-04-04,72.18,85644.5143,26.4704,12.9103
2014-04-07,71.33,84635.9546,26.1587,12.7583
2014-04-08,71.52,84861.3973,26.2284,12.7923
2014-04-09,73.56,87281.9406,26.9765,13.1572
2014-04-10,71.17,84446.1081,26.1,12.7297
2014-04-11,68.68,81491.6215,25.1869,12.2843
2014-04-14,71.18,84457.9735,26.1037,12.7315
2014-04-15,72.15,85608.918,26.4594,12.905
2014-04-16,73.93,87720.9606,27.1122,13.2233
2014-04-17,74.13,86929.4526,27.1855,13.2591
2014-04-21,74.31,87140.5318,27.2515,13.2913
2014-04-22,74.53,87398.5175,27.3322,13.3307
2014-04-23,73.36,86026.5027,26.9031,13.1214
2014-04-24,74.35,87187.4383,27.2662,13.2985
2014-04-25,70.66,82860.3146,25.913,12.6385
2014-04-28,71.24,83540.4587,26.1257,12.7422
2014-04-29,72.03,84466.8619,26.4154,12.8835
2014-04-30,73.55,86249.3085,26.9728,13.1554
2014-05-01,74.22,86718.5201,27.2185,13.2752
2014-05-02,73.78,86204.4249,27.0572,13.1965
2014-05-05,74.82,87419.5591,27.4386,13.3825
2014-05-06,73.81,86239.4768,27.0682,13.2019
2014-05-07,73.87,86309.5807,27.0902,13.2126
2014-05-08,74.24,86741.8881,27.2259,13.2788
2014-05-09,74.38,86905.4639,27.2772,13.3038
2014-05-12,75.02,87653.2388,27.5119,13.4183
2014-05-13,74.83,87431.2431,27.4422,13.3843
2014-05-14,74.1,86578.3123,27.1745,13.2537
2014-05-15,73.08,85386.5461,26.8005,13.0713
2014-05-16,73.75,86169.3729,27.0462,13.1911
2014-05-19,73.86,86297.8968,27.0865,13.2108
2014-05-20,73.65,86052.5331,27.0095,13.1733
2014-05-21,75.63,88365.9617,27.7356,13.5274
2014-05-22,75.75,88506.1695,27.7796,13.5489
2014-05-23,76.45,89324.0483,28.0363,13.6741
2014-05-27,77.03,90001.7193,28.249,13.7778
2014-05-28,76.93,89884.8795,28.2124,13.7599
2014-05-29,76.79,89721.3037,28.161,13.7349
2014-05-30,76.45,89324.0483,28.0363,13.6741
2014-06-02,77.05,90025.064,28.2564,13.7814
2014-06-03,76.35,89207.2085,27.9997,13.6562
2014-06-04,76.32,89172.1565,27.9887,13.6508
2014-06-05,76.84,89779.7236,28.1794,13.7438
2014-06-06,77.47,90515.8145,28.4104,13.8565
2014-06-09,76.86,89803.0916,28.1867,13.7474
2014-06-10,77.36,90387.2907,28.3701,13.8368
2014-06-11,76.87,89814.7756,28.1904,13.7492
2014-06-12,75.72,88471.1176,27.7686,13.5435
2014-06-13,75.94,88728.1652,27.8493,13.5829
2014-06-16,75.11,87758.3946,27.5449,13.4344
2014-06-17,74.98,87606.5028,27.4972,13.4111
2014-06-18,75.12,87770.0786,27.5486,13.4362
2014-06-19,74.27,86776.9401,27.2369,13.2842
2014-06-20,73.81,86239.4768,27.0682,13.2019
2014-06-23,74.14,86625.0483,27.1892,13.2609
2014-06-24,72.7,84942.5548,26.6611,13.0033
2014-06-25,73.04,85339.8102,26.7858,13.0642
2014-06-26,72.77,85024.3426,26.6868,13.0159
2014-06-27,73.4,85760.4336,26.9178,13.1285
2014-06-30,73.47,85842.2214,25.9903,13.5925
2014-07-01,75.53,88249.1219,26.7191,13.9736
2014-07-02,76.2,89031.9487,26.9561,14.0976
2014-07-03,76.74,89662.8838,27.1471,14.1975
2014-07-07,76.18,89008.5808,26.949,14.0939
2014-07-08,75.69,88436.0656,26.7757,14.0032
2014-07-09,76.63,89534.36,27.1082,14.1771
2014-07-10,75.47,88179.018,26.6979,13.9625
2014-07-11,75.83,88599.6414,26.8252,14.0291
2014-07-14,77.33,90352.2388,27.3558,14.3066
2014-07-15,78.32,91508.9531,27.7061,14.4898
2014-07-16,78.31,91497.2691,27.7025,14.4879
2014-07-17,76.39,89253.9444,27.0233,14.1327
2014-07-18,77.5,90550.8665,27.416,14.3381
2014-07-21,77.35,90375.6067,27.3629,14.3103
2014-07-22,78.27,91450.5332,27.6884,14.4805
2014-07-23,77.74,90831.2821,27.5009,14.3825
2014-07-24,77.57,90632.6544,27.4407,14.351
2014-07-25,75.75,88506.1695,26.7969,14.0143
2014-07-28,76.19,89020.2647,26.9526,14.0957
2014-07-29,75.89,88669.7453,26.8464,14.0402
2014-07-30,75.91,88693.1132,26.8535,14.0439
2014-07-31,74.15,85863.5653,26.2309,13.7183
2014-08-01,74.98,86824.6814,26.5245,13.8719
2014-08-04,75.68,87635.2612,26.7721,14.0014
2014-08-05,75.2,87079.435,26.6023,13.9126
2014-08-06,75.36,87264.7104,26.6589,13.9422
2014-08-07,74.06,85759.3478,26.1991,13.7017
2014-08-08,75.17,87044.6959,26.5917,13.907
2014-08-11,75.63,87577.3626,26.7545,13.9921
2014-08-12,75.63,87577.3626,26.7545,13.9921
2014-08-13,76.3,88353.2034,26.9915,14.1161
2014-08-14,76.05,88063.7106,26.903,14.0698
2014-08-15,75.21,87091.0147,26.6059,13.9144
2014-08-18,76.77,88897.4498,27.1577,14.203
2014-08-19,76.4,88469.0005,27.0268,14.1346
2014-08-20,76.39,88457.4208,27.0233,14.1327
2014-08-21,76.99,89152.2035,27.2356,14.2437
2014-08-22,76.48,88561.6382,27.0551,14.1494
2014-08-25,76.43,88503.7396,27.0375,14.1401
2014-08-26,77.0,89163.7832,27.2391,14.2456
