Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,48.96,14665.4026,17.1099,
2014-01-03,48.65,14572.5457,17.0016,
2014-01-06,48.45,14512.638,16.9317,
2014-01-07,48.66,14575.5411,17.0051,
2014-01-08,49.13,14716.3242,17.1693,
2014-01-09,48.99,14674.3888,17.1204,
2014-01-10,49.28,14761.2549,17.2217,
2014-01-13,48.75,14602.4995,17.0365,
2014-01-14,49.34,14779.2272,17.2427,
2014-01-15,49.82,14923.0057,17.4104,
2014-01-16,50.565,15146.1618,17.6708,
2014-01-17,50.62,15162.6364,17.69,
2014-01-21,50.79,15213.558,17.7494,
2014-01-22,51.17,15327.3826,17.8822,
2014-01-23,50.58,15150.6549,17.676,
2014-01-24,49.76,14905.0334,17.3895,
2014-01-27,49.05,14692.3611,17.1414,
2014-01-28,49.7,14887.0611,17.3685,
2014-01-29,48.86,14635.4488,17.075,
2014-01-30,49.305,14768.7434,17.2305,
2014-01-31,49.3,14767.2457,17.2287,
2014-02-03,47.47,14219.0903,16.5892,
2014-02-04,47.98,14371.8549,16.7674,
2014-02-05,47.89,14344.8965,16.736,
2014-02-06,48.76,14605.4949,17.04,
2014-02-07,49.24,14749.2734,17.2078,
2014-02-10,49.36,14785.218,17.2497,
2014-02-11,49.69,14884.0657,17.365,
2014-02-12,49.65,14872.0841,17.351,
2014-02-13,50.11,15009.8718,17.5118,
2014-02-14,51.52,15432.2211,18.0045,
2014-02-18,51.38,15390.2857,17.9556,
2014-02-19,51.54,15438.2118,18.0115,
2014-02-20,51.79,15268.8989,18.0989,
2014-02-21,52.51,15481.1717,18.3505,
2014-02-24,53.47,15764.202,18.686,
2014-02-25,53.86,15879.1831,18.8223,
2014-02-26,53.44,15755.3573,18.6755,
2014-02-27,53.86,15879.1831,18.8223,
2014-02-28,54.23,15988.2677,18.9516,
2014-03-03,53.29,15711.1338,18.6231,
2014-03-04,53.83,15870.3384,18.8118,
2014-03-05,53.89,15888.0278,18.8328,
2014-03-06,54.6,16097.3524,19.0809,
2014-03-07,54.79,16153.3688,19.1473,
2014-03-10,54.19,15976.4748,18.9376,
2014-03-11,54.04,15932.2513,18.8852,
2014-03-12,54.03,15929.3031,18.8817,
2014-03-13,53.71,15834.9596,18.7699,
2014-03-14,53.88,15885.0796,18.8293,
2014-03-17,54.08,15944.0442,18.8992,
2014-03-18,54.42,16044.2842,19.018,
2014-03-19,54.23,15988.2677,18.9516,
2014-03-20,53.995,15918.9843,18.8695,
2014-03-21,55.25,16288.9875,19.308,
2014-03-24,55.151,16259.8,19.2735,
2014-03-25,55.48,16356.7969,19.3884,
2014-03-26,55.58,16386.2792,19.4234,
2014-03-27,54.76,16144.5241,19.1368,
2014-03-28,55.44,16345.0039,19.3744,
2014-03-31,56.02,16516.0014,18.5845,
2014-04-01,56.93,16784.2907,18.8864,
2014-04-02,56.92,16781.3424,18.8831,
2014-04-03,56.59,16684.0507,18.7736,
