Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,96.41,95930.8569,17.3399,5.9642
2014-01-03,96.54,96060.2108,17.3633,5.9722
2014-01-06,95.85,95373.64,17.2392,5.9295
2014-01-07,96.38,95901.006,17.3345,5.9623
2014-01-08,95.41,94935.8267,17.1601,5.9023
2014-01-09,95.46,94985.5782,17.1691,5.9054
2014-01-10,95.8,95323.8885,17.2302,5.9264
2014-01-13,94.83,94358.7093,17.0558,5.8664
2014-01-14,95.22,94746.771,17.1259,5.8905
2014-01-15,95.46,94985.5782,17.1691,5.9054
2014-01-16,96.06,95582.5963,17.277,5.9425
2014-01-17,94.93,94458.2123,17.0737,5.8726
2014-01-21,95.08,94607.4668,17.1007,5.8819
2014-01-22,94.88,94408.4608,17.0647,5.8695
2014-01-23,95.32,94846.274,17.1439,5.8967
2014-01-24,94.43,93960.6972,16.9838,5.8417
2014-01-27,94.07,93602.4863,16.9191,5.8194
2014-01-28,94.18,93711.9397,16.9388,5.8262
2014-01-29,93.15,92687.0586,16.7536,5.7625
2014-01-30,93.8,93333.8282,16.8705,5.8027
2014-01-31,94.17,93701.9894,16.9371,5.8256
2014-02-03,93.02,92557.7047,16.7302,5.7544
2014-02-04,93.09,92627.3568,16.7428,5.7588
2014-02-05,93.58,93114.9216,16.8309,5.7891
2014-02-06,94.94,94468.1626,17.0755,5.8732
2014-02-07,95.92,95443.2921,17.2518,5.9339
2014-02-10,94.86,94388.5602,17.0612,5.8683
2014-02-11,95.34,94866.1746,17.1475,5.898
2014-02-12,94.89,94418.4111,17.0665,5.8701
2014-02-13,95.46,94985.5782,17.1691,5.9054
2014-02-14,95.78,95303.9879,17.2266,5.9252
2014-02-18,96.02,95542.7951,17.2698,5.94
2014-02-19,95.55,95075.131,17.1853,5.911
2014-02-20,95.75,95274.137,17.2212,5.9233
2014-02-21,96.45,95970.6581,17.3471,5.9666
2014-02-24,96.5,95523.55,17.3561,5.9697
2014-02-25,96.62,95642.3358,17.3777,5.9772
2014-02-26,95.89,94919.7224,17.2464,5.932
2014-02-27,95.08,94117.9185,17.1007,5.8819
2014-02-28,95.15,94187.2102,17.1133,5.8862
2014-03-03,94.32,93365.6087,16.964,5.8349
2014-03-04,94.98,94018.9304,17.0827,5.8757
2014-03-05,95.02,94058.5257,17.0899,5.8782
2014-03-06,95.58,94612.8592,17.1906,5.9128
2014-03-07,95.5,94533.6687,17.1763,5.9079
2014-03-10,95.2,94236.7043,17.1223,5.8893
2014-03-11,98.78,97780.4795,17.7662,6.1108
2014-03-12,98.71,97711.1878,17.7536,6.1064
2014-03-13,97.37,96384.7468,17.5126,6.0236
2014-03-14,97.58,96592.6219,17.5504,6.0365
2014-03-17,97.6,96612.4195,17.554,6.0378
2014-03-18,97.31,96325.3539,17.5018,6.0198
2014-03-19,96.1,95127.5975,17.2842,5.945
2014-03-20,96.6,95622.5382,17.3741,5.9759
2014-03-21,95.47,94503.9723,17.1709,5.906
2014-03-24,96.18,95206.788,17.2986,5.9499
2014-03-25,95.91,94939.5201,17.25,5.9332
2014-03-26,95.84,94870.2284,17.2374,5.9289
2014-03-27,96.16,95186.9904,17.295,5.9487
2014-03-28,97.24,96256.0622,17.4892,6.0155
2014-03-31,98.03,97038.0685,17.7913,6.0004
2014-04-01,97.9,96909.3839,17.7677,5.9925
2014-04-02,97.59,96602.5207,17.7114,5.9735
2014-04-03,97.66,96671.8124,17.7241,5.9778
2014-04-04,97.87,96879.6875,17.7623,5.9906
2014-04-07,97.01,96028.3895,17.6062,5.938
2014-04-08,98.08,97087.5626,17.8004,6.0035
2014-04-09,98.35,97354.8305,17.8494,6.02
2014-04-10,99.43,98423.9024,18.0454,6.0861
2014-04-11,99.29,98285.319,18.02,6.0775
2014-04-14,100.11,99004.8489,18.1688,6.1277
2014-04-15,100.83,99716.9006,18.2995,6.1718
2014-04-16,100.83,99716.9006,18.2995,6.1718
2014-04-17,100.25,99143.3034,18.1942,6.1363
2014-04-21,99.67,98569.7062,18.0889,6.1008
2014-04-22,99.32,98223.57,18.0254,6.0794
2014-04-23,99.13,98035.6675,17.9909,6.0677
2014-04-24,99.84,98737.8295,18.1198,6.1112
2014-04-25,100.73,99618.0045,18.2813,6.1657
2014-04-28,100.31,99202.641,18.2051,6.14
2014-04-29,101.5,100379.5042,18.4211,6.2128
2014-04-30,101.38,100260.8289,18.3993,6.2055
2014-05-01,100.96,99845.4654,18.323,6.1798
