Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,160.16,36790.5062,22.8551,4.5891
2014-01-03,160.71,36916.8472,22.9336,4.6049
2014-01-06,160.26,36813.4773,22.8694,4.592
2014-01-07,161.83,37174.1235,23.0934,4.637
2014-01-08,169.81,39007.2169,24.2322,4.8656
2014-01-09,175.33,40275.2213,25.0199,5.0238
2014-01-10,175.44,40300.4896,25.0356,5.0269
2014-01-13,167.14,38393.8886,23.8512,4.7891
2014-01-14,167.47,38469.6933,23.8982,4.7986
2014-01-15,167.32,38435.2366,23.8768,4.7943
2014-01-16,168.56,38720.0782,24.0538,4.8298
2014-01-17,168.12,38619.0054,23.991,4.8172
2014-01-21,168.55,38717.7811,24.0524,4.8295
2014-01-22,169.68,38977.3545,24.2136,4.8619
2014-01-23,172.37,39595.2769,24.5975,4.939
2014-01-24,173.72,39905.3867,24.7901,4.9777
2014-01-27,172.98,39735.4006,24.6845,4.9564
2014-01-28,175.26,40259.1416,25.0099,5.0218
2014-01-29,173.28,39804.3139,24.7273,4.965
2014-01-30,177.23,40785.3702,25.291,5.0782
2014-01-31,174.41,40136.4126,24.8886,4.9974
2014-02-03,171.0,39351.6803,24.402,4.8997
2014-02-04,169.44,38992.6825,24.1794,4.855
2014-02-05,168.62,38803.9785,24.0624,4.8315
2014-02-06,172.4,39673.8578,24.6018,4.9398
2014-02-07,174.99,40269.8862,24.9714,5.014
2014-02-10,172.77,39759.0047,24.6546,4.9504
2014-02-11,175.05,40283.6938,24.9799,5.0158
2014-02-12,174.95,40260.6811,24.9657,5.0129
2014-02-13,175.67,40426.3724,25.0684,5.0335
2014-02-14,175.6,40410.2635,25.0584,5.0315
2014-02-18,177.48,40842.9019,25.3267,5.0854
2014-02-19,177.66,40884.3247,25.3524,5.0905
2014-02-20,177.58,40865.9145,25.341,5.0883
2014-02-21,176.35,40582.8586,25.1654,5.053
2014-02-24,176.32,40575.9548,25.1612,5.0521
2014-02-25,176.73,40670.3068,25.2197,5.0639
2014-02-26,174.78,40221.5595,24.9414,5.008
2014-02-27,174.43,40141.0152,24.8914,4.998
2014-02-28,177.05,40743.9473,25.2653,5.0731
2014-03-03,176.05,40513.8205,25.1226,5.0444
2014-03-04,180.8,41606.9228,25.8005,5.1805
2014-03-05,181.96,41873.8698,25.966,5.2138
2014-03-06,182.58,42016.5485,26.0545,5.2315
