Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,34.81,61049.342,20.4716,1.8338
2014-01-03,34.75,60944.1148,20.4363,1.8306
2014-01-06,34.53,60558.2815,20.3069,1.819
2014-01-07,34.81,61049.342,20.4716,1.8338
2014-01-08,34.82,61066.8799,20.4775,1.8343
2014-01-09,35.36,62013.9251,20.795,1.8628
2014-01-10,35.8,62785.5916,21.0538,1.8859
2014-01-13,35.2,61733.3191,20.7009,1.8543
2014-01-14,35.4,62084.0766,20.8185,1.8649
2014-01-15,35.7,62610.2129,20.995,1.8807
2014-01-16,35.7,62610.2129,20.995,1.8807
2014-01-17,35.25,61821.0085,20.7303,1.857
2014-01-21,34.45,60417.9785,20.2599,1.8148
2014-01-22,34.45,60417.9785,20.2599,1.8148
2014-01-23,34.45,60417.9785,20.2599,1.8148
2014-01-24,33.65,59014.9486,19.7894,1.7727
2014-01-27,33.61,58944.7971,19.7659,1.7706
2014-01-28,33.73,59155.2516,19.8364,1.7769
2014-01-29,32.99,57857.4488,19.4012,1.7379
2014-01-30,32.93,57752.2216,19.366,1.7347
2014-01-31,32.76,57454.0777,19.266,1.7258
2014-02-03,32.08,56261.5022,18.8661,1.69
2014-02-04,32.01,56138.7371,18.8249,1.6863
2014-02-05,32.09,56279.0401,18.872,1.6905
2014-02-06,32.7,57348.8505,19.2307,1.7226
2014-02-07,32.93,57752.2216,19.366,1.7347
2014-02-10,33.12,58085.4412,19.4777,1.7447
2014-02-11,33.28,58366.0472,19.5718,1.7532
2014-02-12,33.21,58243.2821,19.5306,1.7495
2014-02-13,34.01,59646.312,20.0011,1.7916
2014-02-14,34.12,59839.2287,20.0658,1.7974
2014-02-18,34.19,59961.9938,20.107,1.8011
2014-02-19,34.26,60084.7589,20.1481,1.8048
2014-02-20,34.48,60470.5922,20.2775,1.8164
2014-02-21,34.3,60154.9104,20.1716,1.8069
2014-02-24,34.4,60330.2892,20.2305,1.8122
2014-02-25,33.95,59541.0848,19.9658,1.7885
2014-02-26,33.92,59488.4712,19.9482,1.7869
2014-02-27,33.85,59365.706,19.907,1.7832
2014-02-28,34.03,59681.3878,20.0129,1.7927
2014-03-03,33.8,59278.0167,19.8776,1.7806
