Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,47.3995,59629.0027,8.4606,0.8945
2014-01-03,47.952,60324.0578,8.5592,0.905
2014-01-06,47.747,60066.2148,8.5227,0.9011
2014-01-07,47.5599,59830.7929,8.4892,0.8976
2014-01-08,48.2906,60750.0594,8.6197,0.9114
2014-01-09,48.6114,61153.6397,8.6769,0.9174
2014-01-10,48.2104,60649.1643,8.6054,0.9099
2014-01-13,47.2034,59382.3703,8.4256,0.8908
2014-01-14,47.7559,60077.4254,8.5242,0.9013
2014-01-15,48.4065,60895.7967,8.6404,0.9136
2014-01-16,47.6401,59931.688,8.5036,0.8991
2014-01-17,47.1945,59371.1597,8.424,0.8907
2014-01-21,46.9361,59046.0533,8.3779,0.8858
2014-01-22,46.7757,58844.2631,8.3493,0.8828
2014-01-23,45.8311,57655.943,8.1807,0.8649
2014-01-24,44.1201,55503.5143,7.8753,0.8327
2014-01-27,43.5943,54842.0909,7.7814,0.8227
2014-01-28,44.227,55638.0411,7.8943,0.8347
2014-01-29,43.5319,54763.6169,7.7703,0.8216
2014-01-30,44.3607,55806.1996,7.9182,0.8372
2014-01-31,43.7102,54987.8282,7.8021,0.8249
2014-02-03,41.9368,52756.9255,7.4856,0.7915
2014-02-04,42.5784,53564.0863,7.6001,0.8036
2014-02-05,42.4893,53451.9806,7.5842,0.8019
2014-02-06,43.3002,54472.1422,7.7289,0.8172
2014-02-07,43.7636,55055.0916,7.8116,0.8259
2014-02-10,43.2735,54438.5105,7.7242,0.8167
2014-02-11,44.3429,55783.7784,7.915,0.8369
2014-02-12,44.4498,55918.3052,7.9341,0.8389
2014-02-13,44.5657,56064.0426,7.9548,0.8411
2014-02-14,44.9043,56490.0441,8.0152,0.8475
2014-02-18,45.5103,57252.3626,8.1234,0.8589
2014-02-19,45.234,56904.8351,8.0741,0.8537
2014-02-20,45.1895,56848.7822,8.0661,0.8528
2014-02-21,45.0201,56635.7815,8.0359,0.8496
2014-02-24,45.332,57028.1513,8.0916,0.8555
2014-02-25,45.0291,56694.66,8.0375,0.8498
2014-02-26,44.53,56066.34,7.9484,0.8404
