Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,54.71,137782.0193,92.7288,9.0075
2014-01-03,54.557,137396.7031,92.4695,8.9823
2014-01-06,57.2,144052.8515,96.9492,9.4175
2014-01-07,57.92,145866.1041,98.1695,9.536
2014-01-08,58.23,146646.8102,98.6949,9.5871
2014-01-09,57.22,144103.2196,96.9831,9.4208
2014-01-10,57.94,145916.4723,98.2034,9.5393
2014-01-13,55.91,140804.1071,94.7627,9.2051
2014-01-14,57.74,145412.791,97.8644,9.5064
2014-01-15,57.6,145060.2141,97.6271,9.4833
2014-01-16,57.19,144027.6674,96.9322,9.4158
2014-01-17,56.3,141786.2856,95.4237,9.2693
2014-01-21,58.51,147351.964,99.1695,9.6332
2014-01-22,57.51,144833.5575,97.4746,9.4685
2014-01-23,56.63,142617.3598,95.9831,9.3236
2014-01-24,54.45,137127.2336,92.2881,8.9647
2014-01-27,53.55,134860.6678,90.7627,8.8165
2014-01-28,55.14,138864.9341,93.4576,9.0783
2014-01-29,53.53,134810.2996,90.7288,8.8132
2014-01-30,61.08,153824.2687,103.5254,10.0563
2014-01-31,62.57,159537.403,106.0508,10.3016
2014-02-03,61.48,156758.1835,104.2034,10.1221
2014-02-04,62.75,159996.3567,106.3559,10.3312
2014-02-05,62.19,158568.5008,105.4068,10.239
2014-02-06,62.16,158492.0085,105.3559,10.2341
2014-02-07,64.32,163999.4528,109.0169,10.5897
2014-02-10,63.548,162031.0514,107.7085,10.4626
2014-02-11,64.851,165353.3662,109.9169,10.6771
2014-02-12,64.45,164330.9194,109.2373,10.6111
2014-02-13,67.33,171674.1785,114.1186,11.0853
2014-02-14,67.09,171062.2402,113.7119,11.0458
2014-02-18,67.3,171597.6862,114.0678,11.0804
2014-02-19,68.06,173535.4907,115.3559,11.2055
2014-02-20,69.63,177538.5868,118.0169,11.464
2014-02-21,68.59,174886.8543,116.2542,11.2927
2014-02-24,70.78,180470.7909,119.9661,11.6533
2014-02-25,69.85,178099.5302,118.3898,11.5002
2014-02-26,69.26,176595.182,117.3898,11.4031
2014-02-27,68.94,175779.2643,116.8475,11.3504
2014-02-28,68.46,174555.3878,116.0339,11.2713
2014-03-03,67.41,171878.1579,114.2542,11.0985
2014-03-04,68.8,175422.3003,116.6102,11.3273
2014-03-05,71.57,182485.0877,121.3051,11.7834
2014-03-06,70.84,180623.7755,120.0678,11.6632
2014-03-07,69.8,177972.043,118.3051,11.492
2014-03-10,72.03,183657.9693,122.0847,11.8591
2014-03-11,70.1,178736.9659,118.8136,11.5414
2014-03-12,70.88,180725.4465,120.1354,11.6698
2014-03-13,68.83,175498.7926,116.661,11.3323
