Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,23.72,11624.373,215.6677,2.7588
2014-01-03,23.45,11492.0551,213.2128,2.7274
2014-01-06,23.48,11506.7571,213.4856,2.7309
2014-01-07,24.51,12011.5254,222.8506,2.8507
2014-01-08,24.73,12119.34,224.8509,2.8763
2014-01-09,24.98,12241.8565,227.1239,2.9054
2014-01-10,25.36,12428.0817,230.579,2.9496
2014-01-13,25.25,12374.1744,229.5788,2.9368
2014-01-14,25.78,12633.9096,234.3977,2.9984
2014-01-15,25.72,12604.5056,233.8522,2.9914
2014-01-16,25.78,12633.9096,234.3977,2.9984
2014-01-17,26.41,12942.6514,240.1258,3.0717
2014-01-21,26.36,12918.1481,239.6712,3.0659
2014-01-22,25.74,12614.3069,234.034,2.9938
2014-01-23,25.18,12339.8698,228.9424,2.9286
2014-01-24,23.78,11653.777,216.2133,2.7658
2014-01-27,23.78,11653.777,216.2133,2.7658
2014-01-28,24.05,11786.0949,218.6682,2.7972
2014-01-29,23.28,11408.7438,211.6672,2.7077
2014-01-30,24.11,11815.4988,219.2137,2.8042
2014-01-31,24.36,11938.0154,221.4868,2.8333
2014-02-03,23.86,11692.9823,216.9406,2.7751
2014-02-04,24.2,11859.6048,220.032,2.8147
2014-02-05,23.67,11599.8697,215.2131,2.753
2014-02-06,24.29,11903.7108,220.8503,2.8251
2014-02-07,24.8,12153.6446,225.4873,2.8844
2014-02-10,24.64,12075.234,224.0326,2.8658
2014-02-11,25.25,12374.1744,229.5788,2.9368
2014-02-12,25.32,12408.4791,230.2153,2.9449
2014-02-13,25.58,12535.8963,232.5793,2.9752
2014-02-14,26.02,12751.5255,236.5799,3.0263
2014-02-18,25.85,12668.2142,235.0342,3.0066
2014-02-19,25.75,12619.2076,234.125,2.9949
2014-02-20,26.83,13148.4792,243.9446,3.1205
2014-02-21,27.05,13256.2938,245.9449,3.1461
2014-02-24,27.84,13651.6398,253.1277,3.238
2014-02-25,27.54,13504.5316,250.4001,3.2031
2014-02-26,27.49,13480.0136,249.9454,3.1973
2014-02-27,27.86,13661.447,253.3096,3.2403
2014-02-28,27.55,13509.4353,250.491,3.2043
2014-03-03,27.6,13535.8729,250.9456,3.2101
2014-03-04,28.29,13874.2697,257.2192,3.2904
2014-03-05,28.22,13839.9396,256.5828,3.2822
2014-03-06,28.39,13923.3127,258.1285,3.302
2014-03-07,28.29,13874.2697,257.2192,3.2904
2014-03-10,27.71,13589.8202,251.9457,3.2229
2014-03-11,27.05,13266.1363,245.9449,3.1461
2014-03-12,26.95,13217.0932,245.0356,3.1345
2014-03-13,26.5,12996.3997,240.9441,3.0822
2014-03-14,26.27,12883.6007,238.8529,3.0554
2014-03-17,26.61,13050.347,241.9443,3.095
2014-03-18,26.79,13138.6244,243.5809,3.1159
2014-03-19,26.58,13035.6341,241.6715,3.0915
2014-03-20,26.38,12937.548,239.8531,3.0682
2014-03-21,26.18,12839.462,238.0346,3.0449
2014-03-24,25.85,12677.62,235.0342,3.0066
2014-03-25,25.61,12559.9168,232.8521,2.9786
2014-03-26,24.97,12246.0415,227.033,2.9042
2014-03-27,24.9,12211.7114,226.3966,2.8961
2014-03-28,24.88,12201.9028,226.2147,2.8937
2014-03-31,25.86,12682.5243,84.9847,2.9211
2014-04-01,26.53,13011.1126,87.1866,2.9968
2014-04-02,26.7,13094.4857,87.7452,3.016
2014-04-03,26.25,12873.7921,86.2664,2.9651
2014-04-04,25.43,12471.6394,83.5716,2.8725
2014-04-07,23.92,11731.0898,78.6092,2.702
2014-04-08,24.46,11995.9221,80.3838,2.763
2014-04-09,24.86,12192.0942,81.6984,2.8081
2014-04-10,24.08,11809.5586,79.135,2.72
2014-04-11,23.91,11726.1855,78.5764,2.7008
2014-04-14,23.68,11613.3866,77.8205,2.6748
2014-04-15,23.46,11505.4919,77.0975,2.65
2014-04-16,24.22,11878.2189,79.5951,2.7358
2014-04-17,23.96,11750.707,78.7407,2.7065
2014-04-21,23.88,11711.4726,78.4778,2.6974
2014-04-22,24.97,12246.0415,82.0599,2.8206
2014-04-23,24.19,11863.506,79.4965,2.7325
2014-04-24,24.55,12040.0608,80.6796,2.7731
2014-04-25,23.66,11607.885,77.7548,2.6726
2014-04-28,23.02,11293.8931,75.6515,2.6003
2014-04-29,24.98,12255.4931,82.0927,2.8217
2014-04-30,25.23,12378.1461,82.9143,2.8499
2014-05-01,25.39,12456.6441,83.4401,2.868
2014-05-02,26.49,12996.3175,87.0551,2.9923
2014-05-05,26.19,12849.1339,86.0692,2.9584
2014-05-06,25.68,12598.9216,84.3932,2.9008
2014-05-07,25.15,12338.8972,82.6514,2.8409
2014-05-08,24.32,11931.7551,79.9238,2.7471
2014-05-09,24.34,11941.5674,79.9895,2.7494
2014-05-12,24.59,12064.2211,80.8111,2.7776
2014-05-13,24.68,12108.3765,81.1068,2.7878
2014-05-14,24.21,11877.7874,79.5623,2.7347
2014-05-15,24.21,11877.7874,79.5623,2.7347
2014-05-16,23.9,11725.6968,78.5435,2.6997
2014-05-19,24.16,11853.2567,79.3979,2.7291
2014-05-20,23.84,11696.2599,78.3463,2.6929
2014-05-21,24.19,11867.9751,79.4965,2.7325
2014-05-22,24.78,12157.4379,81.4355,2.7991
2014-05-23,25.07,12299.7163,82.3885,2.8319
2014-05-27,25.62,12569.5545,84.196,2.894
2014-05-28,25.71,12613.7098,84.4918,2.9042
2014-05-29,26.0,12755.9882,85.4448,2.9369
2014-05-30,25.75,12633.3344,84.6232,2.9087
2014-06-02,26.13,12819.7681,85.872,2.9516
2014-06-03,25.38,12451.8069,83.4073,2.8669
2014-06-04,25.69,12603.8975,84.426,2.9019
2014-06-05,25.44,12481.2438,83.6045,2.8737
2014-06-06,25.14,12334.0593,82.6186,2.8398
2014-06-09,24.53,12034.7842,80.6139,2.7709
2014-06-10,24.52,12029.8781,80.581,2.7697
2014-06-11,24.9,12216.3117,81.8298,2.8127
2014-06-12,24.44,11990.6289,80.3181,2.7607
2014-06-13,24.9,12216.3117,81.8298,2.8127
2014-06-16,24.81,12172.1564,81.5341,2.8025
2014-06-17,24.79,12162.3441,81.4683,2.8002
2014-06-18,25.11,12319.3409,82.52,2.8364
2014-06-19,25.14,12334.0593,82.6186,2.8398
2014-06-20,25.4,12461.6192,83.473,2.8691
2014-06-23,25.64,12579.3668,84.2617,2.8962
2014-06-24,25.66,12589.1791,84.3275,2.8985
2014-06-25,25.91,12711.8328,85.149,2.9267
2014-06-26,26.72,13109.2309,87.811,3.0182
2014-06-27,26.41,12957.1403,86.7922,2.9832
2014-06-30,26.4,12952.2341,49.5189,2.9064
2014-07-01,26.6,13050.3571,49.894,2.9284
2014-07-02,26.92,13207.3539,50.4943,2.9637
2014-07-03,26.84,13168.1047,50.3442,2.9549
2014-07-07,26.61,13055.2633,49.9128,2.9295
2014-07-08,25.78,12648.0529,48.3559,2.8382
2014-07-09,26.0,12755.9882,48.7686,2.8624
