Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,149.11,10829.0899,23.7424,2.4295
2014-01-03,149.45,10853.7823,23.7965,2.4351
2014-01-06,147.34,10700.5439,23.4605,2.4007
2014-01-07,145.69,10580.7129,23.1978,2.3738
2014-01-08,147.1,10683.1139,23.4223,2.3968
2014-01-09,146.03,10605.4054,23.2519,2.3793
2014-01-10,148.23,10765.18,23.6022,2.4152
2014-01-13,146.69,10653.3377,23.357,2.3901
2014-01-14,149.12,10829.8161,23.744,2.4297
2014-01-15,149.34,10845.7936,23.779,2.4333
2014-01-16,149.58,10863.2235,23.8172,2.4372
2014-01-17,146.76,10658.4215,23.3682,2.3912
2014-01-21,146.23,10619.9303,23.2838,2.3826
2014-01-22,148.48,10783.3362,23.6421,2.4193
2014-01-23,147.85,10737.5826,23.5417,2.409
2014-01-24,141.36,10266.2474,22.5084,2.3032
2014-01-27,141.8,10298.2023,22.5784,2.3104
2014-01-28,142.6,10356.3022,22.7058,2.3234
2014-01-29,141.25,10258.2586,22.4908,2.3014
2014-01-30,141.14,10250.2699,22.4733,2.2997
2014-01-31,142.18,10325.7997,22.6389,2.3166
2014-02-03,137.76,10004.7979,21.9351,2.2446
2014-02-04,140.22,10183.455,22.3268,2.2847
2014-02-05,141.63,10285.8561,22.5513,2.3076
2014-02-06,145.56,10571.2717,23.1771,2.3717
2014-02-07,147.61,10720.1526,23.5035,2.4051
2014-02-10,145.03,10532.7805,23.0927,2.363
2014-02-11,145.52,10568.3667,23.1707,2.371
2014-02-12,144.86,10520.4343,23.0657,2.3603
2014-02-13,145.68,10579.9867,23.1962,2.3736
2014-02-14,147.1,10683.1139,23.4223,2.3968
2014-02-18,144.73,10510.9931,23.045,2.3582
2014-02-19,144.04,10460.8819,22.9351,2.3469
2014-02-20,145.94,10598.8691,23.2376,2.3779
2014-02-21,143.41,10415.1283,22.8348,2.3366
2014-02-24,139.24,10112.2827,22.1708,2.2687
2014-02-25,140.91,10233.5662,22.4367,2.2959
2014-02-26,143.36,10411.497,22.8268,2.3358
2014-02-27,143.78,10441.9995,22.8937,2.3427
2014-02-28,141.53,10289.913,22.5354,2.306
2014-03-03,140.07,10183.764,22.303,2.2822
2014-03-04,142.36,10350.258,22.6676,2.3195
2014-03-05,142.51,10361.1637,22.6915,2.322
2014-03-06,144.51,10506.5734,23.0099,2.3546
2014-03-07,144.68,10518.9332,23.037,2.3573
2014-03-10,143.52,10434.5956,22.8523,2.3384
2014-03-11,143.75,10451.3177,22.8889,2.3422
2014-03-12,141.77,10307.3622,22.5736,2.3099
2014-03-13,138.96,10103.0616,22.1262,2.2641
2014-03-14,139.4,10135.0517,22.1963,2.2713
2014-03-17,140.38,10206.3025,22.3523,2.2873
2014-03-18,142.2,10338.6252,22.6421,2.3169
2014-03-19,141.87,10314.6326,22.5896,2.3116
2014-03-20,140.4,10207.7565,22.3555,2.2876
2014-03-21,138.59,10076.1608,22.0673,2.2581
2014-03-24,137.2,9975.1011,21.846,2.2355
2014-03-25,138.08,10039.0814,21.9861,2.2498
2014-03-26,135.04,9818.0587,21.502,2.2003
2014-03-27,133.39,9698.0958,21.2393,2.1734
2014-03-28,134.73,9795.5202,20.1732,2.1878
2014-03-31,135.98,9886.4013,20.3604,2.2081
2014-04-01,137.38,9988.188,20.57,2.2309
2014-04-02,137.97,10031.0838,20.6584,2.2404
2014-04-03,136.07,9892.9447,20.3739,2.2096
2014-04-04,136.01,9904.8344,20.3649,2.2086
2014-04-07,131.25,9558.1907,19.6522,2.1313
2014-04-08,130.62,9512.3114,19.5578,2.1211
2014-04-09,134.95,9827.6407,20.2062,2.1914
2014-04-10,132.64,9659.4165,19.8603,2.1539
2014-04-11,131.03,9542.1694,19.6192,2.1277
2014-04-14,133.28,9706.0241,19.9561,2.1643
2014-04-15,134.89,9823.2712,20.1972,2.1904
2014-04-16,135.47,9865.5093,20.284,2.1998
2014-04-17,134.82,9818.1735,20.1867,2.1893
2014-04-21,136.08,9909.9321,20.3754,2.2097
2014-04-22,137.77,10033.0052,20.6284,2.2372
2014-04-23,136.57,9945.6161,20.4487,2.2177
2014-04-24,137.62,10022.0816,20.606,2.2348
2014-04-25,133.2,9700.1981,19.9442,2.163
2014-04-28,133.44,9717.676,19.9801,2.1669
2014-04-29,132.98,9684.1768,19.9112,2.1594
2014-04-30,132.41,9642.6669,19.8259,2.1501
2014-05-01,133.32,9708.937,19.9621,2.1649
2014-05-02,140.94,10263.8583,21.1031,2.2887
2014-05-05,140.04,10198.9714,20.9683,2.274
2014-05-06,137.15,9988.4956,20.5356,2.2271
2014-05-07,137.5,10013.9857,20.588,2.2328
2014-05-08,136.02,9906.1988,20.3664,2.2088
2014-05-09,135.73,9885.0784,20.323,2.2041
2014-05-12,139.44,10155.274,20.8785,2.2643
2014-05-13,139.48,10158.1871,20.8845,2.265
2014-05-14,135.0,9831.9133,20.2137,2.1922
2014-05-15,132.09,9619.9809,19.778,2.145
2014-05-16,132.01,9614.1546,19.766,2.1437
2014-05-19,133.44,9718.3,19.9801,2.1669
2014-05-20,133.69,9736.5073,20.0175,2.1709
2014-05-21,133.72,9738.6922,20.022,2.1714
2014-05-22,134.03,9761.2691,20.0684,2.1765
2014-05-23,136.41,9934.6021,20.4248,2.2151
2014-05-27,138.63,10096.2825,20.7572,2.2512
2014-05-28,137.9,10043.1173,20.6479,2.2393
2014-05-29,135.52,9869.7843,20.2915,2.2007
2014-05-30,135.66,9879.9804,20.3125,2.2029
2014-06-02,136.26,9923.6778,20.4023,2.2127
2014-06-03,135.71,9883.6218,20.32,2.2037
2014-06-04,134.98,9830.4567,20.2107,2.1919
2014-06-05,135.61,9876.3389,20.305,2.2021
2014-06-06,136.97,9975.3864,20.5086,2.2242
2014-06-09,135.71,9883.6218,20.32,2.2037
2014-06-10,135.56,9872.6975,20.2975,2.2013
2014-06-11,134.91,9825.3587,20.2002,2.1907
2014-06-12,132.51,9650.5691,19.8408,2.1518
2014-06-13,132.17,9625.8072,19.7899,2.1463
2014-06-16,132.02,9614.8829,19.7675,2.1438
2014-06-17,132.0,9613.4263,19.7645,2.1435
2014-06-18,133.1,9693.5382,19.9292,2.1614
2014-06-19,133.19,9700.0928,19.9427,2.1628
2014-06-20,133.57,9727.7678,19.9996,2.169
2014-06-23,133.5,9722.6698,19.9891,2.1678
2014-06-24,135.47,9866.1429,20.284,2.1998
2014-06-25,136.38,9932.4173,20.4203,2.2146
2014-06-26,135.83,9892.3613,20.3379,2.2057
2014-06-27,136.88,9968.8318,18.9887,2.1373
2014-06-30,138.34,10075.1621,19.1912,2.1601
2014-07-01,139.56,10164.0134,19.3605,2.1792
2014-07-02,137.89,10042.389,19.1288,2.1531
2014-07-03,139.49,10158.9154,19.3507,2.1781
2014-07-07,137.89,10042.389,19.1288,2.1531
2014-07-08,137.02,9979.0278,19.0081,2.1395
2014-07-09,134.96,9829.0001,18.7223,2.1073
2014-07-10,130.37,9494.7151,18.0856,2.0357
2014-07-11,130.76,9523.1184,18.1397,2.0418
2014-07-14,131.47,9574.8269,18.2382,2.0529
2014-07-15,131.67,9589.3927,18.2659,2.056
2014-07-16,132.32,9636.7316,18.3561,2.0661
2014-07-17,130.19,9481.6058,18.0606,2.0329
2014-07-18,131.83,9601.0454,18.2881,2.0585
2014-07-21,131.35,9566.0875,18.2215,2.051
2014-07-22,132.25,9631.6335,18.3464,2.065
2014-07-23,131.42,9571.1855,18.2312,2.0521
2014-07-24,130.43,9499.0848,18.0939,2.0366
2014-07-25,129.72,9447.3762,17.9954,2.0255
2014-07-28,126.48,9211.4103,17.5459,1.9749
2014-07-29,127.27,9268.9452,17.6555,1.9873
2014-07-30,126.72,9228.8892,17.5792,1.9787
2014-07-31,124.77,9086.8727,17.3087,1.9482
2014-08-01,126.43,9207.7688,17.539,1.9742
2014-08-04,128.5,9359.4817,17.8262,2.0065
2014-08-05,129.54,9435.2316,17.9704,2.0227
2014-08-06,130.33,9492.7724,18.08,2.0351
2014-08-07,130.0,9468.7363,18.0342,2.0299
2014-08-08,134.42,9790.6734,18.6474,2.0989
2014-08-11,134.58,9802.3272,18.6696,2.1014
2014-08-12,133.45,9720.022,18.5128,2.0838
2014-08-13,136.01,9906.4833,18.868,2.1237
2014-08-14,139.92,10191.2738,19.4104,2.1848
2014-08-15,139.39,10152.6705,19.3369,2.1765
2014-08-18,142.36,10368.9947,19.7489,2.2229
2014-08-19,145.3,10583.1338,20.1567,2.2688
2014-08-20,146.04,10637.0327,20.2594,2.2804
2014-08-21,146.12,10642.8596,20.2705,2.2816
2014-08-22,146.46,10667.624,20.3177,2.2869
2014-08-25,146.7,10685.1048,20.3509,2.2907
2014-08-26,146.06,10638.4895,20.2622,2.2807
2014-08-27,145.93,10629.0207,20.2441,2.2786
2014-08-28,145.53,10599.8862,20.1886,2.2724
2014-08-29,146.02,10635.576,20.2566,2.28
2014-09-02,146.07,10639.2178,20.2635,2.2808
2014-09-03,146.26,10653.0568,20.2899,2.2838
2014-09-04,147.15,10717.8812,20.4134,2.2977
2014-09-05,148.12,10788.5325,20.5479,2.3128
2014-09-08,147.28,10727.3499,20.4314,2.2997
2014-09-09,145.82,10621.0087,20.2289,2.2769
2014-09-10,145.42,10591.8741,20.1734,2.2707
2014-09-11,145.26,10580.2203,20.1512,2.2682
2014-09-12,142.2,10357.3408,19.7267,2.2204
2014-09-15,141.42,10300.5284,19.6185,2.2082
2014-09-16,140.07,10202.1992,19.4312,2.1871
2014-09-17,142.86,10405.4129,19.8182,2.2307
2014-09-18,142.42,10373.3648,19.7572,2.2238
2014-09-19,140.53,10235.704,19.495,2.1943
2014-09-22,137.64,10025.2067,19.0941,2.1492
2014-09-23,136.22,9921.779,18.8971,2.127
2014-09-24,136.99,9977.863,19.0039,2.139
2014-09-25,136.37,9932.7044,18.9179,2.1294
2014-09-26,136.58,9948.0001,18.1961,2.1782
2014-09-29,135.97,9903.5699,18.1149,2.1685
2014-09-30,134.82,9819.808,17.9616,2.1501
2014-10-01,131.81,9600.5703,17.5606,2.1021
2014-10-02,132.06,9618.7794,17.5939,2.1061
2014-10-03,135.54,9872.2502,18.0576,2.1616
2014-10-06,134.32,9783.3897,17.895,2.1422
2014-10-07,133.33,9711.2817,17.7631,2.1264
2014-10-08,134.39,9788.4883,17.9044,2.1433
2014-10-09,130.01,9469.4647,17.3208,2.0734
2014-10-10,128.12,9331.8038,17.069,2.0433
2014-10-13,124.82,9091.4436,16.6294,1.9907
2014-10-14,125.12,9113.2945,16.6693,1.9954
2014-10-15,125.62,9149.7128,16.736,2.0034
2014-10-16,126.0,9177.3906,16.7866,2.0095
2014-10-17,128.83,9383.5177,17.1636,2.0546
2014-10-20,130.03,9470.9214,17.3235,2.0737
2014-10-21,134.84,9821.2647,17.9643,2.1505
2014-10-22,133.48,9722.2071,17.7831,2.1288
2014-10-23,135.32,9856.2262,18.0283,2.1581
2014-10-24,134.92,9827.0916,17.975,2.1517
2014-10-27,134.29,9781.2046,17.891,2.1417
2014-10-28,137.0,9978.5914,18.2521,2.1849
2014-10-29,134.66,9808.1541,17.9403,2.1476
2014-10-30,135.74,9886.8175,18.0842,2.1648
2014-10-31,142.04,10345.687,18.9235,2.2653
2014-11-03,140.54,10244.9309,18.7237,2.2414
2014-11-04,140.13,10215.0432,18.6691,2.2348
2014-11-05,139.65,10180.0526,18.6051,2.2272
2014-11-06,142.15,10362.2949,18.9382,2.267
2014-11-07,142.66,10399.4723,19.0061,2.2752
2014-11-10,142.71,10403.1172,19.0128,2.276
