Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,34.17,9018.4677,21.5781,4.6362
2014-01-03,34.275,9046.3078,21.6444,4.6504
2014-01-06,34.135,9010.8276,21.556,4.6314
2014-01-07,34.44,9091.0932,21.7486,4.6728
2014-01-08,34.07,8988.2577,21.5149,4.6226
2014-01-09,34.44,9087.8954,21.7486,4.6728
2014-01-10,34.725,9156.117,21.9286,4.7115
2014-01-13,34.615,9135.5681,21.8591,4.6965
2014-01-14,34.975,9226.7839,22.0864,4.7454
2014-01-15,34.875,9200.2636,22.0233,4.7318
2014-01-16,34.79,9182.1307,21.9696,4.7203
2014-01-17,34.475,9097.9954,21.7707,4.6775
2014-01-21,34.97,9224.6031,22.0833,4.7447
2014-01-22,35.01,9241.5561,22.1085,4.7501
2014-01-23,34.715,9164.6696,21.9222,4.7101
2014-01-24,34.495,9112.0074,21.7833,4.6803
2014-01-27,34.565,9128.7635,21.8275,4.6898
2014-01-28,34.81,9186.1802,21.9822,4.723
2014-01-29,32.65,8563.5706,20.6182,4.4299
2014-01-30,32.365,8489.2935,20.4382,4.3913
2014-01-31,32.09,8424.4505,20.2646,4.3539
2014-02-03,31.515,8264.4898,19.9015,4.2759
2014-02-04,31.76,8328.1522,20.0562,4.3092
2014-02-05,31.72,8318.632,20.0309,4.3037
2014-02-06,31.535,8271.6808,19.9141,4.2786
2014-02-07,31.52,8273.5868,19.9046,4.2766
2014-02-10,31.96,8376.6043,20.1825,4.3363
2014-02-11,32.295,8463.2682,20.394,4.3818
2014-02-12,32.145,8436.6893,20.2993,4.3614
2014-02-13,32.49,8518.8007,20.5172,4.4082
2014-02-14,32.75,8590.29,20.6814,4.4435
2014-02-18,33.07,8671.4378,20.8834,4.4869
2014-02-19,32.725,8586.0426,20.6656,4.4401
2014-02-20,33.065,8666.964,20.8803,4.4862
2014-02-21,32.985,8650.5994,20.8298,4.4754
2014-02-24,33.125,8686.5956,20.9182,4.4944
2014-02-25,33.1,8680.6455,20.9024,4.491
2014-02-26,32.81,8611.1379,20.7193,4.4516
2014-02-27,32.97,8646.3239,20.8203,4.4733
2014-02-28,33.2,8701.0648,19.8801,4.3953
2014-03-03,33.06,8665.8956,19.7963,4.3767
2014-03-04,33.51,8772.9974,20.0657,4.4363
2014-03-05,33.415,8764.7385,20.0089,4.4237
2014-03-06,33.4,8761.655,19.9999,4.4217
2014-03-07,33.495,8781.5896,20.0568,4.4343
2014-03-10,33.475,8776.4647,20.0448,4.4317
2014-03-11,33.6,8811.8098,20.1196,4.4482
2014-03-12,33.96,8902.2346,20.3352,4.4959
2014-03-13,33.76,8855.85,20.2154,4.4694
2014-03-14,33.825,8871.6973,20.2544,4.478
2014-03-17,33.99,8911.6856,20.3532,4.4998
2014-03-18,34.08,8933.1059,20.4071,4.5118
2014-03-19,33.82,8877.306,20.2514,4.4773
2014-03-20,33.77,8858.9598,20.2214,4.4707
2014-03-21,33.77,8885.9602,20.2214,4.4707
2014-03-24,33.755,8856.606,20.2124,4.4687
2014-03-25,35.6,9335.859,21.3172,4.713
2014-03-26,35.55,9325.2967,21.2873,4.7064
2014-03-27,35.385,9231.87,21.1885,4.6845
2014-03-28,35.66,9305.717,21.3532,4.7209
2014-03-31,35.87,9359.7945,21.4789,4.7487
2014-04-01,35.81,9345.5969,21.443,4.7408
2014-04-02,35.65,9303.7163,21.3472,4.7196
2014-04-03,35.535,9269.4359,21.2783,4.7044
2014-04-04,35.145,9172.7638,21.0448,4.6527
2014-04-07,35.03,9151.2793,20.9759,4.6375
2014-04-08,35.615,9292.997,21.3262,4.715
2014-04-09,35.465,9253.3594,21.2364,4.6951
2014-04-10,35.285,9212.4725,21.1286,4.6713
2014-04-11,35.0,9133.505,20.9579,4.6336
2014-04-14,35.215,9187.6217,21.0867,4.662
2014-04-15,35.095,9155.8141,21.0148,4.6461
2014-04-16,35.565,9267.0292,21.2963,4.7083
2014-04-17,35.49,9260.1282,21.2514,4.6984
2014-04-21,35.46,9249.8608,21.2334,4.6944
2014-04-22,35.83,9348.3811,21.4549,4.7434
2014-04-23,35.79,9338.916,21.431,4.7381
2014-04-24,35.645,9299.3647,21.3442,4.7189
2014-04-25,35.575,9282.8007,21.3023,4.7097
2014-04-28,35.97,9385.8962,21.5388,4.762
2014-04-29,35.715,9323.8499,21.3861,4.7282
2014-04-30,35.6,9296.6377,21.3172,4.713
2014-05-01,35.61,9291.692,21.3232,4.7143
2014-05-02,35.8,9341.1604,21.437,4.7395
2014-05-05,35.66,9307.545,21.3532,4.7209
2014-05-06,35.31,9218.0713,21.1436,4.6746
2014-05-07,35.93,9364.7807,21.5148,4.7567
2014-05-08,35.5,9263.0307,21.2573,4.6997
2014-05-09,35.575,9281.0961,21.3023,4.7097
2014-05-12,35.7,9310.6746,21.3771,4.7262
2014-05-13,35.665,9304.5847,21.3561,4.7216
2014-05-14,35.38,9230.8087,21.1855,4.6839
2014-05-15,35.24,9195.7309,21.1017,4.6653
2014-05-16,35.385,9230.042,21.1885,4.6845
2014-05-19,35.375,9227.6757,21.1825,4.6832
2014-05-20,35.12,9163.8015,21.0298,4.6494
2014-05-21,35.35,9223.4661,21.1675,4.6799
2014-05-22,35.355,9226.1848,21.1705,4.6805
2014-05-23,35.365,9229.331,21.1765,4.6819
2014-05-27,35.865,9359.5879,21.4759,4.7481
2014-05-28,35.64,9299.4002,21.3412,4.7183
2014-05-29,36.055,9407.7157,21.5897,4.7732
2014-05-30,36.155,9432.719,21.3302,4.7838
2014-06-02,35.965,9387.7597,21.2182,4.7586
2014-06-03,36.205,9446.744,21.3597,4.7904
2014-06-04,36.545,9535.9719,21.5603,4.8354
2014-06-05,36.46,9515.8585,21.5102,4.8241
2014-06-06,36.505,9524.5569,21.5367,4.8301
2014-06-09,36.535,9531.6557,21.5544,4.834
2014-06-10,36.28,9465.2223,21.404,4.8003
2014-06-11,36.1,9422.6292,21.2978,4.7765
2014-06-12,35.92,9380.0362,21.1916,4.7527
2014-06-13,35.855,9358.1965,21.1533,4.7441
