Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,65.4,2460.7561,36.2006,7.9503
2014-01-03,67.16,2526.9783,37.1748,8.1642
2014-01-06,65.11,2449.8445,36.04,7.915
2014-01-07,65.73,2473.1727,36.3832,7.9904
2014-01-08,64.33,2420.496,35.6083,7.8202
2014-01-09,63.41,2385.8799,35.099,7.7084
2014-01-10,63.84,2402.0591,35.3371,7.7606
2014-01-13,62.45,2349.7587,34.5677,7.5917
2014-01-14,63.49,2388.89,35.1433,7.7181
2014-01-15,63.07,2373.0869,34.9108,7.667
2014-01-16,62.98,2369.7006,34.861,7.6561
2014-01-17,61.92,2329.8168,34.2743,7.5272
2014-01-21,63.32,2382.4935,35.0492,7.6974
2014-01-22,62.81,2363.3041,34.7669,7.6354
2014-01-23,62.14,2338.0945,34.3961,7.554
2014-01-24,61.19,2302.3496,33.8702,7.4385
2014-01-27,59.77,2248.9204,33.0842,7.2659
2014-01-28,61.54,2315.5188,34.0639,7.4811
2014-01-29,60.24,2266.6047,33.3444,7.323
2014-01-30,63.31,2382.1172,35.0437,7.6962
2014-01-31,62.74,2360.6703,34.7282,7.6269
2014-02-03,60.64,2281.6552,33.5658,7.3716
2014-02-04,61.83,2326.4304,34.2245,7.5163
2014-02-05,61.47,2312.885,34.0252,7.4725
2014-02-06,61.15,2300.8446,33.8481,7.4336
2014-02-07,61.28,2305.736,33.92,7.4494
2014-02-10,60.34,2270.3673,33.3997,7.3352
2014-02-11,60.41,2273.0011,33.4385,7.3437
2014-02-12,59.96,2256.0693,33.1894,7.289
2014-02-13,59.95,2255.6931,33.1838,7.2878
2014-02-14,59.71,2246.6628,33.051,7.2586
2014-02-18,60.18,2264.3471,33.3112,7.3157
2014-02-19,59.06,2222.2057,32.6912,7.1796
2014-02-20,59.7,2246.2865,33.0455,7.2574
2014-02-21,59.37,2233.8699,32.8628,7.2173
2014-02-24,59.75,2248.1678,33.0731,7.2635
2014-02-25,58.9,2216.1855,32.6026,7.1601
2014-02-26,59.22,2237.9627,32.7798,7.199
2014-02-27,59.06,2231.9162,32.6912,7.1796
2014-02-28,59.04,2231.1604,32.6801,7.1771
2014-03-03,59.39,2244.3871,32.8739,7.2197
2014-03-04,63.115,2385.1573,34.9358,7.6725
2014-03-05,63.76,2409.5323,35.2928,7.7509
2014-03-06,64.34,2431.4509,35.6138,7.8214
2014-03-07,64.51,2437.8753,35.7079,7.8421
2014-03-10,64.44,2435.2299,35.6692,7.8336
2014-03-11,62.71,2369.8521,34.7116,7.6233
2014-03-12,63.54,2401.2183,35.171,7.7242
2014-03-13,62.83,2374.387,34.778,7.6379
2014-03-14,62.22,2351.3347,34.4403,7.5637
2014-03-17,63.44,2397.4393,35.1156,7.712
2014-03-18,62.95,2378.9219,34.8444,7.6525
2014-03-19,62.32,2355.1137,34.4957,7.5759
2014-03-20,62.92,2377.7881,34.8278,7.6488
2014-03-21,62.17,2349.4451,34.4127,7.5576
2014-03-24,62.17,2349.4451,34.4127,7.5576
2014-03-25,61.63,2329.0382,34.1138,7.492
2014-03-26,59.57,2251.1894,32.9735,7.2416
2014-03-27,58.72,2219.0674,32.503,7.1382
2014-03-28,57.99,2191.4802,32.0989,7.0495
2014-03-31,59.22,2237.9627,32.0758,7.0283
2014-04-01,59.65,2254.2127,32.3087,7.0793
2014-04-02,59.3,2240.986,32.1192,7.0378
2014-04-03,56.89,2149.9105,30.8138,6.7518
2014-04-04,55.04,2079.9978,29.8118,6.5322
2014-04-07,54.26,2050.5211,29.3893,6.4397
2014-04-08,54.48,2058.835,29.5085,6.4658
2014-04-09,55.0,2078.4861,29.7901,6.5275
2014-04-10,54.45,2057.7013,29.4922,6.4622
2014-04-11,53.08,2005.9281,28.7502,6.2996
2014-04-14,53.74,2030.8699,29.1077,6.3779
2014-04-15,54.22,2049.0094,29.3676,6.4349
2014-04-16,55.13,2083.3989,29.8605,6.5429
2014-04-17,55.59,2100.7826,30.1097,6.5975
2014-04-21,55.99,2115.8989,30.3263,6.645
2014-04-22,56.64,2140.4628,30.6784,6.7221
2014-04-23,55.02,2049.6631,29.8009,6.5299
2014-04-24,54.99,2048.5455,29.7847,6.5263
2014-04-25,54.75,2039.6048,29.6547,6.4978
2014-04-28,53.69,2000.1166,29.0806,6.372
2014-04-29,53.28,2009.6983,28.8585,6.3233
2014-04-30,53.83,2030.4441,29.1564,6.3886
2014-05-01,54.64,2060.9969,29.5951,6.4848
2014-05-02,54.55,2057.6021,29.5464,6.4741
2014-05-05,54.73,2064.3917,29.6439,6.4954
2014-05-06,54.3,2048.1722,29.411,6.4444
2014-05-07,54.47,2054.5846,29.503,6.4646
2014-05-08,54.41,2052.3214,29.4705,6.4575
2014-05-09,54.48,2054.9618,29.5085,6.4658
2014-05-12,55.58,2096.4533,30.1043,6.5963
2014-05-13,54.66,2061.7513,29.606,6.4871
2014-05-14,53.11,2003.286,28.7664,6.3032
2014-05-15,52.89,1994.9877,28.6473,6.2771
2014-05-16,53.36,2012.7159,28.9018,6.3328
2014-05-19,54.43,2053.0758,29.4814,6.4598
2014-05-20,53.71,2025.9177,29.0914,6.3744
2014-05-21,54.05,2038.7424,29.2756,6.4147
2014-05-22,54.73,2064.3917,29.6439,6.4954
2014-05-23,55.02,2075.3303,29.8009,6.5299
2014-05-27,56.4,2127.3833,30.5484,6.6936
2014-05-28,55.31,2086.269,29.958,6.5643
2014-05-29,54.62,2060.2425,29.5843,6.4824
2014-05-30,53.35,2012.3387,28.8964,6.3317
2014-06-02,52.94,1996.8736,28.6743,6.283
2014-06-03,50.3,1897.294,27.2444,5.9697
2014-06-04,51.88,1956.8909,28.1002,6.1572
2014-06-05,52.64,1985.5578,28.5118,6.2474
2014-06-06,54.03,2037.988,29.2647,6.4124
2014-06-09,54.33,2049.3038,29.4272,6.448
2014-06-10,54.14,2042.1371,29.3243,6.4254
2014-06-11,53.45,2016.1106,28.9506,6.3435
2014-06-12,53.31,2010.8299,28.8747,6.3269
2014-06-13,54.37,2050.8126,29.4489,6.4527
2014-06-16,54.86,2069.2952,29.7143,6.5109
2014-06-17,55.255,2084.1944,29.9282,6.5577
2014-06-18,56.21,2120.2166,30.4455,6.6711
2014-06-19,55.5,2093.4357,30.0609,6.5868
2014-06-20,55.64,2098.7165,30.1368,6.6034
2014-06-23,56.02,2113.0499,30.3426,6.6485
2014-06-24,55.575,2096.2647,30.1016,6.5957
2014-06-25,55.51,2093.8129,30.0664,6.588
2014-06-26,55.43,2090.7954,30.023,6.5785
2014-06-27,55.3,2085.8918,29.9526,6.5631
2014-06-30,54.06,2039.1196,29.541,6.2883
2014-07-01,53.69,2025.1633,29.3388,6.2452
2014-07-02,52.73,1988.9525,28.8142,6.1336
2014-07-03,51.9,1957.6453,28.3607,6.037
2014-07-07,50.9,1919.9257,27.8142,5.9207
2014-07-08,49.97,1884.8465,27.306,5.8125
2014-07-09,49.22,1856.5569,26.8962,5.7253
2014-07-10,48.05,1812.425,26.2568,5.5892
2014-07-11,47.5,1791.6792,25.9563,5.5252
2014-07-14,48.5,1829.3988,26.5027,5.6415
2014-07-15,48.23,1819.2145,26.3552,5.6101
2014-07-16,48.11,1814.6882,26.2896,5.5962
2014-07-17,48.58,1832.4163,26.5464,5.6508
2014-07-18,49.61,1871.2675,27.1093,5.7707
2014-07-21,50.1,1889.7501,27.377,5.8277
2014-07-22,50.37,1899.9344,27.5246,5.8591
2014-07-23,53.91,2033.4616,29.459,6.2708
2014-07-24,56.43,2128.5149,30.8361,6.564
2014-07-25,55.99,2099.9629,30.5956,6.5128
2014-07-28,55.98,2099.5878,30.5902,6.5116
2014-07-29,56.38,2114.5902,30.8087,6.5581
2014-07-30,56.95,2135.9687,31.1202,6.6244
2014-07-31,56.23,2108.9643,30.7268,6.5407
2014-08-01,55.85,2094.712,30.5191,6.4965
2014-08-04,56.29,2111.2147,30.7596,6.5477
2014-08-05,55.93,2097.7125,30.5628,6.5058
2014-08-06,56.65,2124.7169,30.9563,6.5895
2014-08-07,55.59,2084.9605,30.377,6.4662
2014-08-08,55.37,2076.7091,30.2568,6.4407
2014-08-11,57.3,2149.0958,31.3115,6.6652
2014-08-12,56.47,2117.9658,30.8579,6.5686
2014-08-13,56.58,2122.0915,30.918,6.5814
2014-08-14,56.81,2130.7178,31.0437,6.6082
2014-08-15,57.3,2149.0958,31.3115,6.6652
2014-08-18,58.23,2183.9764,31.8197,6.7733
2014-08-19,58.2,2182.8512,31.8033,6.7698
2014-08-20,58.13,2180.2258,31.765,6.7617
2014-08-21,57.76,2166.3486,31.5628,6.7187
2014-08-22,57.97,2174.2248,31.6776,6.7431
2014-08-25,59.62,2236.1098,32.5792,6.935
2014-08-26,59.52,2232.3592,32.5246,6.9234
2014-08-27,59.31,2224.4829,32.4098,6.899
2014-08-28,58.64,2199.3539,32.0437,6.821
2014-08-29,58.92,2209.8556,32.1967,6.8536
2014-09-02,59.55,2233.4844,32.541,6.9269
2014-09-03,60.02,2251.1122,32.7978,6.9815
2014-09-04,58.41,2190.7275,31.918,6.7943
