Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,99.54,4603.5815,38.3193,2.9943
2014-01-03,99.38,4596.1817,38.2577,2.9895
2014-01-06,98.7,4564.7327,37.996,2.969
2014-01-07,100.79,4661.3922,38.8005,3.0319
2014-01-08,103.43,4783.4884,39.8168,3.1113
2014-01-09,105.01,4856.5611,40.4251,3.1588
2014-01-10,105.84,4894.9474,40.7446,3.1838
2014-01-13,105.25,4867.6607,40.5175,3.166
2014-01-14,106.88,4943.0459,41.145,3.2151
2014-01-15,108.06,4997.6192,41.5992,3.2506
2014-01-16,108.59,5022.1309,41.8033,3.2665
2014-01-17,108.15,5001.7816,41.6339,3.2533
2014-01-21,109.47,5062.8296,42.142,3.293
2014-01-22,108.42,5014.2687,41.7378,3.2614
2014-01-23,109.17,5048.9551,42.0265,3.284
2014-01-24,104.32,4824.6496,40.1595,3.1381
2014-01-27,102.78,4753.4268,39.5666,3.0917
2014-01-28,106.75,4937.0336,41.0949,3.2112
2014-01-29,108.0,4994.8443,41.5761,3.2488
2014-01-30,107.77,4984.2071,41.4876,3.2418
2014-01-31,109.01,5041.5553,41.9649,3.2791
2014-02-03,104.42,4829.2744,40.198,3.1411
2014-02-04,106.13,4908.3595,40.8563,3.1925
2014-02-05,106.42,4921.7715,40.9679,3.2012
2014-02-06,112.56,5205.7377,43.3316,3.3859
2014-02-07,112.54,5204.8127,43.3239,3.3853
2014-02-10,113.79,5262.6234,43.8051,3.4229
2014-02-11,114.85,5311.6469,44.2131,3.4548
2014-02-12,115.61,5346.7958,44.5057,3.4777
2014-02-13,115.9,5360.2079,44.6174,3.4864
2014-02-14,118.48,5479.5292,45.6106,3.564
2014-02-18,118.53,5481.8416,45.6298,3.5655
2014-02-19,115.93,5361.5953,44.6289,3.4873
2014-02-20,116.89,5405.9939,44.9985,3.5162
2014-02-21,117.28,5424.0309,45.1486,3.5279
2014-02-24,116.71,5387.1947,44.9292,3.5108
2014-02-25,118.16,5454.1249,45.4874,3.5544
2014-02-26,121.51,5608.757,46.777,3.6552
2014-02-27,122.63,5660.4548,47.2082,3.6888
2014-02-28,121.98,5630.4516,46.9579,3.6693
2014-03-03,122.0,5631.3748,46.9656,3.6699
2014-03-04,121.95,5629.0668,46.9464,3.6684
2014-03-05,121.04,5587.0623,46.5961,3.641
2014-03-06,120.9,5580.6001,46.5422,3.6368
2014-03-07,123.92,5719.9997,47.7048,3.7276
2014-03-10,122.95,5675.2256,47.3314,3.6985
2014-03-11,122.25,5642.9145,47.0619,3.6774
2014-03-12,123.09,5681.6879,47.3852,3.7027
2014-03-13,121.45,5605.9874,46.7539,3.6533
2014-03-14,122.3,5645.2224,47.0811,3.6789
2014-03-17,123.07,5680.7647,47.3775,3.7021
2014-03-18,126.34,5831.704,48.6364,3.8004
2014-03-19,126.72,5849.2444,48.7827,3.8119
2014-03-20,126.98,5861.2457,48.8828,3.8197
2014-03-21,126.49,5838.6278,48.6941,3.805
2014-03-24,123.63,5706.6136,47.5931,3.7189
2014-03-25,126.77,5851.5523,48.8019,3.8134
2014-03-26,125.43,5789.6995,48.2861,3.7731
2014-03-27,125.63,5798.9313,48.3631,3.7791
2014-03-28,126.95,5859.8609,48.8712,3.8188
2014-03-31,128.35,5924.4832,45.0251,3.9432
2014-04-01,128.1,5912.9435,44.9374,3.9355
2014-04-02,126.89,5857.0914,44.513,3.8983
2014-04-03,124.7,5756.0036,43.7447,3.831
2014-04-04,127.7,5894.48,44.7971,3.9232
2014-04-07,122.05,5633.6827,42.8151,3.7496
2014-04-08,122.93,5674.3025,43.1238,3.7767
2014-04-09,126.5,5839.0894,44.3762,3.8863
2014-04-10,126.81,5853.3987,44.4849,3.8959
2014-04-11,124.41,5742.6175,43.643,3.8221
2014-04-14,125.05,5772.1591,43.8675,3.8418
2014-04-15,124.98,5768.928,43.8429,3.8396
2014-04-16,126.34,5831.704,44.32,3.8814
2014-04-17,125.55,5800.39,44.0429,3.8572
2014-04-21,126.74,5855.3678,44.4603,3.8937
2014-04-22,128.03,5914.9656,44.9129,3.9333
2014-04-23,126.83,5859.5258,44.4919,3.8965
2014-04-24,126.64,5850.7478,44.4253,3.8906
2014-04-25,123.64,5712.1483,43.3729,3.7985
2014-04-28,116.89,5400.2994,41.005,3.5911
2014-04-29,124.37,5745.8742,43.629,3.8209
2014-04-30,124.33,5744.0262,43.6149,3.8197
2014-05-01,125.51,5798.542,44.0289,3.8559
2014-05-02,126.25,5832.7299,44.2885,3.8787
2014-05-05,125.78,5830.9541,44.1236,3.8642
2014-05-06,124.09,5752.6085,43.5307,3.8123
2014-05-07,122.43,5675.6536,42.9484,3.7613
2014-05-08,119.93,5559.7577,42.0714,3.6845
2014-05-09,118.91,5512.4722,41.7136,3.6532
2014-05-12,122.48,5677.9715,42.9659,3.7628
2014-05-13,120.52,5587.1091,42.2784,3.7026
2014-05-14,118.96,5514.7901,41.7311,3.6547
2014-05-15,118.02,5471.2132,41.4014,3.6258
2014-05-16,119.33,5531.9427,41.8609,3.6661
2014-05-19,119.57,5543.0687,41.9451,3.6734
2014-05-20,117.52,5448.0341,41.226,3.6105
2014-05-21,118.66,5500.8826,41.6259,3.6455
2014-05-22,121.0,5609.3611,42.4468,3.7174
2014-05-23,123.72,5735.4559,43.4009,3.8009
2014-05-27,124.27,5760.953,43.5939,3.8178
2014-05-28,123.64,5731.7472,43.3729,3.7985
2014-05-29,123.58,5728.9657,43.3518,3.7966
2014-05-30,122.8,5692.8062,43.0782,3.7727
2014-06-02,122.68,5687.2432,43.0361,3.769
2014-06-03,121.37,5626.5137,42.5766,3.7287
2014-06-04,122.64,5685.3888,43.0221,3.7678
2014-06-05,126.9,5882.8754,44.5165,3.8986
2014-06-06,128.68,5965.3933,45.1409,3.9533
2014-06-09,127.97,5932.4789,44.8918,3.9315
2014-06-10,130.67,6057.6464,45.839,4.0145
2014-06-11,129.11,5985.3274,45.2917,3.9665
2014-06-12,128.06,5936.6511,44.9234,3.9343
