Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,115.487,91889.8612,17.1856,4.3768
2014-01-03,115.755,92102.7386,17.2254,4.3869
2014-01-06,115.069,91557.2403,17.1234,4.3609
2014-01-07,115.086,91570.5451,17.1259,4.3616
2014-01-08,114.233,90891.9984,16.9989,4.3292
2014-01-09,114.082,90772.2548,16.9766,4.3235
2014-01-10,113.857,90592.6395,16.943,4.315
2014-01-13,112.603,89594.7767,16.7563,4.2674
2014-01-14,114.885,91410.8871,17.096,4.3539
2014-01-15,115.746,92096.0862,17.2241,4.3866
2014-01-16,115.512,91909.8185,17.1893,4.3777
2014-01-17,114.801,91344.3629,17.0836,4.3508
2014-01-21,114.534,91131.4855,17.0437,4.3406
2014-01-22,114.108,90792.2121,16.9803,4.3245
2014-01-23,112.628,89614.734,16.7601,4.2684
2014-01-24,108.874,86627.7979,16.2014,4.1261
2014-01-27,107.82,85789.5931,16.0447,4.0862
2014-01-28,108.531,86355.0487,16.1504,4.1131
2014-01-29,108.899,86647.7552,16.2052,4.1271
2014-01-30,107.059,85184.223,15.9315,4.0574
2014-01-31,107.176,85027.9482,15.9489,4.0618
2014-02-03,103.59,82182.4072,15.4151,3.9259
2014-02-04,105.947,84052.9027,15.766,4.0152
2014-02-05,106.483,84477.4123,15.8456,4.0355
2014-02-06,107.77,85498.8885,16.0372,4.0843
2014-02-07,108.966,86447.4022,16.2151,4.1296
2014-02-10,108.439,86029.5255,16.1367,4.1097
2014-02-11,109.509,86878.5447,16.296,4.1502
2014-02-12,109.058,86520.3648,16.2288,4.1331
2014-02-13,108.807,86321.3759,16.1915,4.1236
2014-02-14,110.462,87554.9015,16.4378,4.1863
2014-02-18,110.195,87342.84,16.398,4.1762
2014-02-19,109.158,86521.1016,16.2437,4.1369
2014-02-20,109.994,87183.7938,16.3682,4.1686
2014-02-21,110.002,87190.4207,16.3694,4.1689
2014-02-24,110.529,87607.9169,16.4478,4.1889
2014-02-25,111.139,88091.6822,16.5386,4.212
2014-02-26,111.081,88045.2938,16.5299,4.2098
2014-02-27,112.318,89026.0783,16.714,4.2567
2014-02-28,112.644,89284.5283,16.7626,4.269
2014-03-03,110.537,87614.5438,16.449,4.1892
2014-03-04,110.93,87926.0092,16.5075,4.2041
2014-03-05,111.909,88701.3591,16.6531,4.2411
2014-03-06,112.101,88853.7783,16.6817,4.2484
2014-03-07,112.126,88873.6591,16.6854,4.2494
2014-03-10,111.666,88509.1783,16.617,4.232
2014-03-11,110.788,87813.3515,16.4864,4.1987
2014-03-12,110.838,87853.113,16.4938,4.2006
2014-03-13,109.367,86686.7746,16.2748,4.1448
2014-03-14,108.548,86037.3362,16.1529,4.1138
2014-03-17,110.588,87654.3053,16.4565,4.1911
2014-03-18,110.981,87965.7707,16.515,4.206
2014-03-19,109.718,86965.1054,16.3271,4.1581
2014-03-20,110.721,87760.3361,16.4764,4.1962
