Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,11.13,11197.2165,34.0276,11.2271
2014-01-03,11.253,11321.2946,34.4047,11.3515
2014-01-06,11.077,11143.561,33.8646,11.1733
2014-01-07,11.29,11358.1827,34.5168,11.3885
2014-01-08,11.398,11467.1703,34.848,11.4977
2014-01-09,11.258,11326.3248,34.42,11.3565
2014-01-10,11.637,11706.943,35.5766,11.7381
2014-01-13,11.62,11690.1757,35.5257,11.7213
2014-01-14,11.537,11606.3391,35.2709,11.6373
2014-01-15,11.515,11584.5416,35.2047,11.6154
2014-01-16,11.59,11659.9945,35.434,11.6911
2014-01-17,11.52,11589.5718,35.22,11.6205
2014-01-21,11.63,11700.2361,35.5563,11.7314
2014-01-22,11.652,11722.0336,35.6225,11.7533
2014-01-23,11.507,11576.1579,35.1792,11.607
2014-01-24,11.258,11326.3248,34.42,11.3565
2014-01-27,11.287,11354.8293,34.5066,11.3851
2014-01-28,11.492,11561.0673,35.1333,11.5919
2014-01-29,11.295,11363.2129,34.5321,11.3935
2014-01-30,11.445,11514.1188,34.9907,11.5448
2014-01-31,11.317,11385.0105,34.5983,11.4154
2014-02-03,11.157,11224.0442,34.1091,11.254
2014-02-04,11.232,11299.4971,34.3384,11.3296
2014-02-05,11.108,11175.4189,33.9614,11.2052
2014-02-06,11.337,11405.1312,34.6594,11.4355
2014-02-07,11.412,11480.5842,34.8887,11.5112
2014-02-10,11.782,11852.8187,36.0199,11.8844
2014-02-11,12.163,12236.7903,37.1868,12.2694
2014-02-12,11.967,12038.9359,36.5855,12.071
2014-02-13,11.888,11960.1295,36.3461,11.992
2014-02-14,11.932,12003.7246,36.4785,12.0357
2014-02-18,12.002,12074.1473,36.6925,12.1063
2014-02-19,12.192,12265.2948,37.2734,12.298
2014-02-20,12.45,12525.1882,38.0632,12.5586
2014-02-21,12.465,12540.2788,38.1091,12.5737
2014-02-24,12.42,12495.0071,37.9715,12.5283
2014-02-25,11.898,11970.1899,36.3766,12.0021
2014-02-26,11.833,11904.7974,36.1779,11.9365
2014-02-27,11.86,11931.6251,36.2594,11.9634
2014-02-28,12.333,12407.817,37.7065,12.4409
2014-03-03,12.098,12113.6135,36.9881,12.2038
2014-03-04,12.412,12427.3426,37.946,12.5199
2014-03-05,12.24,12255.4591,37.4212,12.3467
2014-03-06,12.14,12155.3328,37.1155,12.2459
2014-03-07,12.232,12247.1153,37.3957,12.3383
2014-03-10,12.22,12235.4339,37.3601,12.3266
2014-03-11,12.283,12298.8472,37.5537,12.3904
2014-03-12,12.213,12228.7588,37.3397,12.3198
2014-03-13,11.692,11706.4332,35.7448,11.7936
2014-03-14,11.677,11691.4143,35.6989,11.7785
2014-03-17,11.818,11833.2599,36.132,11.9214
2014-03-18,11.832,11846.6101,36.1728,11.9348
2014-03-19,11.603,11617.9883,35.4747,11.7045
2014-03-20,11.608,11622.9947,35.49,11.7096
2014-03-21,11.472,11486.1554,35.0722,11.5717
2014-03-24,11.315,11329.2909,34.5932,11.4137
2014-03-25,11.367,11381.0228,34.7512,11.4658
2014-03-26,11.363,11377.6852,34.741,11.4624
2014-03-27,11.427,11441.0986,34.9346,11.5263
2014-03-28,11.582,11596.2943,35.4085,11.6827
2014-03-31,11.575,11589.6192,32.2691,10.5224
2014-04-01,11.842,11856.6227,33.0125,10.7648
2014-04-02,11.608,11622.9947,32.362,10.5527
2014-04-03,11.335,11349.3161,31.6,10.3042
2014-04-04,11.11,11124.0319,30.9728,10.0997
2014-04-07,11.138,11152.4011,31.0518,10.1254
2014-04-08,10.975,10988.8614,30.5964,9.9769
2014-04-09,11.482,11496.168,32.0089,10.4375
2014-04-10,10.673,10686.8138,29.7554,9.7027
2014-04-11,10.545,10558.3183,29.3976,9.586
2014-04-14,10.665,10678.4699,29.7322,9.6951
2014-04-15,10.645,10658.4446,29.6764,9.6769
2014-04-16,10.903,10917.1042,30.3966,9.9118
2014-04-17,11.258,11272.5526,31.3863,10.2345
2014-04-21,11.205,11232.5464,31.2376,10.186
2014-04-22,11.293,11321.0969,31.4839,10.2663
2014-04-23,11.18,11207.485,31.1679,10.1633
2014-04-24,11.125,11152.3498,31.0146,10.1133
2014-04-25,10.963,10990.2856,30.5639,9.9663
2014-04-28,11.123,11150.679,31.0099,10.1118
2014-04-29,11.073,11100.5561,30.8706,10.0663
2014-04-30,11.16,11187.4358,31.1122,10.1451
2014-05-01,11.163,11190.7773,31.1215,10.1481
2014-05-02,11.153,11180.7527,31.0936,10.139
2014-05-05,11.087,11113.9222,30.9077,10.0784
2014-05-06,11.008,11035.3963,30.6893,10.0072
2014-05-07,10.863,10890.0398,30.2851,9.8754
2014-05-08,11.02,11047.0916,30.7219,10.0178
2014-05-09,11.165,11192.4481,31.1261,10.1497
2014-05-12,11.683,11712.1252,32.5711,10.6208
2014-05-13,11.677,11705.4421,32.5525,10.6148
2014-05-14,11.722,11750.553,32.678,10.6557
2014-05-15,11.708,11737.1868,32.6408,10.6436
2014-05-16,11.758,11787.31,32.7802,10.689
2014-05-19,11.742,11770.6023,32.7337,10.6739
2014-05-20,11.575,11603.5249,32.2691,10.5224
2014-05-21,11.63,11658.6605,32.4224,10.5724
2014-05-22,11.56,11588.4879,32.2273,10.5087
2014-05-23,11.612,11640.2819,32.3713,10.5557
2014-05-27,11.443,11471.5338,31.902,10.4027
2014-05-28,11.412,11439.7891,31.8138,10.3739
2014-05-29,11.503,11531.6816,32.0693,10.4572
2014-05-30,11.563,11591.8295,32.2366,10.5118
2014-06-02,11.5,11528.3401,32.06,10.4542
2014-06-03,11.123,11150.7452,31.0099,10.1118
2014-06-04,11.35,11377.9704,31.6418,10.3178
2014-06-05,11.337,11364.6042,31.6047,10.3057
2014-06-06,11.378,11406.3736,31.7208,10.3436
2014-06-09,11.38,11408.0444,31.7255,10.3451
2014-06-10,11.65,11678.7097,32.4782,10.5905
2014-06-11,11.67,11698.759,32.534,10.6087
2014-06-12,11.772,11800.6762,32.8174,10.7012
2014-06-13,11.478,11506.62,31.9996,10.4345
2014-06-16,11.73,11758.9069,32.7012,10.6633
2014-06-17,11.707,11735.5161,32.6362,10.6421
2014-06-18,11.897,11925.9843,33.1659,10.8148
2014-06-19,12.125,12154.8803,33.8024,11.0224
2014-06-20,12.115,12144.8557,33.7745,11.0133
2014-06-23,12.208,12238.419,34.0347,11.0981
2014-06-24,11.87,11899.2519,33.0915,10.7905
