Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,47.0,20021.0863,17.2188,1.7715
2014-01-03,46.83,19948.6696,17.1565,1.7651
2014-01-06,46.58,19842.1745,17.0649,1.7557
2014-01-07,46.35,19744.199,16.9806,1.747
2014-01-08,46.94,19995.5275,17.1968,1.7693
2014-01-09,46.13,19650.4832,16.9,1.7387
2014-01-10,46.55,19829.3951,17.0539,1.7546
2014-01-13,46.15,19659.0029,16.9074,1.7395
2014-01-14,48.03,20459.8463,17.5961,1.8103
2014-01-15,49.31,21005.1014,18.065,1.8586
2014-01-16,49.32,21009.3612,18.0687,1.859
2014-01-17,48.54,20677.0964,17.7829,1.8296
2014-01-21,48.32,20583.3807,17.7023,1.8213
2014-01-22,47.77,20349.0914,17.5008,1.8005
2014-01-23,47.02,20029.6059,17.2261,1.7723
2014-01-24,45.38,19330.9978,16.6253,1.7105
2014-01-27,44.7,19041.331,16.3761,1.6848
2014-01-28,45.15,19233.0223,16.541,1.7018
2014-01-29,44.68,19032.8114,16.3688,1.6841
2014-01-30,44.93,19139.3066,16.4604,1.6935
2014-01-31,44.66,19024.2918,16.3615,1.6833
2014-02-03,44.65,19020.032,16.3578,1.6829
2014-02-04,45.12,19220.2429,16.53,1.7007
2014-02-05,44.86,19109.4879,16.4348,1.6909
2014-02-06,46.21,19684.5617,16.9293,1.7417
2014-02-07,46.45,19786.797,17.0173,1.7508
2014-02-10,46.82,19944.4098,17.1528,1.7647
2014-02-11,47.96,20430.0277,17.5705,1.8077
2014-02-12,47.98,20438.5473,17.5778,1.8085
2014-02-13,47.63,20289.4541,17.4496,1.7953
2014-02-14,47.78,20354.5636,17.5045,1.8009
2014-02-18,47.91,20409.9444,17.5521,1.8058
2014-02-19,47.45,20213.9816,17.3836,1.7885
2014-02-20,48.37,19292.4017,17.7207,1.8232
2014-02-21,48.03,19156.7925,17.5961,1.8103
2014-02-24,48.0,19144.827,17.5851,1.8092
2014-02-25,48.01,19148.8155,17.5888,1.8096
2014-02-26,48.13,19196.6776,17.6327,1.8141
2014-02-27,48.38,19296.3902,17.7243,1.8235
2014-02-28,48.86,19487.8385,17.9002,1.8416
2014-03-03,48.98,19535.7006,17.9441,1.8462
2014-03-04,48.97,19531.7121,17.9405,1.8458
2014-03-05,49.85,19882.7006,18.2629,1.8789
2014-03-06,50.0,19942.5282,18.3178,1.8846
2014-03-07,49.73,19834.8385,18.2189,1.8744
2014-03-10,49.89,19898.6546,18.2775,1.8805
2014-03-11,48.81,19467.896,17.8819,1.8397
2014-03-12,48.29,19260.4937,17.6914,1.8201
2014-03-13,47.66,19009.2178,17.4605,1.7964
2014-03-14,47.9,19104.942,17.5485,1.8054
2014-03-17,48.02,19152.804,17.5924,1.81
2014-03-18,48.54,19360.2063,17.7829,1.8296
2014-03-19,48.93,19515.7581,17.9258,1.8443
2014-03-20,49.04,19559.6316,17.9661,1.8484
2014-03-21,48.65,19404.0799,17.8232,1.8337
2014-03-24,48.43,19316.3328,17.7426,1.8254
2014-03-25,48.69,19420.0339,17.8379,1.8352
2014-03-26,48.52,19352.2293,17.7756,1.8288
2014-03-27,48.7,19424.0224,17.8416,1.8356
2014-03-28,49.17,19611.4822,18.0137,1.8533
2014-03-31,50.0,19942.5282,21.9388,1.7994
2014-04-01,49.8,19862.758,21.851,1.7922
2014-04-02,49.52,19304.707,21.7282,1.7821
2014-04-03,49.42,19265.7233,21.6843,1.7785
2014-04-04,49.17,19168.2642,21.5746,1.7695
2014-04-07,48.28,18821.3096,21.1841,1.7375
2014-04-08,48.29,18825.208,21.1885,1.7379
2014-04-09,48.48,18899.2769,21.2719,1.7447
2014-04-10,48.08,18743.3423,21.0963,1.7303
2014-04-11,47.2,18400.2861,20.7102,1.6987
2014-04-14,47.44,18493.8469,20.8155,1.7073
2014-04-15,48.37,18856.3949,21.2236,1.7408
2014-04-16,48.64,18961.6508,21.3421,1.7505
2014-04-17,48.72,18992.8377,21.3772,1.7534
2014-04-21,48.89,19059.1099,21.4518,1.7595
2014-04-22,49.04,19117.5854,21.5176,1.7649
2014-04-23,48.84,19039.6181,21.4298,1.7577
2014-04-24,48.79,19020.1263,21.4079,1.7559
2014-04-25,49.42,19265.7233,21.6843,1.7785
2014-04-28,49.74,19390.471,21.8247,1.7901
2014-04-29,49.94,19468.4383,21.9125,1.7973
2014-04-30,50.04,19507.422,21.9563,1.8009
2014-05-01,49.82,19421.658,21.8598,1.7929
2014-05-02,49.93,19464.54,21.9081,1.7969
2014-05-05,49.71,19378.7759,21.8115,1.789
2014-05-06,48.66,18668.9186,21.3508,1.7512
2014-05-07,48.75,18703.4481,21.3903,1.7544
2014-05-08,48.6,18645.899,21.3245,1.749
2014-05-09,48.46,18592.1865,21.2631,1.744
2014-05-12,48.72,18691.9382,21.3772,1.7534
2014-05-13,49.26,18899.1149,21.6141,1.7728
2014-05-14,50.0,19183.0236,21.9388,1.7994
2014-05-15,49.3,18914.4613,21.6316,1.7742
2014-05-16,49.31,18918.2979,21.636,1.7746
2014-05-19,49.5,18991.1934,21.7194,1.7814
2014-05-20,49.68,19060.2523,21.7984,1.7879
2014-05-21,50.0,19183.0236,21.9388,1.7994
2014-05-22,49.48,18983.5202,21.7106,1.7807
2014-05-23,49.53,19002.7032,21.7326,1.7825
2014-05-27,49.57,19018.0496,21.7501,1.7839
2014-05-28,49.33,18925.9711,21.6448,1.7753
2014-05-29,49.87,19133.1478,21.8818,1.7947
2014-05-30,49.99,19179.187,21.9344,1.7991
