Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,44.74,26935.8666,12.826,2.4337
2014-01-03,44.13,26568.6141,12.6511,2.4005
2014-01-06,44.355,26704.0761,12.7156,2.4127
2014-01-07,44.5,26791.3738,12.7572,2.4206
2014-01-08,44.34,26695.0453,12.7113,2.4119
2014-01-09,45.52,27405.4683,13.0496,2.4761
2014-01-10,45.485,27384.3964,13.0395,2.4742
2014-01-13,44.08,26538.5114,12.6368,2.3978
2014-01-14,44.55,26821.4765,12.7715,2.4233
2014-01-15,43.325,26083.9612,12.4203,2.3567
2014-01-16,42.85,25797.9858,12.2841,2.3309
2014-01-17,42.64,25671.5546,12.2239,2.3194
2014-01-21,43.165,25987.6326,12.3745,2.348
2014-01-22,42.79,25761.8626,12.2669,2.3276
2014-01-23,42.72,25719.7189,12.2469,2.3238
2014-01-24,41.49,24979.1933,11.8943,2.2569
2014-01-27,41.75,25135.7271,11.9688,2.271
2014-01-28,41.585,25036.3883,11.9215,2.262
2014-01-29,43.26,26044.8277,12.4017,2.3532
2014-01-30,43.75,26339.8338,12.5422,2.3798
2014-01-31,43.525,26204.3718,12.4777,2.3676
2014-02-03,42.17,25388.5895,12.0892,2.2939
2014-02-04,41.625,25060.4705,11.933,2.2642
2014-02-05,41.155,24777.5054,11.7982,2.2387
2014-02-06,41.665,25084.5526,11.9444,2.2664
2014-02-07,42.235,25427.723,12.1078,2.2974
2014-02-10,41.26,24840.721,11.8283,2.2444
2014-02-11,42.23,25424.7127,12.1064,2.2971
2014-02-12,42.1,25346.4458,12.0691,2.2901
2014-02-13,42.79,25761.8626,12.2669,2.3276
2014-02-14,43.855,26403.0494,12.5723,2.3855
2014-02-18,43.85,26400.0392,12.5708,2.3852
2014-02-19,43.51,26195.341,12.4734,2.3668
2014-02-20,43.975,26475.2958,12.6067,2.392
2014-02-21,43.655,26282.6388,12.5149,2.3746
2014-02-24,44.06,26526.4704,12.631,2.3967
