Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,34.03,1300.1718,58.4437,4.0292
2014-01-03,34.27,1309.3414,58.8559,4.0576
2014-01-06,33.75,1289.4739,57.9628,3.9961
2014-01-07,33.89,1294.8228,58.2032,4.0126
2014-01-08,34.28,1309.7234,58.873,4.0588
2014-01-09,33.71,1287.9456,57.8941,3.9913
2014-01-10,33.65,1285.6533,57.7911,3.9842
2014-01-13,33.07,1263.4934,56.795,3.9155
2014-01-14,33.78,1290.6201,58.0143,3.9996
2014-01-15,34.11,1303.2283,58.5811,4.0387
2014-01-16,33.99,1298.6435,58.375,4.0245
2014-01-17,34.39,1313.9262,59.0619,4.0718
2014-01-21,34.43,1315.4544,59.1306,4.0766
2014-01-22,34.62,1322.7137,59.457,4.0991
2014-01-23,34.68,1325.0061,59.56,4.1062
2014-01-24,33.63,1284.8891,57.7567,3.9819
2014-01-27,33.52,1280.6864,57.5678,3.9688
2014-01-28,33.41,1276.4837,57.3789,3.9558
2014-01-29,33.13,1265.7858,56.898,3.9226
2014-01-30,33.45,1278.0119,57.4476,3.9605
2014-01-31,32.69,1248.9749,56.1423,3.8706
2014-02-03,32.38,1237.1308,55.6099,3.8338
2014-02-04,31.58,1206.5655,54.236,3.7391
2014-02-05,31.36,1198.1601,53.8582,3.7131
2014-02-06,32.41,1238.277,55.6615,3.8374
2014-02-07,33.99,1298.6435,58.375,4.0245
2014-02-10,34.08,1302.0821,58.5295,4.0351
2014-02-11,34.35,1312.3979,58.9933,4.0671
2014-02-12,34.74,1327.2985,59.663,4.1133
2014-02-13,35.18,1344.1094,60.4187,4.1654
2014-02-14,35.09,1340.6708,60.2641,4.1547
2014-02-18,35.03,1338.3784,60.1611,4.1476
2014-02-19,34.36,1312.78,59.0104,4.0683
2014-02-20,34.96,1335.7039,60.0409,4.1393
2014-02-21,34.59,1321.5675,59.4054,4.0955
2014-02-24,35.75,1365.8872,61.3976,4.2329
2014-02-25,35.79,1367.4154,61.4663,4.2376
2014-02-26,36.41,1391.1036,62.5311,4.311
2014-02-27,36.25,1384.9905,62.2563,4.2921
2014-02-28,35.84,1369.3258,61.5522,4.2435
2014-03-03,35.49,1355.9535,60.9511,4.2021
2014-03-04,37.08,1416.702,63.6818,4.3903
2014-03-05,37.03,1414.7917,63.5959,4.3844
2014-03-06,36.98,1412.8813,63.5101,4.3785
2014-03-07,36.93,1410.971,63.4242,4.3726
2014-03-10,36.8,1423.6511,63.2009,4.3572
2014-03-11,36.6,1415.9139,62.8574,4.3335
2014-03-12,37.0,1431.3884,63.5444,4.3809
2014-03-13,37.0,1431.3884,63.5444,4.3809
2014-03-14,37.83,1463.4979,64.9699,4.4791
2014-03-17,38.38,1484.7753,65.9144,4.5443
2014-03-18,38.86,1503.3447,66.7388,4.6011
2014-03-19,38.41,1485.9359,65.966,4.5478
2014-03-20,38.57,1492.1257,66.2407,4.5668
2014-03-21,37.85,1464.2716,65.0042,4.4815
2014-03-24,37.19,1438.7388,63.8707,4.4034
2014-03-25,37.32,1443.768,64.094,4.4188
2014-03-26,37.26,1441.4468,63.9909,4.4116
2014-03-27,37.42,1447.6366,64.2657,4.4306
2014-03-28,37.12,1436.0307,63.7505,4.3951
2014-03-31,38.77,1499.8629,64.0147,4.48
2014-04-01,39.78,1538.9359,65.6824,4.5967
2014-04-02,39.23,1517.6585,64.7742,4.5332
2014-04-03,39.25,1518.4323,64.8073,4.5355
2014-04-04,37.57,1453.4395,62.0333,4.3414
2014-04-07,36.71,1420.1694,60.6134,4.242
2014-04-08,37.17,1437.965,61.3729,4.2951
2014-04-09,37.52,1451.5052,61.9508,4.3356
2014-04-10,36.32,1405.0818,59.9694,4.1969
2014-04-11,35.14,1359.4321,58.0211,4.0606
2014-04-14,35.62,1378.0015,58.8136,4.116
2014-04-15,35.71,1381.4832,58.9622,4.1264
2014-04-16,35.93,1389.9942,59.3255,4.1518
2014-04-17,36.33,1405.4686,59.9859,4.1981
2014-04-21,36.665,1418.4285,60.5391,4.2368
2014-04-22,37.09,1434.8701,61.2408,4.2859
2014-04-23,37.05,1433.3227,61.1748,4.2813
2014-04-24,38.09,1473.5563,62.8919,4.4014
2014-04-25,37.57,1453.4395,62.0333,4.3414
2014-04-28,37.01,1431.7752,61.1087,4.2766
2014-04-29,37.13,1436.4176,61.3068,4.2905
2014-04-30,37.1,1435.257,61.2573,4.287
2014-05-01,36.71,1417.2185,60.6134,4.242
2014-05-02,36.71,1417.2185,60.6134,4.242
2014-05-05,36.72,1417.6046,60.6299,4.2431
2014-05-06,36.47,1407.9531,60.2171,4.2142
2014-05-07,36.84,1422.2373,60.828,4.257
2014-05-08,36.52,1409.8834,60.2996,4.22
2014-05-09,37.18,1435.3632,61.3894,4.2963
2014-05-12,38.85,1499.8349,64.1468,4.4893
2014-05-13,37.93,1464.3176,62.6278,4.383
2014-05-14,37.36,1442.3123,61.6866,4.3171
2014-05-15,37.0,1428.4142,61.0922,4.2755
2014-05-16,37.56,1450.0334,62.0168,4.3402
2014-05-19,37.9,1463.1594,62.5782,4.3795
2014-05-20,37.66,1453.894,62.1819,4.3518
2014-05-21,37.94,1464.7036,62.6443,4.3841
2014-05-22,38.37,1481.3041,63.3543,4.4338
2014-05-23,38.99,1505.2397,64.378,4.5054
2014-05-27,39.76,1534.9662,65.6493,4.5944
2014-05-28,39.47,1523.7705,65.1705,4.5609
2014-05-29,39.48,1524.1566,65.187,4.5621
2014-05-30,39.29,1516.8215,64.8733,4.5401
2014-06-02,39.05,1507.5561,64.477,4.5124
2014-06-03,38.88,1500.9931,64.1963,4.4927
2014-06-04,39.18,1512.5748,64.6917,4.5274
2014-06-05,39.69,1532.2638,65.5338,4.5863
2014-06-06,40.19,1551.5667,66.3593,4.6441
2014-06-09,41.53,1603.2984,68.5719,4.7989
2014-06-10,41.76,1612.1778,68.9516,4.8255
2014-06-11,41.41,1598.6657,68.3737,4.7851
2014-06-12,41.36,1596.7354,68.2912,4.7793
2014-06-13,41.73,1611.0196,68.9021,4.8221
2014-06-16,41.92,1618.3547,69.2158,4.844
2014-06-17,42.36,1635.3412,69.9423,4.8949
2014-06-18,42.34,1634.5691,69.9093,4.8925
2014-06-19,42.07,1624.1456,69.4635,4.8613
2014-06-20,42.21,1629.5504,69.6946,4.8775
2014-06-23,42.48,1639.9739,70.1404,4.9087
2014-06-24,41.55,1604.0705,68.6049,4.8013
2014-06-25,41.9,1617.5826,69.1828,4.8417
2014-06-26,41.62,1606.7729,68.7205,4.8093
2014-06-27,42.13,1626.4619,69.5625,4.8683
2014-06-30,42.35,1634.9552,65.8673,4.9072
2014-07-01,42.63,1645.7648,66.3028,4.9396
2014-07-02,42.48,1639.9739,66.0695,4.9222
2014-07-03,43.1,1663.9095,67.0338,4.9941
2014-07-07,42.18,1628.3922,65.6029,4.8875
2014-07-08,41.7,1609.8614,64.8564,4.8319
2014-07-09,42.1,1625.3037,65.4785,4.8782
