Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,47.19,144606.264,22.9054,2.776
2014-01-03,47.4188,145307.5269,23.0165,2.7895
2014-01-06,47.4284,145336.7462,23.0211,2.7901
2014-01-07,47.7812,146417.8599,23.1923,2.8108
2014-01-08,47.4761,145482.8427,23.0442,2.7929
2014-01-09,47.2186,144693.9219,22.9193,2.7777
2014-01-10,47.5619,145745.8163,23.0859,2.7979
2014-01-13,50.6513,155212.8661,24.5855,2.9797
2014-01-14,50.5369,154862.2346,24.5299,2.9729
2014-01-15,50.0792,153459.7087,24.3078,2.946
2014-01-16,50.0601,153401.2701,24.2985,2.9449
2014-01-17,49.5357,151794.2092,24.0439,2.914
2014-01-21,49.4213,151443.5777,23.9884,2.9073
2014-01-22,48.9636,150041.0518,23.7662,2.8804
2014-01-23,49.2019,150771.5341,23.882,2.8944
2014-01-24,49.5643,151881.8671,24.0578,2.9157
2014-01-27,50.0887,153488.928,24.3124,2.9466
2014-01-28,50.4129,154482.3839,24.4697,2.9656
2014-01-29,49.7836,152553.9107,24.1643,2.9286
2014-01-30,51.0232,156352.4184,24.766,3.0015
2014-01-31,50.5083,154774.5768,24.516,2.9713
2014-02-03,49.6596,152174.06,24.1041,2.9213
2014-02-04,51.0232,156352.4184,24.766,3.0015
2014-02-05,51.0422,156410.857,24.7752,3.0027
2014-02-06,51.2711,157112.1199,24.8863,3.0161
2014-02-07,52.2246,160034.0489,25.3491,3.0722
2014-02-10,52.339,160384.6803,25.4047,3.0789
2014-02-11,53.1114,162751.4428,25.7796,3.1244
2014-02-12,52.4439,160706.0925,25.4556,3.0851
2014-02-13,52.5393,160998.2854,25.5019,3.0907
2014-02-14,52.8635,161991.7413,25.6592,3.1098
2014-02-18,53.1019,162722.2235,25.7749,3.1238
2014-02-19,52.4821,160822.9697,25.4741,3.0874
2014-02-20,53.2163,163072.855,25.8305,3.1306
2014-02-21,53.4261,163715.6794,25.9323,3.1429
2014-02-24,53.5691,164153.9687,26.0017,3.1513
2014-02-25,53.3116,163365.0479,25.8767,3.1362
2014-02-26,53.6549,164416.9423,26.0434,3.1564
2014-02-27,54.0268,166615.6742,26.2239,3.1782
2014-02-28,54.3414,167586.0796,26.3766,3.1967
2014-03-03,53.7979,165909.9248,26.1128,3.1648
2014-03-04,54.4082,167791.9232,26.409,3.2007
2014-03-05,54.2366,167262.6111,26.3257,3.1906
2014-03-06,54.5989,168380.0477,26.5016,3.2119
2014-03-07,54.7991,168997.5784,26.5988,3.2237
2014-03-10,54.6561,168556.4851,26.5293,3.2153
2014-03-11,54.0554,166703.8928,26.2378,3.1799
2014-03-12,54.1698,167056.7676,26.2933,3.1866
2014-03-13,53.1972,164057.3325,25.8212,3.1294
2014-03-14,53.1114,163792.6765,25.7796,3.1244
2014-03-17,53.6454,165439.4251,26.0387,3.1558
2014-03-18,53.7407,165733.4874,26.085,3.1614
2014-03-19,53.3879,164645.4571,25.9138,3.1407
2014-03-20,53.0065,163469.208,25.7286,3.1182
2014-03-21,52.1197,160734.4291,25.2982,3.066
2014-03-24,51.2806,158146.6812,24.8909,3.0167
2014-03-25,52.6251,162292.959,25.5435,3.0958
2014-03-26,53.4165,164733.6757,25.9277,3.1423
