Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,31.03,60550.0943,15.8254,0.9625
2014-01-03,31.51,61486.7377,16.0702,0.9774
2014-01-06,31.62,61701.3852,16.1263,0.9808
2014-01-07,31.52,61506.2511,16.0753,0.9777
2014-01-08,31.56,61584.3047,16.0957,0.9789
2014-01-09,31.55,61564.7913,16.0906,0.9786
2014-01-10,31.3,61076.9562,15.9631,0.9709
2014-01-13,30.87,60237.8798,15.7438,0.9575
2014-01-14,31.1,60686.6881,15.8611,0.9647
2014-01-15,32.22,62872.1894,16.4323,0.9994
2014-01-16,32.0,62442.8945,16.3201,0.9926
2014-01-17,33.4,65174.7712,17.0341,1.036
2014-01-21,32.63,63461.0761,16.6414,1.0121
2014-01-22,32.29,62799.8206,16.468,1.0016
2014-01-23,31.48,61224.4767,16.0549,0.9765
2014-01-24,30.45,59221.2616,15.5296,0.9445
2014-01-27,29.97,58287.7245,15.2848,0.9296
2014-01-28,30.13,58598.9035,15.3664,0.9346
2014-01-29,29.94,58229.3784,15.2695,0.9287
2014-01-30,29.98,58307.1732,15.2899,0.9299
2014-01-31,29.51,57393.0847,15.0502,0.9153
2014-02-03,28.95,56303.9581,14.7646,0.898
2014-02-04,29.02,56440.0989,14.8003,0.9001
2014-02-05,29.18,56751.278,14.8819,0.9051
2014-02-06,29.69,57743.1612,15.142,0.9209
2014-02-07,29.69,57743.1612,15.142,0.9209
2014-02-10,29.7,57762.6099,15.1471,0.9212
2014-02-11,30.27,58871.1852,15.4378,0.9389
2014-02-12,30.16,58657.2496,15.3817,0.9355
2014-02-13,29.91,58171.0323,15.2542,0.9278
2014-02-14,29.69,57743.1612,15.142,0.9209
2014-02-18,29.56,57490.3282,15.0757,0.9169
2014-02-19,28.96,56323.4068,14.7697,0.8983
2014-02-20,29.33,57043.0083,14.9584,0.9098
2014-02-21,29.62,57607.0203,15.1063,0.9188
2014-02-24,30.31,58948.98,15.4582,0.9402
2014-02-25,29.71,58697.2586,15.1522,0.9215
2014-02-26,29.94,59151.6634,15.2695,0.9287
2014-02-27,30.36,59981.4463,15.4837,0.9417
2014-02-28,30.8,60850.7426,15.7081,0.9554
2014-03-03,30.26,59783.879,15.4327,0.9386
2014-03-04,31.1,61443.4447,15.8611,0.9647
2014-03-05,31.97,63162.2806,16.3048,0.9917
2014-03-06,31.84,62905.443,16.2385,0.9876
2014-03-07,32.21,63636.4422,16.4272,0.9991
2014-03-10,32.13,63478.3883,16.3864,0.9966
2014-03-11,31.7,62628.8487,16.1671,0.9833
2014-03-12,31.44,62115.1736,16.0345,0.9752
2014-03-13,31.44,62115.1736,16.0345,0.9752
2014-03-14,31.1,61443.4447,15.8611,0.9647
2014-03-17,31.37,61976.8765,15.9988,0.973
2014-03-18,31.65,62530.0651,16.1416,0.9817
2014-03-19,31.81,62846.1728,16.2232,0.9867
2014-03-20,32.79,64782.3328,16.723,1.0171
2014-03-21,32.6,64406.9549,16.6261,1.0112
2014-03-24,32.44,64090.8471,16.5445,1.0062
2014-03-25,31.59,62411.5247,16.111,0.9799
2014-03-26,31.22,61680.5255,15.9223,0.9684
2014-03-27,30.9,61048.31,15.7591,0.9585
2014-03-28,30.91,61068.0667,15.7642,0.9588
2014-03-31,31.17,61481.0329,15.3428,0.9625
2014-04-01,31.21,61559.9306,15.3625,0.9637
2014-04-02,31.41,61954.4191,15.4609,0.9699
2014-04-03,30.95,61047.0955,15.2345,0.9557
2014-04-04,30.37,59903.0789,14.949,0.9378
2014-04-07,29.52,58226.5027,14.5306,0.9116
2014-04-08,29.53,58246.2272,14.5355,0.9119
2014-04-09,30.22,59607.2125,14.8752,0.9332
2014-04-10,29.25,57693.9433,14.3977,0.9032
2014-04-11,28.47,56155.4381,14.0138,0.8791
2014-04-14,29.06,57319.1792,14.3042,0.8974
2014-04-15,29.55,58285.676,14.5454,0.9125
2014-04-16,29.89,58956.3065,14.7127,0.923
2014-04-17,30.76,60672.3315,15.141,0.9499
2014-04-21,30.98,61106.2688,15.2493,0.9566
2014-04-22,31.2,61540.2062,15.3576,0.9634
2014-04-23,31.04,61224.6154,15.2788,0.9585
2014-04-24,30.94,61027.3711,15.2296,0.9554
2014-04-25,30.58,60317.2918,15.0524,0.9443
2014-04-28,29.99,59130.8642,14.762,0.9261
2014-04-29,30.52,60175.8578,15.0228,0.9424
2014-04-30,30.93,60984.2491,15.2246,0.9551
2014-05-01,31.22,61556.038,15.3674,0.9641
2014-05-02,30.69,60511.0444,15.1065,0.9477
2014-05-05,30.07,59288.5991,14.8013,0.9285
2014-05-06,29.46,58074.3376,14.5011,0.9097
2014-05-07,29.7,58547.4483,14.6192,0.9171
2014-05-08,29.69,58527.7354,14.6143,0.9168
2014-05-09,29.68,58508.0224,14.6094,0.9165
2014-05-12,30.33,59789.3639,14.9293,0.9366
2014-05-13,30.33,59789.3639,14.9293,0.9366
2014-05-14,30.25,59631.6603,14.8899,0.9341
2014-05-15,29.77,58685.4389,14.6537,0.9193
2014-05-16,30.14,59414.8179,14.8358,0.9307
2014-05-19,30.16,59454.2438,14.8456,0.9313
2014-05-20,29.71,58567.1612,14.6241,0.9174
2014-05-21,30.01,59158.5496,14.7718,0.9267
2014-05-22,30.39,59907.6415,14.9588,0.9384
2014-05-23,30.49,60104.771,15.0081,0.9415
2014-05-27,31.12,61346.6866,15.3182,0.961
2014-05-28,30.93,60972.1406,15.2246,0.9551
2014-05-29,31.13,61366.3995,15.3231,0.9613
2014-05-30,30.86,60834.15,15.1902,0.9529
2014-06-02,30.9,60913.0018,15.2099,0.9542
2014-06-03,30.85,60814.437,15.1853,0.9526
2014-06-04,31.2,61504.3901,15.3576,0.9634
2014-06-05,31.63,62352.0468,15.5692,0.9767
2014-06-06,31.95,62982.8611,15.7267,0.9866
2014-06-09,31.98,63041.9999,15.7415,0.9875
2014-06-10,32.08,63239.1293,15.7907,0.9906
2014-06-11,31.69,62470.3245,15.5987,0.9786
2014-06-12,31.73,62549.1763,15.6184,0.9798
2014-06-13,31.59,62273.195,15.5495,0.9755
2014-06-16,31.71,62509.7504,15.6086,0.9792
2014-06-17,32.5,64067.0731,15.9974,1.0036
2014-06-18,32.66,64382.4802,16.0762,1.0085
2014-06-19,32.54,64145.9248,16.0171,1.0048
2014-06-20,32.29,63653.1012,15.8941,0.9971
2014-06-23,32.52,64106.499,16.0073,1.0042
2014-06-24,32.03,63140.5646,15.7661,0.9891
2014-06-25,32.23,63534.8235,15.8645,0.9952
2014-06-26,31.89,62864.5834,15.6972,0.9847
2014-06-27,31.55,62194.3432,15.5298,0.9742
2014-06-30,32.33,63731.953,14.0421,0.9662
2014-07-01,32.32,63712.24,14.0378,0.9659
2014-07-02,32.49,64047.3601,14.1116,0.971
2014-07-03,32.62,64303.6284,14.1681,0.9749
2014-07-07,32.39,63850.2307,14.0682,0.968
2014-07-08,31.75,62588.6021,13.7902,0.9489
2014-07-09,32.01,63101.1387,13.9031,0.9566
2014-07-10,31.68,62450.6115,13.7598,0.9468
2014-07-11,31.41,61918.362,13.6425,0.9387
2014-07-14,31.81,62706.8798,13.8163,0.9506
2014-07-15,32.0,63081.4258,13.8988,0.9563
2014-07-16,32.5,64067.0731,14.1159,0.9713
2014-07-17,32.3,63672.8141,14.0291,0.9653
2014-07-18,32.64,64343.0543,14.1768,0.9755
2014-07-21,32.55,64165.6378,14.1377,0.9728
2014-07-22,32.91,64875.3038,14.294,0.9835
2014-07-23,33.35,65742.6734,14.4851,0.9967
2014-07-24,33.4,65841.2382,14.5068,0.9982
2014-07-25,33.24,65525.831,14.4374,0.9934
2014-07-28,33.07,65190.711,14.3635,0.9883
2014-07-29,32.65,64362.7672,14.1811,0.9758
2014-07-30,33.34,65722.9605,14.4808,0.9964
2014-07-31,32.34,63751.6659,14.0465,0.9665
2014-08-01,31.6,62292.908,13.725,0.9444
2014-08-04,31.83,62746.3057,13.8249,0.9512
2014-08-05,31.41,61668.9608,13.6425,0.9387
2014-08-06,31.56,61963.4639,13.7077,0.9432
2014-08-07,31.36,61570.793,13.6208,0.9372
2014-08-08,31.95,62729.1721,13.8771,0.9548
2014-08-11,32.08,62984.4082,13.9335,0.9587
2014-08-12,32.01,62846.9734,13.9031,0.9566
2014-08-13,32.02,62866.6069,13.9075,0.9569
2014-08-14,32.17,63161.1101,13.9726,0.9614
2014-08-15,32.22,63259.2778,13.9943,0.9629
2014-08-18,32.61,64024.986,14.1637,0.9746
2014-08-19,32.53,63867.9177,14.129,0.9722
2014-08-20,32.54,63887.5512,14.1333,0.9725
2014-08-21,33.03,64849.5948,14.3461,0.9871
2014-08-22,33.47,65713.4708,14.5373,1.0003
2014-08-25,34.2,67146.7195,14.8543,1.0221
2014-08-26,34.4,67539.3903,14.9412,1.0281
2014-08-27,34.13,67009.2847,14.8239,1.02
2014-08-28,34.06,66871.8498,14.7935,1.0179
2014-08-29,34.31,67362.6884,14.9021,1.0254
2014-09-02,34.55,67833.8935,15.0063,1.0325
2014-09-03,34.56,67853.527,15.0107,1.0328
2014-09-04,34.7,68128.3966,15.0715,1.037
2014-09-05,34.63,67990.9618,15.0411,1.0349
2014-09-08,34.86,68442.5333,15.141,1.0418
2014-09-09,33.91,66577.3467,14.7284,1.0134
2014-09-10,34.33,67401.9555,14.9108,1.026
2014-09-11,34.73,68187.2973,15.0845,1.0379
2014-09-12,35.01,68737.0365,15.2061,1.0463
2014-09-15,35.21,69129.7074,15.293,1.0523
2014-09-16,35.11,68933.3719,15.2496,1.0493
2014-09-17,35.56,69816.8814,15.445,1.0627
2014-09-18,36.13,70935.9934,15.6926,1.0798
2014-09-19,35.76,70209.5523,15.5319,1.0687
2014-09-22,35.18,69070.8067,15.28,1.0514
2014-09-23,35.02,68756.67,15.2105,1.0466
2014-09-24,34.98,68678.1359,15.1931,1.0454
2014-09-25,34.22,67185.9865,14.863,1.0227
2014-09-26,34.65,68030.2289,15.0498,1.0355
2014-09-29,34.5,67735.7258,14.9846,1.031
2014-09-30,34.57,67873.1606,13.4972,1.012
2014-10-01,33.96,66675.5144,13.2591,0.9942
2014-10-02,34.28,67303.7878,13.384,1.0035
2014-10-03,35.05,68815.5707,13.6846,1.0261
2014-10-06,34.99,68697.7694,13.6612,1.0243
2014-10-07,34.02,66793.3157,13.2825,0.9959
2014-10-08,34.5,67735.7258,13.4699,1.01
2014-10-09,33.3,65379.7005,13.0014,0.9748
2014-10-10,32.94,64672.893,12.8608,0.9643
2014-10-13,32.85,64496.1911,12.8257,0.9617
2014-10-14,33.01,64810.3278,12.8882,0.9663
2014-10-15,32.61,64024.986,12.732,0.9546
2014-10-16,32.53,63867.9177,12.7007,0.9523
2014-10-17,33.22,65222.6322,12.9701,0.9725
2014-10-20,33.32,65418.9676,13.0092,0.9754
2014-10-21,34.06,66871.8498,13.2981,0.9971
2014-10-22,33.43,65634.9366,13.0521,0.9786
2014-10-23,33.96,66675.5144,13.2591,0.9942
2014-10-24,34.32,67382.322,13.3996,1.0047
2014-10-27,33.96,66675.5144,13.2591,0.9942
2014-10-28,34.36,67460.8562,13.4152,1.0059
2014-10-29,34.39,67519.7568,13.4269,1.0067
2014-10-30,34.52,67774.9929,13.4777,1.0105
2014-10-31,34.95,68619.2352,13.6456,1.0231
2014-11-03,34.71,68148.0302,13.5519,1.0161
2014-11-04,34.66,67843.5949,13.5324,1.0146
2014-11-05,34.9,68313.3716,13.6261,1.0217
2014-11-06,35.31,69115.9069,13.7861,1.0337
2014-11-07,35.66,69800.998,13.9228,1.0439
2014-11-10,35.88,70231.6268,14.0087,1.0504
2014-11-11,35.79,70055.4605,13.9736,1.0477
2014-11-12,35.97,70407.793,14.0438,1.053
2014-11-13,35.84,70153.3306,13.9931,1.0492
2014-11-14,35.69,69859.7201,13.9345,1.0448
2014-11-17,35.6,69683.5539,13.8994,1.0422
2014-11-18,35.47,69429.0914,13.8486,1.0384
2014-11-19,35.48,69448.6655,13.8525,1.0386
2014-11-20,35.39,69272.4992,13.8174,1.036
2014-11-21,35.53,69546.5356,13.872,1.0401
2014-11-24,35.62,69722.7019,13.9072,1.0427
2014-11-25,35.3,69096.3329,13.7822,1.0334
2014-11-26,35.12,68744.0003,13.712,1.0281
2014-11-28,35.18,68861.4445,13.7354,1.0299
2014-12-01,35.1,68704.8523,13.7042,1.0275
2014-12-02,35.77,70016.3124,13.9657,1.0471
2014-12-03,36.52,71484.3648,14.2586,1.0691
2014-12-04,36.79,72012.8637,14.364,1.077
2014-12-05,37.24,72893.6951,14.5397,1.0902
2014-12-08,38.0,74381.3215,14.8364,1.1124
2014-12-09,38.1,74577.0619,14.8755,1.1153
2014-12-10,37.39,73187.3056,14.5982,1.0946
2014-12-11,37.4,73206.8796,14.6021,1.0949
2014-12-12,36.25,70955.8659,14.1532,1.0612
2014-12-15,35.93,70329.4969,14.0282,1.0518
2014-12-16,35.52,69526.9616,13.8681,1.0398
2014-12-17,36.73,71895.4195,14.3406,1.0752
2014-12-18,38.1,74577.0619,14.8755,1.1153
2014-12-19,38.51,75379.5972,15.0355,1.1273
2014-12-22,38.57,75497.0414,15.059,1.1291
2014-12-23,38.95,76240.8546,15.2073,1.1402
2014-12-24,38.81,75966.8181,15.1527,1.1361
2014-12-26,38.72,75790.6518,15.1175,1.1335
2014-12-29,38.96,76260.4286,15.2112,1.1405
2014-12-30,39.0,76338.7247,15.2268,1.1417
2014-12-31,38.8,75947.2346,19.6476,1.1667
2015-01-02,38.71,75771.0684,19.6021,1.164
2015-01-05,37.5,73402.6108,18.9893,1.1276
