Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,37.16,310210.5188,13.4889,3.6243
2014-01-03,36.91,308123.5266,13.3981,3.5999
2014-01-06,36.13,301612.1109,13.115,3.5238
2014-01-07,36.41,303949.5422,13.2166,3.5512
2014-01-08,35.76,298523.3625,12.9807,3.4878
2014-01-09,35.53,296603.3297,12.8972,3.4653
2014-01-10,36.04,300860.7938,13.0823,3.5151
2014-01-13,34.98,292011.9469,12.6976,3.4117
2014-01-14,35.78,298690.3219,12.9879,3.4897
2014-01-15,36.76,306871.3313,13.3437,3.5853
2014-01-16,36.89,307956.5672,13.3909,3.598
2014-01-17,36.38,303699.1031,13.2057,3.5482
2014-01-21,36.17,301946.0297,13.1295,3.5277
2014-01-22,35.93,299942.5172,13.0424,3.5043
2014-01-23,36.055,299282.5906,13.0878,3.5165
2014-01-24,36.805,305508.1333,13.36,3.5897
2014-01-27,36.03,299075.0725,13.0787,3.5141
2014-01-28,36.27,301067.2462,13.1658,3.5375
2014-01-29,36.66,304304.5284,13.3074,3.5755
2014-01-30,36.86,305964.6731,13.38,3.595
2014-01-31,37.84,314099.3823,13.7357,3.6906
2014-02-03,36.48,302810.3981,13.242,3.558
2014-02-04,36.35,301731.3041,13.1949,3.5453
2014-02-05,35.82,297331.9205,13.0025,3.4936
2014-02-06,36.18,300320.181,13.1331,3.5287
2014-02-07,36.56,303474.456,13.2711,3.5658
2014-02-10,36.8,305466.6297,13.3582,3.5892
2014-02-11,37.175,308579.401,13.4943,3.6258
2014-02-12,37.47,311028.1145,13.6014,3.6545
2014-02-13,37.61,312190.2158,13.6522,3.6682
2014-02-14,37.62,312273.2231,13.6559,3.6692
2014-02-18,37.42,310613.0783,13.5833,3.6497
2014-02-19,37.51,311360.1435,13.6159,3.6584
2014-02-20,37.75,313352.3171,13.703,3.6818
2014-02-21,37.98,315261.4836,13.7865,3.7043
2014-02-24,37.69,312854.2737,13.6813,3.676
2014-02-25,37.54,311609.1652,13.6268,3.6614
2014-02-26,37.47,311028.1145,13.6014,3.6545
2014-02-27,37.86,314265.3967,13.743,3.6926
