Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,66.33,17160.4078,17.5116,4.6136
2014-01-03,66.2,17126.7752,17.4772,4.6045
2014-01-06,65.92,17054.3356,17.4033,4.585
2014-01-07,66.19,17124.1881,17.4746,4.6038
2014-01-08,65.99,17072.4455,17.4218,4.5899
2014-01-09,66.5,17204.389,17.5564,4.6254
2014-01-10,66.15,17113.8395,17.464,4.601
2014-01-13,65.49,16943.0892,17.2898,4.5551
2014-01-14,66.35,17165.5821,17.5168,4.6149
2014-01-15,65.62,16976.7219,17.3241,4.5642
2014-01-16,65.81,17025.8773,17.3743,4.5774
2014-01-17,66.1,17100.9039,17.4508,4.5976
2014-01-21,67.11,17362.2037,17.7175,4.6678
2014-01-22,64.51,16689.5509,17.0311,4.487
2014-01-23,65.34,16904.2823,17.2502,4.5447
2014-01-24,64.42,16666.2667,17.0073,4.4807
2014-01-27,64.43,16668.8538,17.01,4.4814
2014-01-28,64.34,16645.5697,16.9862,4.4751
2014-01-29,63.98,16552.4332,16.8911,4.4501
2014-01-30,64.91,16793.0359,17.1367,4.5148
2014-01-31,63.8,16505.8649,16.8436,4.4376
2014-02-03,62.72,16226.4553,16.5585,4.3625
2014-02-04,62.99,16296.3077,16.6298,4.3812
2014-02-05,62.89,16270.4364,16.6034,4.3743
2014-02-06,63.4,16402.3799,16.738,4.4098
2014-02-07,64.6,16712.835,17.0548,4.4932
2014-02-10,65.08,16837.017,17.1816,4.5266
2014-02-11,65.03,16824.0814,17.1684,4.5231
2014-02-12,65.78,17018.1159,17.3664,4.5753
2014-02-13,65.67,16671.338,17.3373,4.5676
2014-02-14,65.61,16656.106,17.3215,4.5635
2014-02-18,65.78,16699.2631,17.3664,4.5753
2014-02-19,64.93,16483.4776,17.142,4.5162
2014-02-20,65.22,16557.0985,17.2185,4.5363
2014-02-21,65.02,16506.3255,17.1657,4.5224
2014-02-24,64.96,16491.0936,17.1499,4.5183
2014-02-25,65.1,16526.6347,17.1868,4.528
2014-02-26,65.45,16615.4876,17.2792,4.5523
2014-02-27,65.9,16729.727,17.398,4.5836
2014-02-28,66.2,16805.8866,17.4772,4.6045
2014-03-03,65.98,16750.0362,17.4192,4.5892
2014-03-04,66.76,16948.0512,17.6251,4.6435
2014-03-05,66.33,16838.8891,17.5116,4.6136
2014-03-06,66.57,16899.8168,17.5749,4.6302
2014-03-07,66.64,16917.5874,17.5934,4.6351
2014-03-10,66.43,16864.2756,17.538,4.6205
2014-03-11,66.08,16775.4228,17.4456,4.5962
2014-03-12,65.02,16506.3255,17.1657,4.5224
2014-03-13,64.21,16300.6945,16.9519,4.4661
2014-03-14,63.67,16163.6072,16.8093,4.4285
2014-03-17,65.08,16521.5574,17.1816,4.5266
2014-03-18,65.72,16684.0312,17.3505,4.5711
2014-03-19,65.7,16678.9539,17.3452,4.5697
2014-03-20,66.66,16937.3015,17.5987,4.6365
2014-03-21,66.81,16975.4142,17.6383,4.6469
2014-03-24,66.05,16782.3097,17.4376,4.5941
2014-03-25,66.18,16815.3407,17.472,4.6031
2014-03-26,65.16,16556.1741,17.2027,4.5322
2014-03-27,64.36,16352.9061,16.9915,4.4765
2014-03-28,64.3,16337.661,18.8001,4.3974
2014-03-31,64.29,16335.1202,18.7972,4.3967
2014-04-01,64.91,16492.6528,18.9784,4.4391
2014-04-02,65.1,16540.929,19.034,4.4521
2014-04-03,65.09,16538.3881,19.0311,4.4514
2014-04-04,64.26,16327.4976,18.7884,4.3946
2014-04-07,64.43,16370.6921,18.8381,4.4063
2014-04-08,64.95,16502.8162,18.9901,4.4418
2014-04-09,65.26,16581.5826,19.0808,4.463
2014-04-10,63.99,16258.8947,18.7095,4.3762
2014-04-11,63.39,16106.4437,18.534,4.3351
2014-04-14,63.78,16205.5369,18.6481,4.3618
2014-04-15,63.37,16101.362,18.5282,4.3338
2014-04-16,63.23,16065.7902,18.4872,4.3242
2014-04-17,63.15,16045.4634,18.4639,4.3187
2014-04-21,62.51,15882.849,18.2767,4.275
2014-04-22,63.27,16075.9535,18.4989,4.3269
2014-04-23,63.29,16081.0352,18.5048,4.3283
2014-04-24,63.0,16007.3506,18.42,4.3085
2014-04-25,62.5,15880.3082,18.2738,4.2743
2014-04-28,62.64,15915.88,18.3147,4.2839
2014-04-29,63.43,16116.6071,18.5457,4.3379
2014-04-30,63.58,16154.7199,18.5896,4.3481
2014-05-01,62.65,15926.1231,18.3177,4.2845
2014-05-02,65.51,16653.1576,19.1539,4.4801
2014-05-05,66.15,16815.8506,19.341,4.5239
2014-05-06,66.4,16879.4026,19.4141,4.541
2014-05-07,67.14,17067.5164,19.6305,4.5916
2014-05-08,67.38,17128.5263,19.7006,4.608
2014-05-09,67.26,17098.0214,19.6655,4.5998
2014-05-12,67.8,17235.2936,19.8234,4.6367
2014-05-13,67.75,17222.5832,19.8088,4.6333
